CAPE SHMID LATITUDE    68.92     LONGITUDE     -179.47   ALTITUDE    0 M
CAPE SHMID INSTRUMENT   12NM64    NEUTRON MONITOR
CAPE SHMID STANDARD PRESSURE    1009.7  MB     COEFFICIENT   -0.72     % / MB
CAPE SHMID PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
CAPE SHMID PRE-INCREASE AVERAGE COUNTING RATE     84.04      COUNTS PER SECOND
CAPE SHMID TIME INTERVALS    300         3600     
CAPE SHMID SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
CAPE SHMID 010415 300  113500-114000   00      84.96 1010.1     85.18     1.40    -9999
CAPE SHMID 010415 300  114000-114500   00      83.06 1010.0     83.26    -0.90    -9999
CAPE SHMID 010415 300  114500-115000   00      83.67 1010.0     83.85    -0.20    -9999
CAPE SHMID 010415 300  115000-115500   00      82.57 1010.0     82.72    -1.60    -9999
CAPE SHMID 010415 300  115500-120000   00      83.57 1009.9     83.71    -0.40    -9999
CAPE SHMID 010415 300  120000-120500   00      84.32 1009.9     84.44     0.50    -9999
CAPE SHMID 010415 300  120500-121000   00      83.92 1009.9     84.02     0.00    -9999
CAPE SHMID 010415 300  121000-121500   00      84.69 1009.8     84.76     0.90    -9999
CAPE SHMID 010415 300  121500-122000   00      83.88 1009.8     83.93    -0.10    -9999
CAPE SHMID 010415 300  122000-122500   00      83.03 1009.8     83.06    -1.20    -9999
CAPE SHMID 010415 300  122500-123000   00      83.85 1009.7     83.87    -0.20    -9999
CAPE SHMID 010415 300  123000-123500   00      83.78 1009.7     83.78    -0.30    -9999
CAPE SHMID 010415 300  123500-124000   00      83.50 1009.7     83.48    -0.60    -9999
CAPE SHMID 010415 300  124000-124500   00      84.41 1009.6     84.38     0.40    -9999
CAPE SHMID 010415 300  124500-125000   00      84.87 1009.6     84.81     0.90    -9999
CAPE SHMID 010415 300  125000-125500   00      83.58 1009.6     83.51    -0.60    -9999
CAPE SHMID 010415 300  125500-130000   00      84.62 1009.6     84.53     0.60    -9999
CAPE SHMID 010415 300  130000-130500   00      85.70 1009.6     85.61     1.90     1.54
CAPE SHMID 010415 300  130500-131000   00      84.92 1009.5     84.82     0.90     0.52
CAPE SHMID 010415 300  131000-131500   00      84.58 1009.5     84.47     0.50     0.09
CAPE SHMID 010415 300  131500-132000   00      85.76 1009.5     85.63     1.90     1.47
CAPE SHMID 010415 300  132000-132500   00      85.38 1009.5     85.23     1.40     0.94
CAPE SHMID 010415 300  132500-133000   00      84.92 1009.4     84.75     0.90     0.42
CAPE SHMID 010415 300  133000-133500   00      84.77 1009.4     84.59     0.60     0.09
CAPE SHMID 010415 300  133500-134000   00      83.79 1009.4     83.59    -0.50    -1.03
CAPE SHMID 010415 300  134000-134500   00      84.48 1009.3     84.26     0.30    -0.25
CAPE SHMID 010415 300  134500-135000   00      84.39 1009.3     84.15     0.10    -0.48
CAPE SHMID 010415 300  135000-135500   00      83.65 1009.3     83.40    -0.80    -1.40
CAPE SHMID 010415 300  135500-140000   00      83.32 1009.2     83.04    -1.20    -1.83
CAPE SHMID 010415 300  140000-140500   00      85.83 1009.1     85.49     1.70     1.05
CAPE SHMID 010415 300  140500-141000   00      93.10 1009.1     92.71    10.30     9.63
CAPE SHMID 010415 300  141000-141500   00     102.38 1009.1    101.93    21.30    20.60
CAPE SHMID 010415 300  141500-142000   00     113.04 1009.1    112.52    33.90    33.18
CAPE SHMID 010415 300  142000-142500   00     122.18 1009.0    121.60    44.70    43.96
CAPE SHMID 010415 300  142500-143000   00     128.38 1009.0    127.75    52.00    51.23
CAPE SHMID 010415 300  143000-143500   00     130.52 1009.0    129.86    54.50    53.71
CAPE SHMID 010415 300  143500-144000   00     130.75 1009.0    130.08    54.80    53.99
CAPE SHMID 010415 300  144000-144500   00     134.71 1009.0    134.01    59.50    58.66
CAPE SHMID 010415 300  144500-145000   00     136.27 1009.0    135.55    61.30    60.44
CAPE SHMID 010415 300  145000-145500   00     137.17 1009.0    136.44    62.30    61.42
CAPE SHMID 010415 300  145500-150000   00     145.43 1009.0    144.65    72.10    71.19
CAPE SHMID 010415 300  150000-150500   00     140.18 1009.0    139.46    66.00    65.07
CAPE SHMID 010415 300  150500-151000   00     139.19 1009.0    138.47    64.80    63.85
CAPE SHMID 010415 300  151000-151500   00     137.35 1009.0    136.65    62.60    61.62
CAPE SHMID 010415 300  151500-152000   00     134.86 1009.0    134.18    59.70    58.70
CAPE SHMID 010415 300  152000-152500   00     131.25 1009.0    130.58    55.40    54.38
CAPE SHMID 010415 300  152500-153000   00     127.17 1009.0    126.53    50.60    49.56
CAPE SHMID 010415 300  153000-153500   00     123.92 1009.0    123.30    46.70    45.63
CAPE SHMID 010415 300  153500-154000   00     115.56 1009.0    114.98    36.80    35.71
CAPE SHMID 010415 300  154000-154500   00     115.98 1009.0    115.40    37.30    36.19
CAPE SHMID 010415 300  154500-155000   00     112.93 1009.0    112.38    33.70    32.57
CAPE SHMID 010415 300  155000-155500   00     113.08 1009.0    112.53    33.90    32.74
CAPE SHMID 010415 300  155500-160000   00     111.92 1009.0    111.38    32.50    31.32
CAPE SHMID 010415 300  160000-160500   00     115.40 1009.1    114.87    36.70    35.50
CAPE SHMID 010415 300  160500-161000   00     110.99 1009.1    110.49    31.50    30.28
CAPE SHMID 010415 300  161000-161500   00     109.14 1009.1    108.65    29.30    28.06
CAPE SHMID 010415 300  161500-162000   00     109.49 1009.1    109.01    29.70    28.43
CAPE SHMID 010415 300  162000-162500   00     108.01 1009.1    107.54    27.90    26.61
CAPE SHMID 010415 300  162500-163000   00     107.38 1009.1    106.92    27.20    25.89
CAPE SHMID 010415 300  163000-163500   00     103.12 1009.1    102.68    22.20    20.87
CAPE SHMID 010415 300  163500-164000   00     105.19 1009.1    104.74    24.60    23.25
CAPE SHMID 010415 300  164000-164500   00     102.78 1009.1    102.35    21.80    20.43
CAPE SHMID 010415 300  164500-165000   00     101.18 1009.1    100.75    19.90    18.50
CAPE SHMID 010415 300  165000-165500   00     103.11 1009.1    102.67    22.20    20.78
CAPE SHMID 010415 300  165500-170000   00     102.36 1009.1    101.93    21.30    19.86
CAPE SHMID 010415 300  170000-170500   00     100.25 1009.1     99.81    18.80    17.34
CAPE SHMID 010415 300  170500-171000   00      99.97 1009.1     99.53    18.40    16.92
CAPE SHMID 010415 300  171000-171500   00      99.88 1009.1     99.44    18.30    16.80
CAPE SHMID 010415 300  171500-172000   00      97.15 1009.1     96.73    15.10    13.58
CAPE SHMID 010415 300  172000-172500   00      98.81 1009.1     98.38    17.10    15.56
CAPE SHMID 010415 300  172500-173000   00      99.17 1009.1     98.74    17.50    15.93
CAPE SHMID 010415 300  173000-173500   00      96.02 1009.1     95.61    13.80    12.21
CAPE SHMID 010415 300  173500-174000   00      94.68 1009.1     94.27    12.20    10.59
CAPE SHMID 010415 300  174000-174500   00      97.49 1009.1     97.08    15.50    13.87
CAPE SHMID 010415 300  174500-175000   00      94.58 1009.1     94.18    12.10    10.45
CAPE SHMID 010415 300  175000-175500   00      93.24 1009.1     92.85    10.50     8.83
CAPE SHMID 010415 300  175500-180000   00      96.06 1009.1     95.67    13.80    12.11
CAPE SHMID 010415 300  180000-180500   00      96.51 1009.1     96.11    14.40    12.69
CAPE SHMID 010415 300  180500-181000   00      94.49 1009.1     94.10    12.00    10.27
CAPE SHMID 010415 300  181000-181500   00      94.69 1009.1     94.31    12.20    10.45
CAPE SHMID 010415 300  181500-182000   00      93.41 1009.2     93.04    10.70     8.93
CAPE SHMID 010415 300  182000-182500   00      92.22 1009.2     91.87     9.30     7.51
CAPE SHMID 010415 300  182500-183000   00      93.73 1009.2     93.38    11.10     9.29
CAPE SHMID 010415 300  183000-183500   00      94.14 1009.2     93.80    11.60     9.77
CAPE SHMID 010415 300  183500-184000   00      92.78 1009.2     92.47    10.00     8.15
