APATITY  L LATITUDE    67.55     LONGITUDE     33.33     ALTITUDE    177 M
APATITY  L INSTRUMENT   18NM64    NEUTRON MONITOR	
APATITY  L STANDARD PRESSURE    987.6   mb     COEFFICIENT   -0.73     % / mb
APATITY  L PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
APATITY  L PRE-INCREASE AVERAGE COUNTING RATE    164.51      COUNTS PER SECOND
APATITY  L TIME INTERVALS    300         3600     
APATITY  L SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
APATITY  L 010414 3600 000000-010000   00     137.23 1008.9    160.32    -2.50    -9999
APATITY  L 010414 3600 010000-020000   00     137.51 1008.8    160.53    -2.40    -9999
APATITY  L 010414 3600 020000-030000   00     137.77 1008.6    160.60    -2.40    -9999
APATITY  L 010414 3600 030000-040000   00     138.59 1008.8    161.79    -1.70    -9999
APATITY  L 010414 3600 040000-050000   00     137.92 1008.8    161.00    -2.10    -9999
APATITY  L 010414 3600 050000-060000   00     138.65 1008.8    161.86    -1.60    -9999
APATITY  L 010414 3600 060000-070000   00     139.62 1008.6    162.75    -1.10    -9999
APATITY  L 010414 3600 070000-080000   00     140.14 1008.4    163.12    -0.80    -9999
APATITY  L 010414 3600 080000-090000   00     140.10 1008.0    162.60    -1.20    -9999
APATITY  L 010414 3600 090000-100000   00     140.97 1007.5    163.01    -0.90    -9999
APATITY  L 010414 3600 100000-110000   00     142.18 1007.1    163.94    -0.30    -9999
APATITY  L 010414 3600 110000-120000   00     142.23 1006.6    163.39    -0.70    -9999
APATITY  L 010414 3600 120000-130000   00     142.52 1006.1    163.13    -0.80    -9999
APATITY  L 010414 3600 130000-140000   00     143.23 1005.6    163.35    -0.70    -9999
APATITY  L 010414 3600 140000-150000   00     143.75 1005.1    163.33    -0.70    -9999
APATITY  L 010414 3600 150000-160000   00     144.51 1004.6    163.60    -0.60    -9999
APATITY  L 010414 3600 160000-170000   00     144.46 1004.4    163.31    -0.70    -9999
APATITY  L 010414 3600 170000-180000   00     144.81 1004.4    163.70    -0.50    -9999
APATITY  L 010414 3600 180000-190000   00     143.10 1004.4    161.77    -1.70    -9999
APATITY  L 010414 3600 190000-200000   00     143.40 1004.2    161.87    -1.60    -9999
APATITY  L 010414 3600 200000-210000   00     143.58 1003.8    161.61    -1.80    -9999
APATITY  L 010414 3600 210000-220000   00     144.67 1003.4    162.36    -1.30    -9999
APATITY  L 010414 3600 220000-230000   00     144.80 1003.1    162.15    -1.40    -9999
APATITY  L 010414 3600 230000-240000   00     145.62 1002.6    162.47    -1.20    -9999
APATITY  L 010415 3600 000000-010000   00     146.53 1001.9    162.66    -1.10    -9999
APATITY  L 010415 3600 010000-020000   00     146.96 1001.0    162.07    -1.50    -9999
APATITY  L 010415 3600 020000-030000   00     149.15 1000.0    163.29    -0.70    -9999
APATITY  L 010415 3600 030000-040000   00     150.25  999.1    163.41    -0.70    -9999
APATITY  L 010415 3600 040000-050000   00     151.51  998.2    163.70    -0.50    -9999
APATITY  L 010415 3600 050000-060000   00     152.29  997.2    163.34    -0.70    -9999
APATITY  L 010415 3600 060000-070000   00     153.82  996.1    163.66    -0.50    -9999
APATITY  L 010415 3600 070000-080000   00     155.41  994.9    163.92    -0.40    -9999
APATITY  L 010415 3600 080000-090000   00     157.12  993.7    164.27    -0.10    -9999
APATITY  L 010415 300  090000-090500   00     157.12  992.9    163.33    -0.70    -9999
APATITY  L 010415 300  090500-091000   00     158.66  992.8    164.77     0.10    -9999
APATITY  L 010415 300  091000-091500   00     157.46  992.6    163.36    -0.70    -9999
APATITY  L 010415 300  091500-092000   00     157.76  992.5    163.51    -0.60    -9999
APATITY  L 010415 300  092000-092500   00     159.00  992.4    164.63     0.10    -9999
APATITY  L 010415 300  092500-093000   00     160.96  992.2    166.49     1.20    -9999
APATITY  L 010415 300  093000-093500   00     159.00  992.1    164.29    -0.10    -9999
