KIEL       LATITUDE    54.3      LONGITUDE     10.1      ALTITUDE    54 M
KIEL       INSTRUMENT   18NM64    NEUTRON MONITOR	
KIEL       STANDARD PRESSURE    1009.4  mb     COEFFICIENT   -0.721    % / mb
KIEL       PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
KIEL       PRE-INCREASE AVERAGE COUNTING RATE    144.33      COUNTS PER SECOND
KIEL       TIME INTERVALS    300         3600     
KIEL       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
KIEL       031027 3600 000000-010000   00     142.34 1012.6    145.66     0.90    -9999
KIEL       031027 3600 010000-020000   00     143.16 1012.8    146.71     1.60    -9999
KIEL       031027 3600 020000-030000   00     143.69 1013.0    147.47     2.20    -9999
KIEL       031027 3600 030000-040000   00     143.83 1013.4    148.04     2.60    -9999
KIEL       031027 3600 040000-050000   00     143.53 1013.5    147.83     2.40    -9999
KIEL       031027 3600 050000-060000   00     144.29 1013.5    148.62     3.00    -9999
KIEL       031027 3600 060000-070000   00     143.33 1013.9    148.06     2.60    -9999
KIEL       031027 3600 070000-080000   00     143.11 1014.4    148.37     2.80    -9999
KIEL       031027 3600 080000-090000   00     143.19 1014.4    148.45     2.90    -9999
KIEL       031027 3600 090000-100000   00     143.00 1014.4    148.25     2.70    -9999
KIEL       031027 3600 100000-110000   00     143.47 1014.5    148.85     3.10    -9999
KIEL       031027 3600 110000-120000   00     143.88 1014.2    148.95     3.20    -9999
KIEL       031027 3600 120000-130000   00     144.10 1013.9    148.85     3.10    -9999
KIEL       031027 3600 130000-140000   00     144.07 1013.7    148.61     3.00    -9999
KIEL       031027 3600 140000-150000   00     144.52 1013.5    148.85     3.10    -9999
KIEL       031027 3600 150000-160000   00     144.73 1013.4    148.96     3.20    -9999
KIEL       031027 3600 160000-170000   00     144.24 1013.1    148.14     2.60    -9999
KIEL       031027 3600 170000-180000   00     144.20 1013.0    147.99     2.50    -9999
KIEL       031027 3600 180000-190000   00     145.35 1012.6    148.75     3.10    -9999
KIEL       031027 3600 190000-200000   00     144.41 1012.4    147.57     2.20    -9999
KIEL       031027 3600 200000-210000   00     144.90 1012.4    148.07     2.60    -9999
KIEL       031027 3600 210000-220000   00     144.78 1012.3    147.84     2.40    -9999
KIEL       031027 3600 220000-230000   00     144.63 1012.2    147.57     2.20    -9999
KIEL       031027 3600 230000-240000   00     144.98 1012.1    147.83     2.40    -9999
KIEL       031028 3600 000000-010000   00     145.36 1012.0    148.11     2.60    -9999
KIEL       031028 3600 010000-020000   00     144.68 1011.7    147.09     1.90    -9999
KIEL       031028 3600 020000-030000   00     141.79 1011.2    143.64    -0.50    -9999
KIEL       031028 3600 030000-040000   00     139.84 1011.0    141.46    -2.00    -9999
KIEL       031028 3600 040000-050000   00     140.50 1010.7    141.83    -1.70    -9999
KIEL       031028 3600 050000-060000   00     139.41 1010.5    140.52    -2.60    -9999
KIEL       031028 3600 060000-070000   00     140.26 1010.5    141.37    -2.10    -9999
KIEL       031028 3600 070000-080000   00     143.53 1010.6    144.78     0.30    -9999
KIEL       031028 3600 080000-090000   00     146.51 1010.3    147.47     2.20    -9999
KIEL       031028 300  090000-090500   00     146.30 1010.0    146.92     1.80    -9999
KIEL       031028 300  090500-091000   00     146.52 1009.9    147.08     1.90    -9999
KIEL       031028 300  091000-091500   00     147.28 1009.9    147.79     2.40    -9999
KIEL       031028 300  091500-092000   00     146.27 1009.8    146.72     1.70    -9999
KIEL       031028 300  092000-092500   00     148.20 1009.8    148.61     3.00    -9999
KIEL       031028 300  092500-093000   00     147.23 1009.7    147.58     2.30    -9999
KIEL       031028 300  093000-093500   00     147.65 1009.7    147.95     2.50    -9999
KIEL       031028 300  093500-094000   00     148.51 1009.6    148.76     3.10    -9999
KIEL       031028 300  094000-094500   00     146.13 1009.6    146.32     1.40    -9999
KIEL       031028 300  094500-095000   00     145.26 1009.5    145.40     0.70    -9999
KIEL       031028 300  095000-095500   00     144.70 1009.5    144.79     0.30    -9999
KIEL       031028 300  095500-100000   00     145.39 1009.4    145.42     0.80    -9999
KIEL       031028 300  100000-100500   00     143.96 1009.4    143.93    -0.30    -9999
KIEL       031028 300  100500-101000   00     145.79 1009.3    145.72     1.00    -9999
KIEL       031028 300  101000-101500   00     144.99 1009.3    144.86     0.40    -9999
KIEL       031028 300  101500-102000   00     147.05 1009.2    146.87     1.80    -9999
KIEL       031028 300  102000-102500   00     143.78 1009.2    143.55    -0.50    -9999
KIEL       031028 300  102500-103000   00     145.15 1009.1    144.87     0.40    -9999
KIEL       031028 300  103000-103500   00     144.54 1009.1    144.21    -0.10    -9999
KIEL       031028 300  103500-104000   00     143.17 1009.0    142.79    -1.10    -9999
KIEL       031028 300  104000-104500   00     144.62 1009.0    144.18    -0.10    -9999
KIEL       031028 300  104500-105000   00     144.67 1008.9    144.18    -0.10    -9999
KIEL       031028 300  105000-105500   00     143.48 1008.9    142.94    -1.00    -9999
KIEL       031028 300  105500-110000   00     144.47 1008.8    143.87    -0.30    -9999
KIEL       031028 300  110000-110500   00     145.23 1008.8    144.57     0.20    -0.74
KIEL       031028 300  110500-111000   00     146.88 1008.7    146.14     1.30     0.36
KIEL       031028 300  111000-111500   00     144.37 1008.6    143.59    -0.50    -1.44
KIEL       031028 300  111500-112000   00     148.73 1008.6    147.85     2.40     1.46
KIEL       031028 300  112000-112500   00     155.82 1008.5    154.82     7.30     6.35
KIEL       031028 300  112500-113000   00     158.10 1008.4    157.01     8.80     7.85
KIEL       031028 300  113000-113500   00     151.03 1008.4    149.92     3.90     2.95
KIEL       031028 300  113500-114000   00     152.03 1008.3    150.84     4.50     3.55
KIEL       031028 300  114000-114500   00     145.63 1008.2    144.41     0.10    -0.85
