MOSCOW     LATITUDE    55.47     LONGITUDE     37.32     ALTITUDE    200 M
MOSCOW     INSTRUMENT   12-NM-64  NEUTRON MONITOR	
MOSCOW     STANDARD PRESSURE    985.3   MB     COEFFICIENT   -0.71     % / MB
MOSCOW     PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
MOSCOW     PRE-INCREASE AVERAGE COUNTING RATE    210.79      COUNTS PER SECOND
MOSCOW     TIME INTERVALS    300         3600     
MOSCOW     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
MOSCOW     000714 300  111000-111500   00     226.49  984.9    225.81     7.10     7.10
MOSCOW     000714 300  111500-112000   00     225.52  984.9    224.81     6.70     6.70
MOSCOW     000714 300  112000-112500   00     224.20  984.8    223.45     6.00     6.00
MOSCOW     000714 300  112500-113000   00     224.90  984.8    224.11     6.30     6.30
MOSCOW     000714 300  113000-113500   00     225.35  984.8    224.53     6.50     6.50
MOSCOW     000714 300  113500-114000   00     222.54  984.8    221.70     5.20     5.20
MOSCOW     000714 300  114000-114500   00     219.77  984.8    218.90     3.90     3.90
MOSCOW     000714 300  114500-115000   00     220.97  984.7    220.07     4.40     4.40
MOSCOW     000714 300  115000-115500   00     220.29  984.7    219.37     4.10     4.10
MOSCOW     000714 300  115500-120000   00     219.46  984.7    218.51     3.70     3.70
MOSCOW     000714 300  120000-120500   00     216.75  984.7    215.85     2.40     2.40
MOSCOW     000714 300  120500-121000   00     219.33  984.7    218.39     3.60     3.60
MOSCOW     000714 300  121000-121500   00     217.93  984.7    216.96     2.90     2.90
MOSCOW     000714 300  121500-122000   00     213.61  984.7    212.63     0.90     0.90
MOSCOW     000714 300  122000-122500   00     213.27  984.6    212.26     0.70     0.70
MOSCOW     000714 300  122500-123000   00     217.03  984.6    215.97     2.50     2.50
MOSCOW     000714 300  123000-123500   00     215.52  984.6    214.43     1.70     1.70
MOSCOW     000714 300  123500-124000   00     216.07  984.6    214.93     2.00     2.00
MOSCOW     000714 300  124000-124500   00     213.97  984.5    212.80     1.00     1.00
MOSCOW     000714 300  124500-125000   00     214.27  984.5    213.06     1.10     1.10
MOSCOW     000714 300  125000-125500   00     215.80  984.5    214.53     1.80     1.80
MOSCOW     000714 300  125500-130000   00     217.01  984.4    215.68     2.30     2.30
MOSCOW     000714 300  130000-130500   00     214.79  984.3    213.31     1.20     1.20
MOSCOW     000714 300  130500-131000   00     216.69  984.3    215.15     2.10     2.10
MOSCOW     000714 300  131000-131500   00     211.30  984.3    209.75    -0.50    -0.50
MOSCOW     000714 300  131500-132000   00     212.80  984.3    211.21     0.20     0.20
MOSCOW     000714 300  132000-132500   00     214.14  984.2    212.51     0.80     0.80
MOSCOW     000714 300  132500-133000   00     214.31  984.2    212.64     0.90     0.90
MOSCOW     000714 300  133000-133500   00     214.89  984.2    213.20     1.10     1.10
MOSCOW     000714 300  133500-134000   00     210.62  984.2    208.94    -0.90    -0.90
MOSCOW     000714 300  134000-134500   00     212.05  984.2    210.34    -0.20    -0.20
MOSCOW     000714 300  134500-135000   00     213.84  984.2    212.11     0.60     0.60
MOSCOW     000714 300  135000-135500   00     214.39  984.2    212.64     0.90     0.90
MOSCOW     000714 300  135500-140000   00     212.88  984.2    211.14     0.20     0.20
MOSCOW     000714 300  140000-140500   00     214.71  984.2    213.03     1.10     1.10
MOSCOW     000714 300  140500-141000   00     211.97  984.2    210.31    -0.20    -0.20
MOSCOW     000714 300  141000-141500   00     216.92  984.2    215.22     2.10     2.10
MOSCOW     000714 300  141500-142000   00     214.11  984.2    212.44     0.80     0.80
MOSCOW     000714 300  142000-142500   00     214.67  984.2    212.98     1.00     1.00
MOSCOW     000714 300  142500-143000   00     212.44  984.2    210.78     0.00     0.00
MOSCOW     000714 300  143000-143500   00     212.58  984.2    210.91     0.10     0.10
MOSCOW     000714 300  143500-144000   00     214.17  984.2    212.50     0.80     0.80
MOSCOW     000714 300  144000-144500   00     214.42  984.2    212.74     0.90     0.90
MOSCOW     000714 300  144500-145000   00     213.92  984.2    212.24     0.70     0.70
MOSCOW     000714 300  145000-145500   00     213.07  984.2    211.40     0.30     0.30
MOSCOW     000714 300  145500-150000   00     214.15  984.2    212.47     0.80     0.80
MOSCOW     000714 300  150000-150500   00     214.88  984.2    213.27     1.20     1.20
MOSCOW     000714 300  150500-151000   00     210.44  984.2    208.86    -0.90    -0.90
MOSCOW     000714 300  151000-151500   00     212.15  984.2    210.55    -0.10    -0.10
MOSCOW     000714 300  151500-152000   00     211.66  984.2    210.05    -0.30    -0.30
MOSCOW     000714 300  152000-152500   00     208.45  984.2    206.85    -1.90    -1.90
MOSCOW     000714 300  152500-153000   00     214.39  984.2    212.72     0.90     0.90
MOSCOW     000714 300  153000-153500   00     214.17  984.2    212.48     0.80     0.80
MOSCOW     000714 300  153500-154000   00     210.75  984.2    209.05    -0.80    -0.80
MOSCOW     000714 300  154000-154500   00     212.43  984.1    210.69     0.00     0.00
MOSCOW     000714 300  154500-155000   00     213.60  984.1    211.81     0.50     0.50
MOSCOW     000714 300  155000-155500   00     215.12  984.1    213.27     1.20     1.20
MOSCOW     000714 300  155500-160000   00     214.50  984.1    212.62     0.90     0.90
MOSCOW     000714 3600 160000-170000   00     210.92  983.8    208.67    -1.00    -9999
MOSCOW     000714 3600 170000-180000   00     212.86  983.3    209.84    -0.50    -9999
MOSCOW     000714 3600 180000-190000   00     214.00  983.3    210.96     0.10    -9999
MOSCOW     000714 3600 190000-200000   00     212.83  983.2    209.66    -0.50    -9999
MOSCOW     000714 3600 200000-210000   00     212.43  982.7    208.52    -1.10    -9999
MOSCOW     000714 3600 210000-220000   00     213.47  982.5    209.24    -0.70    -9999
MOSCOW     000714 3600 220000-230000   00     214.64  982.0    209.64    -0.50    -9999
MOSCOW     000714 3600 230000-240000   00     214.80  981.5    209.04    -0.80    -9999
MOSCOW     000715 3600 000000-010000   00     216.26  980.9    209.56    -0.60    -9999
MOSCOW     000715 3600 010000-020000   00     216.69  980.5    209.38    -0.70    -9999
