SOUTH POLE LATITUDE    -90       LONGITUDE     0         ALTITUDE    2820 M
SOUTH POLE INSTRUMENT   3NM64    NEUTRON MONITOR     	
SOUTH POLE STANDARD PRESSURE    680     mb     COEFFICIENT   -0.69     % / mb
SOUTH POLE PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
SOUTH POLE PRE-INCREASE AVERAGE COUNTING RATE    301.39      COUNTS PER SECOND
SOUTH POLE TIME INTERVALS    300         3600     
SOUTH POLE SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
SOUTH POLE 120517 300  004500-005000   00     291.81  684.7    302.31     0.30    -9999
SOUTH POLE 120517 300  005000-005500   00     291.38  684.7    301.91     0.20    -9999
SOUTH POLE 120517 300  005500-010000   00     290.64  684.8    301.21    -0.10    -9999
SOUTH POLE 120517 300  010000-010500   00     293.12  684.8    303.79     0.80     0.80
SOUTH POLE 120517 300  010500-011000   00     292.71  684.8    303.33     0.60     0.59
SOUTH POLE 120517 300  011000-011500   00     288.38  684.7    298.73    -0.90    -0.91
SOUTH POLE 120517 300  011500-012000   00     287.52  684.7    297.71    -1.20    -1.21
SOUTH POLE 120517 300  012000-012500   00     291.45  684.6    301.62     0.10     0.09
SOUTH POLE 120517 300  012500-013000   00     293.30  684.5    303.42     0.70     0.68
SOUTH POLE 120517 300  013000-013500   00     290.26  684.5    300.27    -0.40    -0.42
SOUTH POLE 120517 300  013500-014000   00     291.35  684.4    301.07    -0.10    -0.12
SOUTH POLE 120517 300  014000-014500   00     288.91  684.3    298.48    -1.00    -1.02
SOUTH POLE 120517 300  014500-015000   00     293.50  684.3    303.02     0.50     0.47
SOUTH POLE 120517 300  015000-015500   00     288.18  684.2    297.45    -1.30    -1.33
SOUTH POLE 120517 300  015500-020000   00     298.19  684.2    307.72     2.10     2.07
SOUTH POLE 120517 300  020000-020500   00     313.80  684.1    323.70     7.40     7.36
SOUTH POLE 120517 300  020500-021000   00     340.23  684.1    350.81    16.40    16.36
SOUTH POLE 120517 300  021000-021500   00     343.01  684.0    353.60    17.30    17.26
SOUTH POLE 120517 300  021500-022000   00     334.09  684.1    344.42    14.30    14.26
SOUTH POLE 120517 300  022000-022500   00     332.20  684.0    342.43    13.60    13.55
SOUTH POLE 120517 300  022500-023000   00     323.10  684.0    333.02    10.50    10.45
SOUTH POLE 120517 300  023000-023500   00     314.31  684.0    323.79     7.40     7.35
SOUTH POLE 120517 300  023500-024000   00     311.20  683.9    320.42     6.30     6.25
SOUTH POLE 120517 300  024000-024500   00     309.82  683.8    318.76     5.80     5.74
SOUTH POLE 120517 300  024500-025000   00     309.72  683.8    318.60     5.70     5.64
SOUTH POLE 120517 300  025000-025500   00     308.96  683.7    317.72     5.40     5.34
