MAGADAN    LATITUDE    60.1      LONGITUDE     151       ALTITUDE    0 M
MAGADAN    INSTRUMENT   18NM64    NEUTRON MONITOR     	
MAGADAN    STANDARD PRESSURE    982.2   mb     COEFFICIENT   -0.74     % / mb
MAGADAN    PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
MAGADAN    PRE-INCREASE AVERAGE COUNTING RATE     44.01      COUNTS PER SECOND
MAGADAN    TIME INTERVALS    300         3600     
MAGADAN    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
MAGADAN    061212 3600 000000-010000   00      43.64  982.7     43.80    -0.50    -9999
MAGADAN    061212 3600 010000-020000   00      43.58  982.6     43.71    -0.70    -9999
MAGADAN    061212 3600 020000-030000   00      43.77  982.4     43.84    -0.40    -9999
MAGADAN    061212 3600 030000-040000   00      43.71  982.4     43.78    -0.50    -9999
MAGADAN    061212 3600 040000-050000   00      43.86  982.5     43.96    -0.10    -9999
MAGADAN    061212 3600 050000-060000   00      43.59  982.3     43.62    -0.90    -9999
MAGADAN    061212 3600 060000-070000   00      43.82  982.4     43.89    -0.30    -9999
MAGADAN    061212 3600 070000-080000   00      43.93  982.6     44.06     0.10    -9999
MAGADAN    061212 3600 080000-090000   00      43.60  982.8     43.80    -0.50    -9999
MAGADAN    061212 3600 090000-100000   00      43.52  983.0     43.77    -0.50    -9999
MAGADAN    061212 3600 100000-110000   00      43.58  983.2     43.91    -0.20    -9999
MAGADAN    061212 3600 110000-120000   00      43.66  983.3     44.01     0.00    -9999
MAGADAN    061212 3600 120000-130000   00      43.51  983.3     43.86    -0.30    -9999
MAGADAN    061212 3600 130000-140000   00      43.42  983.2     43.74    -0.60    -9999
MAGADAN    061212 3600 140000-150000   00      43.30  983.1     43.59    -0.90    -9999
MAGADAN    061212 3600 150000-160000   00      43.39  983.1     43.68    -0.70    -9999
MAGADAN    061212 3600 160000-170000   00      43.55  982.9     43.78    -0.50    -9999
MAGADAN    061212 3600 170000-180000   00      43.62  982.8     43.81    -0.40    -9999
MAGADAN    061212 3600 180000-190000   00      43.56  982.7     43.72    -0.70    -9999
MAGADAN    061212 3600 190000-200000   00      43.74  982.7     43.90    -0.20    -9999
MAGADAN    061212 3600 200000-210000   00      43.85  982.6     43.98    -0.10    -9999
MAGADAN    061212 3600 210000-220000   00      43.67  982.7     43.83    -0.40    -9999
MAGADAN    061212 3600 220000-230000   00      43.74  982.9     43.96    -0.10    -9999
MAGADAN    061212 3600 230000-240000   00      44.00  983.0     44.26     0.60    -9999
MAGADAN    061213 3600 000000-010000   00      43.98  982.7     44.15     0.30    -9999
MAGADAN    061213 300  010000-010500   00      44.43  982.2     44.42     0.90    -9999
MAGADAN    061213 300  010500-011000   00      44.32  982.2     44.30     0.70    -9999
MAGADAN    061213 300  011000-011500   00      44.37  982.1     44.35     0.80    -9999
MAGADAN    061213 300  011500-012000   00      43.84  982.1     43.80    -0.50    -9999
MAGADAN    061213 300  012000-012500   00      44.43  982.1     44.38     0.80    -9999
MAGADAN    061213 300  012500-013000   00      44.05  982.0     44.00     0.00    -9999
MAGADAN    061213 300  013000-013500   00      44.00  982.0     43.93    -0.20    -9999
MAGADAN    061213 300  013500-014000   00      43.79  982.0     43.71    -0.70    -9999
MAGADAN    061213 300  014000-014500   00      43.68  981.9     43.59    -0.90    -9999
MAGADAN    061213 300  014500-015000   00      43.84  981.9     43.74    -0.60    -9999
MAGADAN    061213 300  015000-015500   00      44.27  981.9     44.15     0.30    -9999
MAGADAN    061213 300  015500-020000   00      43.84  981.8     43.72    -0.70    -9999
MAGADAN    061213 300  020000-020500   00      43.89  981.8     43.76    -0.60    -0.60
MAGADAN    061213 300  020500-021000   00      43.41  981.8     43.28    -1.70    -1.70
MAGADAN    061213 300  021000-021500   00      43.36  981.7     43.21    -1.80    -1.80
MAGADAN    061213 300  021500-022000   00      43.68  981.7     43.52    -1.10    -1.10
MAGADAN    061213 300  022000-022500   00      43.47  981.7     43.30    -1.60    -1.60
MAGADAN    061213 300  022500-023000   00      44.27  981.7     44.09     0.20     0.20
MAGADAN    061213 300  023000-023500   00      44.48  981.6     44.30     0.70     0.70
MAGADAN    061213 300  023500-024000   00      44.32  981.6     44.13     0.30     0.30
MAGADAN    061213 300  024000-024500   00      44.37  981.6     44.17     0.40     0.40
MAGADAN    061213 300  024500-025000   00      43.89  981.6     43.69    -0.70    -0.70
MAGADAN    061213 300  025000-025500   00      43.89  981.5     43.68    -0.70    -0.70
MAGADAN    061213 300  025500-030000   00      44.54  981.5     44.31     0.70     0.70
MAGADAN    061213 300  030000-030500   00      45.82  981.5     45.57     3.60     3.60
MAGADAN    061213 300  030500-031000   00      46.77  981.5     46.52     5.70     5.70
MAGADAN    061213 300  031000-031500   00      48.43  981.5     48.16     9.40     9.40
MAGADAN    061213 300  031500-032000   00      48.43  981.4     48.16     9.40     9.40
MAGADAN    061213 300  032000-032500   00      49.92  981.4     49.63    12.80    12.80
MAGADAN    061213 300  032500-033000   00      50.51  981.4     50.21    14.10    14.10
MAGADAN    061213 300  033000-033500   00      49.87  981.4     49.57    12.60    12.60
MAGADAN    061213 300  033500-034000   00      49.71  981.4     49.40    12.30    12.30
MAGADAN    061213 300  034000-034500   00      49.44  981.4     49.13    11.60    11.60
MAGADAN    061213 300  034500-035000   00      48.69  981.3     48.39    10.00    10.00
MAGADAN    061213 300  035000-035500   00      48.64  981.3     48.33     9.80     9.80
MAGADAN    061213 300  035500-040000   00      48.16  981.3     47.84     8.70     8.70
MAGADAN    061213 300  040000-040500   00      48.00  981.3     47.68     8.30     8.30
MAGADAN    061213 300  040500-041000   00      47.57  981.3     47.25     7.40     7.40
MAGADAN    061213 300  041000-041500   00      47.79  981.3     47.46     7.80     7.80
MAGADAN    061213 300  041500-042000   00      47.57  981.3     47.25     7.40     7.40
MAGADAN    061213 300  042000-042500   00      47.36  981.3     47.03     6.90     6.90
MAGADAN    061213 300  042500-043000   00      46.83  981.3     46.50     5.70     5.70
MAGADAN    061213 300  043000-043500   00      46.72  981.2     46.39     5.40     5.40
MAGADAN    061213 300  043500-044000   00      46.29  981.2     45.97     4.50     4.50
MAGADAN    061213 300  044000-044500   00      46.29  981.2     45.96     4.40     4.40
MAGADAN    061213 300  044500-045000   00      45.97  981.2     45.64     3.70     3.70
MAGADAN    061213 300  045000-045500   00      46.08  981.2     45.74     3.90     3.90
MAGADAN    061213 300  045500-050000   00      45.44  981.2     45.11     2.50     2.50
MAGADAN    061213 300  050000-050500   00      46.35  981.2     46.01     4.60     4.60
MAGADAN    061213 300  050500-051000   00      45.17  981.2     44.85     1.90     1.90
MAGADAN    061213 300  051000-051500   00      45.60  981.3     45.28     2.90     2.90
MAGADAN    061213 300  051500-052000   00      45.87  981.3     45.56     3.50     3.50
MAGADAN    061213 300  052000-052500   00      45.71  981.3     45.41     3.20     3.20
MAGADAN    061213 300  052500-053000   00      45.60  981.3     45.31     3.00     3.00
MAGADAN    061213 300  053000-053500   00      45.23  981.4     44.95     2.10     2.10
MAGADAN    061213 300  053500-054000   00      45.71  981.4     45.43     3.20     3.20
