TIXIE BAY  LATITUDE    71.6      LONGITUDE     128.9     ALTITUDE    0 M
TIXIE BAY  INSTRUMENT   18NM64    NEUTRON MONITOR     	
TIXIE BAY  STANDARD PRESSURE    1000    mb     COEFFICIENT   -0.72     % / mb
TIXIE BAY  PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
TIXIE BAY  PRE-INCREASE AVERAGE COUNTING RATE     99.34      COUNTS PER SECOND
TIXIE BAY  TIME INTERVALS    300         3600     
TIXIE BAY  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
TIXIE BAY  120517 300  004500-005000   00     118.37  988.8    100.77     1.40    -9999
TIXIE BAY  120517 300  005000-005500   00     115.95  988.8     98.75    -0.60    -9999
TIXIE BAY  120517 300  005500-010000   00     116.99  988.8     99.65     0.30    -9999
TIXIE BAY  120517 300  010000-010500   00     115.04  988.9     98.08    -1.30    -1.30
TIXIE BAY  120517 300  010500-011000   00     116.45  989.0     99.36     0.00     0.00
TIXIE BAY  120517 300  011000-011500   00     116.56  989.1     99.52     0.20     0.20
TIXIE BAY  120517 300  011500-012000   00     115.97  989.2     99.07    -0.30    -0.30
TIXIE BAY  120517 300  012000-012500   00     117.33  989.3    100.27     0.90     0.90
TIXIE BAY  120517 300  012500-013000   00     116.93  989.3     99.95     0.60     0.60
TIXIE BAY  120517 300  013000-013500   00     116.03  989.3     99.20    -0.10    -0.10
TIXIE BAY  120517 300  013500-014000   00     116.32  989.3     99.49     0.20     0.20
TIXIE BAY  120517 300  014000-014500   00     116.29  989.4     99.47     0.10     0.10
TIXIE BAY  120517 300  014500-015000   00     116.29  989.5     99.52     0.20     0.20
TIXIE BAY  120517 300  015000-015500   00     116.24  989.6     99.55     0.20     0.20
TIXIE BAY  120517 300  015500-020000   00     116.88  989.6    100.13     0.80     0.80
TIXIE BAY  120517 300  020000-020500   00     116.27  989.7     99.65     0.30     0.30
TIXIE BAY  120517 300  020500-021000   00     117.36  989.7    100.64     1.30     1.30
TIXIE BAY  120517 300  021000-021500   00     116.32  989.7     99.73     0.40     0.40
TIXIE BAY  120517 300  021500-022000   00     117.17  989.8    100.48     1.10     1.10
TIXIE BAY  120517 300  022000-022500   00     116.75  989.8    100.21     0.90     0.90
TIXIE BAY  120517 300  022500-023000   00     115.47  989.9     99.12    -0.20    -0.20
TIXIE BAY  120517 300  023000-023500   00     117.07  990.0    100.56     1.20     1.20
TIXIE BAY  120517 300  023500-024000   00     116.96  990.1    100.53     1.20     1.20
TIXIE BAY  120517 300  024000-024500   00     116.75  990.1    100.40     1.10     1.10
TIXIE BAY  120517 300  024500-025000   00     117.79  990.2    101.31     2.00     2.00
TIXIE BAY  120517 300  025000-025500   00     117.81  990.3    101.41     2.10     2.10
TIXIE BAY  120517 300  025500-030000   00     116.56  990.4    100.40     1.10     1.10
TIXIE BAY  120517 300  030000-030500   00     117.31  990.4    101.09     1.80     1.80
TIXIE BAY  120517 300  030500-031000   00     117.52  990.5    101.33     2.00     2.00
TIXIE BAY  120517 300  031000-031500   00     117.87  990.6    101.71     2.40     2.40
TIXIE BAY  120517 300  031500-032000   00     115.55  990.7     99.76     0.40     0.40
TIXIE BAY  120517 300  032000-032500   00     118.24  990.8    102.16     2.80     2.80
TIXIE BAY  120517 300  032500-033000   00     116.48  990.9    100.72     1.40     1.40
TIXIE BAY  120517 300  033000-033500   00     117.28  990.9    101.44     2.10     2.10
TIXIE BAY  120517 300  033500-034000   00     116.03  991.0    100.45     1.10     1.10
TIXIE BAY  120517 300  034000-034500   00     115.76  991.2    100.29     1.00     1.00
TIXIE BAY  120517 300  034500-035000   00     115.25  991.2     99.89     0.60     0.60
TIXIE BAY  120517 300  035000-035500   00     113.97  991.3     98.85    -0.50    -0.50
TIXIE BAY  120517 300  035500-040000   00     114.19  991.4     99.12    -0.20    -0.20
TIXIE BAY  120517 300  040000-040500   00     115.25  991.5    100.13     0.80     0.80
TIXIE BAY  120517 300  040500-041000   00     116.08  991.6    100.85     1.50     1.50
TIXIE BAY  120517 300  041000-041500   00     113.71  991.6     98.83    -0.50    -0.50
TIXIE BAY  120517 300  041500-042000   00     113.95  991.7     99.09    -0.30    -0.30
TIXIE BAY  120517 300  042000-042500   00     113.41  991.8     98.72    -0.60    -0.60
TIXIE BAY  120517 300  042500-043000   00     113.36  991.9     98.72    -0.60    -0.60
TIXIE BAY  120517 300  043000-043500   00     114.51  992.0     99.79     0.50     0.50
TIXIE BAY  120517 300  043500-044000   00     114.56  992.0     99.87     0.50     0.50
TIXIE BAY  120517 300  044000-044500   00     115.31  992.1    100.64     1.30     1.30
TIXIE BAY  120517 300  044500-045000   00     113.92  992.2     99.47     0.10     0.10
TIXIE BAY  120517 300  045000-045500   00     112.32  992.3     98.13    -1.20    -1.20
TIXIE BAY  120517 300  045500-050000   00     115.23  992.4    100.72     1.40     1.40
TIXIE BAY  120517 300  050000-050500   00     114.00  992.5     99.71     0.40     0.40
