NORILSK    LATITUDE    69.26     LONGITUDE     88.05     ALTITUDE    0 M
NORILSK    INSTRUMENT   18NM64    NEUTRON MONITOR     	
NORILSK    STANDARD PRESSURE    1017.1  MB     COEFFICIENT   -0.71     % / MB
NORILSK    PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
NORILSK    PRE-INCREASE AVERAGE COUNTING RATE     97.66      COUNTS PER SECOND
NORILSK    TIME INTERVALS    300         3600     
NORILSK    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
NORILSK    010415 300  120000-120500   00      97.64 1017.4     97.84     0.20    -9999
NORILSK    010415 300  120500-121000   00      98.47 1017.3     98.64     1.00    -9999
NORILSK    010415 300  121000-121500   00      99.02 1017.3     99.15     1.50    -9999
NORILSK    010415 300  121500-122000   00      96.05 1017.2     96.14    -1.60    -9999
NORILSK    010415 300  122000-122500   00      96.91 1017.2     96.96    -0.70    -9999
NORILSK    010415 300  122500-123000   00      99.20 1017.1     99.23     1.60    -9999
NORILSK    010415 300  123000-123500   00      98.07 1017.1     98.06     0.40    -9999
NORILSK    010415 300  123500-124000   00      98.01 1017.0     97.97     0.30    -9999
NORILSK    010415 300  124000-124500   00      96.97 1017.0     96.90    -0.80    -9999
NORILSK    010415 300  124500-125000   00      96.66 1017.0     96.57    -1.10    -9999
NORILSK    010415 300  125000-125500   00      97.93 1016.9     97.81     0.20    -9999
NORILSK    010415 300  125500-130000   00      96.97 1016.9     96.82    -0.90    -9999
NORILSK    010415 300  130000-130500   00      97.08 1016.8     96.90    -0.80    -1.06
NORILSK    010415 300  130500-131000   00      98.13 1016.8     97.92     0.30     0.02
NORILSK    010415 300  131000-131500   00      97.94 1016.8     97.71     0.10    -0.19
NORILSK    010415 300  131500-132000   00      96.83 1016.7     96.57    -1.10    -1.41
NORILSK    010415 300  132000-132500   00      98.44 1016.7     98.14     0.50     0.17
NORILSK    010415 300  132500-133000   00      98.38 1016.6     98.06     0.40     0.06
NORILSK    010415 300  133000-133500   00      96.56 1016.6     96.21    -1.50    -1.86
NORILSK    010415 300  133500-134000   00      98.86 1016.6     98.48     0.80     0.42
NORILSK    010415 300  134000-134500   00      99.15 1016.5     98.74     1.10     0.71
NORILSK    010415 300  134500-135000   00      96.06 1016.5     95.63    -2.10    -2.51
NORILSK    010415 300  135000-135500   00      96.70 1016.4     96.24    -1.50    -1.93
NORILSK    010415 300  135500-140000   00      97.65 1016.4     97.16    -0.50    -0.94
NORILSK    010415 300  140000-140500   00      98.74 1016.4     98.22     0.60     0.14
NORILSK    010415 300  140500-141000   00      98.71 1016.3     98.16     0.50     0.03
NORILSK    010415 300  141000-141500   00     103.45 1016.3    102.84     5.30     4.81
NORILSK    010415 300  141500-142000   00     111.42 1016.2    110.73    13.40    12.89
NORILSK    010415 300  142000-142500   00     115.47 1016.2    114.72    17.50    16.98
NORILSK    010415 300  142500-143000   00     118.88 1016.1    118.07    20.90    20.36
NORILSK    010415 300  143000-143500   00     123.12 1016.1    122.25    25.20    24.64
NORILSK    010415 300  143500-144000   00     125.97 1016.0    125.04    28.00    27.43
NORILSK    010415 300  144000-144500   00     127.74 1016.0    126.75    29.80    29.21
NORILSK    010415 300  144500-145000   00     128.85 1016.0    127.81    30.90    30.30
NORILSK    010415 300  145000-145500   00     130.26 1015.9    129.16    32.20    31.58
NORILSK    010415 300  145500-150000   00     130.41 1015.9    129.26    32.40    31.76
NORILSK    010415 300  150000-150500   00     131.29 1015.8    130.07    33.20    32.55
NORILSK    010415 300  150500-151000   00     130.98 1015.7    129.71    32.80    32.13
NORILSK    010415 300  151000-151500   00     132.23 1015.7    130.91    34.10    33.41
NORILSK    010415 300  151500-152000   00     130.50 1015.6    129.15    32.20    31.50
NORILSK    010415 300  152000-152500   00     127.90 1015.6    126.53    29.60    28.88
NORILSK    010415 300  152500-153000   00     127.61 1015.5    126.20    29.20    28.47
NORILSK    010415 300  153000-153500   00     126.40 1015.5    124.96    28.00    27.25
NORILSK    010415 300  153500-154000   00     125.70 1015.5    124.24    27.20    26.43
NORILSK    010415 300  154000-154500   00     122.76 1015.4    121.30    24.20    23.42
NORILSK    010415 300  154500-155000   00     122.05 1015.4    120.55    23.40    22.60
NORILSK    010415 300  155000-155500   00     122.38 1015.3    120.84    23.80    22.99
NORILSK    010415 300  155500-160000   00     119.79 1015.3    118.26    21.10    20.27
NORILSK    010415 300  160000-160500   00     118.33 1015.2    116.79    19.60    18.76
NORILSK    010415 300  160500-161000   00     117.30 1015.2    115.74    18.50    17.64
NORILSK    010415 300  161000-161500   00     116.73 1015.2    115.14    17.90    17.02
NORILSK    010415 300  161500-162000   00     115.95 1015.1    114.33    17.10    16.21
NORILSK    010415 300  162000-162500   00     114.88 1015.1    113.25    15.90    14.99
NORILSK    010415 300  162500-163000   00     115.61 1015.0    113.93    16.60    15.68
NORILSK    010415 300  163000-163500   00     115.46 1015.0    113.75    16.50    15.56
NORILSK    010415 300  163500-164000   00     116.39 1015.0    114.63    17.40    16.44
NORILSK    010415 300  164000-164500   00     115.94 1014.9    114.15    16.90    15.93
NORILSK    010415 300  164500-165000   00     114.08 1014.9    112.29    15.00    14.01
NORILSK    010415 300  165000-165500   00     114.38 1014.8    112.55    15.30    14.30
NORILSK    010415 300  165500-170000   00     111.11 1014.8    109.30    11.90    10.88
NORILSK    010415 300  170000-170500   00     111.41 1014.8    109.61    12.30    11.27
NORILSK    010415 300  170500-171000   00     112.30 1014.8    110.45    13.10    12.05
NORILSK    010415 300  171000-171500   00     113.64 1014.7    111.73    14.40    13.34
NORILSK    010415 300  171500-172000   00     111.41 1014.7    109.50    12.10    11.02
NORILSK    010415 300  172000-172500   00     111.08 1014.6    109.14    11.80    10.70
NORILSK    010415 300  172500-173000   00     108.63 1014.6    106.68     9.20     8.09
NORILSK    010415 300  173000-173500   00     108.99 1014.5    106.99     9.60     8.47
NORILSK    010415 300  173500-174000   00     107.25 1014.4    105.24     7.70     6.56
NORILSK    010415 300  174000-174500   00     109.18 1014.4    107.08     9.70     8.54
NORILSK    010415 300  174500-175000   00     109.23 1014.3    107.08     9.70     8.53
NORILSK    010415 300  175000-175500   00     108.06 1014.2    105.87     8.40     7.21
NORILSK    010415 300  175500-180000   00     107.57 1014.1    105.33     7.80     6.60
NORILSK    010415 300  180000-180500   00     106.34 1013.9    103.98     6.50     5.28
NORILSK    010415 300  180500-181000   00     107.40 1013.9    104.95     7.50     6.27
NORILSK    010415 300  181000-181500   00     107.65 1013.8    105.14     7.60     6.35
NORILSK    010415 300  181500-182000   00     107.48 1013.7    104.92     7.40     6.14
NORILSK    010415 300  182000-182500   00     106.45 1013.6    103.86     6.30     5.02
NORILSK    010415 300  182500-183000   00     107.08 1013.6    104.43     6.90     5.61
NORILSK    010415 300  183000-183500   00     106.84 1013.5    104.14     6.70     5.39
NORILSK    010415 300  183500-184000   00     106.24 1013.4    103.50     6.00     4.67
