NOVOSIBIRS LATITUDE    54.8      LONGITUDE     83        ALTITUDE    0 M
NOVOSIBIRS INSTRUMENT   12-NM-64  NEUTRON MONITOR
NOVOSIBIRS STANDARD PRESSURE    985.5   MB     COEFFICIENT   -0.72     % / MB
NOVOSIBIRS PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
NOVOSIBIRS PRE-INCREASE AVERAGE COUNTING RATE    163.77      COUNTS PER SECOND
NOVOSIBIRS TIME INTERVALS    300         3600     
NOVOSIBIRS SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
NOVOSIBIRS 000714 300  031500-032000   00     163.84  985.8    164.17     0.20    -9999
NOVOSIBIRS 000714 300  032000-032500   00     163.84  985.8    164.18     0.30    -9999
NOVOSIBIRS 000714 300  032500-033000   00     165.12  985.8    165.47     1.00    -9999
NOVOSIBIRS 000714 300  033000-033500   00     163.41  985.8    163.77     0.00    -9999
NOVOSIBIRS 000714 300  033500-034000   00     163.41  985.8    163.78     0.00    -9999
NOVOSIBIRS 000714 300  034000-034500   00     164.27  985.8    164.65     0.50    -9999
NOVOSIBIRS 000714 300  034500-035000   00     164.69  985.8    165.09     0.80    -9999
NOVOSIBIRS 000714 300  035000-035500   00     163.84  985.9    164.26     0.30    -9999
NOVOSIBIRS 000714 300  035500-040000   00     162.56  985.9    162.99    -0.50    -9999
NOVOSIBIRS 000714 300  040000-040500   00     163.84  986.0    164.40     0.40    -9999
NOVOSIBIRS 000714 300  040500-041000   00     163.84  986.0    164.41     0.40    -9999
NOVOSIBIRS 000714 300  041000-041500   00     161.71  986.0    162.28    -0.90    -9999
NOVOSIBIRS 000714 300  041500-042000   00     162.99  986.0    163.57    -0.10    -9999
NOVOSIBIRS 000714 300  042000-042500   00     163.41  986.0    164.01     0.10    -9999
NOVOSIBIRS 000714 300  042500-043000   00     162.99  986.0    163.58    -0.10    -9999
NOVOSIBIRS 000714 300  043000-043500   00     162.56  986.0    163.14    -0.40    -9999
NOVOSIBIRS 000714 300  043500-044000   00     162.99  986.0    163.56    -0.10    -9999
NOVOSIBIRS 000714 300  044000-044500   00     161.71  986.0    162.27    -0.90    -9999
NOVOSIBIRS 000714 300  044500-045000   00     163.84  986.0    164.39     0.40    -9999
