SANAE8     LATITUDE    -71.67    LONGITUDE     -2.85     ALTITUDE    856 M
SANAE8     INSTRUMENT   4NM80    NEUTRON MONITOR	
SANAE8     STANDARD PRESSURE    892     mb     COEFFICIENT   -0.757    % / mb
SANAE8     PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
SANAE8     PRE-INCREASE AVERAGE COUNTING RATE      5.98      COUNTS PER SECOND
SANAE8     TIME INTERVALS    300         3600     
SANAE8     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
SANAE8     031028 300  131000-131500   00       6.54  891.9      6.54     9.30     8.67
SANAE8     031028 300  131500-132000   00       6.89  891.9      6.89    15.10    14.46
SANAE8     031028 300  132000-132500   00       6.85  891.9      6.85    14.40    13.75
SANAE8     031028 300  132500-133000   00       6.72  891.9      6.71    12.20    11.54
SANAE8     031028 300  133000-133500   00       6.80  891.8      6.80    13.60    12.93
SANAE8     031028 300  133500-134000   00       7.13  891.8      7.12    19.00    18.32
SANAE8     031028 300  134000-134500   00       6.83  891.8      6.82    13.90    13.21
SANAE8     031028 300  134500-135000   00       6.92  891.8      6.91    15.50    14.80
SANAE8     031028 300  135000-135500   00       6.79  891.7      6.78    13.30    12.59
SANAE8     031028 300  135500-140000   00       6.96  891.7      6.95    16.10    15.38
SANAE8     031028 300  140000-140500   00       6.72  891.7      6.70    12.00    11.27
SANAE8     031028 300  140500-141000   00       7.01  891.7      7.00    16.90    16.16
SANAE8     031028 300  141000-141500   00       6.96  891.6      6.94    15.90    15.15
SANAE8     031028 300  141500-142000   00       6.80  891.6      6.78    13.30    12.54
SANAE8     031028 300  142000-142500   00       6.87  891.6      6.85    14.50    13.73
SANAE8     031028 300  142500-143000   00       7.12  891.6      7.10    18.60    17.82
SANAE8     031028 300  143000-143500   00       6.69  891.5      6.67    11.50    10.71
SANAE8     031028 300  143500-144000   00       6.67  891.5      6.64    11.00    10.20
SANAE8     031028 300  144000-144500   00       6.65  891.5      6.62    10.70     9.89
SANAE8     031028 300  144500-145000   00       6.84  891.5      6.81    13.80    12.98
SANAE8     031028 300  145000-145500   00       6.81  891.4      6.78    13.40    12.57
SANAE8     031028 300  145500-150000   00       6.74  891.4      6.71    12.10    11.26
SANAE8     031028 300  150000-150500   00       6.83  891.4      6.80    13.70    12.85
SANAE8     031028 300  150500-151000   00       6.71  891.4      6.68    11.70    10.84
SANAE8     031028 300  151000-151500   00       7.03  891.4      6.99    16.90    16.03
SANAE8     031028 300  151500-152000   00       6.63  891.4      6.60    10.20     9.32
SANAE8     031028 300  152000-152500   00       6.72  891.4      6.69    11.80    10.91
SANAE8     031028 300  152500-153000   00       6.68  891.4      6.65    11.20    10.30
SANAE8     031028 300  153000-153500   00       6.91  891.3      6.88    15.00    14.09
SANAE8     031028 300  153500-154000   00       6.84  891.3      6.81    13.70    12.78
SANAE8     031028 300  154000-154500   00       6.94  891.3      6.91    15.40    14.47
SANAE8     031028 300  154500-155000   00       6.78  891.3      6.74    12.70    11.76
SANAE8     031028 300  155000-155500   00       6.71  891.3      6.68    11.60    10.65
SANAE8     031028 300  155500-160000   00       7.01  891.3      6.97    16.50    15.54
SANAE8     031028 300  160000-160500   00       6.88  891.3      6.84    14.40    13.43
SANAE8     031028 300  160500-161000   00       6.71  891.3      6.67    11.50    10.52
SANAE8     031028 300  161000-161500   00       6.83  891.3      6.79    13.50    12.51
SANAE8     031028 300  161500-162000   00       6.57  891.3      6.53     9.20     8.20
SANAE8     031028 300  162000-162500   00       6.94  891.3      6.90    15.30    14.29
SANAE8     031028 300  162500-163000   00       6.91  891.3      6.87    14.80    13.78
SANAE8     031028 300  163000-163500   00       6.70  891.2      6.67    11.40    10.37
SANAE8     031028 300  163500-164000   00       6.77  891.2      6.73    12.40    11.36
SANAE8     031028 300  164000-164500   00       6.63  891.2      6.60    10.20     9.15
SANAE8     031028 300  164500-165000   00       6.92  891.2      6.88    15.00    13.94
SANAE8     031028 300  165000-165500   00       6.73  891.2      6.69    11.80    10.73
SANAE8     031028 300  165500-170000   00       6.71  891.2      6.67    11.50    10.42
SANAE8     031028 300  170000-170500   00       6.70  891.2      6.66    11.40    10.31
SANAE8     031028 300  170500-171000   00       6.94  891.2      6.90    15.20    14.10
SANAE8     031028 300  171000-171500   00       6.97  891.2      6.93    15.80    14.69
SANAE8     031028 300  171500-172000   00       7.01  891.2      6.97    16.50    15.38
SANAE8     031028 300  172000-172500   00       6.94  891.2      6.90    15.20    14.07
SANAE8     031028 300  172500-173000   00       6.80  891.2      6.76    12.90    11.76
SANAE8     031028 300  173000-173500   00       6.88  891.1      6.83    14.20    13.05
SANAE8     031028 300  173500-174000   00       6.73  891.1      6.69    11.80    10.64
SANAE8     031028 300  174000-174500   00       6.70  891.1      6.65    11.20    10.03
SANAE8     031028 300  174500-175000   00       6.87  891.1      6.82    14.10    12.92
SANAE8     031028 300  175000-175500   00       6.75  891.1      6.71    12.10    10.91
SANAE8     031028 300  175500-180000   00       6.53  891.1      6.48     8.30     7.10
SANAE8     031028 300  180000-180500   00       7.03  891.1      6.98    16.60    15.39
SANAE8     031028 300  180500-181000   00       6.90  891.1      6.85    14.50    13.28
SANAE8     031028 300  181000-181500   00       6.82  891.1      6.77    13.20    11.97
SANAE8     031028 300  181500-182000   00       6.84  891.1      6.79    13.50    12.26
SANAE8     031028 300  182000-182500   00       6.64  891.1      6.59    10.10     8.85
SANAE8     031028 300  182500-183000   00       6.70  891.1      6.65    11.20     9.94
SANAE8     031028 300  183000-183500   00       6.76  891.0      6.71    12.10    10.83
SANAE8     031028 300  183500-184000   00       6.79  891.0      6.74    12.70    11.42
SANAE8     031028 300  184000-184500   00       6.99  891.0      6.94    16.00    14.71
SANAE8     031028 300  184500-185000   00       7.13  891.0      7.08    18.30    17.00
SANAE8     031028 300  185000-185500   00       6.54  891.0      6.49     8.50     7.19
SANAE8     031028 300  185500-190000   00       6.53  891.0      6.48     8.30     6.98
SANAE8     031028 300  190000-190500   00       6.91  891.0      6.85    14.60    13.27
SANAE8     031028 300  190500-191000   00       6.52  891.0      6.48     8.20     6.86
SANAE8     031028 300  191000-191500   00       6.88  891.0      6.82    14.10    12.75
SANAE8     031028 300  191500-192000   00       6.84  891.0      6.79    13.40    12.04
SANAE8     031028 300  192000-192500   00       6.82  891.0      6.76    13.00    11.63
SANAE8     031028 300  192500-193000   00       6.58  891.0      6.53     9.20     7.82
SANAE8     031028 300  193000-193500   00       6.95  890.9      6.90    15.30    13.91
SANAE8     031028 300  193500-194000   00       6.83  890.9      6.77    13.20    11.80
SANAE8     031028 300  194000-194500   00       6.82  890.9      6.76    13.00    11.59
SANAE8     031028 300  194500-195000   00       6.69  890.9      6.64    10.90     9.48
SANAE8     031028 300  195000-195500   00       6.64  890.9      6.58    10.00     8.57
SANAE8     031028 300  195500-200000   00       6.72  890.9      6.66    11.30     9.86
SANAE8     031028 300  200000-200500   00       6.48  890.9      6.42     7.40     5.95
SANAE8     031028 300  200500-201000   00       6.55  890.9      6.50     8.50     7.04
SANAE8     031028 300  201000-201500   00       6.84  890.9      6.78    13.30    11.83
SANAE8     031028 300  201500-202000   00       6.84  890.9      6.78    13.30    11.82
SANAE8     031028 300  202000-202500   00       6.69  890.9      6.63    10.80     9.31
SANAE8     031028 300  202500-203000   00       6.62  890.9      6.56     9.70     8.20
SANAE8     031028 300  203000-203500   00       6.43  890.8      6.38     6.50     4.99
SANAE8     031028 300  203500-204000   00       6.68  890.8      6.62    10.60     9.08
SANAE8     031028 300  204000-204500   00       6.57  890.8      6.51     8.90     7.37
SANAE8     031028 300  204500-205000   00       6.55  890.8      6.49     8.40     6.86
SANAE8     031028 300  205000-205500   00       6.35  890.8      6.30     5.30     3.75
SANAE8     031028 300  205500-210000   00       6.80  890.8      6.74    12.70    11.14
SANAE8     031028 300  210000-210500   00       6.51  890.8      6.45     7.70     6.13
SANAE8     031028 300  210500-211000   00       6.51  890.8      6.45     7.80     6.22
SANAE8     031028 300  211000-211500   00       6.54  890.8      6.48     8.30     6.71
SANAE8     031028 300  211500-212000   00       6.55  890.8      6.49     8.40     6.80
SANAE8     031028 300  212000-212500   00       6.68  890.8      6.62    10.60     8.99
SANAE8     031028 300  212500-213000   00       6.55  890.8      6.49     8.40     6.78
SANAE8     031028 300  213000-213500   00       6.67  890.7      6.60    10.40     8.77
SANAE8     031028 300  213500-214000   00       6.81  890.7      6.74    12.70    11.06
SANAE8     031028 300  214000-214500   00       6.74  890.7      6.67    11.50     9.85
SANAE8     031028 300  214500-215000   00       6.62  890.7      6.56     9.60     7.94
SANAE8     031028 300  215000-215500   00       6.66  890.7      6.60    10.30     8.63
SANAE8     031028 300  215500-220000   00       6.67  890.7      6.61    10.40     8.72
SANAE8     031028 300  220000-220500   00       6.51  890.7      6.44     7.70     6.01
SANAE8     031028 300  220500-221000   00       6.46  890.7      6.40     6.90     5.20
SANAE8     031028 300  221000-221500   00       6.61  890.7      6.54     9.40     7.69
SANAE8     031028 300  221500-222000   00       6.57  890.7      6.51     8.80     7.08
SANAE8     031028 300  222000-222500   00       6.54  890.7      6.48     8.30     6.57
SANAE8     031028 300  222500-223000   00       6.45  890.7      6.39     6.90     5.16
SANAE8     031028 300  223000-223500   00       6.63  890.7      6.57     9.70     7.95
SANAE8     031028 300  223500-224000   00       6.58  890.7      6.52     8.90     7.14
SANAE8     031028 300  224000-224500   00       6.45  890.7      6.39     6.80     5.03
SANAE8     031028 300  224500-225000   00       6.72  890.7      6.65    11.20     9.42
SANAE8     031028 300  225000-225500   00       6.43  890.7      6.36     6.40     4.61
SANAE8     031028 300  225500-230000   00       6.57  890.7      6.50     8.70     6.90
SANAE8     031028 300  230000-230500   00       6.32  890.7      6.25     4.50     2.69
SANAE8     031028 300  230500-231000   00       6.71  890.7      6.64    11.00     9.17
SANAE8     031028 300  231000-231500   00       6.68  890.7      6.61    10.50     8.66
SANAE8     031028 300  231500-232000   00       6.83  890.6      6.76    12.90    11.05
SANAE8     031028 300  232000-232500   00       6.43  890.6      6.37     6.40     4.54
SANAE8     031028 300  232500-233000   00       6.83  890.6      6.75    12.90    11.03
SANAE8     031028 300  233000-233500   00       6.60  890.6      6.53     9.10     7.22
SANAE8     031028 300  233500-234000   00       6.56  890.6      6.49     8.40     6.51
SANAE8     031028 300  234000-234500   00       6.69  890.6      6.62    10.60     8.70
SANAE8     031028 300  234500-235000   00       6.82  890.5      6.74    12.70    10.79
SANAE8     031028 300  235000-235500   00       6.57  890.5      6.50     8.60     6.68
SANAE8     031028 300  235500-240000   00       6.60  890.5      6.53     9.10     7.17
SANAE8     031029 300  000000-000500   00       6.52  890.5      6.45     7.80     5.86
SANAE8     031029 300  000500-001000   00       6.61  890.5      6.54     9.30     7.35
SANAE8     031029 300  001000-001500   00       6.76  890.5      6.68    11.70     9.74
SANAE8     031029 300  001500-002000   00       6.43  890.5      6.35     6.20     4.23
SANAE8     031029 300  002000-002500   00       6.58  890.5      6.51     8.70     6.72
SANAE8     031029 300  002500-003000   00       6.57  890.5      6.49     8.50     6.51
SANAE8     031029 300  003000-003500   00       6.42  890.4      6.35     6.10     4.10
SANAE8     031029 300  003500-004000   00       6.52  890.4      6.45     7.70     5.69
SANAE8     031029 300  004000-004500   00       6.38  890.4      6.31     5.40     3.38
SANAE8     031029 300  004500-005000   00       6.42  890.4      6.34     6.00     3.97
SANAE8     031029 300  005000-005500   00       6.71  890.4      6.63    10.90     8.86
SANAE8     031029 300  005500-010000   00       6.53  890.4      6.45     7.70     5.65
SANAE8     031029 300  010000-010500   00       6.56  890.4      6.48     8.30     6.24
SANAE8     031029 300  010500-011000   00       6.65  890.4      6.57     9.80     7.73
