JUNGFRAU   LATITUDE    46.55     LONGITUDE     7.98      ALTITUDE    3475 M
JUNGFRAU   INSTRUMENT   3-NM-64  NEUTRON MONITOR	
JUNGFRAU   STANDARD PRESSURE    642.5   MB     COEFFICIENT   -0.72     % / MB
JUNGFRAU   PRE-INCREASE BASELINE TIME INTERVAL    211028    130000-150000   UT
JUNGFRAU   PRE-INCREASE AVERAGE COUNTING RATE    165.13      COUNTS PER SECOND
JUNGFRAU   TIME INTERVALS    300         3600     
JUNGFRAU   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
JUNGFRAU   211028 300  143000-143500   00     170.20  659.2    164.84    -0.18    -9999
JUNGFRAU   211028 300  143500-144000   00     170.89  659.2    165.53     0.24    -9999
JUNGFRAU   211028 300  144000-144500   00     170.95  659.2    165.48     0.21    -9999
JUNGFRAU   211028 300  144500-145000   00     170.71  659.3    165.36     0.14    -9999
JUNGFRAU   211028 300  145000-145500   00     170.14  659.2    164.77    -0.22    -9999
JUNGFRAU   211028 300  145500-150000   00     169.92  659.2    164.56    -0.35    -9999
JUNGFRAU   211028 300  150000-150500   00     171.19  659.0    165.70     0.34     0.47
JUNGFRAU   211028 300  150500-151000   00     169.99  659.0    164.47    -0.40    -0.26
JUNGFRAU   211028 300  151000-151500   00     170.17  658.9    164.45    -0.41    -0.26
JUNGFRAU   211028 300  151500-152000   00     170.90  658.9    165.15     0.01     0.18
JUNGFRAU   211028 300  152000-152500   00     171.15  658.8    165.31     0.11     0.29
JUNGFRAU   211028 300  152500-153000   00     170.19  658.9    164.53    -0.36    -0.17
JUNGFRAU   211028 300  153000-153500   00     171.84  659.0    166.17     0.63     0.83
JUNGFRAU   211028 300  153500-154000   00     171.07  659.1    165.62     0.30     0.51
JUNGFRAU   211028 300  154000-154500   00     171.85  659.0    166.31     0.72     0.94
JUNGFRAU   211028 300  154500-155000   00     170.74  659.1    165.20     0.04     0.27
JUNGFRAU   211028 300  155000-155500   00     171.51  659.0    165.82     0.42     0.66
JUNGFRAU   211028 300  155500-160000   00     172.21  659.0    166.68     0.94     1.19
JUNGFRAU   211028 300  160000-160500   00     170.84  658.9    165.06    -0.04     0.22
JUNGFRAU   211028 300  160500-161000   00     172.30  658.9    166.62     0.90     1.18
JUNGFRAU   211028 300  161000-161500   00     170.03  659.0    164.46    -0.41    -0.12
JUNGFRAU   211028 300  161500-162000   00     170.67  659.0    165.01    -0.07     0.23
JUNGFRAU   211028 300  162000-162500   00     171.69  659.0    165.98     0.51     0.82
JUNGFRAU   211028 300  162500-163000   00     169.81  659.0    164.24    -0.54    -0.22
JUNGFRAU   211028 300  163000-163500   00     169.85  658.9    164.21    -0.56    -0.23
JUNGFRAU   211028 300  163500-164000   00     169.50  659.0    163.90    -0.75    -0.41
JUNGFRAU   211028 300  164000-164500   00     170.30  659.0    164.68    -0.28     0.07
JUNGFRAU   211028 300  164500-165000   00     170.93  659.0    165.27     0.08     0.44
JUNGFRAU   211028 300  165000-165500   00     171.14  659.0    165.52     0.24     0.61
JUNGFRAU   211028 300  165500-170000   00     171.96  659.0    166.28     0.69     1.08
JUNGFRAU   211028 300  170000-170500   00     172.30  659.0    166.64     0.92     1.32
JUNGFRAU   211028 300  170500-171000   00     169.01  659.0    163.53    -0.97    -0.56
