NORILSK    LATITUDE    69.26     LONGITUDE     88.05     ALTITUDE    0 M
NORILSK    INSTRUMENT   18NM64    NEUTRON MONITOR     	
NORILSK    STANDARD PRESSURE    1005    mb     COEFFICIENT   -0.71     % / mb
NORILSK    211028 300  143000-143500   00     126.70 1010.1    131.52    -0.25    -9999
NORILSK    211028 300  143500-144000   00     127.31 1010.2    132.12     0.21    -9999
NORILSK    211028 300  144000-144500   00     126.75 1010.2    131.75    -0.08    -9999
NORILSK    211028 300  144500-145000   00     127.49 1010.3    132.49     0.48    -9999
NORILSK    211028 300  145000-145500   00     124.99 1010.4    130.54    -1.00    -9999
NORILSK    211028 300  145500-150000   00     126.26 1010.4    131.85     0.00    -9999
NORILSK    211028 300  150000-150500   00     126.10 1010.4    131.21    -0.49    -0.34
NORILSK    211028 300  150500-151000   00     126.36 1010.5    131.38    -0.36    -0.20
NORILSK    211028 300  151000-151500   00     127.09 1010.4    133.18     1.01     1.18
NORILSK    211028 300  151500-152000   00     126.84 1010.5    131.99     0.10     0.28
NORILSK    211028 300  152000-152500   00     126.21 1010.5    130.46    -1.06    -0.87
NORILSK    211028 300  152500-153000   00     125.29 1010.4    130.30    -1.18    -0.98
NORILSK    211028 300  153000-153500   00     127.51 1010.4    132.70     0.64     0.85
NORILSK    211028 300  153500-154000   00     125.56 1010.4    131.21    -0.49    -0.27
NORILSK    211028 300  154000-154500   00     126.51 1010.4    131.29    -0.43    -0.20
NORILSK    211028 300  154500-155000   00     125.20 1010.5    130.30    -1.18    -0.94
NORILSK    211028 300  155000-155500   00     124.60 1010.4    128.96    -2.20    -1.95
NORILSK    211028 300  155500-160000   00     123.66 1010.4    128.50    -2.54    -2.28
NORILSK    211028 300  160000-160500   00     127.32 1010.4    132.43     0.44     0.70
NORILSK    211028 300  160500-161000   00     127.23 1010.4    132.31     0.35     0.62
NORILSK    211028 300  161000-161500   00     128.49 1010.4    133.68     1.39     1.67
NORILSK    211028 300  161500-162000   00     125.69 1010.4    130.76    -0.83    -0.54
NORILSK    211028 300  162000-162500   00     127.93 1010.4    133.12     0.96     1.25
NORILSK    211028 300  162500-163000   00     126.57 1010.4    131.76    -0.07     0.23
NORILSK    211028 300  163000-163500   00     126.81 1010.5    131.96     0.08     0.39
NORILSK    211028 300  163500-164000   00     128.40 1010.5    134.87     2.29     2.61
NORILSK    211028 300  164000-164500   00     126.29 1010.5    131.49    -0.28     0.04
NORILSK    211028 300  164500-165000   00     128.63 1010.5    133.89     1.54     1.87
NORILSK    211028 300  165000-165500   00     126.28 1010.4    130.59    -0.95    -0.62
NORILSK    211028 300  165500-170000   00     129.86 1010.4    134.90     2.31     2.65
NORILSK    211028 300  170000-170500   00     127.69 1010.4    132.86     0.76     1.10
NORILSK    211028 300  170500-171000   00     129.12 1010.4    133.95     1.59     1.94
NORILSK    211028 300  171000-171500   00     129.97 1010.4    134.32     1.87     2.23
NORILSK    211028 300  171500-172000   00     129.70 1010.4    134.85     2.28     2.64
NORILSK    211028 300  172000-172500   00     128.84 1010.3    133.46     1.22     1.58
NORILSK    211028 300  172500-173000   00     128.61 1010.4    133.94     1.58     1.95
NORILSK    211028 300  173000-173500   00     128.90 1010.4    134.07     1.68     2.05
NORILSK    211028 300  173500-174000   00     126.96 1010.4    132.05     0.15     0.53
NORILSK    211028 300  174000-174500   00     128.38 1010.4    133.53     1.27     1.65
NORILSK    211028 300  174500-175000   00     128.95 1010.4    134.10     1.70     2.08
NORILSK    211028 300  175000-175500   00     129.72 1010.4    135.29     2.61     3.00
NORILSK    211028 300  175500-180000   00     128.08 1010.5    132.72     0.66     1.05
NORILSK    211028 300  180000-180500   00     127.51 1010.5    132.73     0.66     1.05
NORILSK    211028 300  180500-181000   00     127.76 1010.5    133.16     0.99     1.38
NORILSK    211028 300  181000-181500   00     129.97 1010.6    135.23     2.56     2.96
NORILSK    211028 300  181500-182000   00     127.15 1010.6    132.44     0.44     0.84
NORILSK    211028 300  182000-182500   00     128.39 1010.6    135.34     2.65     3.05
NORILSK    211028 300  182500-183000   00     127.87 1010.6    132.41     0.42     0.82
NORILSK    211028 300  183000-183500   00     126.21 1010.5    131.39    -0.35     0.05
NORILSK    211028 300  183500-184000   00     126.16 1010.5    129.98    -1.42    -1.02
NORILSK    211028 300  184000-184500   00     128.99 1010.5    135.06     2.43     2.84
NORILSK    211028 300  184500-185000   00     126.88 1010.5    132.03     0.13     0.54
NORILSK    211028 300  185000-185500   00     127.22 1010.4    133.44     1.21     1.62
NORILSK    211028 300  185500-190000   00     129.08 1010.4    134.36     1.90     2.31
NORILSK    211028 300  190000-190500   00     127.61 1010.3    132.66     0.61     1.02
NORILSK    211028 300  190500-191000   00     126.41 1010.3    130.71    -0.87    -0.46
NORILSK    211028 300  191000-191500   00     127.60 1010.3    132.38     0.40     0.80
NORILSK    211028 300  191500-192000   00     126.86 1010.2    131.82    -0.03     0.37
NORILSK    211028 300  192000-192500   00     128.44 1010.2    132.47     0.47     0.87
NORILSK    211028 300  192500-193000   00     126.21 1010.2    131.05    -0.61    -0.21
NORILSK    211028 300  193000-193500   00     126.21 1010.3    131.18    -0.51    -0.11
NORILSK    211028 300  193500-194000   00     127.35 1010.3    133.86     1.52     1.92
NORILSK    211028 300  194000-194500   00     128.57 1010.2    133.96     1.60     2.00
NORILSK    211028 300  194500-195000   00     125.85 1010.1    130.65    -0.91    -0.52
NORILSK    211028 300  195000-195500   00     126.31 1010.2    131.05    -0.61    -0.22
NORILSK    211028 300  195500-200000   00     127.84 1010.1    132.53     0.52     0.91
NORILSK    211028 300  200000-200500   00     126.49 1010.2    131.34    -0.39     0.00
NORILSK    211028 300  200500-201000   00     125.04 1010.2    129.88    -1.50    -1.12
NORILSK    211028 300  201000-201500   00     125.12 1010.2    130.66    -0.91    -0.53
NORILSK    211028 300  201500-202000   00     127.02 1010.1    131.82    -0.02     0.36
NORILSK    211028 300  202000-202500   00     128.16 1010.1    134.09     1.70     2.07
NORILSK    211028 300  202500-203000   00     127.06 1010.0    131.67    -0.14     0.23
NORILSK    211028 300  203000-203500   00     127.44 1010.0    132.15     0.23     0.59
NORILSK    211028 300  203500-204000   00     126.49 1009.9    131.09    -0.58    -0.22
NORILSK    211028 300  204000-204500   00     128.21 1010.0    133.26     1.07     1.42
NORILSK    211028 300  204500-205000   00     125.71 1010.0    130.34    -1.14    -0.79
NORILSK    211028 300  205000-205500   00     124.67 1009.9    128.57    -2.49    -2.15
NORILSK    211028 300  205500-210000   00     126.89 1009.9    131.87     0.01     0.35
NORILSK    211028 300  210000-210500   00     126.26 1009.9    130.88    -0.74    -9999
NORILSK    211028 300  210500-211000   00     127.43 1009.9    132.07     0.17    -9999
NORILSK    211028 300  211000-211500   00     126.20 1009.9    130.78    -0.81    -9999
NORILSK    211028 300  211500-212000   00     127.78 1009.9    132.38     0.40    -9999
NORILSK    211028 300  212000-212500   00     126.52 1009.8    131.05    -0.61    -9999
NORILSK    211028 300  212500-213000   00     127.82 1009.8    132.23     0.29    -9999
NORILSK    211028 300  213000-213500   00     127.66 1009.8    132.21     0.27    -9999
NORILSK    211028 300  213500-214000   00     128.67 1009.8    133.25     1.06    -9999
NORILSK    211028 300  214000-214500   00     127.73 1009.8    132.28     0.32    -9999
NORILSK    211028 300  214500-215000   00     127.96 1009.8    132.51     0.50    -9999
NORILSK    211028 300  215000-215500   00     127.21 1009.7    131.69    -0.13    -9999
NORILSK    211028 300  215500-220000   00     125.94 1009.7    130.31    -1.17    -9999
NORILSK    211028 300  220000-220500   00     127.79 1009.6    132.11     0.20    -9999
NORILSK    211028 300  220500-221000   00     125.91 1009.6    131.42    -0.33    -9999
NORILSK    211028 300  221000-221500   00     126.20 1009.6    130.03    -1.38    -9999
NORILSK    211028 300  221500-222000   00     127.32 1009.6    131.65    -0.15    -9999
NORILSK    211028 300  222000-222500   00     125.56 1009.6    130.22    -1.24    -9999
NORILSK    211028 300  222500-223000   00     127.48 1009.6    131.03    -0.63    -9999
NORILSK    211028 300  223000-223500   00     126.42 1009.5    130.62    -0.94    -9999
NORILSK    211028 300  223500-224000   00     127.37 1009.5    131.61    -0.18    -9999
NORILSK    211028 300  224000-224500   00     128.45 1009.5    132.72     0.66    -9999
NORILSK    211028 300  224500-225000   00     128.97 1009.5    133.24     1.05    -9999
NORILSK    211028 300  225000-225500   00     127.51 1009.4    132.28     0.32    -9999
NORILSK    211028 300  225500-230000   00     127.21 1009.2    131.55    -0.23    -9999
NORILSK    211028 300  230000-230500   00     127.86 1009.2    131.85     0.00    -9999
NORILSK    211028 300  230500-231000   00     128.23 1009.2    132.62     0.58    -9999
NORILSK    211028 300  231000-231500   00     130.89 1009.0    135.57     2.82    -9999
NORILSK    211028 300  231500-232000   00     127.90 1008.9    131.64    -0.16    -9999
NORILSK    211028 300  232000-232500   00     128.00 1008.8    130.03    -1.38    -9999
NORILSK    211028 300  232500-233000   00     127.87 1008.7    131.26    -0.45    -9999
NORILSK    211028 300  233000-233500   00     128.66 1008.6    132.08     0.17    -9999
NORILSK    211028 300  233500-234000   00     129.60 1008.5    132.69     0.64    -9999
NORILSK    211028 300  234000-234500   00     127.99 1008.5    132.14     0.22    -9999
NORILSK    211028 300  234500-235000   00     128.45 1008.3    131.63    -0.17    -9999
NORILSK    211028 300  235000-235500   00     127.50 1008.2    129.69    -1.64    -9999
NORILSK    211028 300  235500-000000   00     126.61 1008.1    129.58    -1.72    -9999
NORILSK    211029 3600 000000-010000   00     129.31 1007.6    131.77    -0.06    -9999
NORILSK    211029 3600 010000-020000   00     130.56 1006.9    132.29     0.33    -9999
NORILSK    211029 3600 020000-030000   00     131.55 1006.1    132.55     0.53    -9999
NORILSK    211029 3600 030000-040000   00     132.97 1005.4    133.29     1.09    -9999
NORILSK    211029 3600 040000-050000   00     133.81 1004.6    133.21     1.03    -9999
NORILSK    211029 3600 050000-060000   00     134.88 1003.6    133.29     1.09    -9999
NORILSK    211029 3600 060000-070000   00     134.57 1002.7    132.22     0.28    -9999
NORILSK    211029 3600 070000-080000   00     135.80 1001.7    132.61     0.57    -9999
NORILSK    211029 3600 080000-090000   00     137.39 1000.8    133.42     1.19    -9999
NORILSK    211029 3600 090000-100000   00     137.56 1000.3    133.01     0.88    -9999
NORILSK    211029 3600 100000-110000   00     137.46  999.5    131.85     0.00    -9999
NORILSK    211029 3600 110000-120000   00     137.65  999.0    131.88     0.02    -9999
NORILSK    211029 3600 120000-130000   00     137.48  998.5    131.28    -0.43    -9999
NORILSK    211029 3600 130000-140000   00     137.71  998.1    131.01    -0.64    -9999
NORILSK    211029 3600 140000-150000   00     138.38  997.5    131.16    -0.53    -9999
NORILSK    211029 3600 150000-160000   00     140.10  996.7    131.95     0.07    -9999
NORILSK    211029 3600 160000-170000   00     140.71  995.9    131.59    -0.20    -9999
NORILSK    211029 3600 170000-180000   00     141.16  995.5    131.68    -0.13    -9999
NORILSK    211029 3600 180000-190000   00     140.57  995.2    130.89    -0.73    -9999
NORILSK    211029 3600 190000-200000   00     141.17  994.7    131.17    -0.52    -9999
NORILSK    211029 3600 200000-210000   00     142.00  994.2    131.18    -0.51    -9999
NORILSK    211029 3600 210000-220000   00     141.93  993.8    130.90    -0.73    -9999
NORILSK    211029 3600 220000-230000   00     142.18  993.5    130.71    -0.86    -9999
NORILSK    211029 3600 230000-000000   00     143.03  993.1    131.11    -0.56    -9999
*
COMMENT  FILE COMPOSED BY ILYA USOSKIN OF THE UNIVERSITY OF OULU
COMMENT  DATA OBTAINED FROM NMDB (30.10.2021)
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2023-03-30 17:39:06 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE73/C073NRLK_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
