MOSCOW     LATITUDE    55.47     LONGITUDE     37.32     ALTITUDE    200 M
MOSCOW     INSTRUMENT   24NM64    NEUTRON MONITOR	
MOSCOW     STANDARD PRESSURE    1000    mb     COEFFICIENT   -0.71     % / mb
MOSCOW     PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
MOSCOW     PRE-INCREASE AVERAGE COUNTING RATE    248.26      COUNTS PER SECOND
MOSCOW     TIME INTERVALS    300         3600     
MOSCOW     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
MOSCOW     120517 300  010500-011000   00     261.34  994.5    251.19     1.20     1.20
MOSCOW     120517 300  011000-011500   00     258.01  994.5    248.00    -0.10    -0.10
MOSCOW     120517 300  011500-012000   00     258.63  994.5    248.60     0.10     0.10
MOSCOW     120517 300  012000-012500   00     260.87  994.5    250.74     1.00     1.00
MOSCOW     120517 300  012500-013000   00     255.99  994.5    246.05    -0.90    -0.90
MOSCOW     120517 300  013000-013500   00     258.89  994.5    248.84     0.20     0.20
MOSCOW     120517 300  013500-014000   00     257.47  994.5    247.48    -0.30    -0.30
MOSCOW     120517 300  014000-014500   00     258.78  994.6    248.84     0.20     0.20
MOSCOW     120517 300  014500-015000   00     262.59  994.6    252.58     1.70     1.70
MOSCOW     120517 300  015000-015500   00     257.03  994.6    247.22    -0.40    -0.40
MOSCOW     120517 300  015500-020000   00     260.05  994.6    250.13     0.80     0.80
MOSCOW     120517 300  020000-020500   00     256.57  994.6    246.78    -0.60    -0.60
MOSCOW     120517 300  020500-021000   00     261.10  994.6    251.13     1.20     1.20
MOSCOW     120517 300  021000-021500   00     259.22  994.6    249.34     0.40     0.40
MOSCOW     120517 300  021500-022000   00     261.17  994.6    251.22     1.20     1.20
MOSCOW     120517 300  022000-022500   00     259.38  994.7    249.66     0.60     0.60
MOSCOW     120517 300  022500-023000   00     258.24  994.7    248.58     0.10     0.10
MOSCOW     120517 300  023000-023500   00     262.96  994.7    253.08     1.90     1.90
MOSCOW     120517 300  023500-024000   00     262.48  994.7    252.65     1.80     1.80
MOSCOW     120517 300  024000-024500   00     261.17  994.7    251.39     1.30     1.30
MOSCOW     120517 300  024500-025000   00     260.55  994.7    250.79     1.00     1.00
MOSCOW     120517 300  025000-025500   00     262.56  994.7    252.72     1.80     1.80
MOSCOW     120517 300  025500-030000   00     258.12  994.7    248.46     0.10     0.10
MOSCOW     120517 300  030000-030500   00     259.39  994.7    249.61     0.50     0.50
MOSCOW     120517 300  030500-031000   00     261.18  994.6    251.26     1.20     1.20
MOSCOW     120517 300  031000-031500   00     256.11  994.6    246.34    -0.80    -0.80
MOSCOW     120517 300  031500-032000   00     259.86  994.6    249.95     0.70     0.70
MOSCOW     120517 300  032000-032500   00     259.55  994.6    249.65     0.60     0.60
MOSCOW     120517 300  032500-033000   00     260.11  994.6    250.18     0.80     0.80
MOSCOW     120517 300  033000-033500   00     258.72  994.6    248.85     0.20     0.20
MOSCOW     120517 300  033500-034000   00     257.42  994.6    247.61    -0.30    -0.30
MOSCOW     120517 300  034000-034500   00     259.37  994.6    249.55     0.50     0.50
MOSCOW     120517 300  034500-035000   00     259.68  994.6    249.84     0.60     0.60
MOSCOW     120517 300  035000-035500   00     258.31  994.7    248.64     0.20     0.20
MOSCOW     120517 300  035500-040000   00     256.11  994.8    246.63    -0.70    -0.70
MOSCOW     120517 300  040000-040500   00     259.55  994.8    249.97     0.70    -9999
MOSCOW     120517 300  040500-041000   00     256.07  994.8    246.66    -0.60    -9999
MOSCOW     120517 300  041000-041500   00     258.18  994.8    248.69     0.20    -9999
MOSCOW     120517 300  041500-042000   00     258.82  994.8    249.31     0.40    -9999
MOSCOW     120517 300  042000-042500   00     256.77  994.8    247.34    -0.40    -9999
