EREVAN3    LATITUDE    40.5      LONGITUDE     44.17     ALTITUDE    3200 M
EREVAN3    INSTRUMENT   18NM64    NEUTRON MONITOR     
EREVAN3    STANDARD PRESSURE    684.9   mb     COEFFICIENT   -0.73     % / mb
EREVAN3    PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
EREVAN3    PRE-INCREASE AVERAGE COUNTING RATE     52.91      COUNTS PER SECOND
EREVAN3    TIME INTERVALS    300         3600     
EREVAN3    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
EREVAN3    031028 300  120500-121000   00      53.38  684.4     53.18     0.50     0.96
EREVAN3    031028 300  121000-121500   00      53.71  684.4     53.50     1.10     1.57
EREVAN3    031028 300  121500-122000   00      53.47  684.4     53.27     0.70     1.19
EREVAN3    031028 300  122000-122500   00      53.41  684.4     53.20     0.50     1.00
EREVAN3    031028 300  122500-123000   00      53.18  684.4     52.96     0.10     0.61
EREVAN3    031028 300  123000-123500   00      53.08  684.3     52.87    -0.10     0.42
EREVAN3    031028 300  123500-124000   00      52.86  684.3     52.64    -0.50     0.04
EREVAN3    031028 300  124000-124500   00      52.93  684.3     52.71    -0.40     0.15
EREVAN3    031028 300  124500-125000   00      52.95  684.3     52.73    -0.30     0.26
EREVAN3    031028 300  125000-125500   00      52.79  684.3     52.57    -0.70    -0.13
EREVAN3    031028 300  125500-130000   00      52.85  684.3     52.62    -0.50     0.08
EREVAN3    031028 300  130000-130500   00      52.71  684.3     52.48    -0.80    -0.21
EREVAN3    031028 300  130500-131000   00      52.98  684.3     52.73    -0.30    -9999
EREVAN3    031028 300  131000-131500   00      52.94  684.2     52.69    -0.40    -9999
EREVAN3    031028 300  131500-132000   00      53.00  684.2     52.74    -0.30    -9999
EREVAN3    031028 300  132000-132500   00      52.66  684.2     52.39    -1.00    -9999
EREVAN3    031028 300  132500-133000   00      52.91  684.2     52.63    -0.50    -9999
EREVAN3    031028 300  133000-133500   00      53.01  684.1     52.72    -0.40    -9999
EREVAN3    031028 300  133500-134000   00      52.57  684.1     52.27    -1.20    -9999
EREVAN3    031028 300  134000-134500   00      52.52  684.1     52.21    -1.30    -9999
EREVAN3    031028 300  134500-135000   00      52.82  684.1     52.50    -0.80    -9999
EREVAN3    031028 300  135000-135500   00      52.82  684.0     52.49    -0.80    -9999
EREVAN3    031028 300  135500-140000   00      52.74  684.0     52.40    -1.00    -9999
EREVAN3    031028 300  140000-140500   00      52.91  684.0     52.57    -0.60    -9999
EREVAN3    031028 300  140500-141000   00      52.53  684.0     52.19    -1.40    -9999
EREVAN3    031028 300  141000-141500   00      52.81  684.0     52.48    -0.80    -9999
EREVAN3    031028 300  141500-142000   00      52.91  684.1     52.58    -0.60    -9999
EREVAN3    031028 300  142000-142500   00      52.87  684.1     52.55    -0.70    -9999
EREVAN3    031028 300  142500-143000   00      52.84  684.1     52.53    -0.70    -9999
EREVAN3    031028 300  143000-143500   00      52.88  684.1     52.57    -0.60    -9999
EREVAN3    031028 300  143500-144000   00      53.10  684.1     52.80    -0.20    -9999
EREVAN3    031028 300  144000-144500   00      52.72  684.1     52.42    -0.90    -9999
EREVAN3    031028 300  144500-145000   00      52.91  684.2     52.62    -0.60    -9999
EREVAN3    031028 300  145000-145500   00      52.78  684.2     52.50    -0.80    -9999
EREVAN3    031028 300  145500-150000   00      52.84  684.2     52.56    -0.60    -9999
EREVAN3    031028 300  150000-150500   00      52.98  684.2     52.71    -0.40    -9999
EREVAN3    031028 300  150500-151000   00      52.73  684.2     52.44    -0.90    -9999
EREVAN3    031028 300  151000-151500   00      53.08  684.1     52.79    -0.20    -9999
EREVAN3    031028 300  151500-152000   00      52.92  684.1     52.62    -0.60    -9999
EREVAN3    031028 300  152000-152500   00      52.81  684.1     52.50    -0.80    -9999
EREVAN3    031028 300  152500-153000   00      52.91  684.1     52.59    -0.60    -9999
EREVAN3    031028 300  153000-153500   00      52.90  684.0     52.57    -0.60    -9999
EREVAN3    031028 300  153500-154000   00      53.10  684.0     52.76    -0.30    -9999
EREVAN3    031028 300  154000-154500   00      52.67  684.0     52.32    -1.10    -9999
EREVAN3    031028 300  154500-155000   00      52.73  684.0     52.37    -1.00    -9999
EREVAN3    031028 300  155000-155500   00      52.80  683.9     52.43    -0.90    -9999
EREVAN3    031028 300  155500-160000   00      52.92  683.9     52.54    -0.70    -9999
EREVAN3    031028 300  160000-160500   00      52.87  683.9     52.48    -0.80    -9999
EREVAN3    031028 300  160500-161000   00      52.83  683.8     52.42    -0.90    -9999
EREVAN3    031028 300  161000-161500   00      52.90  683.8     52.47    -0.80    -9999
EREVAN3    031028 300  161500-162000   00      53.29  683.7     52.83    -0.10    -9999
EREVAN3    031028 300  162000-162500   00      53.44  683.7     52.96     0.10    -9999
EREVAN3    031028 300  162500-163000   00      53.21  683.6     52.72    -0.40    -9999
EREVAN3    031028 300  163000-163500   00      53.07  683.6     52.56    -0.60    -9999
EREVAN3    031028 300  163500-164000   00      53.06  683.5     52.53    -0.70    -9999
EREVAN3    031028 300  164000-164500   00      53.15  683.5     52.59    -0.60    -9999
EREVAN3    031028 300  164500-165000   00      53.20  683.4     52.63    -0.50    -9999
EREVAN3    031028 300  165000-165500   00      53.53  683.4     52.94     0.10    -9999
EREVAN3    031028 300  165500-170000   00      53.50  683.3     52.89     0.00    -9999
EREVAN3    031028 300  170000-170500   00      53.18  683.3     52.56    -0.60    -9999
EREVAN3    031028 300  170500-171000   00      53.28  683.3     52.66    -0.50    -9999
EREVAN3    031028 300  171000-171500   00      53.48  683.3     52.85    -0.10    -9999
EREVAN3    031028 300  171500-172000   00      53.60  683.3     52.97     0.10    -9999
EREVAN3    031028 300  172000-172500   00      53.73  683.3     53.09     0.30    -9999
EREVAN3    031028 300  172500-173000   00      53.80  683.3     53.16     0.50    -9999
EREVAN3    031028 300  173000-173500   00      53.30  683.2     52.66    -0.50    -9999
EREVAN3    031028 300  173500-174000   00      53.50  683.2     52.86    -0.10    -9999
EREVAN3    031028 300  174000-174500   00      53.47  683.2     52.82    -0.20    -9999
EREVAN3    031028 300  174500-175000   00      53.50  683.2     52.85    -0.10    -9999
EREVAN3    031028 300  175000-175500   00      53.70  683.2     53.04     0.20    -9999
EREVAN3    031028 300  175500-180000   00      53.68  683.2     53.02     0.20    -9999
EREVAN3    031028 300  180000-180500   00      53.48  683.2     52.81    -0.20    -9999
EREVAN3    031028 300  180500-181000   00      53.52  683.1     52.83    -0.20    -9999
EREVAN3    031028 300  181000-181500   00      53.64  683.1     52.93     0.00    -9999
EREVAN3    031028 300  181500-182000   00      53.66  683.0     52.92     0.00    -9999
EREVAN3    031028 300  182000-182500   00      53.37  682.9     52.61    -0.60    -9999
EREVAN3    031028 300  182500-183000   00      53.63  682.9     52.85    -0.10    -9999
EREVAN3    031028 300  183000-183500   00      53.28  682.8     52.48    -0.80    -9999
EREVAN3    031028 300  183500-184000   00      53.72  682.8     52.89     0.00    -9999
EREVAN3    031028 300  184000-184500   00      53.94  682.7     53.09     0.30    -9999
EREVAN3    031028 300  184500-185000   00      53.57  682.7     52.70    -0.40    -9999
EREVAN3    031028 300  185000-185500   00      53.58  682.6     52.69    -0.40    -9999
EREVAN3    031028 300  185500-190000   00      53.82  682.5     52.90     0.00    -9999
EREVAN3    031028 300  190000-190500   00      53.83  682.5     52.89     0.00    -9999
EREVAN3    031028 300  190500-191000   00      53.48  682.4     52.53    -0.70    -9999
EREVAN3    031028 300  191000-191500   00      53.58  682.4     52.61    -0.60    -9999
EREVAN3    031028 300  191500-192000   00      53.87  682.4     52.88    -0.10    -9999
EREVAN3    031028 300  192000-192500   00      53.76  682.3     52.76    -0.30    -9999
EREVAN3    031028 300  192500-193000   00      53.55  682.3     52.53    -0.70    -9999
