EREVAN3    LATITUDE    40.5      LONGITUDE     44.17     ALTITUDE    3200 M
EREVAN3    INSTRUMENT   18NM64    NEUTRON MONITOR     
EREVAN3    STANDARD PRESSURE    684.9   mb     COEFFICIENT   -0.73     % / mb
EREVAN3    PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
EREVAN3    PRE-INCREASE AVERAGE COUNTING RATE     52.91      COUNTS PER SECOND
EREVAN3    TIME INTERVALS    300         3600     
EREVAN3    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
EREVAN3    031029 300  075000-075500   00      52.01  686.0     52.43    -0.90    -9999
EREVAN3    031029 300  075500-080000   00      52.36  686.0     52.78    -0.20    -9999
EREVAN3    031029 300  080000-080500   00      51.93  686.0     52.35    -1.10    -9999
EREVAN3    031029 300  080500-081000   00      52.21  686.0     52.63    -0.50    -9999
EREVAN3    031029 300  081000-081500   00      52.34  686.0     52.75    -0.30    -9999
EREVAN3    031029 300  081500-082000   00      51.94  686.0     52.35    -1.00    -9999
EREVAN3    031029 300  082000-082500   00      51.61  686.0     52.01    -1.70    -9999
EREVAN3    031029 300  082500-083000   00      51.87  686.0     52.27    -1.20    -9999
EREVAN3    031029 300  083000-083500   00      51.85  685.9     52.25    -1.30    -9999
EREVAN3    031029 300  083500-084000   00      51.61  685.9     52.00    -1.70    -9999
EREVAN3    031029 300  084000-084500   00      52.44  685.9     52.84    -0.20    -9999
EREVAN3    031029 300  084500-085000   00      52.67  685.9     53.06     0.30    -9999
EREVAN3    031029 300  085000-085500   00      52.40  685.9     52.79    -0.20    -9999
EREVAN3    031029 300  085500-090000   00      51.91  685.9     52.29    -1.20    -9999
EREVAN3    031029 300  090000-090500   00      51.47  685.9     51.84    -2.00    -9999
EREVAN3    031029 300  090500-091000   00      51.10  685.9     51.47    -2.70    -9999
EREVAN3    031029 300  091000-091500   00      51.40  685.9     51.77    -2.20    -9999
EREVAN3    031029 300  091500-092000   00      50.91  685.9     51.27    -3.10    -9999
EREVAN3    031029 300  092000-092500   00      51.17  685.9     51.53    -2.60    -9999
EREVAN3    031029 300  092500-093000   00      50.93  685.9     51.29    -3.10    -9999
EREVAN3    031029 300  093000-093500   00      51.17  685.8     51.53    -2.60    -9999
EREVAN3    031029 300  093500-094000   00      50.75  685.8     51.10    -3.40    -9999
EREVAN3    031029 300  094000-094500   00      50.88  685.8     51.23    -3.20    -9999
EREVAN3    031029 300  094500-095000   00      50.58  685.8     50.92    -3.70    -9999
EREVAN3    031029 300  095000-095500   00      50.55  685.8     50.89    -3.80    -9999
EREVAN3    031029 300  095500-100000   00      50.61  685.8     50.95    -3.70    -9999
EREVAN3    031029 300  100000-100500   00      50.33  685.8     50.65    -4.30    -9999
EREVAN3    031029 300  100500-101000   00      50.49  685.7     50.80    -4.00    -9999
EREVAN3    031029 300  101000-101500   00      50.84  685.7     51.13    -3.30    -9999
EREVAN3    031029 300  101500-102000   00      50.75  685.7     51.03    -3.60    -9999
EREVAN3    031029 300  102000-102500   00      50.86  685.6     51.12    -3.40    -9999
EREVAN3    031029 300  102500-103000   00      50.89  685.6     51.14    -3.40    -9999
EREVAN3    031029 300  103000-103500   00      50.53  685.5     50.76    -4.10    -9999
EREVAN3    031029 300  103500-104000   00      50.48  685.5     50.70    -4.20    -9999
EREVAN3    031029 300  104000-104500   00      49.86  685.5     50.06    -5.40    -9999
EREVAN3    031029 300  104500-105000   00      50.00  685.4     50.19    -5.20    -9999
EREVAN3    031029 300  105000-105500   00      49.42  685.4     49.59    -6.30    -9999
EREVAN3    031029 300  105500-110000   00      49.13  685.3     49.29    -6.80    -9999
EREVAN3    031029 300  110000-110500   00      49.39  685.3     49.53    -6.40    -9999
EREVAN3    031029 300  110500-111000   00      48.72  685.3     48.86    -7.70    -9999
EREVAN3    031029 300  111000-111500   00      49.07  685.3     49.22    -7.00    -9999
EREVAN3    031029 300  111500-112000   00      48.74  685.3     48.88    -7.60    -9999
EREVAN3    031029 300  112000-112500   00      48.62  685.3     48.76    -7.80    -9999
EREVAN3    031029 300  112500-113000   00      48.82  685.3     48.97    -7.50    -9999
EREVAN3    031029 300  113000-113500   00      49.08  685.3     49.23    -7.00    -9999
EREVAN3    031029 300  113500-114000   00      49.03  685.3     49.17    -7.10    -9999
EREVAN3    031029 300  114000-114500   00      48.79  685.3     48.93    -7.50    -9999
EREVAN3    031029 300  114500-115000   00      48.29  685.3     48.43    -8.50    -9999
EREVAN3    031029 300  115000-115500   00      48.50  685.3     48.64    -8.10    -9999
EREVAN3    031029 300  115500-120000   00      48.32  685.3     48.46    -8.40    -9999
EREVAN3    031029 3600 120000-130000   00      47.14  685.7     47.42   -10.40    -9999
EREVAN3    031029 3600 130000-140000   00      44.32  686.1     44.71   -15.50    -9999
EREVAN3    031029 3600 140000-150000   00      42.86  686.0     43.21   -18.30    -9999
EREVAN3    031029 3600 150000-160000   00      43.42  685.9     43.74   -17.30    -9999
EREVAN3    031029 3600 160000-170000   00      43.51  685.9     43.83   -17.20    -9999
EREVAN3    031029 3600 170000-180000   00      42.10  685.6     42.32   -20.00    -9999
EREVAN3    031029 3600 180000-190000   00      44.03  685.4     44.19   -16.50    -9999
EREVAN3    031029 3600 190000-200000   00      44.93  685.3     45.06   -14.80    -9999
EREVAN3    031029 3600 200000-210000   00      45.18  684.8     45.15   -14.70    -9999
EREVAN3    031029 3600 210000-220000   00      44.43  684.4     44.27   -16.30    -9999
EREVAN3    031029 3600 220000-230000   00      44.62  685.1     44.68   -15.60    -9999
EREVAN3    031029 3600 230000-240000   00      45.13  686.0     45.49   -14.00    -9999
*
"Comment: The Clock of Regisrator is fast on+sec (slow on-sec) is supporting by GPS or InternetClockServer;"	
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2023-04-03 12:51:18 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE65/C065ERV3_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
