BARENSBURG LATITUDE    78.12     LONGITUDE     14.42     ALTITUDE    0 M
BARENSBURG INSTRUMENT   6NM64    NEUTRON MONITOR     	
BARENSBURG STANDARD PRESSURE    1000    mB     COEFFICIENT   -0.74     % / mB
BARENSBURG PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
BARENSBURG PRE-INCREASE AVERAGE COUNTING RATE    144.71      COUNTS PER SECOND
BARENSBURG TIME INTERVALS    300         3600     
BARENSBURG SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mB)      C/S
BARENSBURG 061213 300  033500-034000   00     270.50  963.1    186.94    29.20    28.90
BARENSBURG 061213 300  034000-034500   00     263.99  963.1    182.55    26.10    25.78
BARENSBURG 061213 300  034500-035000   00     262.72  963.1    181.70    25.60    25.27
BARENSBURG 061213 300  035000-035500   00     261.55  963.2    181.01    25.10    24.76
BARENSBURG 061213 300  035500-040000   00     256.22  963.2    177.40    22.60    22.25
BARENSBURG 061213 300  040000-040500   00     252.30  963.3    174.73    20.70    20.34
BARENSBURG 061213 300  040500-041000   00     251.04  963.3    173.89    20.20    19.83
BARENSBURG 061213 300  041000-041500   00     251.53  963.3    174.21    20.40    20.01
BARENSBURG 061213 300  041500-042000   00     247.15  963.3    171.15    18.30    17.90
BARENSBURG 061213 300  042000-042500   00     247.82  963.3    171.63    18.60    18.19
BARENSBURG 061213 300  042500-043000   00     248.13  963.3    171.88    18.80    18.38
BARENSBURG 061213 300  043000-043500   00     244.26  963.3    169.24    17.00    16.57
BARENSBURG 061213 300  043500-044000   00     242.92  963.3    168.27    16.30    15.86
BARENSBURG 061213 300  044000-044500   00     239.50  963.2    165.80    14.60    14.15
BARENSBURG 061213 300  044500-045000   00     240.81  963.3    166.76    15.20    14.74
BARENSBURG 061213 300  045000-045500   00     236.84  963.3    164.15    13.40    12.93
BARENSBURG 061213 300  045500-050000   00     232.74  963.4    161.33    11.50    11.02
BARENSBURG 061213 300  050000-050500   00     231.01  963.4    160.13    10.70    10.21
BARENSBURG 061213 300  050500-051000   00     232.18  963.4    160.96    11.20    10.70
BARENSBURG 061213 300  051000-051500   00     229.63  963.4    159.17    10.00     9.49
BARENSBURG 061213 300  051500-052000   00     231.26  963.3    160.28    10.80    10.27
BARENSBURG 061213 300  052000-052500   00     228.50  963.4    158.53     9.60     9.06
BARENSBURG 061213 300  052500-053000   00     227.06  963.5    157.65     8.90     8.35
BARENSBURG 061213 300  053000-053500   00     230.31  963.6    160.00    10.60    10.04
BARENSBURG 061213 300  053500-054000   00     224.67  963.6    156.13     7.90     7.33
BARENSBURG 061213 300  054000-054500   00     224.61  963.7    156.19     7.90     7.32
BARENSBURG 061213 300  054500-055000   00     223.10  963.7    155.22     7.30     6.71
BARENSBURG 061213 300  055000-055500   00     223.11  963.7    155.19     7.20     6.60
BARENSBURG 061213 300  055500-060000   00     222.24  963.7    154.52     6.80     6.19
BARENSBURG 061213 300  060000-060500   00     220.55  963.7    153.42     6.00     5.38
BARENSBURG 061213 300  060500-061000   00     222.37  963.8    154.80     7.00     6.37
BARENSBURG 061213 300  061000-061500   00     222.05  963.8    154.65     6.90     6.26
BARENSBURG 061213 300  061500-062000   00     221.05  963.9    154.01     6.40     5.76
BARENSBURG 061213 300  062000-062500   00     220.47  963.9    153.63     6.20     5.55
BARENSBURG 061213 300  062500-063000   00     218.35  963.9    152.15     5.10     4.44
BARENSBURG 061213 300  063000-063500   00     220.86  963.9    153.99     6.40     5.73
BARENSBURG 061213 300  063500-064000   00     218.13  964.0    152.19     5.20     4.52
BARENSBURG 061213 300  064000-064500   00     218.18  964.0    152.29     5.20     4.51
BARENSBURG 061213 300  064500-065000   00     217.57  964.1    151.89     5.00     4.30
BARENSBURG 061213 300  065000-065500   00     216.50  964.0    151.10     4.40     3.69
BARENSBURG 061213 300  065500-070000   00     216.81  964.0    151.34     4.60     3.88
BARENSBURG 061213 300  070000-070500   00     216.43  964.1    151.12     4.40     3.67
BARENSBURG 061213 300  070500-071000   00     215.80  964.1    150.74     4.20     3.46
BARENSBURG 061213 300  071000-071500   00     216.69  964.1    151.38     4.60     3.85
BARENSBURG 061213 300  071500-072000   00     215.60  964.2    150.68     4.10     3.35
BARENSBURG 061213 300  072000-072500   00     214.72  964.2    150.13     3.70     2.94
BARENSBURG 061213 300  072500-073000   00     214.94  964.2    150.29     3.90     3.13
BARENSBURG 061213 300  073000-073500   00     213.68  964.3    149.52     3.30     2.52
BARENSBURG 061213 300  073500-074000   00     212.83  964.3    148.91     2.90     2.11
