JUNGFRAU2  LATITUDE    46.55     LONGITUDE     7.98      ALTITUDE    3475 M
JUNGFRAU2  INSTRUMENT   3-NM-64  NEUTRON MONITOR	
JUNGFRAU2  STANDARD PRESSURE    482     MMHG   COEFFICIENT   -0.96     % / MMHG
JUNGFRAU2  PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
JUNGFRAU2  PRE-INCREASE AVERAGE COUNTING RATE    351.54      COUNTS PER SECOND
JUNGFRAU2  TIME INTERVALS    300         3600     
JUNGFRAU2  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
JUNGFRAU2  061212 3600 000000-010000   20     293.21  499.6    347.33    -1.20    -9999
JUNGFRAU2  061212 3600 010000-020000   20     294.00  499.7    348.58    -0.80    -9999
JUNGFRAU2  061212 3600 020000-030000   20     293.96  499.7    348.46    -0.90    -9999
JUNGFRAU2  061212 3600 030000-040000   20     295.24  499.6    349.41    -0.60    -9999
JUNGFRAU2  061212 3600 040000-050000   20     294.93  499.4    348.46    -0.90    -9999
JUNGFRAU2  061212 3600 050000-060000   20     296.67  499.3    350.22    -0.40    -9999
JUNGFRAU2  061212 3600 060000-070000   20     297.14  499.3    350.87    -0.20    -9999
JUNGFRAU2  061212 3600 070000-080000   20     296.21  499.5    350.41    -0.30    -9999
JUNGFRAU2  061212 3600 080000-090000   20     295.59  499.8    350.64    -0.30    -9999
JUNGFRAU2  061212 3600 090000-100000   20     296.58  499.9    352.16     0.20    -9999
JUNGFRAU2  061212 3600 100000-110000   20     296.16  499.8    351.32    -0.10    -9999
JUNGFRAU2  061212 3600 110000-120000   20     297.51  499.6    352.38     0.20    -9999
JUNGFRAU2  061212 3600 120000-130000   20     298.44  499.4    352.88     0.40    -9999
JUNGFRAU2  061212 3600 130000-140000   20     299.58  499.4    354.23     0.80    -9999
JUNGFRAU2  061212 3600 140000-150000   20     298.49  499.5    353.03     0.40    -9999
JUNGFRAU2  061212 3600 150000-160000   20     298.29  499.5    352.88     0.40    -9999
JUNGFRAU2  061212 3600 160000-170000   20     297.53  499.8    352.83     0.40    -9999
JUNGFRAU2  061212 3600 170000-180000   20     295.05  500.0    350.68    -0.20    -9999
JUNGFRAU2  061212 3600 180000-190000   20     294.19  500.3    350.82    -0.20    -9999
JUNGFRAU2  061212 3600 190000-200000   20     295.15  500.6    353.01     0.40    -9999
JUNGFRAU2  061212 3600 200000-210000   20     293.75  500.7    351.65     0.00    -9999
JUNGFRAU2  061212 3600 210000-220000   20     293.49  501.0    352.22     0.20    -9999
JUNGFRAU2  061212 3600 220000-230000   20     292.55  501.1    351.31    -0.10    -9999
JUNGFRAU2  061212 3600 230000-240000   20     292.67  501.2    351.73     0.10    -9999
JUNGFRAU2  061213 300  000000-000500   00     294.55  501.0    353.63     0.60    -9999
JUNGFRAU2  061213 300  000500-001000   00     294.08  501.0    352.92     0.40    -9999
JUNGFRAU2  061213 300  001000-001500   00     291.82  501.1    350.41    -0.32    -9999
JUNGFRAU2  061213 300  001500-002000   00     292.50  501.0    351.16    -0.12    -9999
JUNGFRAU2  061213 300  002000-002500   00     296.45  501.0    355.84     1.24    -9999
JUNGFRAU2  061213 300  002500-003000   00     292.62  501.0    351.18    -0.10    -9999
JUNGFRAU2  061213 300  003000-003500   00     293.97  501.0    352.80     0.36    -9999
JUNGFRAU2  061213 300  003500-004000   00     291.79  501.0    350.18    -0.38    -9999
JUNGFRAU2  061213 300  004000-004500   00     294.19  501.0    353.12     0.44    -9999
JUNGFRAU2  061213 300  004500-005000   00     292.59  501.1    351.34    -0.04    -9999
JUNGFRAU2  061213 300  005000-005500   00     292.82  501.1    351.68     0.04    -9999
JUNGFRAU2  061213 300  005500-010000   00     295.71  501.0    355.01     1.00    -9999
JUNGFRAU2  061213 300  010000-010500   00     291.43  501.1    350.01    -0.44    -9999
JUNGFRAU2  061213 300  010500-011000   00     293.27  501.1    352.36     0.22    -9999
JUNGFRAU2  061213 300  011000-011500   00     293.02  501.1    352.13     0.16    -9999
JUNGFRAU2  061213 300  011500-012000   00     294.20  501.2    353.75     0.62    -9999
JUNGFRAU2  061213 300  012000-012500   00     289.29  501.2    347.91    -1.04    -9999
JUNGFRAU2  061213 300  012500-013000   00     290.37  501.2    349.27    -0.64    -9999
JUNGFRAU2  061213 300  013000-013500   00     294.32  501.3    354.23     0.76    -9999
JUNGFRAU2  061213 300  013500-014000   00     293.55  501.3    353.23     0.48    -9999
JUNGFRAU2  061213 300  014000-014500   00     292.98  501.3    352.49     0.28    -9999
JUNGFRAU2  061213 300  014500-015000   00     292.27  501.3    351.77     0.08    -9999
JUNGFRAU2  061213 300  015000-015500   00     290.50  501.3    349.63    -0.54    -9999
JUNGFRAU2  061213 300  015500-020000   00     292.25  501.3    351.67     0.04    -9999
JUNGFRAU2  061213 300  020000-020500   00     292.91  501.3    352.54     0.28     0.28
JUNGFRAU2  061213 300  020500-021000   00     291.65  501.3    351.02    -0.14    -0.14
JUNGFRAU2  061213 300  021000-021500   00     293.04  501.3    352.70     0.32     0.32
JUNGFRAU2  061213 300  021500-022000   00     290.13  501.3    349.18    -0.68    -0.68
JUNGFRAU2  061213 300  022000-022500   00     292.18  501.3    351.65     0.02     0.02
JUNGFRAU2  061213 300  022500-023000   00     289.88  501.3    348.89    -0.76    -0.76
JUNGFRAU2  061213 300  023000-023500   00     291.59  501.3    350.81    -0.24    -0.24
JUNGFRAU2  061213 300  023500-024000   00     292.21  501.3    351.55     0.00     0.00
JUNGFRAU2  061213 300  024000-024500   00     293.76  501.3    353.56     0.58     0.58
JUNGFRAU2  061213 300  024500-025000   00     291.27  501.3    350.63    -0.26    -0.26
JUNGFRAU2  061213 300  025000-025500   00     299.98  501.3    361.04     2.70     2.70
JUNGFRAU2  061213 300  025500-030000   00     316.88  501.3    381.45     8.48     8.48
JUNGFRAU2  061213 300  030000-030500   00     309.55  501.4    372.78     6.02     6.02
JUNGFRAU2  061213 300  030500-031000   00     298.71  501.5    360.07     2.44     2.44
JUNGFRAU2  061213 300  031000-031500   00     294.47  501.4    354.88     0.96     0.96
JUNGFRAU2  061213 300  031500-032000   00     293.00  501.5    353.18     0.46     0.46
JUNGFRAU2  061213 300  032000-032500   00     292.08  501.6    352.41     0.24     0.24
JUNGFRAU2  061213 300  032500-033000   00     292.37  501.5    352.62     0.32     0.32
JUNGFRAU2  061213 300  033000-033500   00     293.68  501.6    354.40     0.80     0.80
JUNGFRAU2  061213 300  033500-034000   00     293.19  501.5    353.69     0.64     0.64
JUNGFRAU2  061213 300  034000-034500   00     292.02  501.5    352.14     0.16     0.16
JUNGFRAU2  061213 300  034500-035000   00     293.52  501.5    354.02     0.70     0.70
JUNGFRAU2  061213 300  035000-035500   00     289.20  501.5    348.73    -0.78    -0.78
JUNGFRAU2  061213 300  035500-040000   00     293.86  501.6    354.56     0.88     0.88
JUNGFRAU2  061213 300  040000-040500   00     294.76  501.6    355.72     1.18    -9999
JUNGFRAU2  061213 300  040500-041000   00     291.65  501.6    352.03     0.14    -9999
