YAKUTSK    LATITUDE    62.02     LONGITUDE     129.72    ALTITUDE    105 M
YAKUTSK    INSTRUMENT   18NM64    NEUTRON MONITOR     	
YAKUTSK    STANDARD PRESSURE    1000    mb     COEFFICIENT   -0.72     % / mb
YAKUTSK    PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
YAKUTSK    PRE-INCREASE AVERAGE COUNTING RATE    217.41      COUNTS PER SECOND
YAKUTSK    TIME INTERVALS    300         3600     
YAKUTSK    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
YAKUTSK    120516 3600 000000-010000   00     271.19  973.2    218.57     0.50    -9999
YAKUTSK    120516 3600 010000-020000   00     269.99  973.6    218.18     0.40    -9999
YAKUTSK    120516 3600 020000-030000   00     268.04  974.5    217.99     0.30    -9999
YAKUTSK    120516 3600 030000-040000   00     266.62  975.8    219.02     0.70    -9999
YAKUTSK    120516 3600 040000-050000   00     264.73  976.2    218.04     0.30    -9999
YAKUTSK    120516 3600 050000-060000   00     261.98  977.0    217.04    -0.20    -9999
YAKUTSK    120516 3600 060000-070000   00     259.30  978.3    216.78    -0.30    -9999
YAKUTSK    120516 3600 070000-080000   00     255.97  980.0    216.63    -0.40    -9999
YAKUTSK    120516 3600 080000-090000   00     253.88  981.2    216.75    -0.30    -9999
YAKUTSK    120516 3600 090000-100000   00     252.10  981.8    216.21    -0.60    -9999
YAKUTSK    120516 3600 100000-110000   00     249.99  982.3    215.20    -1.00    -9999
YAKUTSK    120516 3600 110000-120000   00     250.31  982.5    215.78    -0.70    -9999
YAKUTSK    120516 3600 120000-130000   00     249.31  983.1    215.85    -0.70    -9999
YAKUTSK    120516 3600 130000-140000   00     248.24  983.9    216.17    -0.60    -9999
YAKUTSK    120516 3600 140000-150000   00     248.36  984.5    217.22    -0.10    -9999
YAKUTSK    120516 3600 150000-160000   00     247.57  985.1    217.43     0.00    -9999
YAKUTSK    120516 3600 160000-170000   00     247.00  985.5    217.64     0.10    -9999
YAKUTSK    120516 3600 170000-180000   00     245.66  986.1    217.30    -0.10    -9999
YAKUTSK    120516 3600 180000-190000   00     245.36  986.3    217.36     0.00    -9999
YAKUTSK    120516 3600 190000-200000   00     245.11  986.4    217.40     0.00    -9999
YAKUTSK    120516 3600 200000-210000   00     244.99  986.9    217.99     0.30    -9999
YAKUTSK    120516 300  210000-210500   00     243.23  987.2    216.91    -0.20    -9999
YAKUTSK    120516 300  210500-211000   00     244.11  987.3    217.79     0.20    -9999
YAKUTSK    120516 300  211000-211500   00     242.16  987.3    216.11    -0.60    -9999
YAKUTSK    120516 300  211500-212000   00     245.09  987.3    218.75     0.60    -9999
YAKUTSK    120516 300  212000-212500   00     245.87  987.4    219.57     1.00    -9999
YAKUTSK    120516 300  212500-213000   00     245.15  987.4    218.96     0.70    -9999
YAKUTSK    120516 300  213000-213500   00     244.93  987.5    218.88     0.70    -9999
YAKUTSK    120516 300  213500-214000   00     244.40  987.5    218.43     0.50    -9999
YAKUTSK    120516 300  214000-214500   00     245.01  987.5    219.07     0.80    -9999
YAKUTSK    120516 300  214500-215000   00     244.40  987.5    218.48     0.50    -9999
YAKUTSK    120516 300  215000-215500   00     243.04  987.6    217.39     0.00    -9999
YAKUTSK    120516 300  215500-220000   00     242.51  987.6    216.91    -0.20    -9999
YAKUTSK    120516 300  220000-220500   00     242.32  987.7    216.83    -0.30    -9999
YAKUTSK    120516 300  220500-221000   00     243.20  987.7    217.68     0.10    -9999
YAKUTSK    120516 300  221000-221500   00     244.16  987.7    218.53     0.50    -9999
YAKUTSK    120516 300  221500-222000   00     243.17  987.8    217.71     0.10    -9999
YAKUTSK    120516 300  222000-222500   00     245.52  987.8    219.87     1.10    -9999
YAKUTSK    120516 300  222500-223000   00     241.87  987.8    216.64    -0.40    -9999
YAKUTSK    120516 300  223000-223500   00     241.33  987.8    216.24    -0.50    -9999
YAKUTSK    120516 300  223500-224000   00     241.81  987.8    216.64    -0.40    -9999
YAKUTSK    120516 300  224000-224500   00     241.57  987.9    216.48    -0.40    -9999
YAKUTSK    120516 300  224500-225000   00     242.11  987.8    216.93    -0.20    -9999
YAKUTSK    120516 300  225000-225500   00     242.93  987.9    217.68     0.10    -9999
YAKUTSK    120516 300  225500-230000   00     242.35  987.9    217.23    -0.10    -9999
YAKUTSK    120516 300  230000-230500   00     243.04  987.9    217.87     0.20    -9999
YAKUTSK    120516 300  230500-231000   00     243.52  987.9    218.29     0.40    -9999
YAKUTSK    120516 300  231000-231500   00     243.52  987.9    218.29     0.40    -9999
YAKUTSK    120516 300  231500-232000   00     242.21  987.9    217.15    -0.10    -9999
YAKUTSK    120516 300  232000-232500   00     238.37  987.9    213.73    -1.70    -9999
YAKUTSK    120516 300  232500-233000   00     243.09  988.0    217.97     0.30    -9999
