ALMA-ATA-B LATITUDE    43.14     LONGITUDE     76.6      ALTITUDE    3340 M
ALMA-ATA-B INSTRUMENT   18-NM-64  NEUTRON MONITOR
ALMA-ATA-B STANDARD PRESSURE    679.3   MB     COEFFICIENT   -0.72     % / MB
ALMA-ATA-B PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
ALMA-ATA-B PRE-INCREASE AVERAGE COUNTING RATE  1,138.36      COUNTS PER SECOND
ALMA-ATA-B TIME INTERVALS    60          3600     
ALMA-ATA-B SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
ALMA-ATA-B 000714 60   082800-082900   00    1148.53  678.8   1144.27     0.50    -9999
ALMA-ATA-B 000714 60   082900-083000   00    1152.53  678.8   1148.29     0.90    -9999
ALMA-ATA-B 000714 60   083000-083100   00    1131.07  678.8   1126.94    -1.00    -9999
ALMA-ATA-B 000714 60   083100-083200   00    1129.20  678.8   1125.12    -1.20    -9999
ALMA-ATA-B 000714 60   083200-083300   00    1134.93  678.8   1130.88    -0.70    -9999
ALMA-ATA-B 000714 60   083300-083400   00    1145.20  678.8   1141.15     0.20    -9999
ALMA-ATA-B 000714 60   083400-083500   00    1134.00  678.8   1130.03    -0.70    -9999
ALMA-ATA-B 000714 60   083500-083600   00    1156.13  678.8   1152.13     1.20    -9999
ALMA-ATA-B 000714 60   083600-083700   00    1130.13  678.8   1126.26    -1.10    -9999
ALMA-ATA-B 000714 60   083700-083800   00    1114.40  678.8   1110.63    -2.40    -9999
ALMA-ATA-B 000714 60   083800-083900   00    1149.60  678.8   1145.76     0.70    -9999
ALMA-ATA-B 000714 60   083900-084000   00    1163.07  678.8   1159.23     1.80    -9999
ALMA-ATA-B 000714 60   084000-084100   00    1147.87  678.8   1144.12     0.50    -9999
ALMA-ATA-B 000714 60   084100-084200   00    1118.67  678.9   1115.07    -2.00    -9999
ALMA-ATA-B 000714 60   084200-084300   00    1131.47  678.9   1127.88    -0.90    -9999
ALMA-ATA-B 000714 60   084300-084400   00    1123.87  678.9   1120.35    -1.60    -9999
ALMA-ATA-B 000714 60   084400-084500   00    1146.13  678.9   1142.60     0.40    -9999
ALMA-ATA-B 000714 60   084500-084600   00    1136.93  678.9   1133.48    -0.40    -9999
ALMA-ATA-B 000714 60   084600-084700   00    1141.07  678.9   1137.66    -0.10    -9999
ALMA-ATA-B 000714 60   084700-084800   00    1142.40  678.9   1139.04     0.10    -9999
ALMA-ATA-B 000714 60   084800-084900   00    1147.20  678.9   1143.88     0.50    -9999
ALMA-ATA-B 000714 60   084900-085000   00    1140.40  678.9   1137.16    -0.10    -9999
ALMA-ATA-B 000714 60   085000-085100   00    1150.13  678.9   1146.92     0.80    -9999
ALMA-ATA-B 000714 60   085100-085200   00    1134.80  678.9   1131.69    -0.60    -9999
ALMA-ATA-B 000714 60   085200-085300   00    1133.73  678.9   1130.68    -0.70    -9999
ALMA-ATA-B 000714 60   085300-085400   00    1124.27  678.9   1121.30    -1.50    -9999
