THULE      LATITUDE    76.58     LONGITUDE     291.58    ALTITUDE    260 M
THULE      INSTRUMENT   IGY     NEUTRON MONITOR                           
THULE      STANDARD PRESSURE    754     MMHG   COEFFICIENT   -0.99     % / MMHG
THULE      PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
THULE      PRE-INCREASE AVERAGE COUNTING RATE    104.19      COUNTS PER SECOND
THULE      TIME INTERVALS    300         3600     
THULE      SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
THULE      000714 300  114000-114500   00     137.28  749.7    131.50    26.20    26.19
THULE      000714 300  114500-115000   00     140.28  749.7    134.38    28.90    28.89
THULE      000714 300  115000-115500   00     136.85  749.7    131.09    25.80    25.79
THULE      000714 300  115500-120000   00     132.99  749.7    127.39    22.30    22.29
THULE      000714 300  120000-120500   00     134.28  749.7    128.62    23.40    23.39
THULE      000714 300  120500-121000   00     130.85  749.7    125.33    20.30    20.30
THULE      000714 300  121000-121500   00     132.56  749.7    126.98    21.90    21.90
THULE      000714 300  121500-122000   00     129.56  749.7    124.10    19.10    19.10
THULE      000714 300  122000-122500   00     131.28  749.7    125.74    20.70    20.70
THULE      000714 300  122500-123000   00     130.85  749.7    125.33    20.30    20.30
THULE      000714 300  123000-123500   00     126.56  749.7    121.22    16.30    16.31
THULE      000714 300  123500-124000   00     126.99  749.7    121.63    16.70    16.71
THULE      000714 300  124000-124500   00     126.56  749.7    121.22    16.40    16.41
THULE      000714 300  124500-125000   00     122.70  749.7    117.52    12.80    12.81
THULE      000714 300  125000-125500   00     124.84  749.8    119.65    14.80    14.81
THULE      000714 300  125500-130000   00     125.27  749.8    120.11    15.30    15.31
THULE      000714 300  130000-130500   00     121.84  749.8    116.82    12.10    12.11
THULE      000714 300  130500-131000   00     123.12  749.8    118.05    13.30    13.32
THULE      000714 300  131000-131500   00     122.27  749.8    117.23    12.50    12.52
THULE      000714 300  131500-132000   00     123.56  749.8    118.46    13.70    13.72
THULE      000714 300  132000-132500   00     122.27  749.8    117.23    12.50    12.52
THULE      000714 300  132500-133000   00     120.12  749.8    115.17    10.50    10.52
THULE      000714 300  133000-133500   00     120.55  749.8    115.58    10.90    10.92
THULE      000714 300  133500-134000   00     120.12  749.8    115.17    10.50    10.52
THULE      000714 300  134000-134500   00     120.12  749.8    115.17    10.50    10.53
THULE      000714 300  134500-135000   00     119.69  749.8    114.76    10.10    10.13
THULE      000714 300  135000-135500   00     117.55  749.8    112.71     8.20     8.23
THULE      000714 300  135500-140000   00     120.12  749.8    115.17    10.50    10.53
THULE      000714 300  140000-140500   00     117.55  749.8    112.71     8.20     8.23
THULE      000714 300  140500-141000   00     116.26  749.8    111.47     7.00     7.03
THULE      000714 300  141000-141500   00     117.98  749.8    113.12     8.60     8.63
THULE      000714 300  141500-142000   00     116.69  749.8    111.88     7.40     7.43
THULE      000714 300  142000-142500   00     115.40  749.8    110.65     6.20     6.23
THULE      000714 300  142500-143000   00     116.26  749.8    111.47     7.00     7.03
THULE      000714 300  143000-143500   00     115.40  749.8    110.65     6.20     6.23
THULE      000714 300  143500-144000   00     116.26  749.8    111.47     7.00     7.04
THULE      000714 300  144000-144500   00     115.83  749.8    111.06     6.60     6.64
THULE      000714 300  144500-145000   00     114.98  749.8    110.24     5.80     5.84
THULE      000714 300  145000-145500   00     115.41  749.8    110.65     6.20     6.24
THULE      000714 300  145500-150000   00     116.69  749.8    111.88     7.40     7.44
THULE      000714 300  150000-150500   00     114.97  749.8    110.24     5.80     5.84
THULE      000714 300  150500-151000   00     115.83  749.8    111.06     6.60     6.64
THULE      000714 300  151000-151500   00     114.55  749.8    109.83     5.40     5.44
THULE      000714 300  151500-152000   00     115.40  749.7    110.61     6.10     6.14
THULE      000714 300  152000-152500   00     114.97  749.8    110.24     5.80     5.84
THULE      000714 300  152500-153000   00     114.55  749.8    109.82     5.40     5.44
THULE      000714 300  153000-153500   00     114.55  749.8    109.82     5.40     5.44
THULE      000714 300  153500-154000   00     113.69  749.8    109.00     4.60     4.64
THULE      000714 300  154000-154500   00     111.97  749.8    107.36     3.00     3.04
THULE      000714 300  154500-155000   00     111.97  749.7    107.31     3.00     3.04
THULE      000714 300  155000-155500   00     114.98  749.7    110.13     5.70     5.74
THULE      000714 300  155500-160000   00     114.54  749.7    109.72     5.30     5.34
THULE      000714 300  160000-160500   00     111.54  749.7    106.87     2.60     2.64
THULE      000714 300  160500-161000   00     112.83  749.8    108.18     3.80     3.84
THULE      000714 300  161000-161500   00     112.40  749.8    107.77     3.40     3.44
THULE      000714 300  161500-162000   00     112.83  749.8    108.18     3.80     3.84
THULE      000714 300  162000-162500   00     115.83  749.8    111.06     6.60     6.64
THULE      000714 300  162500-163000   00     112.83  749.9    108.27     3.90     3.94
THULE      000714 300  163000-163500   00     112.40  749.9    107.88     3.50     3.54
THULE      000714 300  163500-164000   00     112.83  749.9    108.29     3.90     3.94
THULE      000714 300  164000-164500   00     111.97  749.9    107.46     3.10     3.14
THULE      000714 300  164500-165000   00     112.83  749.9    108.29     3.90     3.94
THULE      000714 300  165000-165500   00     111.11  749.9    106.66     2.40     2.44
THULE      000714 300  165500-170000   00     113.26  750.0    108.81     4.40     4.44
THULE      000714 300  170000-170500   00     111.11  750.0    106.75     2.40     2.44
THULE      000714 300  170500-171000   00     112.83  750.0    108.40     4.00     4.04
THULE      000714 300  171000-171500   00     113.26  750.0    108.81     4.40     4.44
THULE      000714 300  171500-172000   00     112.40  750.0    107.99     3.60     3.64
THULE      000714 300  172000-172500   00     113.26  750.0    108.91     4.50     4.54
THULE      000714 300  172500-173000   00     111.97  750.0    107.68     3.30     3.34
