OULU       LATITUDE    65.02     LONGITUDE     25.5      ALTITUDE    0 M
OULU       INSTRUMENT   9NM64    NEUTRON MONITOR     	
OULU       STANDARD PRESSURE    1000    mb     COEFFICIENT   -0.74     % / mb
OULU       PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
OULU       PRE-INCREASE AVERAGE COUNTING RATE    106.54      COUNTS PER SECOND
OULU       TIME INTERVALS    300         3600     
OULU       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
OULU       120517 300  012500-013000   00      97.31 1012.7    107.07     0.50     0.49
OULU       120517 300  013000-013500   00      97.28 1012.7    107.03     0.50     0.49
OULU       120517 300  013500-014000   00      96.98 1012.6    106.66     0.10     0.09
OULU       120517 300  014000-014500   00      97.23 1012.6    106.94     0.40     0.38
OULU       120517 300  014500-015000   00      99.25 1012.7    109.21     2.50     2.48
OULU       120517 300  015000-015500   00      98.27 1012.6    108.04     1.40     1.38
OULU       120517 300  015500-020000   00     103.26 1012.4    113.42     6.50     6.47
OULU       120517 300  020000-020500   00     109.13 1012.4    119.85    12.50    12.47
OULU       120517 300  020500-021000   00     112.24 1012.2    123.08    15.50    15.47
OULU       120517 300  021000-021500   00     111.71 1012.1    122.41    14.90    14.86
OULU       120517 300  021500-022000   00     110.47 1011.9    120.83    13.40    13.36
OULU       120517 300  022000-022500   00     108.63 1011.9    118.89    11.60    11.55
OULU       120517 300  022500-023000   00     106.43 1012.2    116.69     9.50     9.45
OULU       120517 300  023000-023500   00     104.08 1012.2    114.12     7.10     7.04
OULU       120517 300  023500-024000   00     103.55 1012.2    113.55     6.60     6.54
OULU       120517 300  024000-024500   00     101.60 1012.2    111.40     4.60     4.53
OULU       120517 300  024500-025000   00     102.10 1012.2    112.00     5.10     5.03
OULU       120517 300  025000-025500   00     102.68 1012.1    112.53     5.60     5.52
OULU       120517 300  025500-030000   00     100.59 1012.0    110.10     3.30     3.22
OULU       120517 300  030000-030500   00     100.86 1012.0    110.44     3.70     3.61
OULU       120517 300  030500-031000   00     100.89 1011.8    110.33     3.60     3.50
OULU       120517 300  031000-031500   00     102.10 1011.6    111.47     4.60     4.50
OULU       120517 300  031500-032000   00     100.74 1011.4    109.78     3.00     2.89
OULU       120517 300  032000-032500   00     100.49 1011.2    109.39     2.70     2.59
OULU       120517 300  032500-033000   00     101.05 1011.2    110.01     3.30     3.18
OULU       120517 300  033000-033500   00      99.03 1011.1    107.70     1.10     0.97
OULU       120517 300  033500-034000   00     100.09 1011.0    108.80     2.10     1.96
OULU       120517 300  034000-034500   00     100.85 1010.9    109.54     2.80     2.66
OULU       120517 300  034500-035000   00      98.08 1010.7    106.39    -0.10    -0.25
OULU       120517 300  035000-035500   00     100.37 1010.7    108.86     2.20     2.04
OULU       120517 300  035500-040000   00     100.45 1010.7    108.98     2.30     2.13
OULU       120517 300  040000-040500   00      98.77 1010.7    107.13     0.60     0.43
OULU       120517 300  040500-041000   00     100.25 1010.7    108.72     2.00     1.82
OULU       120517 300  041000-041500   00      97.94 1010.8    106.26    -0.30    -0.49
OULU       120517 300  041500-042000   00      98.06 1010.6    106.26    -0.30    -0.50
OULU       120517 300  042000-042500   00      99.35 1010.4    107.53     0.90     0.69
