EREVAN     LATITUDE    40.5      LONGITUDE     44.17     ALTITUDE    2000 M
EREVAN     INSTRUMENT   18NM64    NEUTRON MONITOR     
EREVAN     STANDARD PRESSURE    792.8   mb     COEFFICIENT   -0.71     % / mb
EREVAN     PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
EREVAN     PRE-INCREASE AVERAGE COUNTING RATE     22.79      COUNTS PER SECOND
EREVAN     TIME INTERVALS    300         3600     
EREVAN     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
EREVAN     031028 300  121500-122000   00      22.97  792.0     22.84     0.20     0.76
EREVAN     031028 300  122000-122500   00      23.02  791.9     22.88     0.40     0.97
EREVAN     031028 300  122500-123000   00      23.04  791.9     22.89     0.40     0.99
EREVAN     031028 300  123000-123500   00      23.00  791.8     22.84     0.20     0.80
EREVAN     031028 300  123500-124000   00      22.80  791.8     22.63    -0.70    -0.09
EREVAN     031028 300  124000-124500   00      22.82  791.8     22.65    -0.60     0.03
EREVAN     031028 300  124500-125000   00      23.00  791.7     22.82     0.10     0.74
EREVAN     031028 300  125000-125500   00      22.75  791.7     22.57    -1.00    -0.35
EREVAN     031028 300  125500-130000   00      22.72  791.6     22.53    -1.10    -0.43
EREVAN     031028 300  130000-130500   00      22.70  791.6     22.51    -1.20    -0.52
EREVAN     031028 300  130500-131000   00      22.91  791.6     22.71    -0.40    -9999
EREVAN     031028 300  131000-131500   00      22.80  791.5     22.59    -0.90    -9999
EREVAN     031028 300  131500-132000   00      22.87  791.5     22.66    -0.60    -9999
EREVAN     031028 300  132000-132500   00      22.90  791.5     22.69    -0.40    -9999
EREVAN     031028 300  132500-133000   00      22.90  791.5     22.68    -0.50    -9999
EREVAN     031028 300  133000-133500   00      22.76  791.4     22.54    -1.10    -9999
EREVAN     031028 300  133500-134000   00      22.83  791.4     22.61    -0.80    -9999
EREVAN     031028 300  134000-134500   00      22.84  791.4     22.61    -0.80    -9999
EREVAN     031028 300  134500-135000   00      22.94  791.4     22.71    -0.40    -9999
EREVAN     031028 300  135000-135500   00      22.93  791.3     22.69    -0.40    -9999
EREVAN     031028 300  135500-140000   00      22.82  791.3     22.58    -0.90    -9999
EREVAN     031028 300  140000-140500   00      22.89  791.3     22.65    -0.60    -9999
EREVAN     031028 300  140500-141000   00      22.86  791.3     22.62    -0.70    -9999
EREVAN     031028 300  141000-141500   00      22.83  791.3     22.59    -0.80    -9999
EREVAN     031028 300  141500-142000   00      22.77  791.3     22.54    -1.10    -9999
EREVAN     031028 300  142000-142500   00      22.72  791.3     22.48    -1.30    -9999
EREVAN     031028 300  142500-143000   00      22.83  791.3     22.60    -0.80    -9999
EREVAN     031028 300  143000-143500   00      22.80  791.4     22.57    -1.00    -9999
EREVAN     031028 300  143500-144000   00      22.88  791.4     22.65    -0.60    -9999
EREVAN     031028 300  144000-144500   00      22.93  791.4     22.70    -0.40    -9999
EREVAN     031028 300  144500-145000   00      22.69  791.4     22.46    -1.40    -9999
EREVAN     031028 300  145000-145500   00      22.91  791.4     22.68    -0.50    -9999
EREVAN     031028 300  145500-150000   00      22.73  791.4     22.50    -1.30    -9999
EREVAN     031028 300  150000-150500   00      22.79  791.4     22.57    -1.00    -9999
EREVAN     031028 300  150500-151000   00      22.90  791.3     22.66    -0.60    -9999
EREVAN     031028 300  151000-151500   00      22.94  791.3     22.70    -0.40    -9999
EREVAN     031028 300  151500-152000   00      22.67  791.2     22.42    -1.60    -9999
EREVAN     031028 300  152000-152500   00      22.88  791.2     22.61    -0.80    -9999
EREVAN     031028 300  152500-153000   00      22.79  791.1     22.53    -1.20    -9999
EREVAN     031028 300  153000-153500   00      22.81  791.1     22.53    -1.10    -9999
EREVAN     031028 300  153500-154000   00      22.79  791.0     22.50    -1.20    -9999
EREVAN     031028 300  154000-154500   00      22.87  791.0     22.58    -0.90    -9999
EREVAN     031028 300  154500-155000   00      22.88  790.9     22.58    -0.90    -9999
EREVAN     031028 300  155000-155500   00      22.90  790.9     22.59    -0.90    -9999
EREVAN     031028 300  155500-160000   00      22.86  790.8     22.54    -1.10    -9999
EREVAN     031028 300  160000-160500   00      22.97  790.8     22.64    -0.60    -9999
EREVAN     031028 300  160500-161000   00      22.85  790.8     22.52    -1.20    -9999
EREVAN     031028 300  161000-161500   00      22.92  790.7     22.59    -0.90    -9999
EREVAN     031028 300  161500-162000   00      22.96  790.7     22.62    -0.70    -9999
EREVAN     031028 300  162000-162500   00      22.93  790.7     22.58    -0.90    -9999
EREVAN     031028 300  162500-163000   00      22.82  790.6     22.47    -1.40    -9999
