BERN       LATITUDE    46.95     LONGITUDE     7.45      ALTITUDE    570 M
BERN       INSTRUMENT   SPECIAL  NEUTRON MONITOR	
BERN       STANDARD PRESSURE    710     MMHG   COEFFICIENT   -0.9557   % / MMHG
BERN       031028 300  104500-105000   20      38.41  714.1     39.95    -1.30    -9999
BERN       031028 300  105000-105500   20      38.97  714.1     40.53     0.20    -9999
BERN       031028 300  105500-110000   20      38.51  714.0     40.01    -1.10    -9999
BERN       031028 300  110000-110500   20      39.99  713.9     41.51     2.60    -9999
BERN       031028 300  110500-111000   20      39.54  713.8     41.00     1.30    -9999
BERN       031028 300  111000-111500   20      38.96  713.8     40.40    -0.20    -9999
BERN       031028 300  111500-112000   20      40.31  713.8     41.80     3.30    -9999
BERN       031028 300  112000-112500   20      40.11  713.8     41.60     2.80    -9999
BERN       031028 300  112500-113000   20      40.38  713.7     41.83     3.40    -9999
BERN       031028 300  113000-113500   20      39.04  713.6     40.41    -0.10    -9999
BERN       031028 300  113500-114000   20      39.59  713.6     40.98     1.30    -9999
BERN       031028 300  114000-114500   20      38.86  713.5     40.19    -0.70    -9999
BERN       031028 300  114500-115000   20      38.73  713.5     40.05    -1.00    -9999
BERN       031028 300  115000-115500   20      39.38  713.4     40.68     0.50    -9999
BERN       031028 300  115500-120000   20      38.88  713.3     40.13    -0.80    -9999
BERN       031028 300  120000-120500   20      38.77  713.2     39.97    -1.20    -9999
BERN       031028 300  120500-121000   20      39.28  713.2     40.50     0.10    -9999
BERN       031028 300  121000-121500   20      40.23  713.1     41.44     2.40    -9999
BERN       031028 300  121500-122000   20      39.27  713.1     40.46     0.00    -9999
BERN       031028 300  122000-122500   20      39.88  713.0     41.04     1.40    -9999
BERN       031028 300  122500-123000   20      38.83  713.0     39.96    -1.30    -9999
BERN       031028 300  123000-123500   20      40.64  713.0     41.83     3.40    -9999
BERN       031028 300  123500-124000   20      39.91  712.9     41.03     1.40    -9999
BERN       031028 300  124000-124500   20      37.96  712.9     39.03    -3.60    -9999
BERN       031028 300  124500-125000   20      40.61  712.8     41.71     3.10    -9999
BERN       031028 300  125000-125500   20      39.67  712.7     40.70     0.60    -9999
BERN       031028 300  125500-130000   20      39.46  712.6     40.46     0.00    -9999
BERN       031028 300  130000-130500   20      37.56  712.6     38.50    -4.90    -9999
BERN       031028 300  130500-131000   20      40.07  712.6     41.07     1.50    -9999
BERN       031028 300  131000-131500   20      39.42  712.5     40.38    -0.20    -9999
BERN       031028 300  131500-132000   20      39.63  712.5     40.59     0.30    -9999
BERN       031028 300  132000-132500   20      40.13  712.5     41.10     1.60    -9999
BERN       031028 300  132500-133000   20      39.58  712.4     40.50     0.10    -9999
BERN       031028 300  133000-133500   20      39.29  712.3     40.16    -0.80    -9999
BERN       031028 300  133500-134000   20      40.09  712.3     40.98     1.30    -9999
BERN       031028 300  134000-134500   20      39.68  712.3     40.56     0.20    -9999
BERN       031028 300  134500-135000   20      41.19  712.3     42.11     4.00    -9999
BERN       031028 300  135000-135500   20      39.63  712.3     40.52     0.10    -9999
BERN       031028 300  135500-140000   20      40.22  712.3     41.11     1.60    -9999
BERN       031028 300  140000-140500   20      39.90  712.3     40.79     0.80    -9999
BERN       031028 300  140500-141000   20      40.43  712.2     41.29     2.00    -9999
BERN       031028 300  141000-141500   20      41.57  712.2     42.46     4.90    -9999
BERN       031028 300  141500-142000   20      41.19  712.1     42.03     3.90    -9999
BERN       031028 300  142000-142500   20      41.20  712.0     41.99     3.80    -9999
BERN       031028 300  142500-143000   20      41.05  712.0     41.84     3.40    -9999
BERN       031028 300  143000-143500   20      40.31  712.0     41.09     1.50    -9999
BERN       031028 300  143500-144000   20      41.18  712.0     41.97     3.70    -9999
BERN       031028 300  144000-144500   20      41.34  711.9     42.09     4.00    -9999
BERN       031028 300  144500-145000   20      39.25  711.8     39.93    -1.30    -9999
BERN       031028 300  145000-145500   20      40.05  711.8     40.74     0.70    -9999
BERN       031028 300  145500-150000   20      39.08  711.7     39.72    -1.80    -9999
BERN       031028 300  150000-150500   20      40.61  711.7     41.27     2.00    -9999
BERN       031028 300  150500-151000   20      40.21  711.7     40.86     1.00    -9999
BERN       031028 300  151000-151500   20      41.76  711.7     42.45     4.90    -9999
BERN       031028 300  151500-152000   20      39.36  711.7     40.01    -1.10    -9999
BERN       031028 300  152000-152500   20      40.16  711.7     40.82     0.90    -9999
BERN       031028 300  152500-153000   20      41.02  711.6     41.65     2.90    -9999
BERN       031028 300  153000-153500   20      39.54  711.6     40.15    -0.80    -9999
BERN       031028 300  153500-154000   20      40.51  711.5     41.09     1.50    -9999
BERN       031028 300  154000-154500   20      40.10  711.4     40.64     0.40    -9999
BERN       031028 300  154500-155000   20      39.65  711.4     40.18    -0.70    -9999
BERN       031028 300  155000-155500   20      39.58  711.4     40.11    -0.90    -9999
BERN       031028 300  155500-160000   20      40.17  711.4     40.71     0.60    -9999
BERN       031028 300  160000-160500   20      39.28  711.4     39.81    -1.60    -9999
BERN       031028 300  160500-161000   20      39.48  711.4     40.01    -1.10    -9999
BERN       031028 300  161000-161500   20      39.22  711.5     39.79    -1.70    -9999
BERN       031028 300  161500-162000   20      40.99  711.4     41.54     2.70    -9999
BERN       031028 300  162000-162500   20      39.99  711.4     40.53     0.10    -9999
BERN       031028 300  162500-163000   20      39.40  711.4     39.93    -1.30    -9999
BERN       031028 300  163000-163500   20      40.45  711.4     40.99     1.30    -9999
BERN       031028 300  163500-164000   20      40.37  711.4     40.91     1.10    -9999
BERN       031028 300  164000-164500   20      40.09  711.4     40.63     0.40    -9999
BERN       031028 300  164500-165000   20      42.75  711.4     43.33     7.10    -9999
BERN       031028 300  165000-165500   20      40.45  711.4     40.99     1.30    -9999
BERN       031028 300  165500-170000   20      37.97  711.3     38.45    -5.00    -9999
BERN       031028 300  170000-170500   20      39.88  711.4     40.42    -0.10    -9999
BERN       031028 300  170500-171000   20      39.36  711.4     39.89    -1.40    -9999
BERN       031028 300  171000-171500   20      40.57  711.4     41.11     1.60    -9999
BERN       031028 300  171500-172000   20      41.09  711.4     41.64     2.90    -9999
BERN       031028 300  172000-172500   20      40.49  711.3     41.00     1.30    -9999
BERN       031028 300  172500-173000   20      40.45  711.3     40.95     1.20    -9999
BERN       031028 300  173000-173500   20      41.02  711.3     41.54     2.60    -9999
BERN       031028 300  173500-174000   20      39.91  711.2     40.37    -0.30    -9999
BERN       031028 300  174000-174500   20      39.23  711.2     39.69    -1.90    -9999
BERN       031028 300  174500-175000   20      40.53  711.2     41.00     1.30    -9999
BERN       031028 300  175000-175500   20      39.38  711.1     39.80    -1.70    -9999
BERN       031028 300  175500-180000   20      40.68  711.1     41.11     1.60    -9999
BERN       031028 300  180000-180500   20      39.58  711.1     40.00    -1.10    -9999
BERN       031028 300  180500-181000   20      39.13  711.1     39.55    -2.30    -9999
BERN       031028 300  181000-181500   20      40.32  711.1     40.75     0.70    -9999
BERN       031028 300  181500-182000   20      40.67  711.2     41.14     1.70    -9999
BERN       031028 300  182000-182500   20      40.29  711.1     40.72     0.60    -9999
BERN       031028 300  182500-183000   20      40.19  711.1     40.61     0.40    -9999
BERN       031028 300  183000-183500   20      40.61  711.1     41.04     1.40    -9999
BERN       031028 300  183500-184000   20      39.36  711.1     39.78    -1.70    -9999
BERN       031028 300  184000-184500   20      41.38  711.1     41.82     3.30    -9999
BERN       031028 300  184500-185000   20      41.25  711.0     41.65     2.90    -9999
BERN       031028 300  185000-185500   20      39.66  711.0     40.04    -1.10    -9999
BERN       031028 300  185500-190000   20      40.73  711.0     41.12     1.60    -9999
BERN       031028 300  190000-190500   20      40.37  710.9     40.72     0.60    -9999
BERN       031028 300  190500-191000   20      40.55  710.8     40.86     1.00    -9999
BERN       031028 300  191000-191500   20      40.42  710.7     40.69     0.50    -9999
BERN       031028 300  191500-192000   20      41.12  710.6     41.36     2.20    -9999
BERN       031028 300  192000-192500   20      39.73  710.5     39.92    -1.40    -9999
BERN       031028 300  192500-193000   20      40.58  710.5     40.77     0.70    -9999
BERN       031028 300  193000-193500   20      41.16  710.6     41.40     2.30    -9999
BERN       031028 300  193500-194000   20      40.97  710.7     41.24     1.90    -9999
BERN       031028 300  194000-194500   20      40.82  710.6     41.06     1.50    -9999
BERN       031028 300  194500-195000   20      40.69  710.5     40.89     1.00    -9999
BERN       031028 300  195000-195500   20      40.24  710.5     40.44    -0.10    -9999
BERN       031028 300  195500-200000   20      41.29  710.5     41.48     2.50    -9999
BERN       031028 300  200000-200500   20      40.04  710.5     40.23    -0.60    -9999
BERN       031028 300  200500-201000   20      41.13  710.4     41.29     2.00    -9999
BERN       031028 300  201000-201500   20      39.83  710.3     39.94    -1.30    -9999
BERN       031028 300  201500-202000   20      41.41  710.5     41.60     2.80    -9999
BERN       031028 300  202000-202500   20      39.32  710.5     39.51    -2.40    -9999
BERN       031028 300  202500-203000   20      41.24  710.5     41.44     2.40    -9999
BERN       031028 300  203000-203500   20      41.76  710.5     41.96     3.70    -9999
BERN       031028 300  203500-204000   20      40.40  710.6     40.63     0.40    -9999
BERN       031028 300  204000-204500   20      40.61  710.5     40.81     0.80    -9999
BERN       031028 300  204500-205000   20      39.62  710.5     39.81    -1.60    -9999
BERN       031028 300  205000-205500   20      40.25  710.5     40.45    -0.10    -9999
BERN       031028 300  205500-210000   20      41.96  710.4     42.13     4.10    -9999
BERN       031028 300  210000-210500   20      41.05  710.3     41.17     1.70    -9999
BERN       031028 300  210500-211000   20      41.81  710.2     41.89     3.50    -9999
BERN       031028 300  211000-211500   20      40.53  710.2     40.61     0.40    -9999
BERN       031028 300  211500-212000   20      40.56  710.2     40.64     0.40    -9999
BERN       031028 300  212000-212500   20      40.55  710.2     40.63     0.40    -9999
BERN       031028 300  212500-213000   20      42.01  710.1     42.05     3.90    -9999
BERN       031028 300  213000-213500   20      39.80  710.1     39.84    -1.50    -9999
BERN       031028 300  213500-214000   20      41.81  710.1     41.85     3.40    -9999
BERN       031028 300  214000-214500   20      41.55  710.2     41.63     2.90    -9999
BERN       031028 300  214500-215000   20      40.62  710.1     40.66     0.50    -9999
BERN       031028 300  215000-215500   20      41.61  709.9     41.57     2.70    -9999
BERN       031028 300  215500-220000   20      41.70  709.9     41.66     2.90    -9999
BERN       031028 300  220000-220500   20      41.39  709.8     41.31     2.10    -9999
BERN       031028 300  220500-221000   20      39.98  709.9     39.94    -1.30    -9999
BERN       031028 300  221000-221500   20      41.61  709.8     41.53     2.60    -9999
BERN       031028 300  221500-222000   20      39.63  709.6     39.48    -2.40    -9999
BERN       031028 300  222000-222500   20      40.94  709.6     40.78     0.80    -9999
BERN       031028 300  222500-223000   20      41.61  709.6     41.45     2.40    -9999
BERN       031028 300  223000-223500   20      39.41  709.6     39.26    -3.00    -9999
BERN       031028 300  223500-224000   20      41.72  709.5     41.52     2.60    -9999
BERN       031028 300  224000-224500   20      39.93  709.5     39.74    -1.80    -9999
BERN       031028 300  224500-225000   20      42.07  709.5     41.87     3.50    -9999
BERN       031028 300  225000-225500   20      41.55  709.4     41.32     2.10    -9999
BERN       031028 300  225500-230000   20      41.78  709.4     41.54     2.60    -9999
BERN       031028 300  230000-230500   20      41.77  709.4     41.53     2.60    -9999
BERN       031028 300  230500-231000   20      42.09  709.3     41.81     3.30    -9999
BERN       031028 300  231000-231500   20      40.79  709.3     40.52     0.10    -9999
BERN       031028 300  231500-232000   20      40.36  709.3     40.09    -0.90    -9999
BERN       031028 300  232000-232500   20      40.01  709.4     39.78    -1.70    -9999
BERN       031028 300  232500-233000   20      42.12  709.3     41.84     3.40    -9999
BERN       031028 300  233000-233500   20      41.54  709.3     41.26     2.00    -9999
BERN       031028 300  233500-234000   20      41.69  709.2     41.38     2.20    -9999
BERN       031028 300  234000-234500   20      40.60  709.2     40.29    -0.40    -9999
BERN       031028 300  234500-235000   20      41.02  709.2     40.70     0.60    -9999
BERN       031028 300  235000-235500   20      42.40  709.2     42.07     4.00    -9999
BERN       031028 300  235500-240000   20      40.27  709.1     39.93    -1.30    -9999
BERN       031029 300  000000-000500   20      43.18  709.0     42.77     5.70    -9999
BERN       031029 300  000500-001000   20      42.33  709.0     41.93     3.60    -9999
BERN       031029 300  001000-001500   20      41.09  709.0     40.70     0.60    -9999
BERN       031029 300  001500-002000   20      40.66  708.9     40.23    -0.60    -9999
BERN       031029 300  002000-002500   20      41.00  709.0     40.61     0.30    -9999
BERN       031029 300  002500-003000   20      40.91  708.9     40.48     0.00    -9999
BERN       031029 300  003000-003500   20      42.13  708.9     41.69     3.00    -9999
BERN       031029 300  003500-004000   20      41.23  708.8     40.76     0.70    -9999
BERN       031029 300  004000-004500   20      41.54  708.7     41.02     1.40    -9999
BERN       031029 300  004500-005000   20      41.77  708.8     41.29     2.00    -9999
BERN       031029 300  005000-005500   20      41.46  708.7     40.95     1.20    -9999
BERN       031029 300  005500-010000   20      41.56  708.7     41.05     1.40    -9999
BERN       031029 300  010000-010500   20      43.11  708.7     42.57     5.20    -9999
BERN       031029 300  010500-011000   20      40.96  708.6     40.41    -0.10    -9999
BERN       031029 300  011000-011500   20      41.99  708.5     41.39     2.30    -9999
BERN       031029 300  011500-012000   20      42.99  708.4     42.34     4.60    -9999
BERN       031029 300  012000-012500   20      41.17  708.4     40.54     0.20    -9999
BERN       031029 300  012500-013000   20      41.59  708.4     40.96     1.20    -9999
BERN       031029 300  013000-013500   20      41.92  708.4     41.28     2.00    -9999
BERN       031029 300  013500-014000   20      41.19  708.3     40.52     0.10    -9999
BERN       031029 300  014000-014500   20      41.34  708.3     40.67     0.50    -9999
BERN       031029 300  014500-015000   20      42.72  708.2     42.00     3.80    -9999
BERN       031029 300  015000-015500   20      42.30  708.1     41.54     2.60    -9999
BERN       031029 300  015500-020000   20      41.23  708.1     40.49     0.00    -9999
BERN       031029 300  020000-020500   20      41.73  708.0     40.94     1.20    -9999
BERN       031029 300  020500-021000   20      42.09  708.0     41.29     2.00    -9999
BERN       031029 300  021000-021500   20      43.16  707.9     42.30     4.50    -9999
BERN       031029 300  021500-022000   20      40.88  707.8     40.03    -1.10    -9999
BERN       031029 300  022000-022500   20      42.51  707.8     41.63     2.90    -9999
BERN       031029 300  022500-023000   20      42.54  707.7     41.61     2.80    -9999
BERN       031029 300  023000-023500   20      41.61  707.6     40.67     0.50    -9999
BERN       031029 300  023500-024000   20      41.74  707.5     40.75     0.70    -9999
BERN       031029 300  024000-024500   20      42.02  707.5     41.03     1.40    -9999
BERN       031029 300  024500-025000   20      42.15  707.5     41.15     1.70    -9999
BERN       031029 300  025000-025500   20      42.20  707.5     41.21     1.80    -9999
BERN       031029 300  025500-030000   20      43.28  707.5     42.25     4.40    -9999
BERN       031029 300  030000-030500   20      41.85  707.5     40.86     1.00    -9999
BERN       031029 300  030500-031000   20      42.77  707.4     41.72     3.10    -9999
BERN       031029 300  031000-031500   20      43.15  707.3     42.05     3.90    -9999
BERN       031029 300  031500-032000   20      42.49  707.2     41.36     2.20    -9999
BERN       031029 300  032000-032500   20      42.59  707.2     41.46     2.50    -9999
BERN       031029 300  032500-033000   20      43.13  707.2     41.99     3.80    -9999
BERN       031029 300  033000-033500   20      42.61  707.2     41.48     2.50    -9999
BERN       031029 300  033500-034000   20      42.61  707.1     41.44     2.40    -9999
BERN       031029 300  034000-034500   20      41.55  707.1     40.42    -0.10    -9999
BERN       031029 300  034500-035000   20      43.50  707.1     42.31     4.60    -9999
BERN       031029 300  035000-035500   20      41.31  707.1     40.18    -0.70    -9999
BERN       031029 300  035500-040000   20      41.59  707.0     40.42    -0.10    -9999
BERN       031029 300  040000-040500   20      41.93  707.0     40.75     0.70    -9999
BERN       031029 300  040500-041000   20      42.26  706.9     41.02     1.40    -9999
BERN       031029 300  041000-041500   20      40.92  706.9     39.72    -1.80    -9999
BERN       031029 300  041500-042000   20      43.06  706.8     41.76     3.20    -9999
BERN       031029 300  042000-042500   20      42.63  706.7     41.31     2.10    -9999
BERN       031029 300  042500-043000   20      41.09  706.6     39.77    -1.70    -9999
BERN       031029 300  043000-043500   20      43.10  706.5     41.68     3.00    -9999
BERN       031029 300  043500-044000   20      43.83  706.4     42.35     4.70    -9999
BERN       031029 300  044000-044500   20      41.89  706.2     40.40    -0.20    -9999
BERN       031029 300  044500-045000   20      42.85  706.0     41.24     1.90    -9999
BERN       031029 300  045000-045500   20      43.21  706.0     41.59     2.80    -9999
BERN       031029 300  045500-050000   20      42.90  706.1     41.33     2.10    -9999
BERN       031029 300  050000-050500   20      41.74  706.0     40.17    -0.70    -9999
BERN       031029 300  050500-051000   20      43.01  705.8     41.32     2.10    -9999
BERN       031029 300  051000-051500   20      42.45  705.8     40.78     0.80    -9999
BERN       031029 300  051500-052000   20      41.81  705.8     40.17    -0.70    -9999
BERN       031029 300  052000-052500   20      43.19  705.7     41.45     2.40    -9999
BERN       031029 300  052500-053000   20      43.25  705.6     41.47     2.50    -9999
BERN       031029 300  053000-053500   20      41.72  705.5     39.97    -1.20    -9999
BERN       031029 300  053500-054000   20      43.73  705.4     41.85     3.40    -9999
BERN       031029 300  054000-054500   20      44.01  705.4     42.11     4.10    -9999
BERN       031029 300  054500-055000   20      43.74  705.4     41.85     3.40    -9999
BERN       031029 300  055000-055500   20      43.67  705.3     41.75     3.20    -9999
BERN       031029 300  055500-060000   20      44.58  705.3     42.62     5.30    -9999
BERN       031029 300  060000-060500   20      43.66  705.3     41.74     3.10    -9999
BERN       031029 300  060500-061000   20      43.44  705.2     41.49     2.50    -9999
BERN       031029 300  061000-061500   20      43.92  705.2     41.95     3.70    -9999
BERN       031029 300  061500-062000   20      43.70  705.2     41.74     3.10    -9999
BERN       031029 300  062000-062500   20      45.19  705.2     43.16     6.70    -9999
BERN       031029 300  062500-063000   20      42.09  705.2     40.20    -0.70    -9999
BERN       031029 300  063000-063500   20      43.24  705.2     41.30     2.10    -9999
BERN       031029 300  063500-064000   20      42.04  705.2     40.16    -0.80    -9999
BERN       031029 300  064000-064500   20      41.75  705.3     39.92    -1.40    -9999
BERN       031029 300  064500-065000   20      42.79  705.4     40.95     1.20    -9999
BERN       031029 300  065000-065500   20      42.05  705.4     40.24    -0.60    -9999
BERN       031029 300  065500-070000   20      41.56  705.3     39.74    -1.80    -9999
BERN       031029 300  070000-070500   20      41.68  705.3     39.84    -1.50    -9999
BERN       031029 300  070500-071000   20      42.44  705.3     40.57     0.30    -9999
BERN       031029 300  071000-071500   20      42.73  705.2     40.81     0.90    -9999
BERN       031029 300  071500-072000   20      43.62  705.3     41.70     3.00    -9999
BERN       031029 300  072000-072500   20      43.23  705.3     41.33     2.10    -9999
BERN       031029 300  072500-073000   20      42.93  705.4     41.08     1.50    -9999
BERN       031029 300  073000-073500   20      42.21  705.4     40.39    -0.20    -9999
BERN       031029 300  073500-074000   20      42.51  705.4     40.68     0.50    -9999
BERN       031029 300  074000-074500   20      41.71  705.4     39.92    -1.40    -9999
BERN       031029 300  074500-075000   20      42.97  705.4     41.12     1.60    -9999
BERN       031029 300  075000-075500   20      42.85  705.4     41.01     1.30    -9999
BERN       031029 300  075500-080000   20      42.80  705.4     40.96     1.20    -9999
BERN       031029 300  080000-080500   20      42.75  705.5     40.95     1.20    -9999
BERN       031029 300  080500-081000   20      43.01  705.5     41.20     1.80    -9999
BERN       031029 300  081000-081500   20      42.31  705.5     40.53     0.20    -9999
BERN       031029 300  081500-082000   20      42.08  705.4     40.27    -0.50    -9999
BERN       031029 300  082000-082500   20      42.62  705.4     40.78     0.80    -9999
BERN       031029 300  082500-083000   20      42.22  705.4     40.41    -0.20    -9999
BERN       031029 300  083000-083500   20      42.89  705.4     41.05     1.40    -9999
BERN       031029 300  083500-084000   20      43.55  705.4     41.67     3.00    -9999
BERN       031029 300  084000-084500   20      43.37  705.4     41.50     2.60    -9999
BERN       031029 300  084500-085000   20      43.06  705.3     41.17     1.70    -9999
BERN       031029 300  085000-085500   20      42.62  705.3     40.75     0.70    -9999
BERN       031029 300  085500-090000   20      43.74  705.4     41.86     3.40    -9999
BERN       031029 300  090000-090500   20      42.24  705.4     40.42    -0.10    -9999
BERN       031029 300  090500-091000   20      42.62  705.4     40.79     0.80    -9999
BERN       031029 300  091000-091500   20      43.10  705.4     41.24     1.90    -9999
BERN       031029 300  091500-092000   20      41.52  705.4     39.73    -1.80    -9999
BERN       031029 300  092000-092500   20      42.75  705.4     40.91     1.10    -9999
BERN       031029 300  092500-093000   20      41.50  705.4     39.71    -1.90    -9999
BERN       031029 300  093000-093500   20      41.77  705.3     39.93    -1.30    -9999
BERN       031029 300  093500-094000   20      42.23  705.2     40.34    -0.30    -9999
BERN       031029 300  094000-094500   20      41.41  705.1     39.51    -2.40    -9999
BERN       031029 300  094500-095000   20      41.57  705.1     39.67    -2.00    -9999
BERN       031029 300  095000-095500   20      42.16  705.1     40.23    -0.60    -9999
BERN       031029 300  095500-100000   20      41.93  705.1     40.01    -1.10    -9999
BERN       031029 300  100000-100500   20      41.97  705.0     40.01    -1.10    -9999
BERN       031029 300  100500-101000   20      41.91  705.0     39.95    -1.30    -9999
BERN       031029 300  101000-101500   20      42.31  704.9     40.30    -0.40    -9999
BERN       031029 300  101500-102000   20      42.15  704.9     40.14    -0.80    -9999
BERN       031029 300  102000-102500   20      41.19  704.8     39.19    -3.10    -9999
BERN       031029 300  102500-103000   20      42.50  704.7     40.40    -0.20    -9999
BERN       031029 300  103000-103500   20      42.37  704.5     40.20    -0.70    -9999
BERN       031029 300  103500-104000   20      43.07  704.5     40.86     1.00    -9999
BERN       031029 300  104000-104500   20      41.34  704.5     39.22    -3.10    -9999
BERN       031029 300  104500-105000   20      41.70  704.4     39.52    -2.30    -9999
BERN       031029 300  105000-105500   20      43.01  704.4     40.77     0.70    -9999
BERN       031029 300  105500-110000   20      42.10  704.3     39.87    -1.50    -9999
BERN       031029 300  110000-110500   20      41.01  704.2     38.80    -4.10    -9999
BERN       031029 300  110500-111000   20      42.11  704.2     39.84    -1.50    -9999
BERN       031029 300  111000-111500   20      40.37  704.2     38.19    -5.60    -9999
BERN       031029 300  111500-112000   20      40.24  704.2     38.07    -5.90    -9999
BERN       031029 300  112000-112500   20      41.87  704.1     39.58    -2.20    -9999
BERN       031029 300  112500-113000   20      39.71  704.0     37.49    -7.40    -9999
BERN       031029 300  113000-113500   20      40.17  704.0     37.93    -6.30    -9999
BERN       031029 300  113500-114000   20      40.48  703.9     38.18    -5.60    -9999
BERN       031029 300  114000-114500   20      39.13  703.9     36.91    -8.80    -9999
BERN       031029 300  114500-115000   20      39.24  703.9     37.02    -8.50    -9999
BERN       031029 300  115000-115500   20      39.94  703.8     37.64    -7.00    -9999
BERN       031029 300  115500-120000   20      40.76  703.8     38.41    -5.10    -9999
BERN       031029 3600 120000-130000   20      39.47  703.4     37.07    -8.40    -9999
BERN       031029 3600 130000-140000   20      37.43  703.0     35.01   -13.50    -9999
BERN       031029 3600 140000-150000   20      36.80  702.7     34.33   -15.20    -9999
BERN       031029 3600 150000-160000   20      35.27  702.7     32.89   -18.70    -9999
BERN       031029 3600 160000-170000   20      35.94  702.4     33.42   -17.40    -9999
