MAGADAN    LATITUDE    60.1      LONGITUDE     151       ALTITUDE    0 M
MAGADAN    INSTRUMENT   18NM64    NEUTRON MONITOR     	
MAGADAN    STANDARD PRESSURE    986.1   mb     COEFFICIENT   -0.74     % / mb
MAGADAN    PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
MAGADAN    PRE-INCREASE AVERAGE COUNTING RATE    128.53      COUNTS PER SECOND
MAGADAN    TIME INTERVALS    300         3600     
MAGADAN    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
MAGADAN    031027 3600 000000-010000   00     140.03  976.9    130.82     1.80    -9999
MAGADAN    031027 3600 010000-020000   00     139.53  976.7    130.16     1.30    -9999
MAGADAN    031027 3600 020000-030000   00     139.18  976.6    129.73     0.90    -9999
MAGADAN    031027 3600 030000-040000   00     140.76  976.6    131.20     2.10    -9999
MAGADAN    031027 3600 040000-050000   00     142.38  976.8    132.91     3.40    -9999
MAGADAN    031027 3600 050000-060000   00     142.64  977.2    133.55     3.90    -9999
MAGADAN    031027 3600 060000-070000   00     141.15  977.7    132.64     3.20    -9999
MAGADAN    031027 3600 070000-080000   00     139.77  978.0    131.64     2.40    -9999
MAGADAN    031027 3600 080000-090000   00     139.69  978.4    131.96     2.70    -9999
MAGADAN    031027 3600 090000-100000   00     138.39  978.7    131.02     1.90    -9999
MAGADAN    031027 3600 100000-110000   00     138.71  979.1    131.70     2.50    -9999
MAGADAN    031027 3600 110000-120000   00     138.48  979.3    131.69     2.50    -9999
MAGADAN    031027 3600 120000-130000   00     137.99  979.3    131.22     2.10    -9999
MAGADAN    031027 3600 130000-140000   00     137.44  979.2    130.59     1.60    -9999
MAGADAN    031027 3600 140000-150000   00     135.96  979.4    129.38     0.70    -9999
MAGADAN    031027 3600 150000-160000   00     136.17  979.8    129.97     1.10    -9999
MAGADAN    031027 3600 160000-170000   00     136.90  979.9    130.76     1.70    -9999
MAGADAN    031027 3600 170000-180000   00     137.00  980.3    131.24     2.10    -9999
MAGADAN    031027 3600 180000-190000   00     137.25  980.6    131.78     2.50    -9999
MAGADAN    031027 3600 190000-200000   00     135.93  981.0    130.90     1.80    -9999
MAGADAN    031027 3600 200000-210000   00     133.48  981.6    129.11     0.50    -9999
MAGADAN    031027 3600 210000-220000   00     133.05  982.1    129.17     0.50    -9999
MAGADAN    031027 3600 220000-230000   00     132.94  982.6    129.54     0.80    -9999
MAGADAN    031027 3600 230000-240000   00     133.75  983.2    130.91     1.90    -9999
MAGADAN    031028 3600 000000-010000   00     135.41  983.4    132.73     3.30    -9999
MAGADAN    031028 3600 010000-020000   00     135.76  983.3    132.97     3.50    -9999
MAGADAN    031028 3600 020000-030000   00     135.35  983.4    132.67     3.20    -9999
MAGADAN    031028 3600 030000-040000   00     135.29  983.4    132.61     3.20    -9999
MAGADAN    031028 3600 040000-050000   00     134.93  983.7    132.56     3.10    -9999
MAGADAN    031028 3600 050000-060000   00     133.96  984.1    131.99     2.70    -9999
MAGADAN    031028 3600 060000-070000   00     133.45  984.4    131.78     2.50    -9999
MAGADAN    031028 3600 070000-080000   00     132.27  985.0    131.19     2.10    -9999
MAGADAN    031028 3600 080000-090000   00     131.28  985.3    130.51     1.50    -9999
MAGADAN    031028 300  090000-090500   00     129.65  985.8    129.38     0.70    -9999
MAGADAN    031028 300  090500-091000   00     129.34  985.8    129.08     0.40    -9999
MAGADAN    031028 300  091000-091500   00     129.76  985.9    129.53     0.80    -9999
MAGADAN    031028 300  091500-092000   00     128.00  985.9    127.80    -0.60    -9999
MAGADAN    031028 300  092000-092500   00     128.59  985.9    128.41    -0.10    -9999
MAGADAN    031028 300  092500-093000   00     131.63  985.9    131.46     2.30    -9999
MAGADAN    031028 300  093000-093500   00     130.29  986.0    130.16     1.30    -9999
MAGADAN    031028 300  093500-094000   00     129.87  986.0    129.75     0.90    -9999
MAGADAN    031028 300  094000-094500   00     128.48  986.0    128.40    -0.10    -9999
MAGADAN    031028 300  094500-095000   00     129.17  986.0    129.11     0.50    -9999
MAGADAN    031028 300  095000-095500   00     128.91  986.1    128.87     0.30    -9999
MAGADAN    031028 300  095500-100000   00     128.53  986.1    128.52     0.00    -9999
MAGADAN    031028 300  100000-100500   00     128.75  986.1    128.74     0.20    -9999
MAGADAN    031028 300  100500-101000   00     129.07  986.1    129.03     0.40    -9999
MAGADAN    031028 300  101000-101500   00     129.07  986.0    129.01     0.40    -9999
MAGADAN    031028 300  101500-102000   00     129.39  986.0    129.30     0.60    -9999
MAGADAN    031028 300  102000-102500   00     129.87  986.0    129.76     1.00    -9999
MAGADAN    031028 300  102500-103000   00     129.06  986.0    128.94     0.30    -9999
