THULE      LATITUDE    76.6      LONGITUDE     -68.8     ALTITUDE    260 M
THULE      INSTRUMENT   9NM64    NEUTRON MONITOR     	
THULE      STANDARD PRESSURE    990.85  MB     COEFFICIENT   -0.74     % / MB
THULE      PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
THULE      PRE-INCREASE AVERAGE COUNTING RATE    122.35      COUNTS PER SECOND
THULE      TIME INTERVALS    300         3600     
THULE      SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
THULE      120517 300  012500-013000   00     118.17 1010.7    123.05     0.60     0.60
THULE      120517 300  013000-013500   00     118.80 1010.7    123.70     1.10     1.10
THULE      120517 300  013500-014000   00     118.13 1010.7    123.02     0.50     0.50
THULE      120517 300  014000-014500   00     119.09 1010.7    124.03     1.40     1.40
THULE      120517 300  014500-015000   00     116.60 1010.7    121.45    -0.70    -0.70
THULE      120517 300  015000-015500   00     118.32 1010.8    123.26     0.70     0.70
THULE      120517 300  015500-020000   00     117.38 1010.8    122.28    -0.10    -0.10
THULE      120517 300  020000-020500   00     118.78 1010.7    123.71     1.10     1.10
THULE      120517 300  020500-021000   00     119.69 1010.7    124.60     1.80     1.80
THULE      120517 300  021000-021500   00     122.27 1010.7    127.28     4.00     4.00
THULE      120517 300  021500-022000   00     121.01 1010.6    125.93     2.90     2.90
THULE      120517 300  022000-022500   00     122.80 1010.7    127.85     4.50     4.50
THULE      120517 300  022500-023000   00     120.35 1010.6    125.26     2.40     2.40
THULE      120517 300  023000-023500   00     121.78 1010.6    126.73     3.60     3.60
THULE      120517 300  023500-024000   00     122.33 1010.6    127.30     4.00     4.00
THULE      120517 300  024000-024500   00     120.97 1010.6    125.84     2.90     2.90
THULE      120517 300  024500-025000   00     122.11 1010.6    127.03     3.80     3.80
THULE      120517 300  025000-025500   00     121.36 1010.6    126.23     3.20     3.20
THULE      120517 300  025500-030000   00     121.26 1010.5    126.12     3.10     3.10
THULE      120517 300  030000-030500   00     120.43 1010.5    125.22     2.30     2.30
THULE      120517 300  030500-031000   00     121.58 1010.5    126.42     3.30     3.30
THULE      120517 300  031000-031500   00     120.77 1010.5    125.59     2.60     2.60
THULE      120517 300  031500-032000   00     120.75 1010.5    125.54     2.60     2.60
THULE      120517 300  032000-032500   00     119.87 1010.5    124.60     1.80     1.80
THULE      120517 300  032500-033000   00     120.03 1010.5    124.75     2.00     2.00
THULE      120517 300  033000-033500   00     119.64 1010.4    124.33     1.60     1.60
THULE      120517 300  033500-034000   00     122.11 1010.4    126.89     3.70     3.70
THULE      120517 300  034000-034500   00     119.98 1010.4    124.69     1.90     1.90
THULE      120517 300  034500-035000   00     120.89 1010.5    125.65     2.70     2.70
THULE      120517 300  035000-035500   00     120.04 1010.4    124.73     1.90     1.90
THULE      120517 300  035500-040000   00     118.59 1010.4    123.22     0.70     0.70
THULE      120517 300  040000-040500   00     121.40 1010.4    126.14     3.10     3.10
THULE      120517 300  040500-041000   00     119.10 1010.4    123.78     1.20     1.20
THULE      120517 300  041000-041500   00     120.15 1010.4    124.84     2.00     2.00
THULE      120517 300  041500-042000   00     118.68 1010.4    123.29     0.80     0.80
THULE      120517 300  042000-042500   00     119.14 1010.4    123.77     1.20     1.20
THULE      120517 300  042500-043000   00     119.35 1010.4    124.02     1.40     1.40
THULE      120517 300  043000-043500   00     120.12 1010.4    124.82     2.00     2.00
THULE      120517 300  043500-044000   00     118.90 1010.4    123.55     1.00     1.00
THULE      120517 300  044000-044500   00     118.43 1010.4    123.04     0.60     0.60
THULE      120517 300  044500-045000   00     119.92 1010.4    124.61     1.80     1.80
THULE      120517 300  045000-045500   00     120.27 1010.4    124.98     2.10     2.10
THULE      120517 300  045500-050000   00     119.90 1010.4    124.61     1.80     1.80
THULE      120517 300  050000-050500   00     120.73 1010.5    125.49     2.60     2.60
THULE      120517 300  050500-051000   00     118.92 1010.4    123.55     1.00     1.00
THULE      120517 300  051000-051500   00     117.11 1010.4    121.66    -0.60    -0.60
THULE      120517 300  051500-052000   00     118.95 1010.4    123.59     1.00     1.00
THULE      120517 300  052000-052500   00     118.52 1010.4    123.15     0.70     0.70
THULE      120517 300  052500-053000   00     119.16 1010.4    123.80     1.20     1.20
THULE      120517 300  053000-053500   00     118.61 1010.4    123.24     0.70     0.70
THULE      120517 300  053500-054000   00     119.67 1010.4    124.32     1.60     1.60
THULE      120517 300  054000-054500   00     118.72 1010.3    123.30     0.80     0.80
THULE      120517 300  054500-055000   00     118.72 1010.3    123.24     0.70     0.70
THULE      120517 300  055000-055500   00     119.02 1010.2    123.52     1.00     1.00
THULE      120517 300  055500-060000   00     119.69 1010.2    124.20     1.50     1.50
THULE      120517 300  060000-060500   00     118.57 1010.2    123.02     0.50     0.50
THULE      120517 300  060500-061000   00     119.27 1010.2    123.74     1.10     1.10
