TSUMEB     LATITUDE    -19.2     LONGITUDE     17.6      ALTITUDE    1240 M
TSUMEB     INSTRUMENT   18NM64    NEUTRON MONITOR     
TSUMEB     STANDARD PRESSURE    878.5   mb     COEFFICIENT   -0.701    % / mb
TSUMEB     PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
TSUMEB     PRE-INCREASE AVERAGE COUNTING RATE    290.22      COUNTS PER SECOND
TSUMEB     TIME INTERVALS    300         3600     
TSUMEB     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
TSUMEB     031029 300  070500-071000   00     280.19  882.2    287.53    -0.90    -9999
TSUMEB     031029 300  071000-071500   00     281.09  882.2    288.43    -0.60    -9999
TSUMEB     031029 300  071500-072000   00     281.57  882.2    288.91    -0.50    -9999
TSUMEB     031029 300  072000-072500   00     282.79  882.2    290.14     0.00    -9999
TSUMEB     031029 300  072500-073000   00     279.68  882.2    286.94    -1.10    -9999
TSUMEB     031029 300  073000-073500   00     283.15  882.1    290.48     0.10    -9999
TSUMEB     031029 300  073500-074000   00     282.18  882.1    289.47    -0.30    -9999
TSUMEB     031029 300  074000-074500   00     278.81  882.1    286.00    -1.50    -9999
TSUMEB     031029 300  074500-075000   00     278.16  882.1    285.31    -1.70    -9999
TSUMEB     031029 300  075000-075500   00     281.26  882.1    288.47    -0.60    -9999
TSUMEB     031029 300  075500-080000   00     278.73  882.1    285.86    -1.50    -9999
TSUMEB     031029 300  080000-080500   00     276.31  882.1    283.35    -2.40    -9999
TSUMEB     031029 300  080500-081000   00     279.24  882.1    286.28    -1.40    -9999
TSUMEB     031029 300  081000-081500   00     279.30  882.0    286.28    -1.40    -9999
TSUMEB     031029 300  081500-082000   00     280.13  882.0    287.06    -1.10    -9999
TSUMEB     031029 300  082000-082500   00     280.02  882.0    286.88    -1.20    -9999
TSUMEB     031029 300  082500-083000   00     279.28  881.9    286.06    -1.40    -9999
TSUMEB     031029 300  083000-083500   00     281.38  881.9    288.14    -0.70    -9999
TSUMEB     031029 300  083500-084000   00     278.75  881.9    285.37    -1.70    -9999
TSUMEB     031029 300  084000-084500   00     280.03  881.8    286.63    -1.20    -9999
TSUMEB     031029 300  084500-085000   00     279.58  881.8    286.10    -1.40    -9999
TSUMEB     031029 300  085000-085500   00     279.50  881.8    285.94    -1.50    -9999
TSUMEB     031029 300  085500-090000   00     281.87  881.7    288.30    -0.70    -9999
TSUMEB     031029 300  090000-090500   00     279.84  881.7    286.14    -1.40    -9999
TSUMEB     031029 300  090500-091000   00     280.38  881.6    286.58    -1.30    -9999
TSUMEB     031029 300  091000-091500   00     277.41  881.6    283.42    -2.30    -9999
TSUMEB     031029 300  091500-092000   00     278.31  881.5    284.23    -2.10    -9999
TSUMEB     031029 300  092000-092500   00     277.16  881.4    282.94    -2.50    -9999
TSUMEB     031029 300  092500-093000   00     273.92  881.4    279.52    -3.70    -9999
TSUMEB     031029 300  093000-093500   00     274.31  881.3    279.80    -3.60    -9999
TSUMEB     031029 300  093500-094000   00     277.64  881.3    283.08    -2.50    -9999
TSUMEB     031029 300  094000-094500   00     276.45  881.2    281.75    -2.90    -9999
TSUMEB     031029 300  094500-095000   00     279.43  881.2    284.66    -1.90    -9999
TSUMEB     031029 300  095000-095500   00     275.89  881.1    280.95    -3.20    -9999
TSUMEB     031029 300  095500-100000   00     274.99  881.0    279.92    -3.50    -9999
TSUMEB     031029 300  100000-100500   00     275.66  881.0    280.47    -3.40    -9999
TSUMEB     031029 300  100500-101000   00     277.59  880.9    282.29    -2.70    -9999
TSUMEB     031029 300  101000-101500   00     277.38  880.8    281.92    -2.90    -9999
TSUMEB     031029 300  101500-102000   00     274.18  880.7    278.54    -4.00    -9999
TSUMEB     031029 300  102000-102500   00     278.63  880.7    282.90    -2.50    -9999
TSUMEB     031029 300  102500-103000   00     277.83  880.6    281.94    -2.90    -9999
TSUMEB     031029 300  103000-103500   00     277.52  880.5    281.48    -3.00    -9999
TSUMEB     031029 300  103500-104000   00     274.86  880.4    278.63    -4.00    -9999
TSUMEB     031029 300  104000-104500   00     274.99  880.4    278.62    -4.00    -9999
TSUMEB     031029 300  104500-105000   00     273.38  880.3    276.84    -4.60    -9999
TSUMEB     031029 300  105000-105500   00     274.59  880.2    277.92    -4.20    -9999
TSUMEB     031029 300  105500-110000   00     272.11  880.1    275.27    -5.20    -9999
TSUMEB     031029 300  110000-110500   00     269.45  880.1    272.49    -6.10    -9999
TSUMEB     031029 300  110500-111000   00     268.79  880.1    271.83    -6.30    -9999
TSUMEB     031029 300  111000-111500   00     271.78  880.1    274.85    -5.30    -9999
TSUMEB     031029 300  111500-112000   00     269.76  880.1    272.80    -6.00    -9999
TSUMEB     031029 300  112000-112500   00     272.12  880.1    275.18    -5.20    -9999
TSUMEB     031029 300  112500-113000   00     272.51  880.1    275.58    -5.00    -9999
TSUMEB     031029 300  113000-113500   00     274.96  880.1    278.06    -4.20    -9999
TSUMEB     031029 300  113500-114000   00     271.09  880.1    274.15    -5.50    -9999
TSUMEB     031029 300  114000-114500   00     274.01  880.1    277.10    -4.50    -9999
TSUMEB     031029 300  114500-115000   00     272.58  880.1    275.66    -5.00    -9999
TSUMEB     031029 300  115000-115500   00     271.38  880.1    274.44    -5.40    -9999
TSUMEB     031029 300  115500-120000   00     272.33  880.1    275.41    -5.10    -9999
TSUMEB     031029 3600 120000-130000   00     269.79  879.3    271.31    -6.50    -9999
TSUMEB     031029 3600 130000-140000   00     260.22  878.4    260.04   -10.40    -9999
TSUMEB     031029 3600 140000-150000   00     254.51  878.0    253.62   -12.60    -9999
TSUMEB     031029 3600 150000-160000   00     251.28  878.1    250.58   -13.70    -9999
TSUMEB     031029 3600 160000-170000   00     252.88  878.2    252.35   -13.00    -9999
TSUMEB     031029 3600 170000-180000   00     247.95  878.7    248.30   -14.40    -9999
TSUMEB     031029 3600 180000-190000   00     251.90  879.2    253.14   -12.80    -9999
TSUMEB     031029 3600 190000-200000   00     253.91  879.8    256.24   -11.70    -9999
TSUMEB     031029 3600 200000-210000   00     254.92  879.9    257.44   -11.30    -9999
TSUMEB     031029 3600 210000-220000   00     255.04  879.7    257.20   -11.40    -9999
TSUMEB     031029 3600 220000-230000   00     256.24  879.4    257.86   -11.20    -9999
TSUMEB     031029 3600 230000-240000   00     262.34  878.9    263.08    -9.40    -9999
*
COMMENT    THE CLOCK OF REGISRATOR IS FAST ON+SEC (SLOW ON-SEC) IS 	
"COMMENT    SUPPORTING BY GPS OR INTERNETCLOCKSERVER;"	
COMMENT    PRE-INCREASE LEVEL CORRECTED (I.USOSKIN)	
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2023-04-03 12:51:18 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE65/C065TSMB_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
