KINGSTON   LATITUDE    -42.99    LONGITUDE     147.29    ALTITUDE    65 M
KINGSTON   INSTRUMENT   18-NM-64   IQSY 18 Section Neutron Monitor	
KINGSTON   STANDARD PRESSURE    1012.5  MB     COEFFICIENT   -0.739    % / MB
KINGSTON   PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
KINGSTON   PRE-INCREASE AVERAGE COUNTING RATE    204.42      COUNTS PER SECOND
KINGSTON   TIME INTERVALS    300         3600     
KINGSTON   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
KINGSTON   061213 300  033500-034000   00     240.35 1007.9    232.34    13.70    13.70
KINGSTON   061213 300  034000-034500   00     235.71 1008.0    227.97    11.50    11.50
KINGSTON   061213 300  034500-035000   00     235.94 1008.0    228.19    11.60    11.60
KINGSTON   061213 300  035000-035500   00     235.34 1007.8    227.38    11.20    11.20
KINGSTON   061213 300  035500-040000   00     237.37 1007.7    229.10    12.10    12.10
KINGSTON   061213 300  040000-040500   00     231.46 1007.7    223.32     9.20     9.20
KINGSTON   061213 300  040500-041000   00     230.83 1007.5    222.53     8.90     8.90
KINGSTON   061213 300  041000-041500   00     232.28 1007.4    223.62     9.40     9.40
KINGSTON   061213 300  041500-042000   00     229.09 1007.2    220.29     7.80     7.80
KINGSTON   061213 300  042000-042500   00     228.93 1007.3    220.23     7.70     7.70
KINGSTON   061213 300  042500-043000   00     229.10 1007.1    220.20     7.70     7.70
KINGSTON   061213 300  043000-043500   00     226.69 1007.0    217.63     6.50     6.50
KINGSTON   061213 300  043500-044000   00     225.87 1006.9    216.72     6.00     6.00
KINGSTON   061213 300  044000-044500   00     223.67 1006.9    214.57     5.00     5.00
KINGSTON   061213 300  044500-045000   00     224.72 1006.8    215.45     5.40     5.40
KINGSTON   061213 300  045000-045500   00     223.84 1006.7    214.45     4.90     4.90
KINGSTON   061213 300  045500-050000   00     223.50 1006.7    214.06     4.70     4.70
KINGSTON   061213 300  050000-050500   00     224.05 1006.5    214.39     4.90     4.90
KINGSTON   061213 300  050500-051000   00     223.13 1006.4    213.36     4.40     4.40
KINGSTON   061213 300  051000-051500   00     222.72 1006.3    212.75     4.10     4.10
KINGSTON   061213 300  051500-052000   00     222.63 1006.3    212.66     4.00     4.00
KINGSTON   061213 300  052000-052500   00     220.81 1006.2    210.80     3.10     3.10
