PEAWANUCK  LATITUDE    55        LONGITUDE     -85       ALTITUDE    0 M
PEAWANUCK  INSTRUMENT   18NM64    NEUTRON MONITOR     
PEAWANUCK  STANDARD PRESSURE    1021.1  MB     COEFFICIENT   -0.74     % / MB
PEAWANUCK  PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
PEAWANUCK  PRE-INCREASE AVERAGE COUNTING RATE    174.81      COUNTS PER SECOND
PEAWANUCK  TIME INTERVALS    300         3600     
PEAWANUCK  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
PEAWANUCK  010415 300  113500-114000   00     175.27 1020.5    174.47    -0.20    -9999
PEAWANUCK  010415 300  114000-114500   00     175.75 1020.5    175.02     0.10    -9999
PEAWANUCK  010415 300  114500-115000   00     175.29 1020.6    174.63    -0.10    -9999
PEAWANUCK  010415 300  115000-115500   00     175.41 1020.6    174.82     0.00    -9999
PEAWANUCK  010415 300  115500-120000   00     175.73 1020.7    175.21     0.20    -9999
PEAWANUCK  010415 300  120000-120500   00     176.14 1020.7    175.72     0.50    -9999
PEAWANUCK  010415 300  120500-121000   00     174.99 1020.8    174.64    -0.10    -9999
PEAWANUCK  010415 300  121000-121500   00     176.68 1020.8    176.40     0.90    -9999
PEAWANUCK  010415 300  121500-122000   00     173.69 1020.9    173.48    -0.80    -9999
PEAWANUCK  010415 300  122000-122500   00     176.36 1021.0    176.23     0.80    -9999
PEAWANUCK  010415 300  122500-123000   00     174.28 1021.0    174.21    -0.30    -9999
PEAWANUCK  010415 300  123000-123500   00     173.13 1021.1    173.14    -1.00    -9999
PEAWANUCK  010415 300  123500-124000   00     174.73 1021.1    174.81     0.00    -9999
PEAWANUCK  010415 300  124000-124500   00     174.26 1021.2    174.41    -0.20    -9999
PEAWANUCK  010415 300  124500-125000   00     173.44 1021.2    173.66    -0.70    -9999
PEAWANUCK  010415 300  125000-125500   00     173.79 1021.3    174.08    -0.40    -9999
PEAWANUCK  010415 300  125500-130000   00     176.20 1021.3    176.57     1.00    -9999
PEAWANUCK  010415 300  130000-130500   00     173.50 1021.5    174.05    -0.40    -0.57
PEAWANUCK  010415 300  130500-131000   00     176.89 1021.5    177.51     1.50     1.32
