THULE      LATITUDE    76.6      LONGITUDE     -68.8     ALTITUDE    260 M
THULE      INSTRUMENT   9NM64    NEUTRON MONITOR     	
THULE      STANDARD PRESSURE    996.4   mb     COEFFICIENT   -0.743    % / mb
THULE      PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
THULE      PRE-INCREASE AVERAGE COUNTING RATE    221.82      COUNTS PER SECOND
THULE      TIME INTERVALS    300         3600     
THULE      SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
THULE      061213 300  051000-051500   00     242.26  995.7    241.04     8.66     7.58
THULE      061213 300  051500-052000   00     239.46  995.7    238.20     7.38     6.29
THULE      061213 300  052000-052500   00     239.02  995.7    237.70     7.16     6.06
THULE      061213 300  052500-053000   00     239.70  995.6    238.32     7.44     6.33
THULE      061213 300  053000-053500   00     239.54  995.6    238.10     7.34     6.22
THULE      061213 300  053500-054000   00     239.26  995.6    237.76     7.19     6.06
THULE      061213 300  054000-054500   00     239.40  995.5    237.84     7.22     6.08
THULE      061213 300  054500-055000   00     238.20  995.5    236.59     6.66     5.51
THULE      061213 300  055000-055500   00     234.42  995.5    232.78     4.94     3.78
THULE      061213 300  055500-060000   00     236.50  995.4    234.78     5.84     4.67
THULE      061213 300  060000-060500   00     232.92  995.4    231.17     4.22     3.04
THULE      061213 300  060500-061000   00     238.96  995.4    237.11     6.89     5.71
THULE      061213 300  061000-061500   00     233.90  995.3    232.03     4.60     3.41
THULE      061213 300  061500-062000   00     238.56  995.3    236.60     6.66     5.46
THULE      061213 300  062000-062500   00     236.20  995.3    234.20     5.58     4.37
THULE      061213 300  062500-063000   00     232.98  995.2    230.95     4.11     2.89
THULE      061213 300  063000-063500   00     236.90  995.2    234.77     5.84     4.61
THULE      061213 300  063500-064000   00     234.90  995.2    232.74     4.92     3.69
THULE      061213 300  064000-064500   00     234.22  995.1    232.00     4.59     3.35
THULE      061213 300  064500-065000   00     232.16  995.1    229.90     3.64     2.39
THULE      061213 300  065000-065500   00     233.96  995.1    231.63     4.42     3.16
THULE      061213 300  065500-070000   00     232.10  995.0    229.73     3.57     2.30
THULE      061213 300  070000-070500   00     230.18  995.0    227.80     2.70     1.43
THULE      061213 300  070500-071000   00     230.32  995.0    227.94     2.76     1.48
THULE      061213 300  071000-071500   00     231.98  995.0    229.58     3.50     2.21
THULE      061213 300  071500-072000   00     231.34  995.0    228.95     3.21     1.91
THULE      061213 300  072000-072500   00     234.74  995.0    232.31     4.73     3.43
THULE      061213 300  072500-073000   00     230.00  995.0    227.62     2.61     1.30
THULE      061213 300  073000-073500   00     230.60  995.0    228.21     2.88     1.56
THULE      061213 300  073500-074000   00     230.30  995.0    227.92     2.75     1.43
THULE      061213 300  074000-074500   00     229.46  995.0    227.09     2.37     1.04
THULE      061213 300  074500-075000   00     231.52  995.0    229.13     3.29     1.95
THULE      061213 300  075000-075500   00     228.94  995.0    226.57     2.14     0.80
THULE      061213 300  075500-080000   00     230.46  995.0    228.07     2.82     1.47
THULE      061213 3600 080000-090000   00     229.55  994.8    226.83     2.26     0.87
THULE      061213 3600 090000-100000   00     228.58  994.8    225.88     1.83     0.38
THULE      061213 3600 100000-110000   00     228.00  994.7    225.14     1.49     0.00
THULE      061213 3600 110000-120000   00     227.77  994.3    224.24     1.09    -9999
THULE      061213 3600 120000-130000   00     227.83  993.9    223.64     0.82    -9999
THULE      061213 3600 130000-140000   00     229.09  993.5    224.21     1.08    -9999
THULE      061213 3600 140000-150000   00     229.06  993.2    223.68     0.84    -9999
THULE      061213 3600 150000-160000   00     230.50  993.1    224.91     1.39    -9999
THULE      061213 3600 160000-170000   00     230.01  993.0    224.27     1.10    -9999
THULE      061213 3600 170000-180000   00     229.72  992.7    223.49     0.75    -9999
THULE      061213 3600 180000-190000   00     229.57  992.7    223.34     0.69    -9999
THULE      061213 3600 190000-200000   00     228.68  992.9    222.81     0.44    -9999
THULE      061213 3600 200000-210000   00     228.94  993.0    223.23     0.63    -9999
THULE      061213 3600 210000-220000   00     228.54  992.9    222.67     0.38    -9999
THULE      061213 3600 220000-230000   00     228.53  992.9    222.66     0.38    -9999
THULE      061213 3600 230000-240000   00     224.90  992.8    218.96    -1.29    -9999
*
"Comment: The Clock of Regisrator is fast on+sec (slow on-sec) is supporting by GPS or InternetClockServer;"	
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2023-02-24 11:29:29 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE70/C070THUL_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
