KERGUELEN  LATITUDE    -49.35    LONGITUDE     70.22     ALTITUDE    33 M
KERGUELEN  INSTRUMENT   IGY     NEUTRON MONITOR
KERGUELEN  STANDARD PRESSURE    750     MMHG   COEFFICIENT   -1.01     % / MMHG
KERGUELEN  PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
KERGUELEN  PRE-INCREASE AVERAGE COUNTING RATE    184.24      COUNTS PER SECOND
KERGUELEN  TIME INTERVALS    300      
KERGUELEN  SCALE FACTORS     1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
KERGUELEN  000713 300  054500-055000   00     195.47  750.5    196.27     6.50    -9999
KERGUELEN  000713 300  055000-055500   00     195.60  750.3    196.00     6.40    -9999
KERGUELEN  000713 300  055500-060000   00     195.73  750.2    195.73     6.20    -9999
KERGUELEN  000713 300  060000-060500   00     196.13  750.0    196.13     6.50    -9999
KERGUELEN  000713 300  060500-061000   00     198.00  749.7    197.20     7.00    -9999
KERGUELEN  000713 300  061000-061500   00     196.93  749.5    195.73     6.20    -9999
KERGUELEN  000713 300  061500-062000   00     199.60  749.4    198.13     7.50    -9999
KERGUELEN  000713 300  062000-062500   00     197.60  749.3    196.00     6.40    -9999
KERGUELEN  000713 300  062500-063000   00     198.80  749.0    196.53     6.70    -9999
KERGUELEN  000713 300  063000-063500   00     196.80  748.7    194.00     5.30    -9999
KERGUELEN  000713 300  063500-064000   00     200.13  748.4    196.67     6.70    -9999
KERGUELEN  000713 300  064000-064500   00     200.27  748.2    196.40     6.60    -9999
KERGUELEN  000713 300  064500-065000   00     198.67  747.9    194.27     5.40    -9999
KERGUELEN  000713 300  065000-065500   00     201.07  747.6    196.13     6.50    -9999
KERGUELEN  000713 300  065500-070000   00     200.93  747.4    195.47     6.10    -9999
KERGUELEN  000713 300  070000-070500   00     199.20  747.2    193.60     5.10    -9999
KERGUELEN  000713 300  070500-071000   00     198.40  746.9    192.00     4.20    -9999
KERGUELEN  000713 300  071000-071500   00     205.87  746.5    198.53     7.80    -9999
KERGUELEN  000713 300  071500-072000   00     200.53  746.3    192.93     4.70    -9999
KERGUELEN  000713 300  072000-072500   00     203.47  746.1    195.47     6.10    -9999
KERGUELEN  000713 300  072500-073000   00     203.07  746.0    194.80     5.70    -9999
KERGUELEN  000713 300  073000-073500   00     201.60  745.9    193.20     4.90    -9999
KERGUELEN  000713 300  073500-074000   00     202.53  745.7    193.73     5.20    -9999
KERGUELEN  000713 300  074000-074500   00     205.07  745.5    195.73     6.20    -9999
KERGUELEN  000713 300  074500-075000   00     204.67  745.4    195.07     5.90    -9999
KERGUELEN  000713 300  075000-075500   00     203.87  745.3    194.27     5.40    -9999
KERGUELEN  000713 300  075500-080000   00     205.47  745.1    195.33     6.00    -9999
KERGUELEN  000713 300  080000-080500   00     202.93  744.9    192.53     4.50    -9999
KERGUELEN  000713 300  080500-081000   00     204.80  744.7    194.00     5.30    -9999
KERGUELEN  000713 300  081000-081500   00     206.67  744.5    195.47     6.10    -9999
KERGUELEN  000713 300  081500-082000   00     205.07  744.4    193.60     5.10    -9999
KERGUELEN  000713 300  082000-082500   00     206.00  744.5    194.67     5.70    -9999
KERGUELEN  000713 300  082500-083000   00     206.53  744.2    194.67     5.70    -9999
KERGUELEN  000713 300  083000-083500   00     204.27  744.2    192.40     4.40    -9999
KERGUELEN  000713 300  083500-084000   00     207.87  744.1    195.60     6.20    -9999
KERGUELEN  000713 300  084000-084500   00     206.27  744.3    194.53     5.60    -9999
KERGUELEN  000713 300  084500-085000   00     204.27  744.3    192.67     4.60    -9999
KERGUELEN  000713 300  085000-085500   00     203.87  744.3    192.27     4.40    -9999
KERGUELEN  000713 300  085500-090000   00     207.07  744.4    195.47     6.10    -9999
KERGUELEN  000713 300  090000-090500   00     207.20  744.2    195.07     5.90    -9999
KERGUELEN  000713 300  090500-091000   00     205.73  744.2    193.73     5.20    -9999
KERGUELEN  000713 300  091000-091500   00     204.40  744.2    192.53     4.50    -9999
KERGUELEN  000713 300  091500-092000   00     206.93  744.3    195.07     5.90    -9999
KERGUELEN  000713 300  092000-092500   00     206.40  744.2    194.40     5.50    -9999
KERGUELEN  000713 300  092500-093000   00     206.67  744.2    194.67     5.70    -9999
KERGUELEN  000713 300  093000-093500   00     207.47  744.2    195.47     6.10    -9999
KERGUELEN  000713 300  093500-094000   00     208.80  744.0    196.40     6.60    -9999
KERGUELEN  000713 300  094000-094500   00     206.40  743.9    193.87     5.20    -9999
KERGUELEN  000713 300  094500-095000   00     209.87  743.8    197.07     7.00    -9999
KERGUELEN  000713 300  095000-095500   00     206.93  743.8    194.13     5.40    -9999
KERGUELEN  000713 300  095500-100000   00     208.13  743.6    194.93     5.80    -9999
KERGUELEN  000713 300  100000-100500   00     209.33  743.6    196.00     6.40    -9999
KERGUELEN  000713 300  100500-101000   00     209.47  743.5    195.87     6.30    -9999
KERGUELEN  000713 300  101000-101500   00     209.47  743.6    196.27     6.50    -9999
KERGUELEN  000713 300  101500-102000   00     209.33  743.7    196.27     6.50    -9999
KERGUELEN  000713 300  102000-102500   00     210.27  743.9    197.47     7.20    -9999
KERGUELEN  000713 300  102500-103000   00     209.87  743.8    197.07     7.00    -9999
KERGUELEN  000713 300  103000-103500   00     207.33  743.9    194.80     5.70    -9999
KERGUELEN  000713 300  103500-104000   00     210.00  743.8    197.20     7.00    -9999
KERGUELEN  000713 300  104000-104500   00     209.73  743.9    197.07     7.00    -9999
KERGUELEN  000713 300  104500-105000   00     210.93  743.9    198.13     7.50    -9999
KERGUELEN  000713 300  105000-105500   00     210.27  743.7    197.07     7.00    -9999
KERGUELEN  000713 300  105500-110000   00     208.53  743.7    195.47     6.10    -9999
KERGUELEN  000713 300  110000-110500   00     210.13  743.6    196.80     6.80    -9999
KERGUELEN  000713 300  110500-111000   00     208.93  743.5    195.33     6.00    -9999
KERGUELEN  000713 300  111000-111500   00     209.47  743.5    196.00     6.40    -9999
KERGUELEN  000713 300  111500-112000   00     210.93  743.5    197.33     7.10    -9999
KERGUELEN  000713 300  112000-112500   00     210.27  743.7    197.20     7.00    -9999
KERGUELEN  000713 300  112500-113000   00     209.20  743.8    196.40     6.60    -9999
KERGUELEN  000713 300  113000-113500   00     208.80  743.5    195.33     6.00    -9999
KERGUELEN  000713 300  113500-114000   00     206.93  743.7    194.13     5.40    -9999
KERGUELEN  000713 300  114000-114500   00     209.87  743.7    196.67     6.70    -9999
KERGUELEN  000713 300  114500-115000   00     206.53  743.6    193.33     4.90    -9999
KERGUELEN  000713 300  115000-115500   00     206.93  743.6    193.73     5.20    -9999
KERGUELEN  000713 300  115500-120000   00     208.27  743.5    194.67     5.70    -9999
KERGUELEN  000713 300  120000-120500   00     207.73  743.7    194.67     5.70    -9999
KERGUELEN  000713 300  120500-121000   00     208.27  743.8    195.47     6.10    -9999
KERGUELEN  000713 300  121000-121500   00     206.93  743.6    193.73     5.20    -9999
KERGUELEN  000713 300  121500-122000   00     208.40  743.5    194.93     5.80    -9999
KERGUELEN  000713 300  122000-122500   00     207.60  743.7    194.67     5.70    -9999
KERGUELEN  000713 300  122500-123000   00     206.27  743.6    193.20     4.90    -9999
KERGUELEN  000713 300  123000-123500   00     207.87  743.4    194.27     5.40    -9999
KERGUELEN  000713 300  123500-124000   00     207.07  743.5    193.87     5.20    -9999
KERGUELEN  000713 300  124000-124500   00     208.27  743.6    195.07     5.90    -9999
KERGUELEN  000713 300  124500-125000   00     206.00  743.8    193.20     4.90    -9999
KERGUELEN  000713 300  125000-125500   00     208.00  743.8    195.20     5.90    -9999
KERGUELEN  000713 300  125500-130000   00     204.53  743.9    192.13     4.30    -9999
KERGUELEN  000713 300  130000-130500   00     204.40  743.9    192.00     4.20    -9999
KERGUELEN  000713 300  130500-131000   00     206.13  744.0    193.73     5.20    -9999
KERGUELEN  000713 300  131000-131500   00     208.13  743.9    195.47     6.10    -9999
KERGUELEN  000713 300  131500-132000   00     208.67  744.1    196.40     6.60    -9999
KERGUELEN  000713 300  132000-132500   00     206.00  743.4    192.40     4.40    -9999
KERGUELEN  000713 300  132500-133000   00     206.13  744.1    194.00     5.30    -9999
KERGUELEN  000713 300  133000-133500   00     203.87  744.0    191.73     4.10    -9999
KERGUELEN  000713 300  133500-134000   00     204.40  743.9    192.00     4.20    -9999
KERGUELEN  000713 300  134000-134500   00     205.07  743.9    192.67     4.60    -9999
KERGUELEN  000713 300  134500-135000   00     205.73  743.9    193.33     4.90    -9999
KERGUELEN  000713 300  135000-135500   00     204.67  744.2    192.80     4.60    -9999
KERGUELEN  000713 300  135500-140000   00     203.60  744.0    191.33     3.80    -9999
KERGUELEN  000713 300  140000-140500   00     201.87  744.2    190.27     3.30    -9999
KERGUELEN  000713 300  140500-141000   00     203.20  744.3    191.73     4.10    -9999
KERGUELEN  000713 300  141000-141500   00     199.33  744.8    188.93     2.50    -9999
KERGUELEN  000713 300  141500-142000   00     200.13  744.5    189.07     2.60    -9999
KERGUELEN  000713 300  142000-142500   00     198.93  744.4    187.73     1.90    -9999
KERGUELEN  000713 300  142500-143000   00     200.40  744.3    188.93     2.50    -9999
KERGUELEN  000713 300  143000-143500   00     197.73  744.4    186.53     1.20    -9999
KERGUELEN  000713 300  143500-144000   00     195.87  744.4    184.93     0.40    -9999
KERGUELEN  000713 300  144000-144500   00     196.13  744.6    185.47     0.70    -9999
KERGUELEN  000713 300  144500-145000   00     191.60  744.8    181.60    -1.40    -9999
KERGUELEN  000713 300  145000-145500   00     194.40  744.9    184.40     0.10    -9999
KERGUELEN  000713 300  145500-150000   00     194.27  744.8    184.13    -0.10    -9999
KERGUELEN  000713 300  150000-150500   00     195.73  744.8    185.60     0.70    -9999
KERGUELEN  000713 300  150500-151000   00     196.13  745.0    186.13     1.00    -9999
KERGUELEN  000713 300  151000-151500   00     198.00  745.0    188.00     2.00    -9999
KERGUELEN  000713 300  151500-152000   00     195.33  745.0    185.60     0.70    -9999
KERGUELEN  000713 300  152000-152500   00     194.53  744.9    184.53     0.20    -9999
KERGUELEN  000713 300  152500-153000   00     193.60  745.1    184.00    -0.10    -9999
KERGUELEN  000713 300  153000-153500   00     194.00  745.0    184.27     0.00    -9999
KERGUELEN  000713 300  153500-154000   00     196.27  744.8    186.00     1.00    -9999
