INUVIK     LATITUDE    68.35     LONGITUDE     226.28    ALTITUDE    21 M
INUVIK     INSTRUMENT   18-NM-64  NEUTRON MONITOR	
INUVIK     STANDARD PRESSURE    758     MMHG   COEFFICIENT   -0.987    % / MMHG
INUVIK     PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
INUVIK     PRE-INCREASE AVERAGE COUNTING RATE    162.58      COUNTS PER SECOND
INUVIK     TIME INTERVALS    300         3600     
INUVIK     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
INUVIK     000714 300  130200-130700   00     172.56  765.5    185.82    14.30    13.53
INUVIK     000714 300  130700-131200   00     169.17  765.5    182.17    12.00    11.22
INUVIK     000714 300  131200-131700   00     168.83  765.5    181.77    11.80    11.00
INUVIK     000714 300  131700-132200   00     169.22  765.5    182.22    12.10    11.29
INUVIK     000714 300  132200-132700   00     170.50  765.4    183.49    12.80    11.97
INUVIK     000714 300  132700-133200   00     167.83  765.4    180.62    11.10    10.26
INUVIK     000714 300  133200-133700   00     170.17  765.5    183.20    12.70    11.84
INUVIK     000714 300  133700-134200   00     169.50  765.5    182.49    12.20    11.33
INUVIK     000714 300  134200-134700   00     168.22  765.5    181.15    11.40    10.51
INUVIK     000714 300  134700-135200   00     167.17  765.5    180.01    10.70     9.80
INUVIK     000714 300  135200-135700   00     165.17  765.5    177.86     9.40     8.48
INUVIK     000714 300  135700-140200   00     165.83  765.5    178.58     9.80     8.87
INUVIK     000714 300  140200-140700   00     166.89  765.5    179.71    10.50     9.55
INUVIK     000714 300  140700-141200   00     164.83  765.5    177.43     9.10     8.14
INUVIK     000714 300  141200-141700   00     164.83  765.4    177.36     9.10     8.12
INUVIK     000714 300  141700-142200   00     166.22  765.4    178.82    10.00     9.01
INUVIK     000714 300  142200-142700   00     165.84  765.4    178.40     9.70     8.69
INUVIK     000714 300  142700-143200   00     163.50  765.4    175.96     8.20     7.18
INUVIK     000714 300  143200-143700   00     163.89  765.5    176.48     8.50     7.47
INUVIK     000714 300  143700-144200   00     161.83  765.5    174.27     7.20     6.15
INUVIK     000714 300  144200-144700   00     162.50  765.5    174.99     7.60     6.54
INUVIK     000714 300  144700-145200   00     161.83  765.5    174.27     7.20     6.13
INUVIK     000714 300  145200-145700   00     160.56  765.5    172.89     6.30     5.21
INUVIK     000714 300  145700-150200   00     160.83  765.5    173.19     6.50     5.40
INUVIK     000714 300  150200-150700   00     159.17  765.5    171.40     5.40     4.29
INUVIK     000714 300  150700-151200   00     162.55  765.5    175.11     7.70     6.57
INUVIK     000714 300  151200-151700   00     159.83  765.5    172.15     5.90     4.76
INUVIK     000714 300  151700-152200   00     160.17  765.6    172.58     6.10     4.95
INUVIK     000714 300  152200-152700   00     161.56  765.6    174.11     7.10     5.93
INUVIK     000714 300  152700-153200   00     161.17  765.6    173.65     6.80     5.62
INUVIK     000714 300  153200-153700   00     159.83  765.6    172.28     6.00     4.81
INUVIK     000714 300  153700-154200   00     159.89  765.6    172.34     6.00     4.80
INUVIK     000714 300  154200-154700   00     159.50  765.6    171.92     5.70     4.48
INUVIK     000714 300  154700-155200   00     158.17  765.6    170.49     4.90     3.67
INUVIK     000714 300  155200-155700   00     157.83  765.6    170.13     4.60     3.36
INUVIK     000714 300  155700-160200   00     160.89  765.6    173.42     6.70     5.45
INUVIK     000714 300  160200-160700   00     158.50  765.6    170.85     5.10     3.84
INUVIK     000714 300  160700-161200   00     158.50  765.6    170.85     5.10     3.82
INUVIK     000714 300  161200-161700   00     160.89  765.6    173.42     6.70     5.41
INUVIK     000714 300  161700-162200   00     159.17  765.6    171.57     5.50     4.20
INUVIK     000714 300  162200-162700   00     159.50  765.6    171.93     5.70     4.39
INUVIK     000714 300  162700-163200   00     156.17  765.6    168.33     3.50     2.18
INUVIK     000714 60   163200-163300   00     158.83  765.6    171.21     5.30     3.97
INUVIK     000714 60   163300-163400   00     160.50  765.6    173.00     6.40     5.07
