KERGUELEN  LATITUDE    -49.35    LONGITUDE     70.25     ALTITUDE    33 M
KERGUELEN  INSTRUMENT   18-NM-64  NEUTRON MONITOR	
KERGUELEN  STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.7575   % / MB
KERGUELEN  PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
KERGUELEN  PRE-INCREASE AVERAGE COUNTING RATE    222.38      COUNTS PER SECOND
KERGUELEN  TIME INTERVALS    300         3600     
KERGUELEN  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
KERGUELEN  120517 300  005500-010000   00     246.40  986.8    223.04     0.30    -9999
KERGUELEN  120517 300  010000-010500   00     246.13  986.7    222.71     0.10    -0.14
KERGUELEN  120517 300  010500-011000   00     245.07  986.7    221.79    -0.30    -0.56
KERGUELEN  120517 300  011000-011500   00     245.20  986.8    221.96    -0.20    -0.48
KERGUELEN  120517 300  011500-012000   00     244.00  986.8    220.96    -0.60    -0.89
KERGUELEN  120517 300  012000-012500   00     246.53  986.8    223.21     0.40     0.09
KERGUELEN  120517 300  012500-013000   00     244.27  986.8    221.16    -0.50    -0.82
KERGUELEN  120517 300  013000-013500   00     246.67  986.6    223.01     0.30    -0.04
KERGUELEN  120517 300  013500-014000   00     247.87  986.5    223.92     0.70     0.34
KERGUELEN  120517 300  014000-014500   00     248.27  986.5    224.33     0.90     0.53
KERGUELEN  120517 300  014500-015000   00     246.80  986.6    223.13     0.30    -0.09
KERGUELEN  120517 300  015000-015500   00     247.87  986.7    224.19     0.80     0.39
KERGUELEN  120517 300  015500-020000   00     247.73  986.6    224.02     0.70     0.27
KERGUELEN  120517 300  020000-020500   00     250.40  986.7    226.53     1.90     1.46
KERGUELEN  120517 300  020500-021000   00     253.60  986.7    229.47     3.20     2.74
KERGUELEN  120517 300  021000-021500   00     250.40  986.6    226.44     1.80     1.32
KERGUELEN  120517 300  021500-022000   00     253.20  986.8    229.25     3.10     2.60
KERGUELEN  120517 300  022000-022500   00     252.67  986.8    228.72     2.90     2.39
KERGUELEN  120517 300  022500-023000   00     251.33  987.0    227.83     2.50     1.97
KERGUELEN  120517 300  023000-023500   00     251.60  986.9    228.03     2.50     1.95
KERGUELEN  120517 300  023500-024000   00     249.20  987.1    226.08     1.70     1.13
KERGUELEN  120517 300  024000-024500   00     250.93  987.0    227.61     2.40     1.81
KERGUELEN  120517 300  024500-025000   00     250.40  987.0    227.03     2.10     1.49
KERGUELEN  120517 300  025000-025500   00     252.13  987.2    228.93     2.90     2.27
KERGUELEN  120517 300  025500-030000   00     253.60  987.0    230.03     3.40     2.75
KERGUELEN  120517 300  030000-030500   00     252.13  987.0    228.56     2.80     2.13
KERGUELEN  120517 300  030500-031000   00     250.27  987.0    226.96     2.10     1.41
KERGUELEN  120517 300  031000-031500   00     250.67  987.1    227.50     2.30     1.59
KERGUELEN  120517 300  031500-032000   00     251.20  987.1    227.94     2.50     1.77
KERGUELEN  120517 300  032000-032500   00     251.07  987.2    227.96     2.50     1.75
KERGUELEN  120517 300  032500-033000   00     248.53  987.2    225.70     1.50     0.73
KERGUELEN  120517 300  033000-033500   00     252.13  987.2    228.97     3.00     2.21
KERGUELEN  120517 300  033500-034000   00     248.80  987.3    226.08     1.70     0.89
KERGUELEN  120517 300  034000-034500   00     247.33  987.2    224.71     1.00     0.17
KERGUELEN  120517 300  034500-035000   00     250.67  987.3    227.87     2.50     1.65
KERGUELEN  120517 300  035000-035500   00     246.67  987.3    224.24     0.80    -0.07
KERGUELEN  120517 300  035500-040000   00     250.67  987.3    227.82     2.40     1.51
KERGUELEN  120517 300  040000-040500   00     248.93  987.4    226.43     1.80     0.89
KERGUELEN  120517 300  040500-041000   00     248.40  987.5    226.09     1.70     0.77
KERGUELEN  120517 300  041000-041500   00     245.20  987.6    223.40     0.50    -0.46
KERGUELEN  120517 300  041500-042000   00     248.00  987.5    225.81     1.50     0.52
KERGUELEN  120517 300  042000-042500   00     244.93  987.6    223.11     0.30    -0.70
KERGUELEN  120517 300  042500-043000   00     245.07  987.5    223.09     0.30    -0.72
KERGUELEN  120517 300  043000-043500   00     246.40  987.4    224.17     0.80    -0.24
KERGUELEN  120517 300  043500-044000   00     245.60  987.4    223.44     0.50    -0.57
KERGUELEN  120517 300  044000-044500   00     248.00  987.5    225.68     1.50     0.41
KERGUELEN  120517 300  044500-045000   00     246.00  987.4    223.72     0.60    -0.51
KERGUELEN  120517 300  045000-045500   00     248.13  987.3    225.57     1.40     0.26
KERGUELEN  120517 300  045500-050000   00     248.27  987.3    225.60     1.40     0.24
KERGUELEN  120517 300  050000-050500   00     249.60  987.3    226.81     2.00     0.82
KERGUELEN  120517 300  050500-051000   00     249.47  987.3    226.78     2.00     0.79
KERGUELEN  120517 300  051000-051500   00     248.53  987.2    225.75     1.50     0.27
KERGUELEN  120517 300  051500-052000   00     248.27  987.2    225.42     1.40     0.15
KERGUELEN  120517 300  052000-052500   00     249.47  987.1    226.46     1.80     0.52
KERGUELEN  120517 300  052500-053000   00     248.00  987.2    225.22     1.30     0.00
KERGUELEN  120517 300  053000-053500   00     246.27  987.2    223.60     0.50    -0.83
KERGUELEN  120517 300  053500-054000   00     250.67  987.1    227.50     2.30     0.95
KERGUELEN  120517 300  054000-054500   00     248.67  987.0    225.51     1.40     0.02
KERGUELEN  120517 300  054500-055000   00     246.00  987.0    223.13     0.30    -1.10
KERGUELEN  120517 300  055000-055500   00     250.67  987.0    227.23     2.20     0.77
KERGUELEN  120517 300  055500-060000   00     247.47  986.8    224.15     0.80    -0.65
KERGUELEN  120517 300  060000-060500   00     247.73  986.8    224.34     0.90    -0.58
KERGUELEN  120517 300  060500-061000   00     248.27  986.7    224.64     1.00    -0.50
KERGUELEN  120517 300  061000-061500   00     250.27  986.8    226.64     1.90     0.37
KERGUELEN  120517 300  061500-062000   00     251.07  986.6    226.99     2.10     0.54
KERGUELEN  120517 300  062000-062500   00     251.47  986.6    227.36     2.20     0.62
KERGUELEN  120517 300  062500-063000   00     249.20  986.6    225.21     1.30    -0.31
KERGUELEN  120517 300  063000-063500   00     252.40  986.4    227.88     2.50     0.87
KERGUELEN  120517 300  063500-064000   00     251.07  986.4    226.67     1.90     0.24
KERGUELEN  120517 300  064000-064500   00     250.53  986.3    226.06     1.70     0.01
KERGUELEN  120517 300  064500-065000   00     249.87  986.3    225.45     1.40    -0.31
KERGUELEN  120517 300  065000-065500   00     249.47  986.3    225.09     1.20    -0.54
KERGUELEN  120517 300  065500-070000   00     249.20  986.4    224.99     1.20    -0.57
KERGUELEN  120517 300  070000-070500   00     250.40  986.4    226.12     1.70    -0.10
KERGUELEN  120517 300  070500-071000   00     250.53  986.4    226.19     1.70    -0.12
KERGUELEN  120517 300  071000-071500   00     249.73  986.4    225.47     1.40    -0.45
KERGUELEN  120517 300  071500-072000   00     250.93  986.3    226.32     1.80    -0.08
