BERN       LATITUDE    46.95     LONGITUDE     7.45      ALTITUDE    570 M
BERN       INSTRUMENT   SPECIAL  NEUTRON MONITOR	
BERN       STANDARD PRESSURE    710     MMHG   COEFFICIENT   -0.9557   % / MMHG
BERN       PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
BERN       PRE-INCREASE AVERAGE COUNTING RATE     40.71      COUNTS PER SECOND
BERN       TIME INTERVALS    300         3600     
BERN       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
BERN       010415 300  123000-123500   20      41.10  710.8     41.42     1.70    -9999
BERN       010415 300  123500-124000   20      40.26  710.8     40.57    -0.30    -9999
BERN       010415 300  124000-124500   20      38.85  710.8     39.15    -3.80    -9999
BERN       010415 300  124500-125000   20      40.66  710.7     40.93     0.50    -9999
BERN       010415 300  125000-125500   20      40.46  710.7     40.73     0.00    -9999
BERN       010415 300  125500-130000   20      40.47  710.7     40.75     0.10    -9999
BERN       010415 300  130000-130500   20      40.54  710.7     40.81     0.20     0.20
BERN       010415 300  130500-131000   20      40.97  710.8     41.28     1.40     1.40
BERN       010415 300  131000-131500   20      40.18  710.7     40.45    -0.60    -0.60
BERN       010415 300  131500-132000   20      40.54  710.7     40.81     0.20     0.20
BERN       010415 300  132000-132500   20      39.53  710.7     39.79    -2.30    -2.30
BERN       010415 300  132500-133000   20      41.96  710.7     42.24     3.70     3.70
BERN       010415 300  133000-133500   20      39.19  710.6     39.42    -3.20    -3.20
BERN       010415 300  133500-134000   20      41.62  710.7     41.90     2.90     2.90
BERN       010415 300  134000-134500   20      39.60  710.7     39.86    -2.10    -2.10
BERN       010415 300  134500-135000   20      40.12  710.7     40.39    -0.80    -0.80
BERN       010415 300  135000-135500   20      40.86  710.7     41.13     1.00     1.00
BERN       010415 300  135500-140000   20      40.11  710.6     40.34    -0.90    -0.90
BERN       010415 300  140000-140500   20      40.96  710.6     41.20     1.20     1.20
BERN       010415 300  140500-141000   20      41.74  710.5     41.94     3.00     3.00
BERN       010415 300  141000-141500   20      41.79  710.5     42.00     3.10     3.10
BERN       010415 300  141500-142000   20      42.46  710.5     42.66     4.80     4.80
BERN       010415 300  142000-142500   20      43.35  710.5     43.56     7.00     7.00
BERN       010415 300  142500-143000   20      42.32  710.6     42.56     4.50     4.50
BERN       010415 300  143000-143500   20      42.84  710.5     43.04     5.70     5.70
BERN       010415 300  143500-144000   20      43.65  710.5     43.86     7.70     7.70
BERN       010415 300  144000-144500   20      43.00  710.5     43.21     6.10     6.10
BERN       010415 300  144500-145000   20      43.36  710.5     43.57     7.00     7.00
BERN       010415 300  145000-145500   20      42.52  710.4     42.68     4.80     4.80
BERN       010415 300  145500-150000   20      43.64  710.4     43.81     7.60     7.60
BERN       010415 300  150000-150500   20      42.50  710.4     42.66     4.80     4.80
BERN       010415 300  150500-151000   20      41.54  710.4     41.70     2.40     2.40
BERN       010415 300  151000-151500   20      42.54  710.3     42.66     4.80     4.80
BERN       010415 300  151500-152000   20      41.59  710.3     41.71     2.40     2.40
BERN       010415 300  152000-152500   20      41.90  710.2     41.98     3.10     3.10
BERN       010415 300  152500-153000   20      40.83  710.3     40.95     0.60     0.60
BERN       010415 300  153000-153500   20      40.79  710.3     40.91     0.50     0.50
BERN       010415 300  153500-154000   20      42.03  710.3     42.15     3.50     3.50
BERN       010415 300  154000-154500   20      42.73  710.3     42.85     5.30     5.30
BERN       010415 300  154500-155000   20      41.86  710.3     41.98     3.10     3.10
BERN       010415 300  155000-155500   20      41.79  710.3     41.91     2.90     2.90
BERN       010415 300  155500-160000   20      41.18  710.3     41.30     1.40     1.40
BERN       010415 300  160000-160500   20      40.73  710.3     40.85     0.30     0.30
BERN       010415 300  160500-161000   20      41.62  710.3     41.74     2.50     2.50
BERN       010415 300  161000-161500   20      40.73  710.3     40.85     0.30     0.30
BERN       010415 300  161500-162000   20      41.49  710.3     41.61     2.20     2.20
BERN       010415 300  162000-162500   20      42.37  710.3     42.49     4.40     4.40
BERN       010415 300  162500-163000   20      41.51  710.3     41.63     2.20     2.20
BERN       010415 300  163000-163500   20      40.59  710.3     40.70     0.00     0.00
BERN       010415 300  163500-164000   20      41.77  710.3     41.89     2.90     2.90
BERN       010415 300  164000-164500   20      41.10  710.3     41.21     1.20     1.20
BERN       010415 300  164500-165000   20      41.38  710.3     41.50     1.90     1.90
BERN       010415 300  165000-165500   20      41.34  710.2     41.42     1.70     1.70
BERN       010415 300  165500-170000   20      41.94  710.2     42.02     3.20     3.20
BERN       010415 300  170000-170500   20      40.62  710.2     40.70     0.00     0.00
BERN       010415 300  170500-171000   20      42.07  710.2     42.15     3.50     3.50
BERN       010415 300  171000-171500   20      40.17  710.2     40.25    -1.10    -1.10
BERN       010415 300  171500-172000   20      41.38  710.2     41.45     1.80     1.80
BERN       010415 300  172000-172500   20      42.22  710.2     42.30     3.90     3.90
BERN       010415 300  172500-173000   20      41.44  710.2     41.52     2.00     2.00
BERN       010415 300  173000-173500   20      40.09  710.1     40.13    -1.40    -1.40
BERN       010415 300  173500-174000   20      39.17  710.1     39.20    -3.70    -3.70
BERN       010415 300  174000-174500   20      42.20  710.1     42.24     3.70     3.70
BERN       010415 300  174500-175000   20      42.10  710.1     42.14     3.50     3.50
BERN       010415 300  175000-175500   20      40.88  710.1     40.92     0.50     0.50
BERN       010415 300  175500-180000   20      40.86  710.1     40.90     0.50     0.50
BERN       010415 300  180000-180500   20      40.49  710.1     40.53    -0.50    -0.50
BERN       010415 300  180500-181000   20      41.56  710.1     41.60     2.20     2.20
BERN       010415 300  181000-181500   20      40.60  710.1     40.64    -0.20    -0.20
BERN       010415 300  181500-182000   20      41.04  710.1     41.08     0.90     0.90
BERN       010415 300  182000-182500   20      42.47  710.1     42.51     4.40     4.40
BERN       010415 300  182500-183000   20      41.46  710.1     41.50     1.90     1.90
BERN       010415 300  183000-183500   20      41.78  710.1     41.82     2.70     2.70
BERN       010415 300  183500-184000   20      40.46  710.1     40.50    -0.50    -0.50
BERN       010415 300  184000-184500   20      41.33  710.0     41.33     1.50     1.50
BERN       010415 300  184500-185000   20      40.09  710.0     40.09    -1.50    -1.50
BERN       010415 300  185000-185500   20      40.62  710.0     40.62    -0.20    -0.20
BERN       010415 300  185500-190000   20      40.30  710.0     40.30    -1.00    -1.00
BERN       010415 300  190000-190500   20      39.99  709.9     39.95    -1.90    -9999
BERN       010415 300  190500-191000   20      41.79  709.9     41.75     2.50    -9999
BERN       010415 300  191000-191500   20      40.78  709.9     40.74     0.10    -9999
BERN       010415 300  191500-192000   20      39.69  709.9     39.65    -2.60    -9999
BERN       010415 300  192000-192500   20      40.28  709.9     40.24    -1.20    -9999
BERN       010415 300  192500-193000   20      40.50  709.9     40.46    -0.60    -9999
BERN       010415 300  193000-193500   20      40.68  709.9     40.64    -0.20    -9999
BERN       010415 300  193500-194000   20      42.03  709.9     41.99     3.10    -9999
BERN       010415 300  194000-194500   20      39.74  709.9     39.70    -2.50    -9999
BERN       010415 300  194500-195000   20      40.95  709.9     40.91     0.50    -9999
BERN       010415 300  195000-195500   20      41.12  709.9     41.08     0.90    -9999
BERN       010415 300  195500-200000   20      39.70  709.9     39.66    -2.60    -9999
BERN       010415 300  200000-200500   20      40.62  709.9     40.58    -0.30    -9999
BERN       010415 300  200500-201000   20      40.44  709.9     40.40    -0.80    -9999
BERN       010415 300  201000-201500   20      41.46  709.9     41.42     1.70    -9999
BERN       010415 300  201500-202000   20      40.29  709.8     40.21    -1.20    -9999
BERN       010415 300  202000-202500   20      40.03  709.8     39.96    -1.90    -9999
BERN       010415 300  202500-203000   20      39.71  709.8     39.64    -2.60    -9999
BERN       010415 300  203000-203500   20      39.69  709.7     39.58    -2.80    -9999
