NOVOSIBIRS LATITUDE    54.8      LONGITUDE     83        ALTITUDE    163 M
NOVOSIBIRS INSTRUMENT   24-NM-64  NEUTRON MONITOR
NOVOSIBIRS STANDARD PRESSURE    980.1   MB     COEFFICIENT   -0.72     % / MB
NOVOSIBIRS PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
NOVOSIBIRS PRE-INCREASE AVERAGE COUNTING RATE    172.41      COUNTS PER SECOND
NOVOSIBIRS TIME INTERVALS    300         3600     
NOVOSIBIRS SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
NOVOSIBIRS 010414 3600 000000-010000   00     160.32  985.8    167.04    -3.10    -9999
NOVOSIBIRS 010414 3600 010000-020000   00     161.03  986.0    168.02    -2.50    -9999
NOVOSIBIRS 010414 3600 020000-030000   00     160.68  986.1    167.77    -2.70    -9999
NOVOSIBIRS 010414 3600 030000-040000   00     160.36  986.8    168.28    -2.40    -9999
NOVOSIBIRS 010414 3600 040000-050000   00     159.57  987.4    168.18    -2.40    -9999
NOVOSIBIRS 010414 3600 050000-060000   00     159.18  987.8    168.26    -2.40    -9999
NOVOSIBIRS 010414 3600 060000-070000   00     158.79  988.4    168.57    -2.20    -9999
NOVOSIBIRS 010414 3600 070000-080000   00     158.29  989.0    168.77    -2.10    -9999
NOVOSIBIRS 010414 3600 080000-090000   00     157.26  989.5    168.27    -2.40    -9999
NOVOSIBIRS 010414 3600 090000-100000   00     155.95  989.8    167.23    -3.00    -9999
NOVOSIBIRS 010414 3600 100000-110000   00     156.41  990.1    168.09    -2.50    -9999
NOVOSIBIRS 010414 3600 110000-120000   00     155.80  990.1    167.44    -2.90    -9999
NOVOSIBIRS 010414 3600 120000-130000   00     154.70  990.8    167.09    -3.10    -9999
NOVOSIBIRS 010414 3600 130000-140000   00     154.24  991.7    167.68    -2.70    -9999
NOVOSIBIRS 010414 3600 140000-150000   00     153.96  991.8    167.49    -2.90    -9999
NOVOSIBIRS 010414 3600 150000-160000   00     153.46  992.2    167.43    -2.90    -9999
NOVOSIBIRS 010414 3600 160000-170000   00     153.00  992.1    166.80    -3.30    -9999
NOVOSIBIRS 010414 3600 170000-180000   00     153.46  992.0    167.19    -3.00    -9999
NOVOSIBIRS 010414 3600 180000-190000   00     153.99  991.3    166.92    -3.20    -9999
NOVOSIBIRS 010414 3600 190000-200000   00     154.24  991.4    167.31    -3.00    -9999
NOVOSIBIRS 010414 3600 200000-210000   00     155.56  991.4    168.74    -2.10    -9999
NOVOSIBIRS 010414 3600 210000-220000   00     156.09  991.0    168.83    -2.10    -9999
NOVOSIBIRS 010414 3600 220000-230000   00     157.08  990.4    169.18    -1.90    -9999
NOVOSIBIRS 010414 3600 230000-240000   00     159.36  989.2    170.15    -1.30    -9999
NOVOSIBIRS 010415 3600 000000-010000   00     159.25  988.3    168.94    -2.00    -9999
NOVOSIBIRS 010415 3600 010000-020000   00     160.60  988.0    170.00    -1.40    -9999
