CALGARY    LATITUDE    51.08     LONGITUDE     -114.13   ALTITUDE    1128 M
CALGARY    INSTRUMENT   12NM64    NEUTRON MONITOR     	
CALGARY    STANDARD PRESSURE    885     mb     COEFFICIENT   -0.73     % / mb
CALGARY    PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
CALGARY    PRE-INCREASE AVERAGE COUNTING RATE    263.82      COUNTS PER SECOND
CALGARY    TIME INTERVALS    300         3600     
CALGARY    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
CALGARY    031028 300  121500-122000   00     295.27  882.0    288.87     9.50     9.28
CALGARY    031028 300  122000-122500   00     292.72  882.0    286.38     8.60     8.38
CALGARY    031028 300  122500-123000   00     292.25  882.0    285.92     8.40     8.17
CALGARY    031028 300  123000-123500   00     292.28  881.0    283.87     7.60     7.37
CALGARY    031028 300  123500-124000   00     296.80  881.0    288.26     9.30     9.06
CALGARY    031028 300  124000-124500   00     298.67  881.0    290.07     9.90     9.66
CALGARY    031028 300  124500-125000   00     298.78  881.0    290.18    10.00     9.75
CALGARY    031028 300  125000-125500   00     302.05  881.0    293.36    11.20    10.95
CALGARY    031028 300  125500-130000   00     306.97  881.0    298.14    13.00    12.75
CALGARY    031028 300  130000-130500   00     309.32  881.0    300.42    13.90    13.64
CALGARY    031028 300  130500-131000   00     307.40  881.0    298.55    13.20    12.94
CALGARY    031028 300  131000-131500   00     309.35  881.0    300.45    13.90    13.63
CALGARY    031028 300  131500-132000   00     305.03  881.0    296.25    12.30    12.03
CALGARY    031028 300  132000-132500   00     302.82  881.0    294.11    11.50    11.22
CALGARY    031028 300  132500-133000   00     303.02  881.0    294.30    11.60    11.32
CALGARY    031028 300  133000-133500   00     302.25  880.0    291.42    10.50    10.22
CALGARY    031028 300  133500-134000   00     300.82  880.0    290.04     9.90     9.61
CALGARY    031028 300  134000-134500   00     301.85  880.0    291.03    10.30    10.01
CALGARY    031028 300  134500-135000   00     303.08  880.0    292.22    10.80    10.50
CALGARY    031028 300  135000-135500   00     301.75  880.0    290.93    10.30    10.00
CALGARY    031028 300  135500-140000   00     299.12  880.0    288.40     9.30     8.99
CALGARY    031028 300  140000-140500   00     303.48  880.0    292.60    10.90    10.59
CALGARY    031028 300  140500-141000   00     303.80  880.0    292.91    11.00    10.69
CALGARY    031028 300  141000-141500   00     304.13  880.0    293.23    11.10    10.78
CALGARY    031028 300  141500-142000   00     301.78  879.0    288.85     9.50     9.18
CALGARY    031028 300  142000-142500   00     302.58  879.0    289.61     9.80     9.47
CALGARY    031028 300  142500-143000   00     306.47  879.0    293.34    11.20    10.87
CALGARY    031028 300  143000-143500   00     306.37  879.0    293.24    11.20    10.87
CALGARY    031028 300  143500-144000   00     307.00  879.0    293.84    11.40    11.06
CALGARY    031028 300  144000-144500   00     305.10  879.0    292.03    10.70    10.36
CALGARY    031028 300  144500-145000   00     305.57  878.0    290.35    10.10     9.75
CALGARY    031028 300  145000-145500   00     305.77  878.0    290.54    10.10     9.75
CALGARY    031028 300  145500-150000   00     307.03  878.0    291.73    10.60    10.24
CALGARY    031028 300  150000-150500   00     309.32  878.0    293.91    11.40    11.04
CALGARY    031028 300  150500-151000   00     307.87  878.0    292.53    10.90    10.54
CALGARY    031028 300  151000-151500   00     308.07  878.0    292.72    11.00    10.63
CALGARY    031028 300  151500-152000   00     310.78  877.0    293.15    11.10    10.73
CALGARY    031028 300  152000-152500   00     308.62  877.0    291.11    10.30     9.92
CALGARY    031028 300  152500-153000   00     309.78  877.0    292.21    10.80    10.42
CALGARY    031028 300  153000-153500   00     308.20  877.0    290.72    10.20     9.81
CALGARY    031028 300  153500-154000   00     309.48  877.0    291.92    10.70    10.31
CALGARY    031028 300  154000-154500   00     310.88  877.0    293.24    11.20    10.81
CALGARY    031028 300  154500-155000   00     313.40  876.0    293.47    11.20    10.80
CALGARY    031028 300  155000-155500   00     310.38  876.0    290.64    10.20     9.80
CALGARY    031028 300  155500-160000   00     311.22  876.0    291.43    10.50    10.09
CALGARY    031028 300  160000-160500   00     311.35  876.0    291.55    10.50    10.09
CALGARY    031028 300  160500-161000   00     311.25  876.0    291.46    10.50    10.08
CALGARY    031028 300  161000-161500   00     312.25  876.0    292.39    10.80    10.38
CALGARY    031028 300  161500-162000   00     310.08  875.0    288.25     9.30     8.88
CALGARY    031028 300  162000-162500   00     315.30  875.0    293.10    11.10    10.67
CALGARY    031028 300  162500-163000   00     314.93  875.0    292.76    11.00    10.57
CALGARY    031028 300  163000-163500   00     314.40  875.0    292.27    10.80    10.36
CALGARY    031028 300  163500-164000   00     316.00  875.0    293.75    11.30    10.86
CALGARY    031028 300  164000-164500   00     312.68  875.0    290.67    10.20     9.76
CALGARY    031028 300  164500-165000   00     314.70  874.0    290.42    10.10     9.65
CALGARY    031028 300  165000-165500   00     313.93  874.0    289.71     9.80     9.35
CALGARY    031028 300  165500-170000   00     317.47  874.0    292.97    11.00    10.54
CALGARY    031028 300  170000-170500   00     315.93  874.0    291.55    10.50    10.04
CALGARY    031028 300  170500-171000   00     316.67  874.0    292.24    10.80    10.33
CALGARY    031028 300  171000-171500   00     317.33  874.0    292.84    11.00    10.53
CALGARY    031028 300  171500-172000   00     318.62  874.0    294.04    11.50    11.03
CALGARY    031028 300  172000-172500   00     318.32  874.0    293.76    11.30    10.82
CALGARY    031028 300  172500-173000   00     317.37  874.0    292.88    11.00    10.52
CALGARY    031028 300  173000-173500   00     318.35  873.0    291.65    10.50    10.01
CALGARY    031028 300  173500-174000   00     318.65  873.0    291.92    10.70    10.21
CALGARY    031028 300  174000-174500   00     319.45  873.0    292.66    10.90    10.40
CALGARY    031028 300  174500-175000   00     319.45  873.0    292.66    10.90    10.40
CALGARY    031028 300  175000-175500   00     320.08  873.0    293.23    11.10    10.60
CALGARY    031028 300  175500-180000   00     319.68  873.0    292.87    11.00    10.49
CALGARY    031028 300  180000-180500   00     318.52  873.0    291.80    10.60    10.09
CALGARY    031028 300  180500-181000   00     320.08  873.0    293.23    11.10    10.58
CALGARY    031028 300  181000-181500   00     320.32  873.0    293.45    11.20    10.68
CALGARY    031028 300  181500-182000   00     318.72  872.0    289.86     9.90     9.38
CALGARY    031028 300  182000-182500   00     322.35  872.0    293.17    11.10    10.57
CALGARY    031028 300  182500-183000   00     320.35  872.0    291.35    10.40     9.87
CALGARY    031028 300  183000-183500   00     318.75  872.0    289.89     9.90     9.36
CALGARY    031028 300  183500-184000   00     323.90  872.0    294.58    11.70    11.16
CALGARY    031028 300  184000-184500   00     323.37  872.0    294.09    11.50    10.95
CALGARY    031028 300  184500-185000   00     323.53  871.0    292.10    10.70    10.15
CALGARY    031028 300  185000-185500   00     324.43  871.0    292.91    11.00    10.45
CALGARY    031028 300  185500-190000   00     324.63  871.0    293.09    11.10    10.54
CALGARY    031028 300  190000-190500   00     321.18  871.0    289.98     9.90     9.34
CALGARY    031028 300  190500-191000   00     326.37  871.0    294.66    11.70    11.13
CALGARY    031028 300  191000-191500   00     327.47  871.0    295.66    12.10    11.53
CALGARY    031028 300  191500-192000   00     322.58  870.0    289.12     9.60     9.02
CALGARY    031028 300  192000-192500   00     326.13  870.0    292.30    10.80    10.22
CALGARY    031028 300  192500-193000   00     325.13  870.0    291.41    10.50     9.92
CALGARY    031028 300  193000-193500   00     324.93  870.0    291.23    10.40     9.81
CALGARY    031028 300  193500-194000   00     323.73  870.0    290.15    10.00     9.41
CALGARY    031028 300  194000-194500   00     326.33  870.0    292.48    10.90    10.30
CALGARY    031028 300  194500-195000   00     323.00  869.0    287.39     8.90     8.30
CALGARY    031028 300  195000-195500   00     324.17  869.0    288.43     9.30     8.69
CALGARY    031028 300  195500-200000   00     324.93  869.0    289.11     9.60     8.99
