MCMURDO    LATITUDE    -77.95    LONGITUDE     166.6     ALTITUDE    48 M
MCMURDO    INSTRUMENT   18NM64    NEUTRON MONITOR     	
MCMURDO    STANDARD PRESSURE    981.6   mb     COEFFICIENT   -0.743    % / mb
MCMURDO    PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
MCMURDO    PRE-INCREASE AVERAGE COUNTING RATE    251.26      COUNTS PER SECOND
MCMURDO    TIME INTERVALS    300         3600     
MCMURDO    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
MCMURDO    061213 300  043500-044000   00     287.06  981.0    285.87    13.80    12.66
MCMURDO    061213 300  044000-044500   00     286.06  981.0    284.85    13.40    12.24
MCMURDO    061213 300  044500-045000   00     283.44  981.0    282.22    12.30    11.12
MCMURDO    061213 300  045000-045500   00     283.88  981.0    282.64    12.50    11.29
MCMURDO    061213 300  045500-050000   00     281.98  981.0    280.74    11.70    10.47
MCMURDO    061213 300  050000-050500   00     278.16  981.0    276.93    10.20     8.95
MCMURDO    061213 300  050500-051000   00     278.42  981.0    277.20    10.30     9.02
MCMURDO    061213 300  051000-051500   00     277.44  981.0    276.25     9.90     8.60
MCMURDO    061213 300  051500-052000   00     276.82  981.0    275.65     9.70     8.38
MCMURDO    061213 300  052000-052500   00     275.16  981.0    274.01     9.10     7.76
MCMURDO    061213 300  052500-053000   00     271.04  981.0    269.92     7.40     6.04
MCMURDO    061213 300  053000-053500   00     273.34  981.1    272.23     8.30     6.92
MCMURDO    061213 300  053500-054000   00     271.04  981.1    269.96     7.40     6.00
MCMURDO    061213 300  054000-054500   00     273.34  981.1    272.27     8.40     6.98
MCMURDO    061213 300  054500-055000   00     270.14  981.1    269.10     7.10     5.66
MCMURDO    061213 300  055000-055500   00     268.60  981.1    267.58     6.50     5.04
MCMURDO    061213 300  055500-060000   00     272.44  981.1    271.42     8.00     6.52
MCMURDO    061213 300  060000-060500   00     269.00  981.1    268.00     6.70     5.20
MCMURDO    061213 300  060500-061000   00     266.12  981.1    265.11     5.50     3.98
MCMURDO    061213 300  061000-061500   00     266.32  981.1    265.29     5.60     4.07
MCMURDO    061213 300  061500-062000   00     267.04  981.1    265.99     5.90     4.35
MCMURDO    061213 300  062000-062500   00     268.40  981.1    267.33     6.40     4.83
MCMURDO    061213 300  062500-063000   00     264.72  981.1    263.65     4.90     3.32
MCMURDO    061213 300  063000-063500   00     262.98  981.0    261.90     4.20     2.60
MCMURDO    061213 300  063500-064000   00     265.24  981.0    264.13     5.10     3.48
MCMURDO    061213 300  064000-064500   00     261.64  981.0    260.54     3.70     2.07
MCMURDO    061213 300  064500-065000   00     263.76  981.0    262.63     4.50     2.85
MCMURDO    061213 300  065000-065500   00     263.16  981.0    262.01     4.30     2.64
MCMURDO    061213 300  065500-070000   00     264.16  981.0    263.00     4.70     3.03
MCMURDO    061213 300  070000-070500   00     263.50  981.0    262.33     4.40     2.71
MCMURDO    061213 300  070500-071000   00     264.06  981.0    262.88     4.60     2.90
MCMURDO    061213 300  071000-071500   00     261.94  981.0    260.78     3.80     2.09
MCMURDO    061213 300  071500-072000   00     262.36  981.0    261.19     4.00     2.27
MCMURDO    061213 300  072000-072500   00     261.08  981.0    259.92     3.40     1.66
MCMURDO    061213 300  072500-073000   00     260.14  981.0    258.98     3.10     1.35
MCMURDO    061213 300  073000-073500   00     265.20  981.0    264.02     5.10     3.34
MCMURDO    061213 300  073500-074000   00     262.10  981.0    260.93     3.80     2.03
MCMURDO    061213 300  074000-074500   00     262.56  981.0    261.39     4.00     2.21
MCMURDO    061213 300  074500-075000   00     260.82  981.0    259.66     3.30     1.50
MCMURDO    061213 300  075000-075500   00     264.54  981.0    263.36     4.80     2.99
MCMURDO    061213 300  075500-080000   00     263.14  981.0    261.97     4.30     2.48
MCMURDO    061213 3600 080000-090000   00     260.12  981.0    258.96     3.10     1.22
MCMURDO    061213 3600 090000-100000   00     259.00  980.9    257.66     2.50     0.57
MCMURDO    061213 3600 100000-110000   00     257.43  980.8    255.91     1.80    -0.14
MCMURDO    061213 3600 110000-120000   00     257.91  980.8    256.38     2.00    -9999
MCMURDO    061213 3600 120000-130000   00     257.53  980.8    256.01     1.90    -9999
MCMURDO    061213 3600 130000-140000   00     257.10  980.6    255.20     1.60    -9999
MCMURDO    061213 3600 140000-150000   00     256.95  980.5    254.86     1.40    -9999
MCMURDO    061213 3600 150000-160000   00     255.96  980.5    253.87     1.00    -9999
MCMURDO    061213 3600 160000-170000   00     256.65  980.5    254.57     1.30    -9999
MCMURDO    061213 3600 170000-180000   00     256.56  980.5    254.47     1.30    -9999
MCMURDO    061213 3600 180000-190000   00     255.33  980.6    253.44     0.90    -9999
MCMURDO    061213 3600 190000-200000   00     256.31  980.7    254.60     1.30    -9999
MCMURDO    061213 3600 200000-210000   00     254.75  980.7    253.05     0.70    -9999
MCMURDO    061213 3600 210000-220000   00     255.10  980.7    253.40     0.90    -9999
MCMURDO    061213 3600 220000-230000   00     254.40  980.7    252.70     0.60    -9999
MCMURDO    061213 3600 230000-240000   00     250.54  980.7    248.87    -1.00    -9999
*
"Comment: The Clock of Regisrator is fast on+sec (slow on-sec) is supporting by GPS or InternetClockServer;"
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2023-02-24 11:29:29 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE70/C070MCMD_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
