HERMANUS   LATITUDE    -34.42    LONGITUDE     19.22     ALTITUDE    26 M
HERMANUS   INSTRUMENT   12NM64    NEUTRON MONITOR     
HERMANUS   STANDARD PRESSURE    760     MMHG   COEFFICIENT   0.95      % / MMHG
HERMANUS   PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
HERMANUS   PRE-INCREASE AVERAGE COUNTING RATE    119.84      COUNTS PER SECOND
HERMANUS   TIME INTERVALS    300         3600     
HERMANUS   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
HERMANUS   061213 300  034000-034500   00     123.15  757.7    120.49     0.50     0.39
HERMANUS   061213 300  034500-035000   00     122.25  757.7    119.61    -0.20    -0.32
HERMANUS   061213 300  035000-035500   00     123.54  757.6    120.73     0.70     0.57
HERMANUS   061213 300  035500-040000   00     124.71  757.5    121.79     1.60     1.47
HERMANUS   061213 300  040000-040500   00     123.17  757.5    120.28     0.40     0.26
HERMANUS   061213 300  040500-041000   00     123.70  757.4    120.63     0.60     0.46
HERMANUS   061213 300  041000-041500   00     124.42  757.3    121.24     1.20     1.05
HERMANUS   061213 300  041500-042000   00     122.86  757.2    119.64    -0.20    -0.35
HERMANUS   061213 300  042000-042500   00     124.41  757.2    121.12     1.10     0.94
HERMANUS   061213 300  042500-043000   00     123.16  757.1    119.84     0.00    -0.17
HERMANUS   061213 300  043000-043500   00     124.59  757.2    121.32     1.20     1.03
HERMANUS   061213 300  043500-044000   00     123.65  757.1    120.34     0.40     0.22
HERMANUS   061213 300  044000-044500   00     125.25  757.0    121.74     1.60     1.41
HERMANUS   061213 300  044500-045000   00     123.75  756.9    120.16     0.30     0.11
HERMANUS   061213 300  045000-045500   00     123.80  756.9    120.21     0.30     0.10
HERMANUS   061213 300  045500-050000   00     123.87  756.9    120.27     0.40     0.19
HERMANUS   061213 300  050000-050500   00     123.70  756.9    120.11     0.20    -0.01
HERMANUS   061213 300  050500-051000   00     123.47  756.9    119.89     0.00    -0.22
HERMANUS   061213 300  051000-051500   00     122.61  757.0    119.14    -0.60    -0.83
HERMANUS   061213 300  051500-052000   00     124.85  757.1    121.46     1.40     1.17
HERMANUS   061213 300  052000-052500   00     124.55  757.1    121.21     1.10     0.86
HERMANUS   061213 300  052500-053000   00     122.99  757.2    119.78     0.00    -0.25
HERMANUS   061213 300  053000-053500   00     124.47  757.3    121.32     1.20     0.94
HERMANUS   061213 300  053500-054000   00     122.98  757.4    119.97     0.10    -0.16
HERMANUS   061213 300  054000-054500   00     122.77  757.4    119.82     0.00    -0.27
HERMANUS   061213 300  054500-055000   00     122.55  757.5    119.70    -0.10    -0.38
HERMANUS   061213 300  055000-055500   00     121.77  757.6    119.03    -0.70    -0.99
HERMANUS   061213 300  055500-060000   00     122.94  757.6    120.17     0.30     0.01
HERMANUS   061213 300  060000-060500   00     123.50  757.6    120.67     0.70     0.40
HERMANUS   061213 300  060500-061000   00     122.46  757.5    119.54    -0.30    -0.61
HERMANUS   061213 300  061000-061500   00     122.63  757.3    119.57    -0.20    -0.52
HERMANUS   061213 300  061500-062000   00     124.44  757.2    121.17     1.10     0.78
HERMANUS   061213 300  062000-062500   00     123.36  757.2    120.12     0.20    -0.13
HERMANUS   061213 300  062500-063000   00     123.97  757.2    120.71     0.70     0.36
HERMANUS   061213 300  063000-063500   00     124.26  757.2    121.00     0.90     0.55
HERMANUS   061213 300  063500-064000   00     123.16  757.2    119.90     0.00    -0.36
HERMANUS   061213 300  064000-064500   00     124.65  757.1    121.26     1.20     0.83
HERMANUS   061213 300  064500-065000   00     122.94  757.1    119.60    -0.20    -0.57
HERMANUS   061213 300  065000-065500   00     121.92  757.1    118.58    -1.00    -1.38
HERMANUS   061213 300  065500-070000   00     122.86  757.0    119.39    -0.40    -0.79
HERMANUS   061213 300  070000-070500   00     125.71  756.9    122.06     1.80     1.40
HERMANUS   061213 300  070500-071000   00     125.18  756.9    121.54     1.40     0.99
HERMANUS   061213 300  071000-071500   00     125.24  757.0    121.67     1.50     1.08
HERMANUS   061213 300  071500-072000   00     123.86  757.0    120.34     0.40    -0.03
HERMANUS   061213 300  072000-072500   00     123.35  756.9    119.77    -0.10    -0.54
HERMANUS   061213 300  072500-073000   00     122.99  757.0    119.54    -0.30    -0.75
HERMANUS   061213 300  073000-073500   00     124.81  757.0    121.30     1.20     0.74
HERMANUS   061213 300  073500-074000   00     123.18  757.0    119.72    -0.10    -0.57
HERMANUS   061213 300  074000-074500   00     122.79  757.1    119.41    -0.40    -0.87
HERMANUS   061213 300  074500-075000   00     125.28  757.1    121.87     1.70     1.22
HERMANUS   061213 300  075000-075500   00     123.97  757.1    120.57     0.60     0.11
HERMANUS   061213 300  075500-080000   00     123.96  757.1    120.59     0.60     0.10
HERMANUS   061213 300  080000-080500   00     124.93  757.1    121.49     1.40     0.89
HERMANUS   061213 300  080500-081000   00     123.71  757.0    120.24     0.30    -9999
HERMANUS   061213 300  081000-081500   00     124.99  756.9    121.38     1.30    -9999
HERMANUS   061213 300  081500-082000   00     124.84  757.0    121.36     1.30    -9999
HERMANUS   061213 300  082000-082500   00     122.72  757.1    119.38    -0.40    -9999
HERMANUS   061213 300  082500-083000   00     124.87  757.1    121.47     1.40    -9999
HERMANUS   061213 300  083000-083500   00     123.10  757.1    119.80     0.00    -9999
HERMANUS   061213 300  083500-084000   00     123.52  757.1    120.16     0.30    -9999
HERMANUS   061213 300  084000-084500   00     123.69  757.2    120.40     0.50    -9999
HERMANUS   061213 300  084500-085000   00     124.26  757.2    120.95     0.90    -9999
HERMANUS   061213 300  085000-085500   00     123.51  757.2    120.25     0.30    -9999
HERMANUS   061213 300  085500-090000   00     123.66  757.1    120.30     0.40    -9999
HERMANUS   061213 300  090000-090500   00     123.34  757.1    119.97     0.10    -9999
HERMANUS   061213 300  090500-091000   00     122.93  757.0    119.48    -0.30    -9999
HERMANUS   061213 300  091000-091500   00     124.76  756.9    121.14     1.10    -9999
HERMANUS   061213 300  091500-092000   00     122.31  756.8    118.64    -1.00    -9999
HERMANUS   061213 300  092000-092500   00     123.71  756.7    119.92     0.10    -9999
HERMANUS   061213 300  092500-093000   00     124.01  756.7    120.16     0.30    -9999
HERMANUS   061213 300  093000-093500   00     124.97  756.5    120.94     0.90    -9999
HERMANUS   061213 300  093500-094000   00     125.04  756.5    120.95     0.90    -9999
HERMANUS   061213 300  094000-094500   00     124.34  756.4    120.19     0.30    -9999
