Fort SMITH LATITUDE    60        LONGITUDE     -112      ALTITUDE    0 M
Fort SMITH INSTRUMENT   18NM64    NEUTRON MONITOR     	
Fort SMITH STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.72     % / MB
Fort SMITH PRE-INCREASE BASELINE TIME INTERVAL    211028    130000-150000   UT
Fort SMITH PRE-INCREASE AVERAGE COUNTING RATE    226.72      COUNTS PER SECOND
Fort SMITH TIME INTERVALS    300         3600     
Fort SMITH SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
Fort SMITH 211028 300  143500-144000   00     295.97  978.3    228.81     0.92    -9999
Fort SMITH 211028 300  144000-144500   00     293.81  978.3    227.19     0.21    -9999
Fort SMITH 211028 300  144500-145000   00     295.23  978.3    228.29     0.69    -9999
Fort SMITH 211028 300  145000-145500   00     292.63  978.4    226.32    -0.18    -9999
Fort SMITH 211028 300  145500-150000   00     293.80  978.3    227.22     0.22    -9999
Fort SMITH 211028 300  150000-150500   00     294.16  978.3    227.48     0.33     0.06
Fort SMITH 211028 300  150500-151000   00     294.85  978.3    227.96     0.54     0.25
Fort SMITH 211028 300  151000-151500   00     296.99  978.3    229.65     1.29     0.98
Fort SMITH 211028 300  151500-152000   00     294.02  978.4    227.42     0.31    -0.02
Fort SMITH 211028 300  152000-152500   00     292.64  978.3    226.33    -0.17    -0.52
Fort SMITH 211028 300  152500-153000   00     294.38  978.4    227.71     0.44     0.07
Fort SMITH 211028 300  153000-153500   00     294.02  978.4    227.44     0.31    -0.08
Fort SMITH 211028 300  153500-154000   00     293.53  978.4    227.08     0.16    -0.25
Fort SMITH 211028 300  154000-154500   00     296.72  978.4    229.61     1.28     0.85
Fort SMITH 211028 300  154500-155000   00     294.36  978.4    227.80     0.47     0.02
Fort SMITH 211028 300  155000-155500   00     294.96  978.4    228.30     0.69     0.23
Fort SMITH 211028 300  155500-160000   00     297.51  978.4    230.28     1.57     1.09
Fort SMITH 211028 300  160000-160500   00     296.31  978.5    229.33     1.15     0.65
Fort SMITH 211028 300  160500-161000   00     302.17  978.5    233.97     3.20     2.68
Fort SMITH 211028 300  161000-161500   00     304.59  978.6    235.86     4.03     3.49
Fort SMITH 211028 300  161500-162000   00     305.68  978.6    236.77     4.43     3.88
Fort SMITH 211028 300  162000-162500   00     305.04  978.6    236.31     4.23     3.66
Fort SMITH 211028 300  162500-163000   00     307.20  978.6    237.97     4.96     4.37
Fort SMITH 211028 300  163000-163500   00     307.15  978.6    237.99     4.97     4.37
Fort SMITH 211028 300  163500-164000   00     308.70  978.7    239.29     5.54     4.92
Fort SMITH 211028 300  164000-164500   00     305.48  978.8    236.96     4.51     3.88
Fort SMITH 211028 300  164500-165000   00     303.89  978.8    235.77     3.99     3.34
Fort SMITH 211028 300  165000-165500   00     308.29  978.8    239.20     5.50     4.83
Fort SMITH 211028 300  165500-170000   00     307.34  978.8    238.46     5.18     4.50
Fort SMITH 211028 300  170000-170500   00     306.34  978.8    237.72     4.85     4.16
Fort SMITH 211028 300  170500-171000   00     308.15  978.8    239.13     5.47     4.76
Fort SMITH 211028 300  171000-171500   00     307.20  978.8    238.37     5.14     4.42
Fort SMITH 211028 300  171500-172000   00     301.72  978.8    234.14     3.27     2.53
Fort SMITH 211028 300  172000-172500   00     306.16  978.8    237.53     4.77     4.02
Fort SMITH 211028 300  172500-173000   00     302.45  978.7    234.60     3.47     2.71
Fort SMITH 211028 300  173000-173500   00     303.02  978.8    235.07     3.68     2.90
Fort SMITH 211028 300  173500-174000   00     303.67  978.7    235.54     3.89     3.10
Fort SMITH 211028 300  174000-174500   00     303.00  978.7    235.03     3.66     2.86
Fort SMITH 211028 300  174500-175000   00     302.14  978.7    234.31     3.35     2.53
Fort SMITH 211028 300  175000-175500   00     305.19  978.7    236.64     4.37     3.54
Fort SMITH 211028 300  175500-180000   00     302.76  978.7    234.80     3.56     2.72
Fort SMITH 211028 300  180000-180500   00     305.30  978.7    236.77     4.43     3.58
