APATITY    LATITUDE    67.55     LONGITUDE     33.33     ALTITUDE    177 M
APATITY    INSTRUMENT   18-NM-64  NEUTRON MONITOR	
APATITY    STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.72     % / MB
APATITY    PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
APATITY    PRE-INCREASE AVERAGE COUNTING RATE    145.42      COUNTS PER SECOND
APATITY    TIME INTERVALS    300         3600     
APATITY    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
APATITY    000714 300  131500-132000   00     177.49  988.4    163.27    12.30    12.20
APATITY    000714 300  132000-132500   00     175.36  988.4    161.31    10.90    10.80
APATITY    000714 300  132500-133000   00     175.36  988.4    161.31    10.90    10.80
APATITY    000714 300  133000-133500   00     174.08  988.4    160.13    10.10    10.00
APATITY    000714 300  133500-134000   00     173.23  988.4    159.35     9.60     9.49
APATITY    000714 300  134000-134500   00     173.65  988.4    159.74     9.80     9.69
APATITY    000714 300  134500-135000   00     174.51  988.4    160.52    10.40    10.29
APATITY    000714 300  135000-135500   00     173.65  988.4    159.74     9.80     9.69
APATITY    000714 300  135500-136000   00     173.23  988.4    159.35     9.60     9.48
APATITY    000714 300  140000-140500   00     172.37  988.6    158.79     9.20     9.08
APATITY    000714 300  140500-141000   00     171.52  988.6    158.00     8.70     8.58
APATITY    000714 300  141000-141500   00     171.09  988.6    157.61     8.40     8.28
APATITY    000714 300  141500-142000   00     172.37  988.6    158.79     9.20     9.07
APATITY    000714 300  142000-142500   00     170.67  988.6    157.22     8.10     7.97
APATITY    000714 300  142500-143000   00     169.39  988.6    156.04     7.30     7.17
APATITY    000714 300  143000-143500   00     168.96  988.6    155.65     7.00     6.87
APATITY    000714 300  143500-144000   00     169.39  988.6    156.04     7.30     7.16
APATITY    000714 300  144000-144500   00     170.24  988.6    156.82     7.80     7.66
APATITY    000714 300  144500-145000   00     167.68  988.6    154.47     6.20     6.06
APATITY    000714 300  145000-145500   00     170.24  988.6    156.82     7.80     7.66
APATITY    000714 300  145500-146000   00     170.24  988.6    156.82     7.80     7.65
APATITY    000714 300  150000-150500   00     166.83  988.6    153.68     5.70     5.55
APATITY    000714 300  150500-151000   00     168.53  988.6    155.25     6.80     6.65
APATITY    000714 300  151000-151500   00     169.39  988.6    156.04     7.30     7.15
APATITY    000714 300  151500-152000   00     166.40  988.6    153.29     5.40     5.24
