Fort SMITH LATITUDE    60        LONGITUDE     -112      ALTITUDE    0 M
Fort SMITH INSTRUMENT   18NM64    NEUTRON MONITOR     	
Fort SMITH STANDARD PRESSURE    988.4   mb     COEFFICIENT   -0.75     % / mb
Fort SMITH PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
Fort SMITH PRE-INCREASE AVERAGE COUNTING RATE    217.64      COUNTS PER SECOND
Fort SMITH TIME INTERVALS    300         3600     
Fort SMITH SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
Fort SMITH 031027 3600 000000-010000   00     247.35  976.9    226.91     4.30    -9999
Fort SMITH 031027 3600 010000-020000   00     250.08  975.7    227.36     4.50    -9999
Fort SMITH 031027 3600 020000-030000   00     254.24  974.5    229.07     5.30    -9999
Fort SMITH 031027 3600 030000-040000   00     256.47  973.5    229.35     5.40    -9999
Fort SMITH 031027 3600 040000-050000   00     256.42  972.9    228.28     4.90    -9999
Fort SMITH 031027 3600 050000-060000   00     257.60  972.8    229.15     5.30    -9999
Fort SMITH 031027 3600 060000-070000   00     254.80  973.2    227.35     4.50    -9999
Fort SMITH 031027 3600 070000-080000   00     252.01  973.9    226.04     3.90    -9999
Fort SMITH 031027 3600 080000-090000   00     247.73  974.9    223.87     2.90    -9999
Fort SMITH 031027 3600 090000-100000   00     246.11  975.9    224.09     3.00    -9999
Fort SMITH 031027 3600 100000-110000   00     244.87  976.6    224.13     3.00    -9999
Fort SMITH 031027 3600 110000-120000   00     242.85  977.5    223.79     2.80    -9999
Fort SMITH 031027 3600 120000-130000   00     242.36  978.3    224.68     3.20    -9999
Fort SMITH 031027 3600 130000-140000   00     241.44  979.3    225.51     3.60    -9999
Fort SMITH 031027 3600 140000-150000   00     241.30  980.0    226.57     4.10    -9999
Fort SMITH 031027 3600 150000-160000   00     239.20  980.7    225.77     3.70    -9999
Fort SMITH 031027 3600 160000-170000   00     238.83  981.5    226.78     4.20    -9999
Fort SMITH 031027 3600 170000-180000   00     237.31  982.2    226.52     4.10    -9999
Fort SMITH 031027 3600 180000-190000   00     234.85  982.6    224.85     3.30    -9999
Fort SMITH 031027 3600 190000-200000   00     235.34  983.1    226.17     3.90    -9999
Fort SMITH 031027 3600 200000-210000   00     235.41  983.6    227.09     4.30    -9999
Fort SMITH 031027 3600 210000-220000   00     234.50  984.4    227.57     4.60    -9999
Fort SMITH 031027 3600 220000-230000   00     232.53  985.4    227.35     4.50    -9999
Fort SMITH 031027 3600 230000-240000   00     231.84  986.3    228.22     4.90    -9999
Fort SMITH 031028 3600 000000-010000   00     230.41  986.8    227.66     4.60    -9999
Fort SMITH 031028 3600 010000-020000   00     229.46  987.2    227.41     4.50    -9999
Fort SMITH 031028 3600 020000-030000   00     229.39  987.5    227.85     4.70    -9999
Fort SMITH 031028 3600 030000-040000   00     228.02  987.8    226.99     4.30    -9999
Fort SMITH 031028 3600 040000-050000   00     227.94  988.2    227.60     4.60    -9999
Fort SMITH 031028 3600 050000-060000   00     226.47  988.4    226.47     4.10    -9999
Fort SMITH 031028 3600 060000-070000   00     223.74  988.7    224.24     3.00    -9999
Fort SMITH 031028 3600 070000-080000   00     221.92  988.8    222.59     2.30    -9999
Fort SMITH 031028 3600 080000-090000   00     220.54  988.8    221.20     1.60    -9999
Fort SMITH 031028 300  090000-090500   00     221.90  988.7    222.38     2.20    -9999
Fort SMITH 031028 300  090500-091000   00     218.88  988.7    219.32     0.80    -9999
Fort SMITH 031028 300  091000-091500   00     219.98  988.6    220.38     1.30    -9999
