MOSCOW     LATITUDE    55.47     LONGITUDE     37.32     ALTITUDE    200 M
MOSCOW     INSTRUMENT   24NM64    NEUTRON MONITOR	
MOSCOW     STANDARD PRESSURE    988.9   mb     COEFFICIENT   -0.71     % / mb
MOSCOW     PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
MOSCOW     PRE-INCREASE AVERAGE COUNTING RATE    150.82      COUNTS PER SECOND
MOSCOW     TIME INTERVALS    300         3600     
MOSCOW     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
MOSCOW     031028 300  120500-121000   00     157.31  987.6    155.90     3.40     3.40
MOSCOW     031028 300  121000-121500   00     157.64  987.6    156.17     3.50     3.50
MOSCOW     031028 300  121500-122000   00     158.00  987.5    156.47     3.70     3.70
MOSCOW     031028 300  122000-122500   00     158.78  987.5    157.19     4.20     4.20
MOSCOW     031028 300  122500-123000   00     157.99  987.4    156.36     3.70     3.70
MOSCOW     031028 300  123000-123500   00     157.21  987.4    155.53     3.10     3.10
MOSCOW     031028 300  123500-124000   00     157.39  987.3    155.65     3.20     3.20
MOSCOW     031028 300  124000-124500   00     158.21  987.3    156.40     3.70     3.70
MOSCOW     031028 300  124500-125000   00     157.52  987.2    155.66     3.20     3.20
MOSCOW     031028 300  125000-125500   00     159.37  987.2    157.44     4.40     4.40
MOSCOW     031028 300  125500-130000   00     157.44  987.1    155.47     3.10     3.10
MOSCOW     031028 300  130000-130500   00     159.40  987.1    157.35     4.30     4.30
MOSCOW     031028 300  130500-131000   00     157.11  987.0    155.01     2.80     2.80
MOSCOW     031028 300  131000-131500   00     158.96  986.9    156.77     3.90     3.90
MOSCOW     031028 300  131500-132000   00     157.92  986.9    155.67     3.20     3.20
MOSCOW     031028 300  132000-132500   00     158.16  986.8    155.83     3.30     3.30
MOSCOW     031028 300  132500-133000   00     158.99  986.7    156.57     3.80     3.80
MOSCOW     031028 300  133000-133500   00     158.73  986.7    156.24     3.60     3.60
MOSCOW     031028 300  133500-134000   00     157.59  986.6    155.05     2.80     2.80
MOSCOW     031028 300  134000-134500   00     159.66  986.5    157.01     4.10     4.10
MOSCOW     031028 300  134500-135000   00     159.44  986.5    156.72     3.90     3.90
MOSCOW     031028 300  135000-135500   00     158.24  986.4    155.46     3.10     3.10
MOSCOW     031028 300  135500-140000   00     159.54  986.3    156.67     3.90     3.90
MOSCOW     031028 300  140000-140500   00     158.77  986.3    155.85     3.30     3.30
MOSCOW     031028 300  140500-141000   00     156.03  986.2    153.11     1.50     1.50
MOSCOW     031028 300  141000-141500   00     158.94  986.2    155.92     3.40     3.40
MOSCOW     031028 300  141500-142000   00     159.27  986.2    156.20     3.60     3.60
MOSCOW     031028 300  142000-142500   00     160.06  986.1    156.93     4.10     4.10
MOSCOW     031028 300  142500-143000   00     159.56  986.1    156.39     3.70     3.70
MOSCOW     031028 300  143000-143500   00     161.65  986.0    158.39     5.00     5.00
MOSCOW     031028 300  143500-144000   00     158.73  986.0    155.49     3.10     3.10
MOSCOW     031028 300  144000-144500   00     158.98  986.0    155.68     3.20     3.20
MOSCOW     031028 300  144500-145000   00     161.14  985.9    157.75     4.60     4.60
MOSCOW     031028 300  145000-145500   00     158.84  985.9    155.45     3.10     3.10
MOSCOW     031028 300  145500-150000   00     159.90  985.8    156.44     3.70     3.70
MOSCOW     031028 300  150000-150500   00     159.52  985.8    156.04     3.50     3.50
MOSCOW     031028 300  150500-151000   00     159.27  985.8    155.79     3.30     3.30
MOSCOW     031028 300  151000-151500   00     161.53  985.8    157.99     4.80     4.80
MOSCOW     031028 300  151500-152000   00     159.94  985.8    156.43     3.70     3.70
