Fort SMITH LATITUDE    60        LONGITUDE     -112      ALTITUDE    0 M
Fort SMITH INSTRUMENT   18NM64    NEUTRON MONITOR     	
Fort SMITH STANDARD PRESSURE    1000    mb     COEFFICIENT   -0.72     % / mb
Fort SMITH PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
Fort SMITH PRE-INCREASE AVERAGE COUNTING RATE    215.82      COUNTS PER SECOND
Fort SMITH TIME INTERVALS    300         3600     
Fort SMITH SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
Fort SMITH 120517 300  005500-010000   00     269.66  984.2    216.83     0.50    -9999
Fort SMITH 120517 300  010000-010500   00     268.04  984.2    215.61    -0.10    -0.10
Fort SMITH 120517 300  010500-011000   00     267.61  984.3    215.32    -0.20    -0.20
Fort SMITH 120517 300  011000-011500   00     268.75  984.3    216.27     0.20     0.20
Fort SMITH 120517 300  011500-012000   00     266.77  984.3    214.69    -0.50    -0.50
Fort SMITH 120517 300  012000-012500   00     268.08  984.3    215.80     0.00     0.00
Fort SMITH 120517 300  012500-013000   00     268.09  984.3    215.81     0.00     0.00
Fort SMITH 120517 300  013000-013500   00     264.54  984.4    212.99    -1.30    -1.30
Fort SMITH 120517 300  013500-014000   00     270.67  984.4    217.96     1.00     1.00
Fort SMITH 120517 300  014000-014500   00     269.74  984.4    217.21     0.60     0.60
Fort SMITH 120517 300  014500-015000   00     270.11  984.4    217.51     0.80     0.80
Fort SMITH 120517 300  015000-015500   00     271.45  984.4    218.60     1.30     1.30
Fort SMITH 120517 300  015500-020000   00     270.02  984.4    217.51     0.80     0.80
Fort SMITH 120517 300  020000-020500   00     273.02  984.5    219.99     1.90     1.90
Fort SMITH 120517 300  020500-021000   00     278.06  984.5    224.09     3.80     3.80
Fort SMITH 120517 300  021000-021500   00     278.95  984.5    224.90     4.20     4.20
Fort SMITH 120517 300  021500-022000   00     277.34  984.6    223.73     3.70     3.70
Fort SMITH 120517 300  022000-022500   00     275.99  984.7    222.72     3.20     3.20
Fort SMITH 120517 300  022500-023000   00     275.56  984.7    222.44     3.10     3.10
