ATHENS     LATITUDE    37.97     LONGITUDE     23.72     ALTITUDE    40 M
ATHENS     INSTRUMENT   3NM64    NEUTRON MONITOR     
ATHENS     STANDARD PRESSURE    980     mb     COEFFICIENT   -0.7      % / mb
ATHENS     PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
ATHENS     PRE-INCREASE AVERAGE COUNTING RATE     56.84      COUNTS PER SECOND
ATHENS     TIME INTERVALS    300         3600     
ATHENS     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
ATHENS     120517 300  011000-011500   00      58.51  974.7     56.39    -0.80    -9999
ATHENS     120517 300  011500-012000   00      59.09  974.7     56.94     0.20    -9999
ATHENS     120517 300  012000-012500   00      59.72  974.7     57.55     1.20    -9999
ATHENS     120517 300  012500-013000   00      59.32  974.7     57.16     0.60    -9999
ATHENS     120517 300  013000-013500   00      58.19  974.7     56.06    -1.40    -9999
ATHENS     120517 300  013500-014000   00      57.76  974.6     55.62    -2.10    -9999
ATHENS     120517 300  014000-014500   00      59.36  974.6     57.16     0.60    -9999
ATHENS     120517 300  014500-015000   00      59.81  974.5     57.54     1.20    -9999
ATHENS     120517 300  015000-015500   00      57.88  974.3     55.61    -2.20    -9999
ATHENS     120517 300  015500-020000   00      59.02  974.2     56.67    -0.30    -9999
ATHENS     120517 300  020000-020500   00      59.34  974.1     56.94     0.20    -9999
ATHENS     120517 300  020500-021000   00      59.15  974.0     56.73    -0.20    -9999
ATHENS     120517 300  021000-021500   00      59.58  974.1     57.16     0.60    -9999
ATHENS     120517 300  021500-022000   00      59.16  973.8     56.66    -0.30    -9999
ATHENS     120517 300  022000-022500   00      59.11  973.7     56.57    -0.50    -9999
ATHENS     120517 300  022500-023000   00      58.80  973.8     56.30    -1.00    -9999
ATHENS     120517 300  023000-023500   00      59.94  973.9     57.42     1.00    -9999
ATHENS     120517 300  023500-024000   00      58.48  974.1     56.10    -1.30    -9999
ATHENS     120517 300  024000-024500   00      58.86  973.8     56.35    -0.90    -9999
ATHENS     120517 300  024500-025000   00      58.89  973.9     56.42    -0.70    -9999
ATHENS     120517 300  025000-025500   00      59.66  974.0     57.20     0.60    -9999
ATHENS     120517 300  025500-030000   00      57.97  973.9     55.55    -2.30    -9999
ATHENS     120517 300  030000-030500   00      60.34  973.8     57.79     1.70    -9999
ATHENS     120517 300  030500-031000   00      60.52  973.9     57.97     2.00    -9999
ATHENS     120517 300  031000-031500   00      59.72  974.0     57.26     0.70    -9999
ATHENS     120517 300  031500-032000   00      58.96  974.0     56.53    -0.50    -9999
ATHENS     120517 300  032000-032500   00      59.36  974.0     56.91     0.10    -9999
ATHENS     120517 300  032500-033000   00      59.54  973.9     57.07     0.40    -9999
ATHENS     120517 300  033000-033500   00      60.48  973.9     57.94     1.90    -9999
ATHENS     120517 300  033500-034000   00      60.42  973.8     57.86     1.80    -9999
ATHENS     120517 300  034000-034500   00      60.41  973.9     57.91     1.90    -9999
ATHENS     120517 300  034500-035000   00      58.83  974.0     56.42    -0.70    -9999
ATHENS     120517 300  035000-035500   00      59.16  974.0     56.74    -0.20    -9999
ATHENS     120517 300  035500-040000   00      58.16  974.1     55.79    -1.80    -9999
ATHENS     120517 300  040000-040500   00      59.09  974.1     56.69    -0.30    -9999
ATHENS     120517 300  040500-041000   00      58.02  974.1     55.66    -2.10    -9999
ATHENS     120517 300  041000-041500   00      58.45  973.9     55.99    -1.50    -9999
ATHENS     120517 300  041500-042000   00      59.59  974.0     57.14     0.50    -9999
ATHENS     120517 300  042000-042500   00      58.82  974.0     56.41    -0.80    -9999
ATHENS     120517 300  042500-043000   00      59.20  974.0     56.78    -0.10    -9999
ATHENS     120517 300  043000-043500   00      59.23  974.1     56.82     0.00    -9999
ATHENS     120517 300  043500-044000   00      59.23  973.8     56.72    -0.20    -9999
ATHENS     120517 300  044000-044500   00      59.10  973.9     56.63    -0.40    -9999
ATHENS     120517 300  044500-045000   00      59.12  974.0     56.70    -0.20    -9999
ATHENS     120517 300  045000-045500   00      59.32  973.8     56.80    -0.10    -9999
ATHENS     120517 300  045500-050000   00      58.53  973.8     56.05    -1.40    -9999
ATHENS     120517 300  050000-050500   00      59.23  973.9     56.77    -0.10    -9999
ATHENS     120517 300  050500-051000   00      59.25  973.9     56.76    -0.10    -9999
ATHENS     120517 300  051000-051500   00      58.20  973.9     55.78    -1.90    -9999
ATHENS     120517 300  051500-052000   00      59.29  974.1     56.88     0.10    -9999
ATHENS     120517 300  052000-052500   00      60.03  973.8     57.47     1.10    -9999
ATHENS     120517 300  052500-053000   00      58.80  973.8     56.29    -1.00    -9999
ATHENS     120517 300  053000-053500   00      58.46  973.7     55.94    -1.60    -9999
ATHENS     120517 300  053500-054000   00      58.50  973.7     55.98    -1.50    -9999
ATHENS     120517 300  054000-054500   00      60.03  973.7     57.43     1.00    -9999
ATHENS     120517 300  054500-055000   00      59.52  973.7     56.94     0.20    -9999
ATHENS     120517 300  055000-055500   00      60.11  973.7     57.52     1.20    -9999
ATHENS     120517 300  055500-060000   00      59.76  973.7     57.17     0.60    -9999
ATHENS     120517 300  060000-060500   00      59.47  973.6     56.87     0.10    -9999
ATHENS     120517 300  060500-061000   00      58.71  973.7     56.17    -1.20    -9999
ATHENS     120517 300  061000-061500   00      59.70  973.6     57.08     0.40    -9999
ATHENS     120517 300  061500-062000   00      59.88  973.6     57.25     0.70    -9999
ATHENS     120517 300  062000-062500   00      59.78  973.6     57.15     0.50    -9999
ATHENS     120517 300  062500-063000   00      59.10  973.5     56.48    -0.60    -9999
ATHENS     120517 300  063000-063500   00      59.41  973.5     56.78    -0.10    -9999
ATHENS     120517 300  063500-064000   00      59.98  973.4     57.27     0.80    -9999
ATHENS     120517 300  064000-064500   00      59.86  973.4     57.18     0.60    -9999
ATHENS     120517 300  064500-065000   00      59.20  973.3     56.47    -0.70    -9999
ATHENS     120517 300  065000-065500   00      59.47  973.2     56.72    -0.20    -9999
ATHENS     120517 300  065500-070000   00      60.14  973.4     57.43     1.00    -9999
ATHENS     120517 300  070000-070500   00      58.70  973.3     56.03    -1.40    -9999
ATHENS     120517 300  070500-071000   00      60.26  973.3     57.52     1.20    -9999
ATHENS     120517 300  071000-071500   00      58.67  973.4     56.02    -1.40    -9999
ATHENS     120517 300  071500-072000   00      60.69  973.2     57.89     1.80    -9999
ATHENS     120517 300  072000-072500   00      59.74  973.3     57.00     0.30    -9999
ATHENS     120517 300  072500-073000   00      59.75  973.3     57.01     0.30    -9999
ATHENS     120517 300  073000-073500   00      60.63  973.3     57.87     1.80    -9999
ATHENS     120517 300  073500-074000   00      59.27  973.2     56.52    -0.60    -9999
ATHENS     120517 300  074000-074500   00      59.89  973.1     57.09     0.40    -9999
ATHENS     120517 300  074500-075000   00      59.92  973.1     57.09     0.40    -9999
ATHENS     120517 300  075000-075500   00      58.69  973.1     55.93    -1.60    -9999
ATHENS     120517 300  075500-080000   00      59.67  973.1     56.84     0.00    -9999
ATHENS     120517 300  080000-080500   00      61.21  973.1     58.30     2.60    -9999
ATHENS     120517 300  080500-081000   00      59.37  973.0     56.55    -0.50    -9999
ATHENS     120517 300  081000-081500   00      59.50  973.1     56.68    -0.30    -9999
ATHENS     120517 300  081500-082000   00      59.01  973.1     56.23    -1.10    -9999
ATHENS     120517 300  082000-082500   00      59.12  973.1     56.33    -0.90    -9999
ATHENS     120517 300  082500-083000   00      59.79  973.0     56.94     0.20    -9999
ATHENS     120517 300  083000-083500   00      60.70  973.0     57.79     1.70    -9999
ATHENS     120517 300  083500-084000   00      60.38  972.9     57.46     1.10    -9999
ATHENS     120517 300  084000-084500   00      60.88  972.9     57.95     2.00    -9999
ATHENS     120517 300  084500-085000   00      60.24  973.0     57.37     0.90    -9999
ATHENS     120517 300  085000-085500   00      58.86  973.0     56.04    -1.40    -9999
ATHENS     120517 300  085500-090000   00      60.28  973.0     57.39     1.00    -9999
ATHENS     120517 300  090000-090500   00      60.76  972.7     57.74     1.60    -9999
ATHENS     120517 300  090500-091000   00      60.30  972.7     57.31     0.80    -9999
ATHENS     120517 300  091000-091500   00      59.12  972.7     56.18    -1.20    -9999
ATHENS     120517 300  091500-092000   00      60.72  972.6     57.67     1.50    -9999
ATHENS     120517 300  092000-092500   00      59.18  972.6     56.20    -1.10    -9999
ATHENS     120517 300  092500-093000   00      59.85  972.5     56.80    -0.10    -9999
ATHENS     120517 300  093000-093500   00      59.74  972.4     56.66    -0.30    -9999
ATHENS     120517 300  093500-094000   00      59.73  972.4     56.64    -0.40    -9999
ATHENS     120517 300  094000-094500   00      59.63  972.5     56.57    -0.50    -9999
ATHENS     120517 300  094500-095000   00      61.22  972.4     58.05     2.10    -9999
ATHENS     120517 300  095000-095500   00      60.45  972.3     57.27     0.80    -9999
ATHENS     120517 300  095500-100000   00      61.31  972.1     58.00     2.00    -9999
ATHENS     120517 300  100000-100500   00      59.15  972.1     55.96    -1.50    -9999
ATHENS     120517 300  100500-101000   00      59.85  972.1     56.63    -0.40    -9999
ATHENS     120517 300  101000-101500   00      60.89  972.0     57.57     1.30    -9999
ATHENS     120517 300  101500-102000   00      59.58  972.0     56.34    -0.90    -9999
ATHENS     120517 300  102000-102500   00      59.78  972.0     56.52    -0.60    -9999
ATHENS     120517 300  102500-103000   00      60.85  972.0     57.54     1.20    -9999
ATHENS     120517 300  103000-103500   00      61.77  972.0     58.41     2.80    -9999
ATHENS     120517 300  103500-104000   00      61.20  972.0     57.86     1.80    -9999
ATHENS     120517 300  104000-104500   00      60.35  972.0     57.06     0.40    -9999
ATHENS     120517 300  104500-105000   00      60.79  972.0     57.46     1.10    -9999
ATHENS     120517 300  105000-105500   00      60.00  971.9     56.69    -0.30    -9999
ATHENS     120517 300  105500-110000   00      60.13  971.6     56.70    -0.20    -9999
ATHENS     120517 300  110000-110500   00      60.30  971.7     56.89     0.10    -9999
ATHENS     120517 300  110500-111000   00      61.06  971.6     57.56     1.30    -9999
ATHENS     120517 300  111000-111500   00      60.63  971.5     57.13     0.50    -9999
ATHENS     120517 300  111500-112000   00      60.82  971.4     57.29     0.80    -9999
ATHENS     120517 300  112000-112500   00      61.07  971.4     57.51     1.20    -9999
ATHENS     120517 300  112500-113000   00      60.76  971.4     57.21     0.70    -9999
ATHENS     120517 300  113000-113500   00      61.58  971.4     57.99     2.00    -9999
ATHENS     120517 300  113500-114000   00      61.73  971.4     58.13     2.30    -9999
ATHENS     120517 300  114000-114500   00      60.02  971.3     56.46    -0.70    -9999
ATHENS     120517 300  114500-115000   00      60.69  971.3     57.09     0.40    -9999
ATHENS     120517 300  115000-115500   00      62.24  971.1     58.50     2.90    -9999
ATHENS     120517 300  115500-120000   00      61.02  971.0     57.30     0.80    -9999
ATHENS     120517 300  120000-120500   00      59.74  970.9     56.07    -1.40    -9999
ATHENS     120517 300  120500-121000   00      59.15  970.9     55.50    -2.40    -9999
ATHENS     120517 300  121000-121500   00      60.62  970.9     56.89     0.10    -9999
ATHENS     120517 300  121500-122000   00      61.64  970.9     57.84     1.80    -9999
ATHENS     120517 300  122000-122500   00      61.05  970.8     57.24     0.70    -9999
ATHENS     120517 300  122500-123000   00      60.73  970.7     56.92     0.10    -9999
ATHENS     120517 300  123000-123500   00      61.15  970.7     57.29     0.80    -9999
ATHENS     120517 300  123500-124000   00      60.62  970.6     56.76    -0.10    -9999
ATHENS     120517 300  124000-124500   00      60.35  970.4     56.44    -0.70    -9999
ATHENS     120517 300  124500-125000   00      60.95  970.6     57.06     0.40    -9999
ATHENS     120517 300  125000-125500   00      61.87  970.8     58.02     2.10    -9999
ATHENS     120517 300  125500-130000   00      60.84  970.8     57.06     0.40    -9999
ATHENS     120517 300  130000-130500   00      60.57  970.8     56.81    -0.10    -9999
ATHENS     120517 300  130500-131000   00      60.63  970.8     56.87     0.10    -9999
ATHENS     120517 300  131000-131500   00      59.87  970.9     56.18    -1.20    -9999
ATHENS     120517 300  131500-132000   00      60.74  971.3     57.13     0.50    -9999
ATHENS     120517 300  132000-132500   00      60.01  971.4     56.49    -0.60    -9999
ATHENS     120517 300  132500-133000   00      59.29  971.3     55.78    -1.90    -9999
ATHENS     120517 300  133000-133500   00      60.27  971.4     56.75    -0.20    -9999
ATHENS     120517 300  133500-134000   00      58.46  971.5     55.06    -3.10    -9999
ATHENS     120517 300  134000-134500   00      60.85  971.4     57.31     0.80    -9999
ATHENS     120517 300  134500-135000   00      60.48  971.5     56.97     0.20    -9999
ATHENS     120517 300  135000-135500   00      59.55  971.6     56.14    -1.20    -9999
ATHENS     120517 300  135500-140000   00      61.29  971.4     57.73     1.60    -9999
ATHENS     120517 300  140000-140500   00      60.69  971.4     57.15     0.50    -9999
ATHENS     120517 300  140500-141000   00      60.94  971.3     57.36     0.90    -9999
ATHENS     120517 300  141000-141500   00      59.83  971.3     56.30    -1.00    -9999
ATHENS     120517 300  141500-142000   00      60.90  971.4     57.33     0.90    -9999
ATHENS     120517 300  142000-142500   00      59.53  971.4     56.06    -1.40    -9999
ATHENS     120517 300  142500-143000   00      59.51  971.4     56.02    -1.40    -9999
ATHENS     120517 300  143000-143500   00      60.04  971.4     56.54    -0.50    -9999
ATHENS     120517 300  143500-144000   00      60.78  971.1     57.12     0.50    -9999
ATHENS     120517 300  144000-144500   00      59.77  971.4     56.28    -1.00    -9999
ATHENS     120517 300  144500-145000   00      60.77  971.5     57.25     0.70    -9999
ATHENS     120517 300  145000-145500   00      61.50  971.5     57.92     1.90    -9999
ATHENS     120517 300  145500-150000   00      59.81  971.6     56.39    -0.80    -9999
ATHENS     120517 300  150000-150500   00      61.06  971.5     57.53     1.20    -9999
ATHENS     120517 300  150500-151000   00      59.36  971.5     55.93    -1.60    -9999
ATHENS     120517 300  151000-151500   00      58.99  971.7     55.68    -2.00    -9999
ATHENS     120517 300  151500-152000   00      59.69  971.7     56.30    -1.00    -9999
ATHENS     120517 300  152000-152500   00      58.81  971.5     55.42    -2.50    -9999
ATHENS     120517 300  152500-153000   00      59.66  971.7     56.30    -1.00    -9999
ATHENS     120517 300  153000-153500   00      59.95  972.0     56.68    -0.30    -9999
ATHENS     120517 300  153500-154000   00      60.03  972.0     56.77    -0.10    -9999
ATHENS     120517 300  154000-154500   00      60.28  971.9     56.96     0.20    -9999
ATHENS     120517 300  154500-155000   00      60.51  971.6     57.03     0.30    -9999
ATHENS     120517 300  155000-155500   00      60.74  971.5     57.22     0.70    -9999
ATHENS     120517 300  155500-160000   00      60.33  971.4     56.82     0.00    -9999
ATHENS     120517 300  160000-160500   00      60.96  971.4     57.40     1.00    -9999
ATHENS     120517 300  160500-161000   00      60.73  971.2     57.11     0.50    -9999
ATHENS     120517 300  161000-161500   00      60.60  970.9     56.88     0.10    -9999
ATHENS     120517 300  161500-162000   00      61.46  970.9     57.66     1.40    -9999
ATHENS     120517 300  162000-162500   00      61.34  970.7     57.48     1.10    -9999
ATHENS     120517 300  162500-163000   00      60.12  970.7     56.34    -0.90    -9999
ATHENS     120517 300  163000-163500   00      60.08  970.9     56.36    -0.80    -9999
ATHENS     120517 300  163500-164000   00      60.63  970.8     56.86     0.00    -9999
ATHENS     120517 300  164000-164500   00      61.61  970.9     57.81     1.70    -9999
ATHENS     120517 300  164500-165000   00      60.71  970.8     56.92     0.10    -9999
ATHENS     120517 300  165000-165500   00      60.46  970.7     56.66    -0.30    -9999
ATHENS     120517 300  165500-170000   00      60.18  970.8     56.43    -0.70    -9999
ATHENS     120517 300  170000-170500   00      60.34  970.8     56.59    -0.40    -9999
ATHENS     120517 300  170500-171000   00      59.62  970.9     55.95    -1.60    -9999
ATHENS     120517 300  171000-171500   00      60.45  971.1     56.80    -0.10    -9999
ATHENS     120517 300  171500-172000   00      59.87  971.1     56.23    -1.10    -9999
ATHENS     120517 300  172000-172500   00      60.05  971.2     56.45    -0.70    -9999
ATHENS     120517 300  172500-173000   00      59.16  971.1     55.59    -2.20    -9999
ATHENS     120517 300  173000-173500   00      60.99  971.2     57.34     0.90    -9999
ATHENS     120517 300  173500-174000   00      59.47  971.3     55.96    -1.50    -9999
ATHENS     120517 300  174000-174500   00      59.01  971.4     55.56    -2.30    -9999
ATHENS     120517 300  174500-175000   00      60.02  971.4     56.51    -0.60    -9999
ATHENS     120517 300  175000-175500   00      59.56  971.4     56.08    -1.30    -9999
ATHENS     120517 300  175500-180000   00      60.43  971.4     56.91     0.10    -9999
ATHENS     120517 300  180000-180500   00      59.61  971.5     56.15    -1.20    -9999
ATHENS     120517 300  180500-181000   00      61.47  971.5     57.91     1.90    -9999
ATHENS     120517 300  181000-181500   00      59.09  971.5     55.67    -2.10    -9999
ATHENS     120517 300  181500-182000   00      61.64  971.6     58.12     2.30    -9999
ATHENS     120517 300  182000-182500   00      60.89  971.6     57.42     1.00    -9999
ATHENS     120517 300  182500-183000   00      60.02  971.6     56.59    -0.40    -9999
ATHENS     120517 300  183000-183500   00      59.55  971.7     56.19    -1.10    -9999
ATHENS     120517 300  183500-184000   00      59.36  972.0     56.11    -1.30    -9999
ATHENS     120517 300  184000-184500   00      61.10  972.0     57.78     1.70    -9999
