OULU       LATITUDE    65.02     LONGITUDE     25.5      ALTITUDE    0 M
OULU       INSTRUMENT   9NM64    NEUTRON MONITOR     	
OULU       STANDARD PRESSURE    977.3   mb     COEFFICIENT   -0.74     % / mb
OULU       031027 3600 170000-180000   00     107.22  980.8    110.03     0.90    -9999
OULU       031027 3600 180000-190000   00     107.96  979.6    109.82     0.70    -9999
OULU       031027 3600 190000-200000   00     108.75  978.5    109.72     0.70    -9999
OULU       031027 3600 200000-210000   00     110.20  977.6    110.44     1.30    -9999
OULU       031027 3600 210000-220000   00     110.14  977.1    109.98     0.90    -9999
OULU       031027 3600 220000-230000   00     110.06  977.0    109.82     0.70    -9999
OULU       031027 3600 230000-240000   00     110.19  977.2    110.11     1.00    -9999
OULU       031028 3600 000000-010000   00     109.81  977.5    109.97     0.90    -9999
OULU       031028 3600 010000-020000   00     110.01  977.4    110.10     1.00    -9999
OULU       031028 3600 020000-030000   00     109.42  977.3    109.42     0.40    -9999
OULU       031028 3600 030000-040000   00     107.01  976.9    106.69    -2.10    -9999
OULU       031028 3600 040000-050000   00     105.45  976.7    104.98    -3.70    -9999
OULU       031028 3600 050000-060000   00     106.23  976.3    105.44    -3.30    -9999
OULU       031028 3600 060000-070000   00     108.04  976.1    107.08    -1.80    -9999
OULU       031028 3600 070000-080000   00     109.73  976.6    109.17     0.20    -9999
OULU       031028 3600 080000-090000   00     110.41  977.1    110.25     1.10    -9999
OULU       031028 300  090000-090500   00     110.59  977.3    110.59     1.50    -9999
OULU       031028 300  090500-091000   00     110.65  977.3    110.65     1.50    -9999
OULU       031028 300  091000-091500   00     109.14  977.3    109.14     0.10    -9999
OULU       031028 300  091500-092000   00     111.13  977.3    111.13     2.00    -9999
OULU       031028 300  092000-092500   00     110.54  977.3    110.54     1.40    -9999
OULU       031028 300  092500-093000   00     110.30  977.3    110.30     1.20    -9999
OULU       031028 300  093000-093500   00     110.24  977.3    110.24     1.10    -9999
OULU       031028 300  093500-094000   00     109.69  977.3    109.69     0.60    -9999
OULU       031028 300  094000-094500   00     108.95  977.3    108.95    -0.10    -9999
OULU       031028 300  094500-095000   00     109.01  977.3    109.01     0.00    -9999
OULU       031028 300  095000-095500   00     109.97  977.3    109.97     0.90    -9999
OULU       031028 300  095500-100000   00     110.24  977.3    110.24     1.10    -9999
OULU       031028 300  100000-100500   00     108.81  977.3    108.81    -0.20    -9999
OULU       031028 300  100500-101000   00     109.85  977.3    109.83     0.80    -9999
OULU       031028 300  101000-101500   00     108.06  977.3    108.03    -0.90    -9999
OULU       031028 300  101500-102000   00     109.03  977.2    108.98     0.00    -9999
OULU       031028 300  102000-102500   00     109.66  977.2    109.60     0.60    -9999
OULU       031028 300  102500-103000   00     110.90  977.2    110.83     1.70    -9999
OULU       031028 300  103000-103500   00     110.15  977.2    110.07     1.00    -9999
OULU       031028 300  103500-104000   00     108.89  977.2    108.79    -0.20    -9999
OULU       031028 300  104000-104500   00     108.82  977.2    108.71    -0.30    -9999
OULU       031028 300  104500-105000   00     107.62  977.1    107.50    -1.40    -9999
OULU       031028 300  105000-105500   00     108.28  977.1    108.15    -0.80    -9999
OULU       031028 300  105500-110000   00     107.95  977.1    107.80    -1.10    -9999
OULU       031028 300  110000-110500   00     110.54  977.1    110.38     1.30     1.30
OULU       031028 300  110500-111000   00     106.81  977.1    106.67    -2.10    -2.10
OULU       031028 300  111000-111500   00     110.05  977.1    109.92     0.80     0.80
OULU       031028 300  111500-112000   00     111.25  977.2    111.13     2.00     2.00
OULU       031028 300  112000-112500   00     109.53  977.2    109.43     0.40     0.40
OULU       031028 300  112500-113000   00     110.26  977.2    110.17     1.10     1.10
OULU       031028 300  113000-113500   00     110.07  977.2    109.99     0.90     0.90
OULU       031028 300  113500-114000   00     111.18  977.2    111.11     1.90     1.90
OULU       031028 300  114000-114500   00     112.04  977.2    111.99     2.70     2.70
OULU       031028 300  114500-115000   00     116.89  977.3    116.85     7.20     7.20
OULU       031028 300  115000-115500   00     117.43  977.3    117.40     7.70     7.70
OULU       031028 300  115500-120000   00     116.47  977.3    116.46     6.80     6.80
OULU       031028 300  120000-120500   00     116.21  977.3    116.23     6.60     6.60
OULU       031028 300  120500-121000   00     114.67  977.3    114.71     5.20     5.20
OULU       031028 300  121000-121500   00     114.20  977.4    114.27     4.80     4.80
OULU       031028 300  121500-122000   00     111.15  977.4    111.24     2.10     2.10
OULU       031028 300  122000-122500   00     113.04  977.4    113.16     3.80     3.80
OULU       031028 300  122500-123000   00     114.77  977.5    114.92     5.40     5.40
OULU       031028 300  123000-123500   00     116.29  977.5    116.48     6.90     6.90
OULU       031028 300  123500-124000   00     114.24  977.5    114.45     5.00     5.00
OULU       031028 300  124000-124500   00     115.79  977.6    116.03     6.50     6.50
OULU       031028 300  124500-125000   00     116.36  977.6    116.63     7.00     7.00
OULU       031028 300  125000-125500   00     114.72  977.6    115.02     5.50     5.50
OULU       031028 300  125500-130000   00     115.72  977.7    116.05     6.50     6.50
OULU       031028 300  130000-130500   00     114.92  977.7    115.27     5.80     5.80
OULU       031028 300  130500-131000   00     113.59  977.8    113.98     4.60     4.60
OULU       031028 300  131000-131500   00     115.29  977.8    115.72     6.20     6.20
OULU       031028 300  131500-132000   00     114.32  977.8    114.78     5.30     5.30
OULU       031028 300  132000-132500   00     116.09  977.9    116.59     7.00     7.00
OULU       031028 300  132500-133000   00     114.51  977.9    115.04     5.50     5.50
OULU       031028 300  133000-133500   00     114.93  978.0    115.50     5.90     5.90
OULU       031028 300  133500-134000   00     115.91  978.0    116.52     6.90     6.90
OULU       031028 300  134000-134500   00     115.65  978.0    116.29     6.70     6.70
OULU       031028 300  134500-135000   00     113.79  978.1    114.46     5.00     5.00
OULU       031028 300  135000-135500   00     114.70  978.1    115.40     5.90     5.90
OULU       031028 300  135500-140000   00     114.15  978.2    114.89     5.40     5.40
OULU       031028 300  140000-140500   00     114.88  978.2    115.66     6.10     6.10
OULU       031028 300  140500-141000   00     114.15  978.3    114.96     5.50     5.50
OULU       031028 300  141000-141500   00     116.27  978.3    117.13     7.40     7.40
OULU       031028 300  141500-142000   00     116.16  978.3    117.06     7.40     7.40
OULU       031028 300  142000-142500   00     111.73  978.4    112.63     3.30     3.30
OULU       031028 300  142500-143000   00     113.73  978.4    114.68     5.20     5.20
OULU       031028 300  143000-143500   00     114.84  978.5    115.83     6.30     6.30
OULU       031028 300  143500-144000   00     113.92  978.5    114.94     5.40     5.40
OULU       031028 300  144000-144500   00     114.84  978.5    115.91     6.30     6.30
OULU       031028 300  144500-145000   00     115.10  978.6    116.21     6.60     6.60
OULU       031028 300  145000-145500   00     114.50  978.6    115.64     6.10     6.10
OULU       031028 300  145500-150000   00     114.53  978.7    115.71     6.20     6.20
OULU       031028 300  150000-150500   00     113.51  978.7    114.70     5.20     5.20
OULU       031028 300  150500-151000   00     114.22  978.7    115.44     5.90     5.90
OULU       031028 300  151000-151500   00     114.88  978.8    116.13     6.50     6.50
OULU       031028 300  151500-152000   00     115.80  978.8    117.08     7.40     7.40
OULU       031028 300  152000-152500   00     114.28  978.8    115.57     6.00     6.00
OULU       031028 300  152500-153000   00     113.15  978.8    114.44     5.00     5.00
OULU       031028 300  153000-153500   00     115.09  978.9    116.42     6.80     6.80
OULU       031028 300  153500-154000   00     113.17  978.9    114.51     5.10     5.10
OULU       031028 300  154000-154500   00     114.94  978.9    116.31     6.70     6.70
OULU       031028 300  154500-155000   00     114.71  978.9    116.11     6.50     6.50
OULU       031028 300  155000-155500   00     113.47  979.0    114.87     5.40     5.40
OULU       031028 300  155500-160000   00     113.22  979.0    114.64     5.20     5.20
OULU       031028 300  160000-160500   00     115.69  979.0    117.17     7.50     7.50
OULU       031028 300  160500-161000   00     114.09  979.1    115.59     6.00     6.00
OULU       031028 300  161000-161500   00     115.68  979.1    117.23     7.50     7.50
OULU       031028 300  161500-162000   00     113.98  979.1    115.54     6.00     6.00
OULU       031028 300  162000-162500   00     112.92  979.2    114.50     5.10     5.10
OULU       031028 300  162500-163000   00     113.63  979.2    115.26     5.70     5.70
OULU       031028 300  163000-163500   00     113.95  979.3    115.62     6.10     6.10
OULU       031028 300  163500-164000   00     113.82  979.3    115.52     6.00     6.00
OULU       031028 300  164000-164500   00     114.00  979.3    115.75     6.20     6.20
OULU       031028 300  164500-165000   00     114.61  979.4    116.40     6.80     6.80
OULU       031028 300  165000-165500   00     113.63  979.4    115.44     5.90     5.90
OULU       031028 300  165500-170000   00     112.55  979.5    114.38     4.90     4.90
OULU       031028 300  170000-170500   00     113.54  979.5    115.42     5.90     5.90
OULU       031028 300  170500-171000   00     113.27  979.6    115.20     5.70     5.70
OULU       031028 300  171000-171500   00     111.77  979.6    113.72     4.30     4.30
OULU       031028 300  171500-172000   00     112.77  979.7    114.79     5.30     5.30
OULU       031028 300  172000-172500   00     113.72  979.8    115.81     6.30     6.30
OULU       031028 300  172500-173000   00     113.17  979.8    115.30     5.80     5.80
OULU       031028 300  173000-173500   00     113.22  979.9    115.39     5.90     5.90
OULU       031028 300  173500-174000   00     112.82  979.9    115.03     5.50     5.50
OULU       031028 300  174000-174500   00     113.36  980.0    115.64     6.10     6.10
OULU       031028 300  174500-175000   00     114.91  980.0    117.27     7.60     7.60
OULU       031028 300  175000-175500   00     112.70  980.1    115.07     5.60     5.60
OULU       031028 300  175500-180000   00     113.91  980.2    116.35     6.70     6.70
OULU       031028 300  180000-180500   00     113.49  980.2    115.97     6.40     6.40
OULU       031028 300  180500-181000   00     113.91  980.3    116.45     6.80     6.80
OULU       031028 300  181000-181500   00     112.56  980.3    115.12     5.60     5.60
OULU       031028 300  181500-182000   00     112.32  980.4    114.92     5.40     5.40
OULU       031028 300  182000-182500   00     111.67  980.5    114.31     4.90     4.90
OULU       031028 300  182500-183000   00     113.24  980.5    115.96     6.40     6.40
OULU       031028 300  183000-183500   00     110.55  980.6    113.26     3.90     3.90
OULU       031028 300  183500-184000   00     112.73  980.6    115.55     6.00     6.00
OULU       031028 300  184000-184500   00     112.78  980.7    115.64     6.10     6.10
OULU       031028 300  184500-185000   00     110.89  980.7    113.75     4.30     4.30
OULU       031028 300  185000-185500   00     111.70  980.8    114.63     5.20     5.20
OULU       031028 300  185500-190000   00     111.09  980.9    114.06     4.60     4.60
OULU       031028 300  190000-190500   00     111.35  980.9    114.37     4.90     4.90
OULU       031028 300  190500-191000   00     111.75  981.0    114.83     5.30     5.30
OULU       031028 300  191000-191500   00     112.11  981.0    115.24     5.70     5.70
OULU       031028 300  191500-192000   00     112.69  981.1    115.87     6.30     6.30
OULU       031028 300  192000-192500   00     110.13  981.1    113.29     3.90     3.90
OULU       031028 300  192500-193000   00     111.41  981.2    114.65     5.20     5.20
OULU       031028 300  193000-193500   00     111.32  981.2    114.60     5.10     5.10
OULU       031028 300  193500-194000   00     111.51  981.3    114.84     5.40     5.40
OULU       031028 300  194000-194500   00     110.77  981.3    114.11     4.70     4.70
OULU       031028 300  194500-195000   00     109.82  981.4    113.18     3.80     3.80
OULU       031028 300  195000-195500   00     111.73  981.4    115.19     5.70     5.70
OULU       031028 300  195500-200000   00     110.93  981.5    114.40     5.00     5.00
OULU       031028 300  200000-200500   00     109.37  981.5    112.84     3.50     3.50
OULU       031028 300  200500-201000   00     110.06  981.5    113.58     4.20     4.20
OULU       031028 300  201000-201500   00     111.11  981.6    114.68     5.20     5.20
OULU       031028 300  201500-202000   00     109.94  981.6    113.50     4.10     4.10
OULU       031028 300  202000-202500   00     110.66  981.6    114.28     4.80     4.80
OULU       031028 300  202500-203000   00     110.50  981.7    114.14     4.70     4.70
OULU       031028 300  203000-203500   00     109.91  981.7    113.55     4.20     4.20
OULU       031028 300  203500-204000   00     110.60  981.7    114.30     4.90     4.90
OULU       031028 300  204000-204500   00     113.39  981.8    117.21     7.60     7.60
OULU       031028 300  204500-205000   00     108.84  981.8    112.54     3.20     3.20
OULU       031028 300  205000-205500   00     110.49  981.8    114.27     4.80     4.80
OULU       031028 300  205500-210000   00     109.73  981.9    113.52     4.10     4.10
OULU       031028 300  210000-210500   00     109.14  981.9    112.94     3.60     3.60
OULU       031028 300  210500-211000   00     109.63  982.0    113.50     4.10     4.10
OULU       031028 300  211000-211500   00     110.29  982.0    114.23     4.80     4.80
OULU       031028 300  211500-212000   00     108.59  982.1    112.52     3.20     3.20
OULU       031028 300  212000-212500   00     112.58  982.2    116.70     7.10     7.10
OULU       031028 300  212500-213000   00     109.27  982.2    113.31     3.90     3.90
OULU       031028 300  213000-213500   00     109.77  982.3    113.89     4.50     4.50
OULU       031028 300  213500-214000   00     108.84  982.3    112.97     3.70     3.70
OULU       031028 300  214000-214500   00     109.84  982.4    114.06     4.70     4.70
OULU       031028 300  214500-215000   00     108.58  982.4    112.79     3.50     3.50
OULU       031028 300  215000-215500   00     109.39  982.5    113.69     4.30     4.30
OULU       031028 300  215500-220000   00     108.65  982.6    112.97     3.60     3.60
OULU       031028 300  220000-220500   00     109.10  982.6    113.48     4.10     4.10
OULU       031028 300  220500-221000   00     108.97  982.7    113.39     4.00     4.00
OULU       031028 300  221000-221500   00     109.56  982.7    114.04     4.60     4.60
OULU       031028 300  221500-222000   00     110.22  982.8    114.77     5.30     5.30
OULU       031028 300  222000-222500   00     109.04  982.8    113.58     4.20     4.20
OULU       031028 300  222500-223000   00     108.07  982.9    112.62     3.30     3.30
OULU       031028 300  223000-223500   00     107.19  982.9    111.73     2.50     2.50
OULU       031028 300  223500-224000   00     107.96  983.0    112.59     3.30     3.30
OULU       031028 300  224000-224500   00     108.93  983.0    113.64     4.30     4.30
OULU       031028 300  224500-225000   00     108.97  983.1    113.72     4.30     4.30
OULU       031028 300  225000-225500   00     106.15  983.1    110.82     1.70     1.70
OULU       031028 300  225500-230000   00     109.32  983.2    114.17     4.70     4.70
OULU       031028 300  230000-230500   00     109.35  983.2    114.24     4.80     4.80
OULU       031028 300  230500-231000   00     107.22  983.2    112.04     2.80     2.80
OULU       031028 300  231000-231500   00     109.23  983.3    114.16     4.70     4.70
OULU       031028 300  231500-232000   00     107.92  983.3    112.81     3.50     3.50
OULU       031028 300  232000-232500   00     109.28  983.3    114.25     4.80     4.80
OULU       031028 300  232500-233000   00     106.51  983.3    111.38     2.20     2.20
OULU       031028 300  233000-233500   00     109.10  983.4    114.10     4.70     4.70
OULU       031028 300  233500-234000   00     108.30  983.4    113.29     3.90     3.90
OULU       031028 300  234000-234500   00     106.40  983.4    111.32     2.10     2.10
OULU       031028 300  234500-235000   00     109.26  983.4    114.33     4.90     4.90
OULU       031028 300  235000-235500   00     108.43  983.5    113.49     4.10     4.10
OULU       031028 300  235500-240000   00     105.68  983.5    110.63     1.50     1.50
OULU       031029 300  000000-000500   00     108.25  983.5    113.34     4.00     4.00
OULU       031029 300  000500-001000   00     108.81  983.5    113.95     4.60     4.60
OULU       031029 300  001000-001500   00     109.73  983.6    114.94     5.40     5.40
OULU       031029 300  001500-002000   00     107.78  983.6    112.92     3.60     3.60
OULU       031029 300  002000-002500   00     107.15  983.6    112.27     3.00     3.00
OULU       031029 300  002500-003000   00     107.65  983.6    112.81     3.50     3.50
OULU       031029 300  003000-003500   00     108.03  983.7    113.24     3.90     3.90
OULU       031029 300  003500-004000   00     108.00  983.7    113.23     3.90     3.90
OULU       031029 300  004000-004500   00     108.33  983.7    113.60     4.20     4.20
OULU       031029 300  004500-005000   00     107.63  983.7    112.88     3.60     3.60
OULU       031029 300  005000-005500   00     106.78  983.8    112.01     2.80     2.80
OULU       031029 300  005500-010000   00     109.79  983.8    115.19     5.70     5.70
OULU       031029 300  010000-010500   00     108.76  983.8    114.13     4.70     4.70
OULU       031029 300  010500-011000   00     109.79  983.9    115.25     5.70     5.70
OULU       031029 300  011000-011500   00     110.86  983.9    116.41     6.80     6.80
OULU       031029 300  011500-012000   00     108.39  983.9    113.85     4.40     4.40
OULU       031029 300  012000-012500   00     106.46  984.0    111.86     2.60     2.60
OULU       031029 300  012500-013000   00     106.85  984.0    112.31     3.00     3.00
OULU       031029 300  013000-013500   00     107.90  984.1    113.44     4.10     4.10
OULU       031029 300  013500-014000   00     108.78  984.1    114.40     4.90     4.90
OULU       031029 300  014000-014500   00     109.65  984.2    115.36     5.80     5.80
OULU       031029 300  014500-015000   00     108.89  984.2    114.59     5.10     5.10
OULU       031029 300  015000-015500   00     106.71  984.2    112.33     3.10     3.10
OULU       031029 300  015500-020000   00     107.22  984.3    112.89     3.60     3.60
OULU       031029 300  020000-020500   00     108.06  984.3    113.83     4.40     4.40
OULU       031029 300  020500-021000   00     107.74  984.4    113.54     4.20     4.20
OULU       031029 300  021000-021500   00     106.40  984.4    112.17     2.90     2.90
OULU       031029 300  021500-022000   00     109.08  984.5    115.04     5.60     5.60
OULU       031029 300  022000-022500   00     107.57  984.6    113.50     4.10     4.10
OULU       031029 300  022500-023000   00     106.24  984.6    112.15     2.90     2.90
OULU       031029 300  023000-023500   00     109.34  984.7    115.47     6.00     6.00
OULU       031029 300  023500-024000   00     107.61  984.7    113.69     4.30     4.30
OULU       031029 300  024000-024500   00     106.66  984.8    112.74     3.40     3.40
OULU       031029 300  024500-025000   00     106.60  984.8    112.72     3.40     3.40
OULU       031029 300  025000-025500   00     108.22  984.9    114.49     5.00     5.00
OULU       031029 300  025500-030000   00     108.21  985.0    114.53     5.10     5.10
OULU       031029 300  030000-030500   00     107.59  985.0    113.93     4.50     4.50
OULU       031029 300  030500-031000   00     108.55  985.1    115.00     5.50     5.50
OULU       031029 300  031000-031500   00     106.28  985.2    112.66     3.30     3.30
OULU       031029 300  031500-032000   00     107.88  985.3    114.42     5.00     5.00
OULU       031029 300  032000-032500   00     107.29  985.3    113.86     4.50     4.50
OULU       031029 300  032500-033000   00     106.85  985.4    113.45     4.10     4.10
OULU       031029 300  033000-033500   00     107.88  985.5    114.62     5.10     5.10
OULU       031029 300  033500-034000   00     107.15  985.6    113.90     4.50     4.50
OULU       031029 300  034000-034500   00     107.45  985.6    114.29     4.90     4.90
OULU       031029 300  034500-035000   00     106.58  985.7    113.41     4.10     4.10
OULU       031029 300  035000-035500   00     106.93  985.8    113.86     4.40     4.40
OULU       031029 300  035500-040000   00     107.41  985.9    114.43     5.00     5.00
OULU       031029 300  040000-040500   00     109.31  985.9    116.52     6.90     6.90
OULU       031029 300  040500-041000   00     107.80  986.0    114.97     5.50     5.50
OULU       031029 300  041000-041500   00     105.22  986.1    112.29     3.00     3.00
OULU       031029 300  041500-042000   00     105.70  986.2    112.86     3.50     3.50
OULU       031029 300  042000-042500   00     105.71  986.2    112.93     3.60     3.60
OULU       031029 300  042500-043000   00     105.93  986.3    113.23     3.90     3.90
OULU       031029 300  043000-043500   00     107.16  986.4    114.61     5.20     5.20
OULU       031029 300  043500-044000   00     107.13  986.5    114.64     5.20     5.20
OULU       031029 300  044000-044500   00     105.51  986.5    112.97     3.60     3.60
OULU       031029 300  044500-045000   00     104.92  986.6    112.39     3.10     3.10
OULU       031029 300  045000-045500   00     105.57  986.7    113.16     3.80     3.80
OULU       031029 300  045500-050000   00     104.68  986.8    112.26     3.00     3.00
OULU       031029 300  050000-050500   00     105.37  986.8    113.07     3.70     3.70
OULU       031029 300  050500-051000   00     104.68  986.9    112.41     3.10     3.10
OULU       031029 300  051000-051500   00     104.52  987.0    112.32     3.10     3.10
OULU       031029 300  051500-052000   00     105.82  987.1    113.78     4.40     4.40
OULU       031029 300  052000-052500   00     105.47  987.2    113.49     4.10     4.10
OULU       031029 300  052500-053000   00     104.72  987.3    112.76     3.40     3.40
OULU       031029 300  053000-053500   00     102.19  987.4    110.11     1.00     1.00
OULU       031029 300  053500-054000   00     104.42  987.5    112.59     3.30     3.30
OULU       031029 300  054000-054500   00     105.51  987.6    113.84     4.40     4.40
OULU       031029 300  054500-055000   00     105.34  987.7    113.73     4.40     4.40
OULU       031029 300  055000-055500   00     103.38  987.8    111.70     2.50     2.50
OULU       031029 300  055500-060000   00     104.27  987.8    112.73     3.40     3.40
OULU       031029 300  060000-060500   00     106.31  987.9    115.02     5.50     5.50
OULU       031029 300  060500-061000   00     105.62  988.0    114.35     4.90     4.90
OULU       031029 300  061000-061500   00     106.34  988.1    115.21     5.70     5.70
OULU       031029 300  061500-062000   00     105.66  988.2    114.55     5.10     5.10
OULU       031029 300  062000-062500   00     103.99  988.3    112.81     3.50     3.50
OULU       031029 300  062500-063000   00     106.72  988.4    115.85     6.30     6.30
OULU       031029 300  063000-063500   00     104.89  988.5    113.94     4.50     4.50
OULU       031029 300  063500-064000   00     105.20  988.6    114.35     4.90     4.90
OULU       031029 300  064000-064500   00     101.90  988.7    110.84     1.70     1.70
OULU       031029 300  064500-065000   00     101.67  988.8    110.67     1.50     1.50
OULU       031029 300  065000-065500   00      99.31  988.9    108.18    -0.80    -0.80
OULU       031029 300  065500-070000   00      98.59  988.9    107.47    -1.40    -1.40
OULU       031029 300  070000-070500   00     100.78  989.0    109.91     0.80    -9999
OULU       031029 300  070500-071000   00     101.02  989.1    110.23     1.10    -9999
OULU       031029 300  071000-071500   00     100.82  989.2    110.07     1.00    -9999
OULU       031029 300  071500-072000   00      99.25  989.2    108.41    -0.50    -9999
OULU       031029 300  072000-072500   00      98.98  989.3    108.16    -0.80    -9999
OULU       031029 300  072500-073000   00     100.66  989.4    110.06     1.00    -9999
OULU       031029 300  073000-073500   00     100.28  989.4    109.69     0.60    -9999
OULU       031029 300  073500-074000   00      99.04  989.5    108.39    -0.50    -9999
OULU       031029 300  074000-074500   00     100.19  989.6    109.71     0.70    -9999
OULU       031029 300  074500-075000   00     100.90  989.6    110.54     1.40    -9999
OULU       031029 300  075000-075500   00      98.63  989.7    108.10    -0.80    -9999
OULU       031029 300  075500-080000   00     100.40  989.8    110.09     1.00    -9999
OULU       031029 300  080000-080500   00      98.58  989.8    108.16    -0.80    -9999
OULU       031029 300  080500-081000   00     101.13  989.9    111.00     1.80    -9999
OULU       031029 300  081000-081500   00     100.31  989.9    110.15     1.10    -9999
OULU       031029 300  081500-082000   00     100.41  990.0    110.31     1.20    -9999
OULU       031029 300  082000-082500   00      97.62  990.1    107.28    -1.60    -9999
OULU       031029 300  082500-083000   00      97.51  990.1    107.21    -1.60    -9999
OULU       031029 300  083000-083500   00      98.52  990.2    108.37    -0.60    -9999
OULU       031029 300  083500-084000   00      99.09  990.2    109.04     0.00    -9999
OULU       031029 300  084000-084500   00      98.91  990.3    108.89    -0.10    -9999
OULU       031029 300  084500-085000   00     101.69  990.3    112.00     2.70    -9999
OULU       031029 300  085000-085500   00     100.85  990.4    111.12     1.90    -9999
OULU       031029 300  085500-090000   00     101.39  990.5    111.76     2.50    -9999
OULU       031029 300  090000-090500   00     100.10  990.5    110.39     1.30    -9999
OULU       031029 300  090500-091000   00      99.51  990.6    109.77     0.70    -9999
OULU       031029 300  091000-091500   00     100.26  990.6    110.63     1.50    -9999
OULU       031029 300  091500-092000   00      97.60  990.6    107.73    -1.20    -9999
OULU       031029 300  092000-092500   00      95.07  990.7    104.97    -3.70    -9999
OULU       031029 300  092500-093000   00      96.58  990.7    106.67    -2.10    -9999
OULU       031029 300  093000-093500   00      97.45  990.8    107.66    -1.20    -9999
OULU       031029 300  093500-094000   00      96.80  990.8    106.97    -1.90    -9999
OULU       031029 300  094000-094500   00      98.30  990.8    108.67    -0.30    -9999
OULU       031029 300  094500-095000   00      97.99  990.9    108.36    -0.60    -9999
OULU       031029 300  095000-095500   00      97.15  990.9    107.46    -1.40    -9999
OULU       031029 300  095500-100000   00      96.73  991.0    107.04    -1.80    -9999
OULU       031029 300  100000-100500   00      96.53  991.0    106.84    -2.00    -9999
OULU       031029 300  100500-101000   00      99.04  991.1    109.67     0.60    -9999
OULU       031029 300  101000-101500   00      97.43  991.1    107.92    -1.00    -9999
OULU       031029 300  101500-102000   00      98.92  991.2    109.61     0.60    -9999
OULU       031029 300  102000-102500   00      98.93  991.2    109.66     0.60    -9999
OULU       031029 300  102500-103000   00      97.17  991.3    107.75    -1.10    -9999
OULU       031029 300  103000-103500   00      95.10  991.3    105.50    -3.20    -9999
OULU       031029 300  103500-104000   00      95.14  991.4    105.58    -3.10    -9999
OULU       031029 300  104000-104500   00      95.74  991.4    106.28    -2.50    -9999
OULU       031029 300  104500-105000   00      96.41  991.5    107.06    -1.80    -9999
OULU       031029 300  105000-105500   00      96.26  991.5    106.94    -1.90    -9999
OULU       031029 300  105500-110000   00      94.56  991.6    105.09    -3.60    -9999
OULU       031029 300  110000-110500   00      96.22  991.6    106.96    -1.80    -9999
OULU       031029 300  110500-111000   00      92.97  991.6    103.35    -5.20    -9999
OULU       031029 300  111000-111500   00      93.82  991.6    104.29    -4.30    -9999
OULU       031029 300  111500-112000   00      92.22  991.6    102.52    -6.00    -9999
OULU       031029 300  112000-112500   00      91.53  991.6    101.75    -6.70    -9999
OULU       031029 300  112500-113000   00      93.76  991.6    104.22    -4.40    -9999
OULU       031029 300  113000-113500   00      91.07  991.6    101.23    -7.10    -9999
OULU       031029 300  113500-114000   00      90.87  991.6    101.02    -7.30    -9999
OULU       031029 300  114000-114500   00      90.98  991.6    101.13    -7.20    -9999
OULU       031029 300  114500-115000   00      91.86  991.6    102.11    -6.30    -9999
OULU       031029 300  115000-115500   00      88.53  991.6     98.42    -9.70    -9999
OULU       031029 300  115500-120000   00      90.09  991.6    100.15    -8.10    -9999
OULU       031029 3600 120000-130000   00      88.35  992.0     98.50    -9.60    -9999
OULU       031029 3600 130000-140000   00      82.82  992.3     92.54   -15.10    -9999
OULU       031029 3600 140000-150000   00      79.46  992.6     88.98   -18.40    -9999
OULU       031029 3600 150000-160000   00      77.36  993.2     87.02   -20.20    -9999
OULU       031029 3600 160000-170000   00      77.80  993.5     87.71   -19.50    -9999
OULU       031029 3600 170000-180000   00      75.93  993.8     85.79   -21.30    -9999
