POTCHEFSTR LATITUDE    -26.68    LONGITUDE     27.92     ALTITUDE    1351 M
POTCHEFSTR INSTRUMENT   12IGY    NEUTRON MONITOR     
POTCHEFSTR STANDARD PRESSURE    869.7   mb     COEFFICIENT   -0.743    % / mb
POTCHEFSTR PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
POTCHEFSTR PRE-INCREASE AVERAGE COUNTING RATE     52.98      COUNTS PER SECOND
POTCHEFSTR TIME INTERVALS    300         3600     
POTCHEFSTR SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
POTCHEFSTR 031028 300  123000-123500   00      54.61  867.7     53.80     1.50    -9999
POTCHEFSTR 031028 300  123500-124000   00      53.54  867.7     52.74    -0.50    -9999
POTCHEFSTR 031028 300  124000-124500   00      55.38  867.6     54.53     2.90    -9999
POTCHEFSTR 031028 300  124500-125000   00      53.62  867.6     52.79    -0.40    -9999
POTCHEFSTR 031028 300  125000-125500   00      55.15  867.6     54.28     2.50    -9999
POTCHEFSTR 031028 300  125500-130000   00      54.06  867.5     53.19     0.40    -9999
POTCHEFSTR 031028 300  130000-130500   00      54.52  867.5     53.63     1.20    -9999
POTCHEFSTR 031028 300  130500-131000   00      53.12  867.5     52.26    -1.40    -9999
POTCHEFSTR 031028 300  131000-131500   00      55.35  867.5     54.44     2.80    -9999
POTCHEFSTR 031028 300  131500-132000   00      51.74  867.5     50.89    -3.90    -9999
POTCHEFSTR 031028 300  132000-132500   00      54.85  867.5     53.95     1.80    -9999
POTCHEFSTR 031028 300  132500-133000   00      55.16  867.5     54.25     2.40    -9999
POTCHEFSTR 031028 300  133000-133500   00      54.10  867.4     53.21     0.40    -9999
POTCHEFSTR 031028 300  133500-134000   00      54.23  867.4     53.33     0.70    -9999
POTCHEFSTR 031028 300  134000-134500   00      55.54  867.4     54.61     3.10    -9999
POTCHEFSTR 031028 300  134500-135000   00      54.91  867.4     53.99     1.90    -9999
POTCHEFSTR 031028 300  135000-135500   00      55.24  867.4     54.32     2.50    -9999
POTCHEFSTR 031028 300  135500-140000   00      53.89  867.4     52.98     0.00    -9999
POTCHEFSTR 031028 300  140000-140500   00      54.19  867.4     53.27     0.50    -9999
POTCHEFSTR 031028 300  140500-141000   00      53.99  867.5     53.10     0.20    -9999
POTCHEFSTR 031028 300  141000-141500   00      53.79  867.5     52.91    -0.10    -9999
POTCHEFSTR 031028 300  141500-142000   00      54.93  867.5     54.05     2.00    -9999
POTCHEFSTR 031028 300  142000-142500   00      53.31  867.6     52.48    -0.90    -9999
POTCHEFSTR 031028 300  142500-143000   00      52.90  867.6     52.09    -1.70    -9999
POTCHEFSTR 031028 300  143000-143500   00      53.95  867.7     53.14     0.30    -9999
POTCHEFSTR 031028 300  143500-144000   00      54.09  867.7     53.30     0.60    -9999
POTCHEFSTR 031028 300  144000-144500   00      53.89  867.8     53.12     0.30    -9999
POTCHEFSTR 031028 300  144500-145000   00      53.61  867.8     52.85    -0.20    -9999
POTCHEFSTR 031028 300  145000-145500   00      53.62  867.8     52.88    -0.20    -9999
POTCHEFSTR 031028 300  145500-150000   00      55.21  867.9     54.46     2.80    -9999
POTCHEFSTR 031028 300  150000-150500   00      54.48  867.9     53.76     1.50    -9999
POTCHEFSTR 031028 300  150500-151000   00      55.07  868.0     54.36     2.60    -9999
POTCHEFSTR 031028 300  151000-151500   00      52.39  868.0     51.74    -2.30    -9999
