JUNGFRAU   LATITUDE    46.55     LONGITUDE     7.98      ALTITUDE    3475 M
JUNGFRAU   INSTRUMENT   3-NM-64  NEUTRON MONITOR	
JUNGFRAU   STANDARD PRESSURE    482     MMHG   COEFFICIENT   -0.96     % / MMHG
JUNGFRAU   PRE-INCREASE BASELINE TIME INTERVAL    931028    100000-110000   UT
JUNGFRAU   PRE-INCREASE AVERAGE COUNTING RATE    317.94      COUNTS PER SECOND
JUNGFRAU   TIME INTERVALS    300         3600     
JUNGFRAU   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
JUNGFRAU   031028 300  114500-115000   00     281.58  496.5    323.58     1.80    -9999
JUNGFRAU   031028 300  115000-115500   00     283.32  496.4    325.38     2.30    -9999
JUNGFRAU   031028 300  115500-120000   00     282.05  496.4    323.99     1.90    -9999
JUNGFRAU   031028 300  120000-120500   00     279.70  496.4    321.16     1.00    -9999
JUNGFRAU   031028 300  120500-121000   00     279.36  496.4    320.71     0.90    -9999
JUNGFRAU   031028 300  121000-121500   00     280.52  496.4    321.99     1.30    -9999
JUNGFRAU   031028 300  121500-122000   00     281.51  496.3    322.94     1.60    -9999
JUNGFRAU   031028 300  122000-122500   00     280.02  496.4    321.46     1.10    -9999
JUNGFRAU   031028 300  122500-123000   00     284.77  496.3    326.68     2.70    -9999
JUNGFRAU   031028 300  123000-123500   00     281.28  496.3    322.79     1.50    -9999
JUNGFRAU   031028 300  123500-124000   00     281.97  496.4    323.77     1.80    -9999
JUNGFRAU   031028 300  124000-124500   00     277.55  496.4    318.63     0.20    -9999
JUNGFRAU   031028 300  124500-125000   00     281.09  496.3    322.45     1.40    -9999
JUNGFRAU   031028 300  125000-125500   00     283.59  496.3    325.33     2.30    -9999
JUNGFRAU   031028 300  125500-130000   00     281.98  496.3    323.48     1.70    -9999
JUNGFRAU   031028 300  130000-130500   00     281.55  496.3    322.98     1.60    -9999
JUNGFRAU   031028 300  130500-131000   00     281.43  496.2    322.66     1.50    -9999
JUNGFRAU   031028 300  131000-131500   00     278.37  496.2    319.02     0.30    -9999
JUNGFRAU   031028 300  131500-132000   00     282.09  496.2    323.29     1.70    -9999
JUNGFRAU   031028 300  132000-132500   00     280.61  496.2    321.59     1.10    -9999
JUNGFRAU   031028 300  132500-133000   00     281.27  496.2    322.35     1.40    -9999
JUNGFRAU   031028 300  133000-133500   00     283.42  496.2    324.81     2.10    -9999
JUNGFRAU   031028 300  133500-134000   00     279.84  496.2    320.71     0.90    -9999
JUNGFRAU   031028 300  134000-134500   00     278.40  496.2    319.06     0.30    -9999
JUNGFRAU   031028 300  134500-135000   00     284.87  496.2    326.48     2.70    -9999
JUNGFRAU   031028 300  135000-135500   00     276.53  496.2    316.91    -0.30    -9999
JUNGFRAU   031028 300  135500-140000   00     283.01  496.2    324.34     2.00    -9999
JUNGFRAU   031028 300  140000-140500   00     278.16  496.2    318.79     0.30    -9999
JUNGFRAU   031028 300  140500-141000   00     281.80  496.2    322.96     1.60    -9999
JUNGFRAU   031028 300  141000-141500   00     282.27  496.2    323.50     1.80    -9999
JUNGFRAU   031028 300  141500-142000   00     281.39  496.2    322.48     1.40    -9999
JUNGFRAU   031028 300  142000-142500   00     280.46  496.2    321.42     1.10    -9999
JUNGFRAU   031028 300  142500-143000   00     281.10  496.2    322.15     1.30    -9999
JUNGFRAU   031028 300  143000-143500   00     283.61  496.2    325.03     2.20    -9999
JUNGFRAU   031028 300  143500-144000   00     281.32  496.1    322.15     1.30    -9999
JUNGFRAU   031028 300  144000-144500   00     280.57  496.1    321.18     1.00    -9999
JUNGFRAU   031028 300  144500-145000   00     278.65  496.0    318.73     0.20    -9999
JUNGFRAU   031028 300  145000-145500   00     282.98  496.0    323.68     1.80    -9999
JUNGFRAU   031028 300  145500-150000   00     280.12  496.0    320.41     0.80    -9999
JUNGFRAU   031028 300  150000-150500   00     282.00  495.9    322.25     1.40    -9999
JUNGFRAU   031028 300  150500-151000   00     283.18  495.9    323.61     1.80    -9999
JUNGFRAU   031028 300  151000-151500   00     282.97  495.9    323.36     1.70    -9999
JUNGFRAU   031028 300  151500-152000   00     285.07  495.9    325.77     2.50    -9999
JUNGFRAU   031028 300  152000-152500   00     282.91  495.9    323.31     1.70    -9999
JUNGFRAU   031028 300  152500-153000   00     278.90  495.9    318.72     0.20    -9999
JUNGFRAU   031028 300  153000-153500   00     280.35  495.9    320.24     0.70    -9999
JUNGFRAU   031028 300  153500-154000   00     282.36  495.8    322.36     1.40    -9999
JUNGFRAU   031028 300  154000-154500   00     280.33  495.8    320.04     0.60    -9999
JUNGFRAU   031028 300  154500-155000   00     278.66  495.8    318.13     0.10    -9999
JUNGFRAU   031028 300  155000-155500   00     281.46  495.7    321.15     1.00    -9999
JUNGFRAU   031028 300  155500-160000   00     282.56  495.8    322.52     1.40    -9999
JUNGFRAU   031028 300  160000-160500   00     280.37  495.7    319.83     0.60    -9999
JUNGFRAU   031028 300  160500-161000   00     282.94  495.7    322.77     1.50    -9999
JUNGFRAU   031028 300  161000-161500   00     280.08  495.8    319.69     0.60    -9999
JUNGFRAU   031028 300  161500-162000   00     282.14  495.7    321.81     1.20    -9999
JUNGFRAU   031028 300  162000-162500   00     282.28  495.7    321.95     1.30    -9999
JUNGFRAU   031028 300  162500-163000   00     281.15  495.7    320.67     0.90    -9999
JUNGFRAU   031028 300  163000-163500   00     282.23  495.7    321.97     1.30    -9999
JUNGFRAU   031028 300  163500-164000   00     282.31  495.7    321.99     1.30    -9999
JUNGFRAU   031028 300  164000-164500   00     282.68  495.7    322.47     1.40    -9999
JUNGFRAU   031028 300  164500-165000   00     282.25  495.8    322.11     1.30    -9999
JUNGFRAU   031028 300  165000-165500   00     280.33  495.8    319.98     0.60    -9999
JUNGFRAU   031028 300  165500-170000   00     285.71  495.8    326.12     2.60    -9999
JUNGFRAU   031028 300  170000-170500   00     283.61  495.9    323.96     1.90    -9999
JUNGFRAU   031028 300  170500-171000   00     280.90  495.9    320.94     1.00    -9999
JUNGFRAU   031028 300  171000-171500   00     284.28  495.8    324.62     2.10    -9999
JUNGFRAU   031028 300  171500-172000   00     282.83  495.9    323.15     1.70    -9999
JUNGFRAU   031028 300  172000-172500   00     282.38  495.9    322.62     1.50    -9999
JUNGFRAU   031028 300  172500-173000   00     282.26  495.8    322.31     1.40    -9999
JUNGFRAU   031028 300  173000-173500   00     279.06  495.8    318.58     0.20    -9999
JUNGFRAU   031028 300  173500-174000   00     281.94  495.8    321.76     1.20    -9999
