MOSC  1nmF LATITUDE    55.47     LONGITUDE     37.32     ALTITUDE    200 M
MOSC  1nmF INSTRUMENT   01nmF    NEUTRON MONITOR (B10 counter,without Lead)	
MOSC  1nmF STANDARD PRESSURE    999.1   mb     COEFFICIENT   -0.71     % / mb
MOSC  1nmF PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
MOSC  1nmF PRE-INCREASE AVERAGE COUNTING RATE      2.45      COUNTS PER SECOND
MOSC  1nmF TIME INTERVALS    300         3600     
MOSC  1nmF SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
MOSC  1nmF 061213 300  041500-042000   00       2.49  998.3      2.47     1.04     1.04
MOSC  1nmF 061213 300  042000-042500   00       2.53  998.2      2.52     2.65     2.65
MOSC  1nmF 061213 300  042500-043000   00       2.58  998.2      2.57     4.93     4.93
MOSC  1nmF 061213 300  043000-043500   00       2.58  998.2      2.56     4.51     4.51
MOSC  1nmF 061213 300  043500-044000   00       2.52  998.2      2.50     2.06     2.06
MOSC  1nmF 061213 300  044000-044500   00       2.52  998.2      2.50     2.05     2.05
MOSC  1nmF 061213 300  044500-045000   00       2.54  998.1      2.52     2.99     2.99
MOSC  1nmF 061213 300  045000-045500   00       2.69  998.1      2.67     8.92     8.92
MOSC  1nmF 061213 300  045500-050000   00       2.53  998.1      2.51     2.42     2.42
MOSC  1nmF 061213 300  050000-050500   00       2.26  998.1      2.24    -8.40    -9999
MOSC  1nmF 061213 300  050500-051000   00       2.40  998.1      2.38    -2.86    -9999
MOSC  1nmF 061213 300  051000-051500   00       2.51  998.1      2.50     2.01    -9999
MOSC  1nmF 061213 300  051500-052000   00       2.54  998.1      2.53     3.09    -9999
MOSC  1nmF 061213 300  052000-052500   00       2.47  998.1      2.46     0.26    -9999
MOSC  1nmF 061213 300  052500-053000   00       2.71  998.1      2.69     9.99    -9999
MOSC  1nmF 061213 300  053000-053500   00       2.49  998.1      2.48     1.07    -9999
MOSC  1nmF 061213 300  053500-054000   00       2.55  998.1      2.53     3.24    -9999
MOSC  1nmF 061213 300  054000-054500   00       2.69  998.1      2.67     8.92    -9999
MOSC  1nmF 061213 300  054500-055000   00       2.52  998.1      2.51     2.30    -9999
MOSC  1nmF 061213 300  055000-055500   00       2.46  998.1      2.44    -0.40    -9999
MOSC  1nmF 061213 300  055500-060000   00       2.50  998.1      2.48     1.22    -9999
MOSC  1nmF 061213 300  060000-060500   00       2.53  998.1      2.51     2.44    -9999
MOSC  1nmF 061213 300  060500-061000   00       2.56  998.1      2.54     3.65    -9999
MOSC  1nmF 061213 300  061000-061500   00       2.37  998.1      2.36    -3.78    -9999
MOSC  1nmF 061213 300  061500-062000   00       2.49  998.1      2.48     1.08    -9999
MOSC  1nmF 061213 300  062000-062500   00       2.64  998.1      2.62     6.89    -9999
MOSC  1nmF 061213 300  062500-063000   00       2.63  998.1      2.61     6.48    -9999
