CAPE SHMID LATITUDE    68.92     LONGITUDE     -179.47   ALTITUDE    0 M
CAPE SHMID INSTRUMENT   12NM64    NEUTRON MONITOR
CAPE SHMID STANDARD PRESSURE    1024.8  MB     COEFFICIENT   -0.72     % / MB
CAPE SHMID 031028 3600 080000-090000   00      77.28 1025.6     77.73     0.80    -9999
CAPE SHMID 031028 300  090000-090500   00      77.14 1025.2     77.36     0.30    -9999
CAPE SHMID 031028 300  090500-091000   00      77.70 1025.2     77.90     1.00    -9999
CAPE SHMID 031028 300  091000-091500   00      77.70 1025.1     77.88     1.00    -9999
CAPE SHMID 031028 300  091500-092000   00      76.38 1025.1     76.53    -0.80    -9999
CAPE SHMID 031028 300  092000-092500   00      78.36 1025.1     78.50     1.80    -9999
CAPE SHMID 031028 300  092500-093000   00      77.35 1025.0     77.48     0.50    -9999
CAPE SHMID 031028 300  093000-093500   00      76.63 1025.0     76.73    -0.50    -9999
CAPE SHMID 031028 300  093500-094000   00      76.28 1025.0     76.36    -1.00    -9999
CAPE SHMID 031028 300  094000-094500   00      77.47 1024.9     77.54     0.50    -9999
CAPE SHMID 031028 300  094500-095000   00      77.33 1024.9     77.38     0.30    -9999
CAPE SHMID 031028 300  095000-095500   00      77.31 1024.9     77.34     0.30    -9999
CAPE SHMID 031028 300  095500-100000   00      77.54 1024.8     77.56     0.60    -9999
CAPE SHMID 031028 300  100000-100500   00      77.09 1024.8     77.09    -0.10    -9999
CAPE SHMID 031028 300  100500-101000   00      77.85 1024.8     77.84     0.90    -9999
CAPE SHMID 031028 300  101000-101500   00      76.77 1024.8     76.75    -0.50    -9999
CAPE SHMID 031028 300  101500-102000   00      77.18 1024.7     77.14     0.00    -9999
CAPE SHMID 031028 300  102000-102500   00      76.80 1024.7     76.77    -0.50    -9999
CAPE SHMID 031028 300  102500-103000   00      77.71 1024.7     77.66     0.70    -9999
CAPE SHMID 031028 300  103000-103500   00      77.43 1024.7     77.36     0.30    -9999
CAPE SHMID 031028 300  103500-104000   00      74.52 1024.7     74.46    -3.50    -9999
CAPE SHMID 031028 300  104000-104500   00      77.26 1024.7     77.18     0.10    -9999
CAPE SHMID 031028 300  104500-105000   00      77.17 1024.6     77.08    -0.10    -9999
CAPE SHMID 031028 300  105000-105500   00      78.13 1024.6     78.03     1.20    -9999
CAPE SHMID 031028 300  105500-110000   00      77.66 1024.6     77.56     0.50    -9999
CAPE SHMID 031028 300  110000-110500   00      76.58 1024.6     76.46    -0.90    -0.95
CAPE SHMID 031028 300  110500-111000   00      78.07 1024.5     77.90     1.00     0.96
CAPE SHMID 031028 300  111000-111500   00      76.73 1024.4     76.53    -0.80    -0.83
CAPE SHMID 031028 300  111500-112000   00      81.38 1024.4     81.14     5.20     5.17
CAPE SHMID 031028 300  112000-112500   00      78.92 1024.3     78.64     1.90     1.88
CAPE SHMID 031028 300  112500-113000   00      77.84 1024.2     77.53     0.50     0.49
CAPE SHMID 031028 300  113000-113500   00      76.36 1024.2     76.02    -1.40    -1.40
CAPE SHMID 031028 300  113500-114000   00      79.71 1024.1     79.31     2.80     2.80
CAPE SHMID 031028 300  114000-114500   00      80.44 1024.0     80.00     3.70     3.71
CAPE SHMID 031028 300  114500-115000   00      85.13 1024.0     84.62     9.70     9.72
CAPE SHMID 031028 300  115000-115500   00      87.78 1023.9     87.21    13.10    13.12
CAPE SHMID 031028 300  115500-120000   00      85.69 1023.8     85.10    10.30    10.33
CAPE SHMID 031028 300  120000-120500   00      91.87 1023.8     91.19    18.20    18.24
CAPE SHMID 031028 300  120500-121000   00      92.05 1023.7     91.34    18.40    18.45
CAPE SHMID 031028 300  121000-121500   00      89.50 1023.7     88.77    15.10    15.15
CAPE SHMID 031028 300  121500-122000   00      88.45 1023.6     87.69    13.70    13.76
CAPE SHMID 031028 300  122000-122500   00      86.88 1023.5     86.10    11.60    11.67
CAPE SHMID 031028 300  122500-123000   00      88.28 1023.5     87.44    13.40    13.47
CAPE SHMID 031028 300  123000-123500   00      86.45 1023.4     85.61    11.00    11.08
CAPE SHMID 031028 300  123500-124000   00      84.89 1023.4     84.02     8.90     8.99
CAPE SHMID 031028 300  124000-124500   00      84.57 1023.3     83.66     8.40     8.49
CAPE SHMID 031028 300  124500-125000   00      80.85 1023.3     79.95     3.70     3.80
CAPE SHMID 031028 300  125000-125500   00      81.30 1023.2     80.37     4.20     4.31
CAPE SHMID 031028 300  125500-130000   00      82.13 1023.1     81.15     5.20     5.32
CAPE SHMID 031028 300  130000-130500   00      81.09 1023.1     80.10     3.90     4.02
CAPE SHMID 031028 300  130500-131000   00      81.75 1023.1     80.73     4.70     4.83
CAPE SHMID 031028 300  131000-131500   00      82.10 1023.0     81.07     5.10     5.24
CAPE SHMID 031028 300  131500-132000   00      80.38 1023.0     79.35     2.90     3.04
CAPE SHMID 031028 300  132000-132500   00      82.07 1023.0     81.00     5.00     5.15
CAPE SHMID 031028 300  132500-133000   00      82.02 1023.0     80.94     4.90     5.06
CAPE SHMID 031028 300  133000-133500   00      82.20 1022.9     81.11     5.10     5.26
CAPE SHMID 031028 300  133500-134000   00      80.45 1022.9     79.36     2.90     3.07
CAPE SHMID 031028 300  134000-134500   00      81.47 1022.9     80.35     4.20     4.38
CAPE SHMID 031028 300  134500-135000   00      81.75 1022.9     80.62     4.50     4.69
CAPE SHMID 031028 300  135000-135500   00      80.09 1022.8     78.97     2.40     2.59
CAPE SHMID 031028 300  135500-140000   00      81.46 1022.8     80.30     4.10     4.30
CAPE SHMID 031028 300  140000-140500   00      80.55 1022.8     79.37     2.90     3.11
CAPE SHMID 031028 300  140500-141000   00      81.02 1022.7     79.79     3.50     3.71
CAPE SHMID 031028 300  141000-141500   00      82.10 1022.6     80.79     4.70     4.92
CAPE SHMID 031028 300  141500-142000   00      80.84 1022.5     79.50     3.10     3.33
CAPE SHMID 031028 300  142000-142500   00      83.74 1022.4     82.31     6.70     6.94
CAPE SHMID 031028 300  142500-143000   00      81.99 1022.3     80.53     4.40     4.64
CAPE SHMID 031028 300  143000-143500   00      79.44 1022.2     77.97     1.10     1.35
CAPE SHMID 031028 300  143500-144000   00      82.39 1022.1     80.82     4.80     5.06
CAPE SHMID 031028 300  144000-144500   00      82.05 1022.0     80.43     4.30     4.56
CAPE SHMID 031028 300  144500-145000   00      81.47 1021.9     79.81     3.50     3.77
CAPE SHMID 031028 300  145000-145500   00      82.06 1021.8     80.33     4.20     4.48
CAPE SHMID 031028 300  145500-150000   00      82.12 1021.8     80.33     4.20     4.48
CAPE SHMID 031028 300  150000-150500   00      83.65 1021.7     81.79     6.00     6.29
CAPE SHMID 031028 300  150500-151000   00      81.78 1021.6     79.92     3.60     3.90
CAPE SHMID 031028 300  151000-151500   00      81.42 1021.6     79.54     3.10     3.41
CAPE SHMID 031028 300  151500-152000   00      82.31 1021.5     80.38     4.20     4.51
CAPE SHMID 031028 300  152000-152500   00      83.75 1021.4     81.75     6.00     6.32
CAPE SHMID 031028 300  152500-153000   00      83.57 1021.4     81.54     5.70     6.03
CAPE SHMID 031028 300  153000-153500   00      83.47 1021.3     81.41     5.50     5.83
CAPE SHMID 031028 300  153500-154000   00      82.58 1021.3     80.51     4.40     4.74
CAPE SHMID 031028 300  154000-154500   00      81.44 1021.2     79.36     2.90     3.25
CAPE SHMID 031028 300  154500-155000   00      84.05 1021.2     81.88     6.20     6.56
CAPE SHMID 031028 300  155000-155500   00      83.88 1021.1     81.67     5.90     6.26
CAPE SHMID 031028 300  155500-160000   00      83.58 1021.0     81.34     5.50     5.87
CAPE SHMID 031028 300  160000-160500   00      85.71 1021.0     83.38     8.10     8.48
CAPE SHMID 031028 300  160500-161000   00      82.98 1020.9     80.69     4.60     4.98
CAPE SHMID 031028 300  161000-161500   00      82.29 1020.8     79.98     3.70     4.09
CAPE SHMID 031028 300  161500-162000   00      82.67 1020.8     80.31     4.10     4.50
CAPE SHMID 031028 300  162000-162500   00      82.96 1020.7     80.55     4.40     4.80
CAPE SHMID 031028 300  162500-163000   00      83.75 1020.6     81.28     5.40     5.81
CAPE SHMID 031028 300  163000-163500   00      83.97 1020.6     81.46     5.60     6.02
CAPE SHMID 031028 300  163500-164000   00      82.58 1020.5     80.07     3.80     4.23
CAPE SHMID 031028 300  164000-164500   00      82.56 1020.4     80.01     3.80     4.23
CAPE SHMID 031028 300  164500-165000   00      83.30 1020.4     80.68     4.60     5.04
CAPE SHMID 031028 300  165000-165500   00      84.25 1020.3     81.56     5.70     6.15
CAPE SHMID 031028 300  165500-170000   00      84.12 1020.2     81.40     5.50     5.95
CAPE SHMID 031028 300  170000-170500   00      84.11 1020.2     81.35     5.50     5.96
CAPE SHMID 031028 300  170500-171000   00      84.60 1020.1     81.78     6.00     6.47
CAPE SHMID 031028 300  171000-171500   00      83.65 1020.0     80.82     4.80     5.28
CAPE SHMID 031028 300  171500-172000   00      83.74 1019.9     80.87     4.80     5.28
CAPE SHMID 031028 300  172000-172500   00      83.50 1019.9     80.59     4.50     4.99
CAPE SHMID 031028 300  172500-173000   00      83.05 1019.8     80.11     3.90     4.40
CAPE SHMID 031028 300  173000-173500   00      85.08 1019.7     82.03     6.40     6.90
CAPE SHMID 031028 300  173500-174000   00      82.66 1019.6     79.65     3.30     3.81
CAPE SHMID 031028 300  174000-174500   00      83.31 1019.6     80.23     4.00     4.52
CAPE SHMID 031028 300  174500-175000   00      82.61 1019.5     79.51     3.10     3.62
CAPE SHMID 031028 300  175000-175500   00      84.95 1019.4     81.72     5.90     6.43
CAPE SHMID 031028 300  175500-180000   00      83.94 1019.3     80.71     4.60     5.14
CAPE SHMID 031028 300  180000-180500   00      84.16 1019.3     80.88     4.90     5.45
CAPE SHMID 031028 300  180500-181000   00      84.87 1019.2     81.53     5.70     6.25
CAPE SHMID 031028 300  181000-181500   00      83.92 1019.2     80.57     4.50     5.06
CAPE SHMID 031028 300  181500-182000   00      84.47 1019.1     81.08     5.10     5.67
CAPE SHMID 031028 300  182000-182500   00      84.95 1019.0     81.50     5.70     6.27
CAPE SHMID 031028 300  182500-183000   00      84.66 1019.0     81.18     5.30     5.88
CAPE SHMID 031028 300  183000-183500   00      84.99 1018.9     81.47     5.60     6.19
CAPE SHMID 031028 300  183500-184000   00      84.06 1018.9     80.54     4.40     5.00
CAPE SHMID 031028 300  184000-184500   00      85.95 1018.8     82.32     6.70     7.30
CAPE SHMID 031028 300  184500-185000   00      82.83 1018.8     79.30     2.80     3.41
CAPE SHMID 031028 300  185000-185500   00      85.59 1018.7     81.91     6.20     6.82
CAPE SHMID 031028 300  185500-190000   00      83.52 1018.6     79.89     3.60     4.22
CAPE SHMID 031028 300  190000-190500   00      83.86 1018.6     80.18     4.00     4.63
CAPE SHMID 031028 300  190500-191000   00      85.82 1018.4     81.98     6.30     6.94
CAPE SHMID 031028 300  191000-191500   00      85.54 1018.3     81.65     5.90     6.54
CAPE SHMID 031028 300  191500-192000   00      83.37 1018.2     79.52     3.10     3.75
CAPE SHMID 031028 300  192000-192500   00      84.60 1018.1     80.63     4.50     5.16
CAPE SHMID 031028 300  192500-193000   00      85.42 1018.0     81.35     5.50     6.17
CAPE SHMID 031028 300  193000-193500   00      85.19 1017.9     81.06     5.10     5.77
CAPE SHMID 031028 300  193500-194000   00      83.32 1017.8     79.22     2.70     3.38
CAPE SHMID 031028 300  194000-194500   00      84.38 1017.7     80.17     4.00     4.69
CAPE SHMID 031028 300  194500-195000   00      84.97 1017.6     80.67     4.60     5.29
CAPE SHMID 031028 300  195000-195500   00      84.50 1017.5     80.15     3.90     4.60
CAPE SHMID 031028 300  195500-200000   00      83.76 1017.4     79.40     2.90     3.61
CAPE SHMID 031028 300  200000-200500   00      84.73 1017.3     80.26     4.10     4.82
CAPE SHMID 031028 300  200500-201000   00      85.58 1017.2     81.02     5.00     5.72
CAPE SHMID 031028 300  201000-201500   00      86.75 1017.1     82.08     6.40     7.13
CAPE SHMID 031028 300  201500-202000   00      87.07 1017.0     82.34     6.80     7.54
CAPE SHMID 031028 300  202000-202500   00      85.32 1017.0     80.64     4.50     5.24
CAPE SHMID 031028 300  202500-203000   00      85.67 1016.9     80.93     4.90     5.65
CAPE SHMID 031028 300  203000-203500   00      84.84 1016.8     80.10     3.80     4.56
CAPE SHMID 031028 300  203500-204000   00      85.48 1016.7     80.67     4.60     5.36
CAPE SHMID 031028 300  204000-204500   00      84.95 1016.7     80.12     3.90     4.67
CAPE SHMID 031028 300  204500-205000   00      86.17 1016.6     81.22     5.30     6.08
CAPE SHMID 031028 300  205000-205500   00      87.09 1016.5     82.05     6.40     7.19
CAPE SHMID 031028 300  205500-210000   00      86.06 1016.4     81.04     5.10     5.89
CAPE SHMID 031028 300  210000-210500   00      86.16 1016.4     81.09     5.10     5.90
CAPE SHMID 031028 300  210500-211000   00      87.00 1016.3     81.84     6.10     6.91
CAPE SHMID 031028 300  211000-211500   00      84.84 1016.2     79.77     3.40     4.21
CAPE SHMID 031028 300  211500-212000   00      86.51 1016.2     81.30     5.40     6.22
CAPE SHMID 031028 300  212000-212500   00      85.07 1016.1     79.91     3.60     4.43
CAPE SHMID 031028 300  212500-213000   00      86.13 1016.0     80.87     4.80     5.64
CAPE SHMID 031028 300  213000-213500   00      86.24 1016.0     80.93     4.90     5.74
CAPE SHMID 031028 300  213500-214000   00      85.49 1015.9     80.18     4.00     4.85
CAPE SHMID 031028 300  214000-214500   00      86.13 1015.8     80.75     4.70     5.56
CAPE SHMID 031028 300  214500-215000   00      86.44 1015.8     81.00     5.00     5.86
CAPE SHMID 031028 300  215000-215500   00      89.11 1015.7     83.46     8.20     9.07
CAPE SHMID 031028 300  215500-220000   00      85.98 1015.6     80.49     4.30     5.18
CAPE SHMID 031028 300  220000-220500   00      88.61 1015.6     82.92     7.50     8.38
CAPE SHMID 031028 300  220500-221000   00      87.65 1015.5     81.97     6.30     7.19
CAPE SHMID 031028 300  221000-221500   00      85.47 1015.4     79.89     3.60     4.50
CAPE SHMID 031028 300  221500-222000   00      86.52 1015.3     80.82     4.80     5.71
CAPE SHMID 031028 300  222000-222500   00      88.02 1015.3     82.19     6.60     7.51
CAPE SHMID 031028 300  222500-223000   00      86.55 1015.2     80.76     4.70     5.62
CAPE SHMID 031028 300  223000-223500   00      85.15 1015.1     79.41     3.00     3.93
CAPE SHMID 031028 300  223500-224000   00      86.74 1015.0     80.85     4.80     5.73
CAPE SHMID 031028 300  224000-224500   00      86.95 1015.0     81.01     5.00     5.94
CAPE SHMID 031028 300  224500-225000   00      86.62 1014.9     80.66     4.60     5.55
CAPE SHMID 031028 300  225000-225500   00      88.40 1014.8     82.28     6.70     7.66
CAPE SHMID 031028 300  225500-230000   00      87.01 1014.7     80.93     4.90     5.86
CAPE SHMID 031028 300  230000-230500   00      84.66 1014.7     78.71     2.00     2.97
CAPE SHMID 031028 300  230500-231000   00      87.14 1014.7     81.00     5.00     5.98
CAPE SHMID 031028 300  231000-231500   00      86.12 1014.6     80.03     3.80     4.78
CAPE SHMID 031028 300  231500-232000   00      86.45 1014.6     80.32     4.10     5.09
CAPE SHMID 031028 300  232000-232500   00      86.86 1014.6     80.68     4.60     5.60
CAPE SHMID 031028 300  232500-233000   00      86.29 1014.5     80.14     3.90     4.90
CAPE SHMID 031028 300  233000-233500   00      86.76 1014.5     80.55     4.40     5.41
CAPE SHMID 031028 300  233500-234000   00      88.45 1014.5     82.10     6.40     7.42
CAPE SHMID 031028 300  234000-234500   00      85.46 1014.4     79.30     2.80     3.83
CAPE SHMID 031028 300  234500-235000   00      86.12 1014.4     79.90     3.60     4.63
CAPE SHMID 031028 300  235000-235500   00      87.64 1014.4     81.29     5.40     6.44
CAPE SHMID 031028 300  235500-240000   00      87.02 1014.3     80.69     4.60     5.65
CAPE SHMID 031029 300  000000-000500   00      87.40 1014.3     81.03     5.00     6.05
CAPE SHMID 031029 300  000500-001000   00      86.09 1014.2     79.77     3.40     4.46
CAPE SHMID 031029 300  001000-001500   00      86.11 1014.2     79.76     3.40     4.47
CAPE SHMID 031029 300  001500-002000   00      87.35 1014.1     80.88     4.80     5.88
CAPE SHMID 031029 300  002000-002500   00      86.90 1014.0     80.42     4.30     5.38
CAPE SHMID 031029 300  002500-003000   00      87.90 1014.0     81.31     5.40     6.49
CAPE SHMID 031029 300  003000-003500   00      88.75 1013.9     82.07     6.40     7.50
CAPE SHMID 031029 300  003500-004000   00      87.13 1013.9     80.53     4.40     5.50
CAPE SHMID 031029 300  004000-004500   00      86.98 1013.8     80.36     4.20     5.31
CAPE SHMID 031029 300  004500-005000   00      86.54 1013.8     79.92     3.60     4.72
CAPE SHMID 031029 300  005000-005500   00      87.83 1013.7     81.08     5.10     6.22
CAPE SHMID 031029 300  005500-010000   00      87.81 1013.6     81.03     5.10     6.23
CAPE SHMID 031029 300  010000-010500   00      87.42 1013.6     80.63     4.60     5.74
CAPE SHMID 031029 300  010500-011000   00      84.97 1013.5     78.35     1.60     2.75
CAPE SHMID 031029 300  011000-011500   00      88.24 1013.5     81.32     5.40     6.55
CAPE SHMID 031029 300  011500-012000   00      86.13 1013.4     79.35     2.90     4.06
CAPE SHMID 031029 300  012000-012500   00      86.89 1013.3     80.01     3.70     4.87
CAPE SHMID 031029 300  012500-013000   00      86.79 1013.3     79.88     3.60     4.77
CAPE SHMID 031029 300  013000-013500   00      89.72 1013.2     82.55     7.00     8.18
CAPE SHMID 031029 300  013500-014000   00      87.86 1013.2     80.80     4.80     5.99
CAPE SHMID 031029 300  014000-014500   00      88.86 1013.1     81.69     5.90     7.10
CAPE SHMID 031029 300  014500-015000   00      87.87 1013.1     80.74     4.70     5.90
CAPE SHMID 031029 300  015000-015500   00      86.49 1013.0     79.44     3.00     4.21
CAPE SHMID 031029 300  015500-020000   00      88.24 1012.9     81.01     5.10     6.32
CAPE SHMID 031029 300  020000-020500   00      88.66 1012.9     81.38     5.50     6.72
CAPE SHMID 031029 300  020500-021000   00      88.26 1012.9     81.01     5.00     6.23
CAPE SHMID 031029 300  021000-021500   00      88.46 1012.9     81.18     5.30     6.54
CAPE SHMID 031029 300  021500-022000   00      87.49 1012.9     80.29     4.10     5.34
CAPE SHMID 031029 300  022000-022500   00      88.30 1012.9     81.03     5.00     6.25
CAPE SHMID 031029 300  022500-023000   00      87.35 1012.9     80.15     3.90     5.16
CAPE SHMID 031029 300  023000-023500   00      88.17 1012.8     80.90     4.90     6.17
CAPE SHMID 031029 300  023500-024000   00      87.83 1012.8     80.59     4.50     5.77
CAPE SHMID 031029 300  024000-024500   00      86.63 1012.8     79.48     3.10     4.38
CAPE SHMID 031029 300  024500-025000   00      89.27 1012.8     81.90     6.20     7.49
CAPE SHMID 031029 300  025000-025500   00      87.51 1012.8     80.28     4.10     5.39
CAPE SHMID 031029 300  025500-030000   00      86.99 1012.8     79.79     3.50     4.80
CAPE SHMID 031029 300  030000-030500   00      87.29 1012.8     80.06     3.80     5.11
CAPE SHMID 031029 300  030500-031000   00      88.18 1012.7     80.85     4.80     6.12
CAPE SHMID 031029 300  031000-031500   00      85.71 1012.7     78.56     1.90     3.22
CAPE SHMID 031029 300  031500-032000   00      87.21 1012.7     79.91     3.60     4.93
CAPE SHMID 031029 300  032000-032500   00      87.47 1012.6     80.12     3.90     5.24
CAPE SHMID 031029 300  032500-033000   00      86.44 1012.6     79.16     2.60     3.94
CAPE SHMID 031029 300  033000-033500   00      86.29 1012.5     79.00     2.40     3.75
CAPE SHMID 031029 300  033500-034000   00      87.79 1012.5     80.34     4.20     5.56
CAPE SHMID 031029 300  034000-034500   00      88.35 1012.5     80.84     4.80     6.16
CAPE SHMID 031029 300  034500-035000   00      89.38 1012.4     81.75     6.00     7.37
CAPE SHMID 031029 300  035000-035500   00      87.89 1012.4     80.36     4.20     5.58
CAPE SHMID 031029 300  035500-040000   00      88.29 1012.3     80.70     4.70     6.09
CAPE SHMID 031029 300  040000-040500   00      88.78 1012.3     81.14     5.20     6.59
CAPE SHMID 031029 300  040500-041000   00      89.11 1012.3     81.44     5.60     7.00
CAPE SHMID 031029 300  041000-041500   00      86.56 1012.3     79.11     2.50     3.91
CAPE SHMID 031029 300  041500-042000   00      87.71 1012.3     80.16     3.90     5.31
CAPE SHMID 031029 300  042000-042500   00      87.54 1012.3     80.00     3.70     5.12
CAPE SHMID 031029 300  042500-043000   00      86.17 1012.3     78.76     2.10     3.53
CAPE SHMID 031029 300  043000-043500   00      87.46 1012.3     79.93     3.60     5.04
CAPE SHMID 031029 300  043500-044000   00      87.32 1012.3     79.81     3.50     4.94
CAPE SHMID 031029 300  044000-044500   00      88.26 1012.3     80.66     4.60     6.05
CAPE SHMID 031029 300  044500-045000   00      87.77 1012.3     80.22     4.00     5.46
CAPE SHMID 031029 300  045000-045500   00      88.87 1012.3     81.23     5.30     6.76
CAPE SHMID 031029 300  045500-050000   00      86.48 1012.3     79.04     2.50     3.97
CAPE SHMID 031029 300  050000-050500   00      88.46 1012.3     80.84     4.80     6.28
CAPE SHMID 031029 300  050500-051000   00      85.91 1012.3     78.49     1.80     3.28
CAPE SHMID 031029 300  051000-051500   00      87.35 1012.2     79.80     3.40     4.89
CAPE SHMID 031029 300  051500-052000   00      87.98 1012.2     80.36     4.20     5.70
CAPE SHMID 031029 300  052000-052500   00      86.03 1012.2     78.56     1.80     3.31
CAPE SHMID 031029 300  052500-053000   00      87.91 1012.2     80.27     4.10     5.61
CAPE SHMID 031029 300  053000-053500   00      86.88 1012.1     79.31     2.80     4.32
CAPE SHMID 031029 300  053500-054000   00      85.86 1012.1     78.37     1.60     3.13
CAPE SHMID 031029 300  054000-054500   00      87.68 1012.1     80.01     3.70     5.23
CAPE SHMID 031029 300  054500-055000   00      87.84 1012.1     80.14     3.90     5.44
CAPE SHMID 031029 300  055000-055500   00      86.41 1012.0     78.82     2.20     3.75
CAPE SHMID 031029 300  055500-060000   00      85.49 1012.0     77.97     1.10     2.66
CAPE SHMID 031029 300  060000-060500   00      87.24 1012.0     79.55     3.10     4.66
CAPE SHMID 031029 300  060500-061000   00      87.91 1011.9     80.12     3.90     5.47
CAPE SHMID 031029 300  061000-061500   00      88.38 1011.9     80.52     4.40     5.98
CAPE SHMID 031029 300  061500-062000   00      87.78 1011.8     79.95     3.70     5.28
CAPE SHMID 031029 300  062000-062500   00      88.81 1011.7     80.84     4.80     6.39
CAPE SHMID 031029 300  062500-063000   00      87.83 1011.7     79.92     3.60     5.20
CAPE SHMID 031029 300  063000-063500   00      87.07 1011.6     79.19     2.70     4.30
CAPE SHMID 031029 300  063500-064000   00      85.86 1011.6     78.06     1.20     2.81
CAPE SHMID 031029 300  064000-064500   00      86.63 1011.5     78.72     2.10     3.72
CAPE SHMID 031029 300  064500-065000   00      85.77 1011.5     77.91     1.00     2.63
CAPE SHMID 031029 300  065000-065500   00      83.12 1011.4     75.47    -2.20    -0.57
CAPE SHMID 031029 300  065500-070000   00      83.82 1011.3     76.08    -1.40     0.24
CAPE SHMID 031029 300  070000-070500   00      84.77 1011.3     76.92    -0.30     1.35
CAPE SHMID 031029 300  070500-071000   00      85.50 1011.3     77.59     0.60     2.25
CAPE SHMID 031029 300  071000-071500   00      83.81 1011.3     76.07    -1.40     0.26
CAPE SHMID 031029 300  071500-072000   00      83.54 1011.4     75.83    -1.70    -0.03
CAPE SHMID 031029 300  072000-072500   00      82.04 1011.4     74.48    -3.40    -1.73
CAPE SHMID 031029 300  072500-073000   00      81.57 1011.4     74.06    -4.00    -2.32
CAPE SHMID 031029 300  073000-073500   00      83.80 1011.4     76.10    -1.30     0.39
CAPE SHMID 031029 300  073500-074000   00      83.56 1011.4     75.88    -1.60     0.10
CAPE SHMID 031029 300  074000-074500   00      82.77 1011.4     75.17    -2.50    -0.80
CAPE SHMID 031029 300  074500-075000   00      84.34 1011.5     76.62    -0.70     1.01
CAPE SHMID 031029 300  075000-075500   00      83.76 1011.5     76.10    -1.30     0.42
CAPE SHMID 031029 300  075500-080000   00      83.83 1011.5     76.17    -1.20     0.52
CAPE SHMID 031029 300  080000-080500   00      82.55 1011.5     75.01    -2.80    -1.07
CAPE SHMID 031029 300  080500-081000   00      83.74 1011.5     76.08    -1.30    -9999
CAPE SHMID 031029 300  081000-081500   00      85.01 1011.5     77.24     0.10    -9999
CAPE SHMID 031029 300  081500-082000   00      83.90 1011.5     76.22    -1.20    -9999
