ATHENS     LATITUDE    37.97     LONGITUDE     23.72     ALTITUDE    40 M
ATHENS     INSTRUMENT   3NM64    NEUTRON MONITOR     
ATHENS     STANDARD PRESSURE    987.1   mb     COEFFICIENT   -0.7      % / mb
ATHENS     PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
ATHENS     PRE-INCREASE AVERAGE COUNTING RATE     49.56      COUNTS PER SECOND
ATHENS     TIME INTERVALS    300         3600     
ATHENS     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
ATHENS     031027 3600 000000-010000   00      50.08  984.6     49.22    -0.70    -9999
ATHENS     031027 3600 010000-020000   00      50.09  984.4     49.16    -0.80    -9999
ATHENS     031027 3600 020000-030000   00      50.75  984.4     49.80     0.50    -9999
ATHENS     031027 3600 030000-040000   00      50.52  984.4     49.57     0.00    -9999
ATHENS     031027 3600 040000-050000   00      50.58  984.4     49.63     0.20    -9999
ATHENS     031027 3600 050000-060000   00      50.66  984.6     49.79     0.50    -9999
ATHENS     031027 3600 060000-070000   00      50.82  984.5     49.91     0.70    -9999
ATHENS     031027 3600 070000-080000   00      50.88  984.1     49.82     0.50    -9999
ATHENS     031027 3600 080000-090000   00      51.17  984.0     50.07     1.00    -9999
ATHENS     031027 3600 090000-100000   00      51.32  983.2     49.94     0.80    -9999
ATHENS     031027 3600 100000-110000   00      51.57  982.2     49.83     0.50    -9999
ATHENS     031027 3600 110000-120000   00      52.02  981.3     49.95     0.80    -9999
ATHENS     031027 3600 120000-130000   00      52.33  980.2     49.87     0.60    -9999
ATHENS     031027 3600 130000-140000   00      52.99  979.1     50.10     1.10    -9999
ATHENS     031027 3600 140000-150000   00      53.15  977.9     49.83     0.60    -9999
ATHENS     031027 3600 150000-160000   00      53.31  977.3     49.77     0.40    -9999
ATHENS     031027 3600 160000-170000   00      53.63  977.1     50.01     0.90    -9999
ATHENS     031027 3600 170000-180000   00      53.20  977.5     49.75     0.40    -9999
ATHENS     031027 3600 180000-190000   00      52.88  977.4     49.40    -0.30    -9999
ATHENS     031027 3600 190000-200000   00      53.19  977.9     49.87     0.60    -9999
ATHENS     031027 3600 200000-210000   00      53.17  977.6     49.75     0.40    -9999
ATHENS     031027 3600 210000-220000   00      53.24  977.8     49.89     0.70    -9999
ATHENS     031027 3600 220000-230000   00      52.81  977.9     49.51    -0.10    -9999
ATHENS     031027 3600 230000-240000   00      52.24  978.0     49.01    -1.10    -9999
ATHENS     031028 3600 000000-010000   00      51.38  978.3     48.31    -2.50    -9999
ATHENS     031028 3600 010000-020000   00      51.16  978.5     48.18    -2.80    -9999
ATHENS     031028 3600 020000-030000   00      50.97  978.6     48.02    -3.10    -9999
ATHENS     031028 3600 030000-040000   00      51.27  979.3     48.54    -2.00    -9999
ATHENS     031028 3600 040000-050000   00      50.63  980.6     48.38    -2.40    -9999
ATHENS     031028 3600 050000-060000   00      50.52  982.1     48.78    -1.60    -9999
ATHENS     031028 3600 060000-070000   00      49.94  983.6     48.73    -1.70    -9999
ATHENS     031028 3600 070000-080000   00      49.75  984.9     48.99    -1.10    -9999
ATHENS     031028 3600 080000-090000   00      49.61  985.9     49.20    -0.70    -9999
ATHENS     031028 300  090000-090500   00      47.98  986.7     47.85    -3.50    -9999
ATHENS     031028 300  090500-091000   00      49.36  986.7     49.24    -0.60    -9999
ATHENS     031028 300  091000-091500   00      49.10  986.8     48.99    -1.10    -9999
ATHENS     031028 300  091500-092000   00      49.72  986.8     49.62     0.10    -9999
ATHENS     031028 300  092000-092500   00      49.69  986.8     49.60     0.10    -9999
ATHENS     031028 300  092500-093000   00      49.45  986.9     49.37    -0.40    -9999
ATHENS     031028 300  093000-093500   00      50.05  986.9     49.99     0.90    -9999
ATHENS     031028 300  093500-094000   00      49.25  986.9     49.19    -0.70    -9999
ATHENS     031028 300  094000-094500   00      48.24  987.0     48.20    -2.70    -9999
ATHENS     031028 300  094500-095000   00      48.99  987.0     48.97    -1.20    -9999
ATHENS     031028 300  095000-095500   00      49.20  987.0     49.18    -0.80    -9999
ATHENS     031028 300  095500-100000   00      49.35  987.1     49.35    -0.40    -9999
ATHENS     031028 300  100000-100500   00      50.48  987.1     50.48     1.90    -9999
ATHENS     031028 300  100500-101000   00      49.29  987.1     49.29    -0.50    -9999
ATHENS     031028 300  101000-101500   00      49.21  987.1     49.22    -0.70    -9999
ATHENS     031028 300  101500-102000   00      49.22  987.1     49.23    -0.70    -9999
ATHENS     031028 300  102000-102500   00      49.44  987.1     49.45    -0.20    -9999
ATHENS     031028 300  102500-103000   00      49.28  987.1     49.29    -0.50    -9999
ATHENS     031028 300  103000-103500   00      51.36  987.2     51.38     3.70    -9999
ATHENS     031028 300  103500-104000   00      49.95  987.2     49.97     0.80    -9999
ATHENS     031028 300  104000-104500   00      49.42  987.2     49.45    -0.20    -9999
ATHENS     031028 300  104500-105000   00      48.71  987.2     48.74    -1.70    -9999
ATHENS     031028 300  105000-105500   00      48.96  987.2     48.98    -1.20    -9999
ATHENS     031028 300  105500-110000   00      49.37  987.2     49.41    -0.30    -9999
ATHENS     031028 300  110000-110500   00      48.37  987.2     48.40    -2.30    -9999
ATHENS     031028 300  110500-111000   00      49.85  987.2     49.89     0.70    -9999
ATHENS     031028 300  111000-111500   00      48.13  987.2     48.17    -2.80    -9999
ATHENS     031028 300  111500-112000   00      48.36  987.2     48.40    -2.30    -9999
ATHENS     031028 300  112000-112500   00      47.28  987.2     47.32    -4.50    -9999
ATHENS     031028 300  112500-113000   00      48.13  987.2     48.18    -2.80    -9999
ATHENS     031028 300  113000-113500   00      48.04  987.3     48.09    -3.00    -9999
ATHENS     031028 300  113500-114000   00      49.65  987.3     49.70     0.30    -9999
ATHENS     031028 300  114000-114500   00      48.56  987.3     48.62    -1.90    -9999
ATHENS     031028 300  114500-115000   00      49.69  987.3     49.76     0.40    -9999
ATHENS     031028 300  115000-115500   00      49.27  987.3     49.33    -0.50    -9999
ATHENS     031028 300  115500-120000   00      49.62  987.3     49.69     0.30    -9999
ATHENS     031028 300  120000-120500   00      47.58  987.3     47.65    -3.80    -9999
ATHENS     031028 300  120500-121000   00      49.18  987.3     49.27    -0.60    -9999
ATHENS     031028 300  121000-121500   00      49.31  987.4     49.40    -0.30    -9999
ATHENS     031028 300  121500-122000   00      49.98  987.4     50.09     1.10    -9999
ATHENS     031028 300  122000-122500   00      48.50  987.4     48.62    -1.90    -9999
ATHENS     031028 300  122500-123000   00      49.45  987.5     49.58     0.10    -9999
ATHENS     031028 300  123000-123500   00      49.92  987.5     50.06     1.00    -9999
ATHENS     031028 300  123500-124000   00      48.20  987.5     48.35    -2.40    -9999
ATHENS     031028 300  124000-124500   00      47.11  987.6     47.27    -4.60    -9999
ATHENS     031028 300  124500-125000   00      49.54  987.6     49.72     0.30    -9999
ATHENS     031028 300  125000-125500   00      48.67  987.6     48.86    -1.40    -9999
ATHENS     031028 300  125500-130000   00      49.50  987.7     49.70     0.30    -9999
ATHENS     031028 300  130000-130500   00      48.23  987.7     48.43    -2.30    -9999
ATHENS     031028 300  130500-131000   00      49.37  987.7     49.58     0.00    -9999
ATHENS     031028 300  131000-131500   00      48.54  987.7     48.74    -1.70    -9999
ATHENS     031028 300  131500-132000   00      48.85  987.7     49.05    -1.00    -9999
ATHENS     031028 300  132000-132500   00      48.76  987.7     48.96    -1.20    -9999
ATHENS     031028 300  132500-133000   00      48.60  987.7     48.81    -1.50    -9999
ATHENS     031028 300  133000-133500   00      49.04  987.7     49.25    -0.60    -9999
ATHENS     031028 300  133500-134000   00      48.65  987.7     48.85    -1.40    -9999
ATHENS     031028 300  134000-134500   00      49.32  987.7     49.53    -0.10    -9999
ATHENS     031028 300  134500-135000   00      47.31  987.7     47.51    -4.10    -9999
ATHENS     031028 300  135000-135500   00      48.60  987.7     48.81    -1.50    -9999
ATHENS     031028 300  135500-140000   00      50.18  987.7     50.39     1.70    -9999
ATHENS     031028 300  140000-140500   00      47.76  987.7     47.97    -3.20    -9999
ATHENS     031028 300  140500-141000   00      47.25  987.8     47.47    -4.20    -9999
ATHENS     031028 300  141000-141500   00      48.33  987.8     48.57    -2.00    -9999
ATHENS     031028 300  141500-142000   00      49.39  987.8     49.64     0.20    -9999
ATHENS     031028 300  142000-142500   00      49.47  987.9     49.74     0.40    -9999
ATHENS     031028 300  142500-143000   00      48.17  987.9     48.45    -2.20    -9999
ATHENS     031028 300  143000-143500   00      48.49  988.0     48.78    -1.60    -9999
ATHENS     031028 300  143500-144000   00      49.58  988.0     49.89     0.70    -9999
ATHENS     031028 300  144000-144500   00      48.66  988.0     48.98    -1.20    -9999
ATHENS     031028 300  144500-145000   00      48.27  988.1     48.61    -1.90    -9999
ATHENS     031028 300  145000-145500   00      49.60  988.1     49.96     0.80    -9999
ATHENS     031028 300  145500-150000   00      47.03  988.2     47.38    -4.40    -9999
ATHENS     031028 300  150000-150500   00      48.38  988.2     48.76    -1.60    -9999
ATHENS     031028 300  150500-151000   00      48.94  988.3     49.35    -0.40    -9999
