IRKUTSK3   LATITUDE    52.28     LONGITUDE     104.02    ALTITUDE    3000 M
IRKUTSK3   INSTRUMENT   6NM64    NEUTRON MONITOR     
IRKUTSK3   STANDARD PRESSURE    707     mb     COEFFICIENT   -0.72     % / mb
IRKUTSK3   061213 300  024000-024500   00     443.29  707.0    443.29     0.67     0.42
IRKUTSK3   061213 300  024500-025000   00     444.54  707.0    444.54     0.96     0.69
IRKUTSK3   061213 300  025000-025500   00     441.75  707.0    441.75     0.32     0.04
IRKUTSK3   061213 300  025500-030000   00     453.65  707.0    453.65     3.03     2.73
IRKUTSK3   061213 300  030000-030500   00     456.44  707.0    456.41     3.65     3.34
IRKUTSK3   061213 300  030500-031000   00     459.49  707.0    459.37     4.32     4.00
IRKUTSK3   061213 300  031000-031500   00     459.62  706.9    459.42     4.33     3.99
IRKUTSK3   061213 300  031500-032000   00     456.41  706.9    456.13     3.59     3.24
IRKUTSK3   061213 300  032000-032500   00     461.86  706.9    461.49     4.81     4.45
IRKUTSK3   061213 300  032500-033000   00     462.42  706.9    461.98     4.92     4.54
IRKUTSK3   061213 300  033000-033500   00     460.80  706.8    460.27     4.53     4.14
IRKUTSK3   061213 300  033500-034000   00     457.55  706.8    456.94     3.77     3.37
IRKUTSK3   061213 300  034000-034500   00     456.54  706.8    455.85     3.52     3.11
IRKUTSK3   061213 300  034500-035000   00     453.63  706.8    452.86     2.85     2.43
IRKUTSK3   061213 300  035000-035500   00     456.57  706.7    455.72     3.50     3.07
IRKUTSK3   061213 300  035500-040000   00     455.50  706.7    454.57     3.23     2.79
IRKUTSK3   061213 300  040000-040500   00     452.83  706.7    451.84     2.61     2.16
IRKUTSK3   061213 300  040500-041000   00     454.48  706.7    453.46     2.98     2.52
IRKUTSK3   061213 300  041000-041500   00     452.71  706.7    451.67     2.58     2.11
IRKUTSK3   061213 300  041500-042000   00     451.97  706.7    450.90     2.40     1.92
IRKUTSK3   061213 300  042000-042500   00     454.94  706.7    453.84     3.07     2.58
IRKUTSK3   061213 300  042500-043000   00     454.02  706.7    452.90     2.85     2.35
IRKUTSK3   061213 300  043000-043500   00     450.04  706.6    448.90     1.94     1.43
IRKUTSK3   061213 300  043500-044000   00     454.15  706.6    452.97     2.87     2.36
IRKUTSK3   061213 300  044000-044500   00     453.86  706.6    452.65     2.80     2.28
IRKUTSK3   061213 300  044500-045000   00     451.81  706.6    450.58     2.33     1.80
IRKUTSK3   061213 300  045000-045500   00     450.64  706.6    449.39     2.06     1.53
IRKUTSK3   061213 300  045500-050000   00     451.33  706.6    450.04     2.21     1.67
IRKUTSK3   061213 300  050000-050500   00     448.51  706.6    447.20     1.56     1.01
IRKUTSK3   061213 300  050500-051000   00     451.32  706.6    449.94     2.18     1.63
IRKUTSK3   061213 300  051000-051500   00     450.34  706.6    448.91     1.95     1.39
IRKUTSK3   061213 300  051500-052000   00     452.50  706.5    451.02     2.43     1.87
IRKUTSK3   061213 300  052000-052500   00     448.23  706.5    446.71     1.45     0.88
IRKUTSK3   061213 300  052500-053000   00     443.60  706.5    442.04     0.39    -0.18
IRKUTSK3   061213 300  053000-053500   00     449.75  706.5    448.11     1.77     1.20
IRKUTSK3   061213 300  053500-054000   00     449.14  706.5    447.45     1.62     1.04
IRKUTSK3   061213 300  054000-054500   00     449.84  706.5    448.09     1.76     1.18
IRKUTSK3   061213 300  054500-055000   00     452.76  706.4    450.95     2.41     1.83
IRKUTSK3   061213 300  055000-055500   00     447.50  706.4    445.65     1.21     0.62
IRKUTSK3   061213 300  055500-060000   00     449.71  706.4    447.80     1.70     1.11
IRKUTSK3   061213 300  060000-060500   00     446.27  706.4    444.32     0.91     0.32
IRKUTSK3   061213 300  060500-061000   00     449.82  706.4    447.81     1.70     1.11
IRKUTSK3   061213 300  061000-061500   00     448.66  706.4    446.60     1.42     0.83
IRKUTSK3   061213 300  061500-062000   00     444.89  706.3    442.79     0.56    -0.03
IRKUTSK3   061213 300  062000-062500   00     452.84  706.3    450.65     2.34     1.75
IRKUTSK3   061213 300  062500-063000   00     445.81  706.3    443.60     0.74     0.15
IRKUTSK3   061213 300  063000-063500   00     446.02  706.3    443.76     0.78     0.19
IRKUTSK3   061213 300  063500-064000   00     444.51  706.3    442.20     0.42    -0.17
IRKUTSK3   061213 300  064000-064500   00     449.83  706.3    447.44     1.62     1.03
IRKUTSK3   061213 300  064500-065000   00     446.21  706.2    443.78     0.78     0.19
IRKUTSK3   061213 300  065000-065500   00     446.94  706.2    444.46     0.94     0.35
IRKUTSK3   061213 300  065500-070000   00     449.65  706.2    447.10     1.54     0.95
IRKUTSK3   061213 300  070000-070500   00     442.32  706.2    439.78    -0.12    -0.70
IRKUTSK3   061213 300  070500-071000   00     445.67  706.2    443.11     0.63     0.05
IRKUTSK3   061213 300  071000-071500   00     445.38  706.2    442.82     0.57    -0.01
IRKUTSK3   061213 300  071500-072000   00     448.59  706.2    446.01     1.29     0.71
IRKUTSK3   061213 300  072000-072500   00     450.75  706.2    448.16     1.78     1.21
IRKUTSK3   061213 300  072500-073000   00     440.82  706.2    438.29    -0.46    -1.03
IRKUTSK3   061213 300  073000-073500   00     446.74  706.2    444.18     0.87     0.31
IRKUTSK3   061213 300  073500-074000   00     446.74  706.2    444.17     0.87     0.31
IRKUTSK3   061213 300  074000-074500   00     444.78  706.2    442.23     0.43    -0.12
IRKUTSK3   061213 300  074500-075000   00     446.49  706.2    443.93     0.82     0.27
IRKUTSK3   061213 300  075000-075500   00     444.63  706.2    442.08     0.40    -0.14
IRKUTSK3   061213 300  075500-080000   00     445.81  706.2    443.25     0.66     0.12
IRKUTSK3   061213 3600 080000-090000   00     445.38  706.3    443.15     0.64     0.16
IRKUTSK3   061213 3600 090000-100000   00     443.51  706.5    441.92     0.36    -9999
IRKUTSK3   061213 3600 100000-110000   00     442.50  706.7    441.54     0.28    -9999
IRKUTSK3   061213 3600 110000-120000   00     440.08  706.9    439.77    -0.13    -9999
IRKUTSK3   061213 3600 120000-130000   00     438.21  707.0    438.21    -0.48    -9999
IRKUTSK3   061213 3600 130000-140000   00     437.60  707.1    437.91    -0.55    -9999
IRKUTSK3   061213 3600 140000-150000   00     436.91  707.5    438.49    -0.42    -9999
IRKUTSK3   061213 3600 150000-160000   00     435.16  707.7    437.35    -0.68    -9999
IRKUTSK3   061213 3600 160000-170000   00     433.33  708.0    436.46    -0.88    -9999
IRKUTSK3   061213 3600 170000-180000   00     432.48  708.4    436.86    -0.79    -9999
IRKUTSK3   061213 3600 180000-190000   00     432.93  708.7    438.26    -0.47    -9999
IRKUTSK3   061213 3600 190000-200000   00     429.86  709.1    436.41    -0.89    -9999
IRKUTSK3   061213 3600 200000-210000   00     429.01  709.1    435.54    -1.09    -9999
IRKUTSK3   061213 3600 210000-220000   00     428.58  709.5    436.36    -0.90    -9999
IRKUTSK3   061213 3600 220000-230000   00     429.04  709.7    437.46    -0.65    -9999
IRKUTSK3   061213 3600 230000-240000   00     427.96  709.9    436.99    -0.76    -9999
*
Comment: The Clock of Regisrator is fast on+sec (slow on-sec) is supporting by G
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2023-02-24 11:29:29 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE70/C070IRK3_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
