INUVIK     LATITUDE    68.35     LONGITUDE     -133.72   ALTITUDE    21 M
INUVIK     INSTRUMENT   18NM64    NEUTRON MONITOR     	
INUVIK     STANDARD PRESSURE    1008.14 MB     COEFFICIENT   -0.74     % / MB
INUVIK     PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
INUVIK     PRE-INCREASE AVERAGE COUNTING RATE    193.10      COUNTS PER SECOND
INUVIK     TIME INTERVALS    300         3600     
INUVIK     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
INUVIK     120517 300  010500-011000   00     173.73 1028.5    194.84     0.90     0.90
INUVIK     120517 300  011000-011500   00     174.53 1028.5    195.75     1.40     1.40
INUVIK     120517 300  011500-012000   00     172.74 1028.6    193.75     0.30     0.30
INUVIK     120517 300  012000-012500   00     173.08 1028.6    194.16     0.50     0.50
INUVIK     120517 300  012500-013000   00     170.96 1028.6    191.78    -0.70    -0.70
INUVIK     120517 300  013000-013500   00     172.30 1028.6    193.27     0.10     0.10
INUVIK     120517 300  013500-014000   00     173.37 1028.6    194.52     0.70     0.70
INUVIK     120517 300  014000-014500   00     173.28 1028.6    194.41     0.70     0.70
INUVIK     120517 300  014500-015000   00     173.56 1028.6    194.67     0.80     0.80
INUVIK     120517 300  015000-015500   00     174.29 1028.5    195.48     1.20     1.20
INUVIK     120517 300  015500-020000   00     174.65 1028.5    195.87     1.40     1.40
INUVIK     120517 300  020000-020500   00     174.70 1028.5    195.92     1.50     1.50
INUVIK     120517 300  020500-021000   00     173.80 1028.6    194.93     0.90     0.90
INUVIK     120517 300  021000-021500   00     176.67 1028.6    198.18     2.60     2.60
INUVIK     120517 300  021500-022000   00     174.99 1028.5    196.24     1.60     1.60
INUVIK     120517 300  022000-022500   00     176.88 1028.5    198.35     2.70     2.70
INUVIK     120517 300  022500-023000   00     176.07 1028.5    197.47     2.30     2.30
INUVIK     120517 300  023000-023500   00     174.51 1028.6    195.73     1.40     1.40
INUVIK     120517 300  023500-024000   00     175.31 1028.6    196.66     1.80     1.80
INUVIK     120517 300  024000-024500   00     175.48 1028.6    196.89     2.00     2.00
INUVIK     120517 300  024500-025000   00     177.10 1028.6    198.69     2.90     2.90
INUVIK     120517 300  025000-025500   00     174.85 1028.6    196.21     1.60     1.60
INUVIK     120517 300  025500-030000   00     173.56 1028.6    194.80     0.90     0.90
INUVIK     120517 300  030000-030500   00     175.59 1028.7    197.08     2.10     2.10
INUVIK     120517 300  030500-031000   00     173.69 1028.7    194.96     1.00     1.00
INUVIK     120517 300  031000-031500   00     173.47 1028.6    194.67     0.80     0.80
