MEXICOCITY LATITUDE    19.33     LONGITUDE     260.82    ALTITUDE    2274 M
MEXICOCITY INSTRUMENT   6-NM-64  NEUTRON MONITOR
MEXICOCITY STANDARD PRESSURE    779     mb     COEFFICIENT   -0.7125   % / mb
MEXICOCITY PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
MEXICOCITY PRE-INCREASE AVERAGE COUNTING RATE    199.38      COUNTS PER SECOND
MEXICOCITY TIME INTERVALS    300         3600     
MEXICOCITY SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
MEXICOCITY 031028 300  114500-115000   00     210.50  771.5    200.03     0.30    -9999
MEXICOCITY 031028 300  115000-115500   00     209.97  771.5    199.50     0.10    -9999
MEXICOCITY 031028 300  115500-120000   00     210.23  771.6    199.90     0.30    -9999
MEXICOCITY 031028 300  120000-120500   00     209.93  771.6    199.63     0.10    -9999
MEXICOCITY 031028 300  120500-121000   00     208.53  771.7    198.43    -0.50    -9999
MEXICOCITY 031028 300  121000-121500   00     209.97  771.6    199.67     0.10    -9999
MEXICOCITY 031028 300  121500-122000   00     211.00  771.5    200.50     0.60    -9999
MEXICOCITY 031028 300  122000-122500   00     210.40  771.5    199.93     0.30    -9999
MEXICOCITY 031028 300  122500-123000   00     209.23  771.5    198.83    -0.30    -9999
MEXICOCITY 031028 300  123000-123500   00     210.27  771.7    200.10     0.40    -9999
MEXICOCITY 031028 300  123500-124000   00     212.30  771.7    202.03     1.30    -9999
MEXICOCITY 031028 300  124000-124500   00     208.03  771.9    198.23    -0.60    -9999
MEXICOCITY 031028 300  124500-125000   00     209.53  771.9    199.67     0.10    -9999
MEXICOCITY 031028 300  125000-125500   00     208.70  772.0    199.03    -0.20    -9999
MEXICOCITY 031028 300  125500-130000   00     206.00  772.0    196.43    -1.50    -9999
MEXICOCITY 031028 300  130000-130500   00     207.80  772.0    198.17    -0.60    -9999
MEXICOCITY 031028 300  130500-131000   00     211.20  772.1    201.53     1.10    -9999
MEXICOCITY 031028 300  131000-131500   00     205.97  772.1    196.57    -1.40    -9999
MEXICOCITY 031028 300  131500-132000   00     209.47  772.2    200.03     0.30    -9999
MEXICOCITY 031028 300  132000-132500   00     208.63  772.2    199.23    -0.10    -9999
MEXICOCITY 031028 300  132500-133000   00     210.93  772.2    201.43     1.00    -9999
MEXICOCITY 031028 300  133000-133500   00     207.07  772.3    197.90    -0.70    -9999
MEXICOCITY 031028 300  133500-134000   00     207.70  772.3    198.50    -0.40    -9999
MEXICOCITY 031028 300  134000-134500   00     208.67  772.2    199.27    -0.10    -9999
MEXICOCITY 031028 300  134500-135000   00     208.80  772.2    199.40     0.00    -9999
MEXICOCITY 031028 300  135000-135500   00     210.40  772.2    200.93     0.80    -9999
MEXICOCITY 031028 300  135500-140000   00     208.67  772.3    199.40     0.00    -9999
MEXICOCITY 031028 300  140000-140500   00     208.23  772.4    199.13    -0.10    -9999
MEXICOCITY 031028 300  140500-141000   00     208.43  772.4    199.33     0.00    -9999
MEXICOCITY 031028 300  141000-141500   00     208.00  772.5    199.07    -0.20    -9999
MEXICOCITY 031028 300  141500-142000   00     209.67  772.5    200.67     0.60    -9999
MEXICOCITY 031028 300  142000-142500   00     207.83  772.5    198.90    -0.20    -9999
MEXICOCITY 031028 300  142500-143000   00     205.30  772.7    196.77    -1.30    -9999
MEXICOCITY 031028 300  143000-143500   00     209.37  772.7    200.67     0.60    -9999
MEXICOCITY 031028 300  143500-144000   00     210.70  772.7    201.93     1.30    -9999
MEXICOCITY 031028 300  144000-144500   00     207.13  772.7    198.50    -0.40    -9999
MEXICOCITY 031028 300  144500-145000   00     208.37  772.8    199.83     0.20    -9999
MEXICOCITY 031028 300  145000-145500   00     207.53  772.8    199.03    -0.20    -9999
MEXICOCITY 031028 300  145500-150000   00     207.53  772.8    199.03    -0.20    -9999
MEXICOCITY 031028 300  150000-150500   00     205.57  772.8    197.17    -1.10    -9999
MEXICOCITY 031028 300  150500-151000   00     208.10  772.8    199.57     0.10    -9999
MEXICOCITY 031028 300  151000-151500   00     208.67  772.8    200.13     0.40    -9999
MEXICOCITY 031028 300  151500-152000   00     209.40  772.8    200.83     0.70    -9999
MEXICOCITY 031028 300  152000-152500   00     207.43  772.8    198.93    -0.20    -9999
MEXICOCITY 031028 300  152500-153000   00     208.60  772.8    200.07     0.30    -9999
MEXICOCITY 031028 300  153000-153500   00     206.90  772.7    198.30    -0.50    -9999
MEXICOCITY 031028 300  153500-154000   00     209.30  772.7    200.60     0.60    -9999
MEXICOCITY 031028 300  154000-154500   00     208.13  772.7    199.47     0.00    -9999
MEXICOCITY 031028 300  154500-155000   00     208.17  772.8    199.63     0.10    -9999
MEXICOCITY 031028 300  155000-155500   00     209.17  772.8    200.60     0.60    -9999
MEXICOCITY 031028 300  155500-160000   00     209.67  772.8    201.07     0.80    -9999
MEXICOCITY 031028 300  160000-160500   00     208.90  772.8    200.33     0.50    -9999
MEXICOCITY 031028 300  160500-161000   00     210.73  772.8    202.10     1.40    -9999
MEXICOCITY 031028 300  161000-161500   00     208.80  772.7    200.10     0.40    -9999
MEXICOCITY 031028 300  161500-162000   00     210.27  772.7    201.50     1.10    -9999
MEXICOCITY 031028 300  162000-162500   00     212.40  772.6    203.40     2.00    -9999
MEXICOCITY 031028 300  162500-163000   00     208.30  772.6    199.50     0.10    -9999
MEXICOCITY 031028 300  163000-163500   00     209.27  772.6    200.40     0.50    -9999
MEXICOCITY 031028 300  163500-164000   00     211.13  772.6    202.20     1.40    -9999
MEXICOCITY 031028 300  164000-164500   00     211.33  772.6    202.40     1.50    -9999
MEXICOCITY 031028 300  164500-165000   00     208.97  772.5    200.00     0.30    -9999
MEXICOCITY 031028 300  165000-165500   00     208.40  772.5    199.43     0.00    -9999
MEXICOCITY 031028 300  165500-170000   00     209.57  772.4    200.40     0.50    -9999
MEXICOCITY 031028 300  170000-170500   00     205.87  772.4    196.87    -1.30    -9999
MEXICOCITY 031028 300  170500-171000   00     209.33  772.3    200.03     0.30    -9999
MEXICOCITY 031028 300  171000-171500   00     207.87  772.2    198.50    -0.40    -9999
MEXICOCITY 031028 300  171500-172000   00     210.60  772.1    200.97     0.80    -9999
MEXICOCITY 031028 300  172000-172500   00     211.63  772.0    201.80     1.20    -9999
MEXICOCITY 031028 300  172500-173000   00     210.30  772.0    200.53     0.60    -9999
MEXICOCITY 031028 300  173000-173500   00     210.07  771.9    200.17     0.40    -9999
MEXICOCITY 031028 300  173500-174000   00     213.13  771.8    202.97     1.80    -9999
MEXICOCITY 031028 300  174000-174500   00     208.47  771.7    198.37    -0.50    -9999
MEXICOCITY 031028 300  174500-175000   00     212.43  771.7    202.13     1.40    -9999
MEXICOCITY 031028 300  175000-175500   00     210.60  771.5    200.10     0.40    -9999
MEXICOCITY 031028 300  175500-180000   00     212.27  771.5    201.70     1.20    -9999
MEXICOCITY 031028 300  180000-180500   00     209.57  771.4    199.00    -0.20    -9999
MEXICOCITY 031028 300  180500-181000   00     209.07  771.3    198.37    -0.50    -9999
MEXICOCITY 031028 300  181000-181500   00     213.87  771.2    202.80     1.70    -9999
MEXICOCITY 031028 300  181500-182000   00     210.83  771.2    199.90     0.30    -9999
MEXICOCITY 031028 300  182000-182500   00     212.77  771.1    201.60     1.10    -9999
MEXICOCITY 031028 300  182500-183000   00     215.20  771.1    203.90     2.30    -9999
MEXICOCITY 031028 300  183000-183500   00     211.70  771.0    200.43     0.50    -9999
MEXICOCITY 031028 300  183500-184000   00     214.80  771.0    203.37     2.00    -9999
MEXICOCITY 031028 300  184000-184500   00     211.93  770.8    200.37     0.50    -9999
MEXICOCITY 031028 300  184500-185000   00     212.23  770.7    200.53     0.60    -9999
MEXICOCITY 031028 300  185000-185500   00     215.03  770.6    203.03     1.80    -9999
MEXICOCITY 031028 300  185500-190000   00     215.03  770.6    203.03     1.80    -9999
MEXICOCITY 031028 300  190000-190500   00     215.80  770.5    203.60     2.10    -9999
MEXICOCITY 031028 300  190500-191000   00     212.10  770.4    199.97     0.30    -9999
MEXICOCITY 031028 300  191000-191500   00     213.17  770.3    200.83     0.70    -9999
MEXICOCITY 031028 300  191500-192000   00     214.40  770.3    202.00     1.30    -9999
MEXICOCITY 031028 300  192000-192500   00     213.67  770.3    201.30     1.00    -9999
MEXICOCITY 031028 300  192500-193000   00     214.23  770.3    201.83     1.20    -9999
MEXICOCITY 031028 300  193000-193500   00     215.83  770.2    203.20     1.90    -9999
MEXICOCITY 031028 300  193500-194000   00     215.07  770.1    202.33     1.50    -9999
MEXICOCITY 031028 300  194000-194500   00     214.47  770.0    201.63     1.10    -9999
MEXICOCITY 031028 300  194500-195000   00     212.70  770.0    199.97     0.30    -9999
MEXICOCITY 031028 300  195000-195500   00     213.63  770.0    200.83     0.70    -9999
MEXICOCITY 031028 300  195500-200000   00     213.60  770.0    200.80     0.70    -9999
MEXICOCITY 031028 300  200000-200500   00     218.33  769.9    205.10     2.90    -9999
MEXICOCITY 031028 300  200500-201000   00     213.57  769.9    200.63     0.60    -9999
MEXICOCITY 031028 300  201000-201500   00     215.50  769.9    202.47     1.50    -9999
MEXICOCITY 031028 300  201500-202000   00     217.97  769.8    204.63     2.60    -9999
MEXICOCITY 031028 300  202000-202500   00     216.70  769.7    203.30     2.00    -9999
MEXICOCITY 031028 300  202500-203000   00     213.07  769.7    199.87     0.20    -9999
MEXICOCITY 031028 300  203000-203500   00     216.07  769.6    202.53     1.60    -9999
MEXICOCITY 031028 300  203500-204000   00     216.03  769.6    202.53     1.60    -9999
MEXICOCITY 031028 300  204000-204500   00     215.47  769.5    201.83     1.20    -9999
MEXICOCITY 031028 300  204500-205000   00     215.63  769.5    202.00     1.30    -9999
MEXICOCITY 031028 300  205000-205500   00     212.80  769.5    199.33     0.00    -9999
MEXICOCITY 031028 300  205500-210000   00     212.13  769.6    198.87    -0.30    -9999
MEXICOCITY 031028 300  210000-210500   00     213.73  769.6    200.37     0.50    -9999
MEXICOCITY 031028 300  210500-211000   00     213.73  769.6    200.37     0.50    -9999
MEXICOCITY 031028 300  211000-211500   00     216.80  769.5    203.10     1.90    -9999
MEXICOCITY 031028 300  211500-212000   00     214.53  769.5    200.97     0.80    -9999
MEXICOCITY 031028 300  212000-212500   00     213.57  769.5    200.07     0.30    -9999
MEXICOCITY 031028 300  212500-213000   00     213.60  769.5    200.10     0.40    -9999
MEXICOCITY 031028 300  213000-213500   00     214.10  769.5    200.57     0.60    -9999
MEXICOCITY 031028 300  213500-214000   00     215.63  769.4    201.87     1.20    -9999
MEXICOCITY 031028 300  214000-214500   00     216.00  769.4    202.20     1.40    -9999
MEXICOCITY 031028 300  214500-215000   00     213.40  769.4    199.77     0.20    -9999
MEXICOCITY 031028 300  215000-215500   00     213.47  769.5    199.97     0.30    -9999
MEXICOCITY 031028 300  215500-220000   00     215.67  769.5    202.03     1.30    -9999
MEXICOCITY 031028 300  220000-220500   00     217.30  769.4    203.40     2.00    -9999
MEXICOCITY 031028 300  220500-221000   00     214.57  769.4    200.87     0.70    -9999
MEXICOCITY 031028 300  221000-221500   00     216.27  769.5    202.60     1.60    -9999
MEXICOCITY 031028 300  221500-222000   00     215.63  769.5    202.00     1.30    -9999
MEXICOCITY 031028 300  222000-222500   00     214.87  769.5    201.27     0.90    -9999
MEXICOCITY 031028 300  222500-223000   00     216.27  769.5    202.60     1.60    -9999
MEXICOCITY 031028 300  223000-223500   00     215.20  769.6    201.73     1.20    -9999
MEXICOCITY 031028 300  223500-224000   00     214.67  769.6    201.23     0.90    -9999
MEXICOCITY 031028 300  224000-224500   00     213.87  769.7    200.63     0.60    -9999
MEXICOCITY 031028 300  224500-225000   00     215.43  769.8    202.23     1.40    -9999
MEXICOCITY 031028 300  225000-225500   00     214.83  769.8    201.67     1.10    -9999
MEXICOCITY 031028 300  225500-230000   00     215.73  769.9    202.67     1.70    -9999
MEXICOCITY 031028 300  230000-230500   00     215.57  769.9    202.50     1.60    -9999
MEXICOCITY 031028 300  230500-231000   00     214.97  769.9    201.97     1.30    -9999
MEXICOCITY 031028 300  231000-231500   00     216.10  769.9    203.00     1.80    -9999
MEXICOCITY 031028 300  231500-232000   00     218.50  770.0    205.40     3.00    -9999
MEXICOCITY 031028 300  232000-232500   00     216.17  770.0    203.23     1.90    -9999
MEXICOCITY 031028 300  232500-233000   00     214.30  770.0    201.47     1.00    -9999
MEXICOCITY 031028 300  233000-233500   00     216.27  770.1    203.47     2.10    -9999
MEXICOCITY 031028 300  233500-234000   00     215.23  770.1    202.50     1.60    -9999
MEXICOCITY 031028 300  234000-234500   00     215.57  770.1    202.80     1.70    -9999
MEXICOCITY 031028 300  234500-235000   00     215.10  770.2    202.50     1.60    -9999
MEXICOCITY 031028 300  235000-235500   00     213.57  770.2    201.07     0.80    -9999
MEXICOCITY 031028 300  235500-240000   00     215.00  770.3    202.57     1.60    -9999
MEXICOCITY 031029 300  000000-000500   00     213.83  770.4    201.60     1.10    -9999
MEXICOCITY 031029 300  000500-001000   00     212.50  770.4    200.33     0.50    -9999
MEXICOCITY 031029 300  001000-001500   00     216.17  770.4    203.80     2.20    -9999
MEXICOCITY 031029 300  001500-002000   00     215.37  770.4    203.03     1.80    -9999
MEXICOCITY 031029 300  002000-002500   00     215.00  770.4    202.70     1.70    -9999
MEXICOCITY 031029 300  002500-003000   00     215.20  770.5    203.03     1.80    -9999
MEXICOCITY 031029 300  003000-003500   00     214.30  770.6    202.33     1.50    -9999
MEXICOCITY 031029 300  003500-004000   00     214.53  770.6    202.57     1.60    -9999
MEXICOCITY 031029 300  004000-004500   00     214.50  770.7    202.67     1.70    -9999
MEXICOCITY 031029 300  004500-005000   00     215.77  770.7    203.87     2.30    -9999
MEXICOCITY 031029 300  005000-005500   00     215.27  770.7    203.40     2.00    -9999
MEXICOCITY 031029 300  005500-010000   00     214.70  770.8    203.00     1.80    -9999
MEXICOCITY 031029 300  010000-010500   00     214.93  770.9    203.37     2.00    -9999
MEXICOCITY 031029 300  010500-011000   00     215.20  771.0    203.77     2.20    -9999
MEXICOCITY 031029 300  011000-011500   00     216.87  771.0    205.33     3.00    -9999
MEXICOCITY 031029 300  011500-012000   00     216.67  771.1    205.30     3.00    -9999
MEXICOCITY 031029 300  012000-012500   00     215.97  771.2    204.77     2.70    -9999
MEXICOCITY 031029 300  012500-013000   00     212.10  771.3    201.27     0.90    -9999
MEXICOCITY 031029 300  013000-013500   00     216.23  771.3    205.17     2.90    -9999
MEXICOCITY 031029 300  013500-014000   00     215.07  771.3    204.07     2.40    -9999
MEXICOCITY 031029 300  014000-014500   00     212.20  771.4    201.50     1.10    -9999
MEXICOCITY 031029 300  014500-015000   00     214.30  771.5    203.63     2.10    -9999
MEXICOCITY 031029 300  015000-015500   00     213.63  771.5    203.00     1.80    -9999
MEXICOCITY 031029 300  015500-020000   00     210.47  771.6    200.13     0.40    -9999
MEXICOCITY 031029 300  020000-020500   00     214.23  771.7    203.87     2.30    -9999
MEXICOCITY 031029 300  020500-021000   00     214.53  771.8    204.30     2.50    -9999
MEXICOCITY 031029 300  021000-021500   00     214.67  771.9    204.57     2.60    -9999
MEXICOCITY 031029 300  021500-022000   00     213.83  772.0    203.90     2.30    -9999
MEXICOCITY 031029 300  022000-022500   00     212.47  772.1    202.77     1.70    -9999
MEXICOCITY 031029 300  022500-023000   00     214.90  772.1    205.07     2.90    -9999
MEXICOCITY 031029 300  023000-023500   00     213.20  772.2    203.60     2.10    -9999
MEXICOCITY 031029 300  023500-024000   00     210.63  772.2    201.13     0.90    -9999
MEXICOCITY 031029 300  024000-024500   00     212.27  772.3    202.87     1.80    -9999
MEXICOCITY 031029 300  024500-025000   00     212.47  772.3    203.03     1.80    -9999
MEXICOCITY 031029 300  025000-025500   00     212.67  772.3    203.23     1.90    -9999
MEXICOCITY 031029 300  025500-030000   00     209.23  772.4    200.10     0.40    -9999
MEXICOCITY 031029 300  030000-030500   00     214.23  772.4    204.87     2.80    -9999
MEXICOCITY 031029 300  030500-031000   00     215.17  772.4    205.77     3.20    -9999
MEXICOCITY 031029 300  031000-031500   00     212.53  772.4    203.27     2.00    -9999
MEXICOCITY 031029 300  031500-032000   00     212.93  772.4    203.63     2.10    -9999
MEXICOCITY 031029 300  032000-032500   00     210.97  772.4    201.77     1.20    -9999
MEXICOCITY 031029 300  032500-033000   00     213.57  772.5    204.40     2.50    -9999
MEXICOCITY 031029 300  033000-033500   00     210.70  772.5    201.63     1.10    -9999
MEXICOCITY 031029 300  033500-034000   00     215.40  772.5    206.13     3.40    -9999
MEXICOCITY 031029 300  034000-034500   00     212.30  772.5    203.17     1.90    -9999
MEXICOCITY 031029 300  034500-035000   00     212.23  772.6    203.27     2.00    -9999
MEXICOCITY 031029 300  035000-035500   00     212.57  772.6    203.57     2.10    -9999
MEXICOCITY 031029 300  035500-040000   00     210.90  772.7    202.13     1.40    -9999
MEXICOCITY 031029 300  040000-040500   00     211.13  772.7    202.33     1.50    -9999
MEXICOCITY 031029 300  040500-041000   00     211.13  772.7    202.33     1.50    -9999
MEXICOCITY 031029 300  041000-041500   00     211.60  772.7    202.80     1.70    -9999
MEXICOCITY 031029 300  041500-042000   00     210.00  772.7    201.27     0.90    -9999
MEXICOCITY 031029 300  042000-042500   00     212.00  772.8    203.33     2.00    -9999
MEXICOCITY 031029 300  042500-043000   00     210.83  772.8    202.20     1.40    -9999
MEXICOCITY 031029 300  043000-043500   00     210.87  772.8    202.23     1.40    -9999
MEXICOCITY 031029 300  043500-044000   00     214.23  772.8    205.47     3.10    -9999
MEXICOCITY 031029 300  044000-044500   00     211.53  772.8    202.87     1.80    -9999
MEXICOCITY 031029 300  044500-045000   00     211.80  772.8    203.13     1.90    -9999
MEXICOCITY 031029 300  045000-045500   00     212.33  772.8    203.63     2.10    -9999
MEXICOCITY 031029 300  045500-050000   00     212.80  772.9    204.23     2.40    -9999
MEXICOCITY 031029 300  050000-050500   00     213.53  772.9    204.93     2.80    -9999
MEXICOCITY 031029 300  050500-051000   00     211.10  772.9    202.60     1.60    -9999
MEXICOCITY 031029 300  051000-051500   00     212.10  772.9    203.57     2.10    -9999
MEXICOCITY 031029 300  051500-052000   00     212.73  772.8    204.03     2.30    -9999
MEXICOCITY 031029 300  052000-052500   00     212.73  772.8    204.03     2.30    -9999
MEXICOCITY 031029 300  052500-053000   00     211.10  772.8    202.47     1.50    -9999
MEXICOCITY 031029 300  053000-053500   00     212.00  772.8    203.33     2.00    -9999
MEXICOCITY 031029 300  053500-054000   00     210.93  772.8    202.30     1.50    -9999
MEXICOCITY 031029 300  054000-054500   00     214.67  772.8    205.87     3.30    -9999
MEXICOCITY 031029 300  054500-055000   00     209.97  772.8    201.37     1.00    -9999
MEXICOCITY 031029 300  055000-055500   00     209.57  772.8    201.00     0.80    -9999
MEXICOCITY 031029 300  055500-060000   00     213.60  772.8    204.87     2.80    -9999
MEXICOCITY 031029 300  060000-060500   00     211.13  772.9    202.63     1.60    -9999
MEXICOCITY 031029 300  060500-061000   00     211.13  772.9    202.63     1.60    -9999
MEXICOCITY 031029 300  061000-061500   00     211.53  772.8    202.87     1.80    -9999
MEXICOCITY 031029 300  061500-062000   00     211.80  772.8    203.13     1.90    -9999
MEXICOCITY 031029 300  062000-062500   00     207.73  772.8    199.23    -0.10    -9999
MEXICOCITY 031029 300  062500-063000   00     209.10  772.8    200.53     0.60    -9999
MEXICOCITY 031029 300  063000-063500   00     205.80  772.8    197.37    -1.00    -9999
MEXICOCITY 031029 300  063500-064000   00     204.77  772.8    196.40    -1.50    -9999
MEXICOCITY 031029 300  064000-064500   00     204.00  772.8    195.63    -1.90    -9999
MEXICOCITY 031029 300  064500-065000   00     205.47  772.8    197.07    -1.20    -9999
MEXICOCITY 031029 300  065000-065500   00     205.27  772.7    196.73    -1.30    -9999
MEXICOCITY 031029 300  065500-070000   00     207.37  772.7    198.73    -0.30    -9999
MEXICOCITY 031029 300  070000-070500   00     209.37  772.7    200.67     0.60    -9999
MEXICOCITY 031029 300  070500-071000   00     206.27  772.8    197.83    -0.80    -9999
MEXICOCITY 031029 300  071000-071500   00     207.87  772.8    199.37     0.00    -9999
MEXICOCITY 031029 300  071500-072000   00     206.47  772.8    198.00    -0.70    -9999
MEXICOCITY 031029 300  072000-072500   00     208.83  772.8    200.30     0.50    -9999
MEXICOCITY 031029 300  072500-073000   00     207.37  772.8    198.87    -0.30    -9999
MEXICOCITY 031029 300  073000-073500   00     205.40  772.8    197.00    -1.20    -9999
MEXICOCITY 031029 300  073500-074000   00     206.87  772.8    198.40    -0.50    -9999
MEXICOCITY 031029 300  074000-074500   00     206.27  772.8    197.83    -0.80    -9999
MEXICOCITY 031029 300  074500-075000   00     205.83  772.9    197.53    -0.90    -9999
MEXICOCITY 031029 300  075000-075500   00     205.70  772.9    197.43    -1.00    -9999
MEXICOCITY 031029 300  075500-080000   00     209.73  772.9    201.30     1.00    -9999
