MAGADAN    LATITUDE    60.12     LONGITUDE     151.02    ALTITUDE    220 M
MAGADAN    INSTRUMENT   18-NM-64  NEUTRON MONITOR	
MAGADAN    STANDARD PRESSURE    986.9   mb     COEFFICIENT   -0.74     % / mb
MAGADAN    PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
MAGADAN    PRE-INCREASE AVERAGE COUNTING RATE    121.70      COUNTS PER SECOND
MAGADAN    TIME INTERVALS    300         3600     
MAGADAN    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
MAGADAN    000714 300  111000-111500   00     134.45  987.6    135.12    11.00    10.96
MAGADAN    000714 300  111500-112000   00     131.15  987.6    131.83     8.30     8.26
MAGADAN    000714 300  112000-112500   00     131.89  987.6    132.62     9.00     8.96
MAGADAN    000714 300  112500-113000   00     130.45  987.7    131.20     7.80     7.75
MAGADAN    000714 300  113000-113500   00     129.97  987.7    130.75     7.40     7.35
MAGADAN    000714 300  113500-114000   00     129.23  987.7    130.02     6.80     6.75
MAGADAN    000714 300  114000-114500   00     129.71  987.8    130.53     7.30     7.24
MAGADAN    000714 300  114500-115000   00     128.85  987.8    129.70     6.60     6.54
MAGADAN    000714 300  115000-115500   00     128.80  987.8    129.66     6.50     6.44
MAGADAN    000714 300  115500-120000   00     127.52  987.8    128.39     5.50     5.43
MAGADAN    000714 300  120000-120500   00     128.91  987.8    129.77     6.60     6.53
MAGADAN    000714 300  120500-121000   00     126.83  987.8    127.69     4.90     4.83
MAGADAN    000714 300  121000-121500   00     127.41  987.8    128.30     5.40     5.33
MAGADAN    000714 300  121500-122000   00     127.84  987.9    128.74     5.80     5.72
MAGADAN    000714 300  122000-122500   00     125.60  987.9    126.50     3.90     3.82
MAGADAN    000714 300  122500-123000   00     126.45  987.9    127.38     4.70     4.62
MAGADAN    000714 300  123000-123500   00     125.44  987.9    126.37     3.80     3.71
MAGADAN    000714 300  123500-124000   00     125.87  987.9    126.82     4.20     4.11
MAGADAN    000714 300  124000-124500   00     125.23  987.9    126.19     3.70     3.61
MAGADAN    000714 300  124500-125000   00     126.24  988.0    127.23     4.50     4.40
MAGADAN    000714 300  125000-125500   00     123.63  988.0    124.61     2.40     2.30
MAGADAN    000714 300  125500-130000   00     124.59  988.0    125.59     3.20     3.10
MAGADAN    000714 300  130000-130500   00     126.24  988.0    127.28     4.60     4.49
MAGADAN    000714 300  130500-131000   00     125.23  988.0    126.28     3.80     3.69
MAGADAN    000714 300  131000-131500   00     125.01  988.0    126.08     3.60     3.49
MAGADAN    000714 300  131500-132000   00     124.59  988.1    125.66     3.30     3.18
MAGADAN    000714 300  132000-132500   00     123.95  988.1    125.03     2.70     2.58
MAGADAN    000714 300  132500-133000   00     124.16  988.1    125.26     2.90     2.78
MAGADAN    000714 300  133000-133500   00     124.32  988.1    125.43     3.10     2.98
MAGADAN    000714 300  133500-134000   00     124.32  988.1    125.44     3.10     2.97
MAGADAN    000714 300  134000-134500   00     124.21  988.1    125.35     3.00     2.87
MAGADAN    000714 300  134500-135000   00     125.44  988.1    126.59     4.00     3.87
MAGADAN    000714 300  135000-135500   00     124.11  988.1    125.26     2.90     2.76
MAGADAN    000714 300  135500-140000   00     125.01  988.2    126.18     3.70     3.56
MAGADAN    000714 300  140000-140500   00     123.79  988.2    124.96     2.70     2.56
MAGADAN    000714 300  140500-141000   00     124.80  988.2    125.99     3.50     3.35
MAGADAN    000714 300  141000-141500   00     123.68  988.2    124.87     2.60     2.45
MAGADAN    000714 300  141500-142000   00     125.49  988.2    126.70     4.10     3.95
MAGADAN    000714 300  142000-142500   00     122.61  988.2    123.80     1.70     1.54
MAGADAN    000714 300  142500-143000   00     125.28  988.2    126.49     3.90     3.74
MAGADAN    000714 300  143000-143500   00     124.64  988.2    125.84     3.40     3.24
MAGADAN    000714 300  143500-144000   00     123.79  988.2    124.98     2.70     2.53
MAGADAN    000714 300  144000-144500   00     126.03  988.2    127.24     4.50     4.33
MAGADAN    000714 300  144500-145000   00     123.84  988.2    125.03     2.70     2.53
MAGADAN    000714 300  145000-145500   00     125.01  988.2    126.21     3.70     3.53
MAGADAN    000714 300  145500-150000   00     125.12  988.2    126.31     3.80     3.62
MAGADAN    000714 300  150000-150500   00     126.51  988.1    127.66     4.90     4.72
MAGADAN    000714 300  150500-151000   00     124.96  988.1    126.09     3.60     3.42
MAGADAN    000714 300  151000-151500   00     125.23  988.1    126.35     3.80     3.61
MAGADAN    000714 300  151500-152000   00     124.43  988.1    125.54     3.10     2.91
MAGADAN    000714 300  152000-152500   00     123.25  988.1    124.35     2.20     2.01
MAGADAN    000714 300  152500-153000   00     125.28  988.1    126.40     3.90     3.70
MAGADAN    000714 300  153000-153500   00     125.39  988.1    126.51     3.90     3.70
MAGADAN    000714 300  153500-154000   00     122.72  988.1    123.82     1.70     1.50
MAGADAN    000714 300  154000-154500   00     124.21  988.1    125.32     3.00     2.79
MAGADAN    000714 300  154500-155000   00     125.33  988.1    126.46     3.90     3.69
MAGADAN    000714 300  155000-155500   00     125.76  988.1    126.89     4.30     4.09
MAGADAN    000714 300  155500-160000   00     124.00  988.1    125.12     2.80     2.58
MAGADAN    000714 300  160000-160500   00     123.84  988.2    125.00     2.70     2.48
MAGADAN    000714 300  160500-161000   00     125.23  988.2    126.41     3.90     3.68
MAGADAN    000714 300  161000-161500   00     122.82  988.2    124.00     1.90     1.68
MAGADAN    000714 300  161500-162000   00     123.68  988.2    124.86     2.60     2.37
MAGADAN    000714 300  162000-162500   00     124.69  988.2    125.89     3.40     3.17
MAGADAN    000714 300  162500-163000   00     122.35  988.2    123.53     1.50     1.27
MAGADAN    000714 300  163000-163500   00     121.71  988.2    122.89     1.00     0.76
MAGADAN    000714 300  163500-164000   00     121.92  988.2    123.10     1.20     0.96
MAGADAN    000714 300  164000-164500   00     122.14  988.2    123.32     1.30     1.06
MAGADAN    000714 300  164500-165000   00     123.36  988.2    124.56     2.30     2.05
MAGADAN    000714 300  165000-165500   00     122.29  988.2    123.49     1.50     1.25
MAGADAN    000714 300  165500-170000   00     122.19  988.2    123.38     1.40     1.15
MAGADAN    000714 300  170000-170500   00     121.71  988.2    122.88     1.00     0.74
MAGADAN    000714 300  170500-171000   00     122.03  988.2    123.21     1.20     0.94
MAGADAN    000714 300  171000-171500   00     123.47  988.2    124.66     2.40     2.14
MAGADAN    000714 300  171500-172000   00     122.51  988.2    123.69     1.60     1.34
MAGADAN    000714 300  172000-172500   00     122.93  988.2    124.12     2.00     1.73
MAGADAN    000714 300  172500-173000   00     125.17  988.2    126.38     3.80     3.53
MAGADAN    000714 300  173000-173500   00     123.15  988.2    124.33     2.20     1.93
MAGADAN    000714 300  173500-174000   00     123.52  988.2    124.71     2.50     2.22
MAGADAN    000714 300  174000-174500   00     124.43  988.2    125.63     3.20     2.92
MAGADAN    000714 300  174500-175000   00     122.67  988.2    123.85     1.80     1.52
MAGADAN    000714 300  175000-175500   00     122.08  988.2    123.26     1.30     1.01
MAGADAN    000714 300  175500-180000   00     122.29  988.2    123.47     1.50     1.21
MAGADAN    000714 300  180000-180500   00     120.75  988.2    121.91     0.20    -0.09
MAGADAN    000714 300  180500-181000   00     121.87  988.2    123.05     1.10     0.80
MAGADAN    000714 300  181000-181500   00     121.33  988.2    122.51     0.60     0.30
MAGADAN    000714 300  181500-182000   00     121.39  988.2    122.56     0.70     0.40
MAGADAN    000714 300  182000-182500   00     122.29  988.2    123.48     1.40     1.09
MAGADAN    000714 300  182500-183000   00     121.81  988.2    122.99     1.10     0.79
MAGADAN    000714 300  183000-183500   00     121.28  988.2    122.45     0.60     0.29
MAGADAN    000714 300  183500-184000   00     121.65  988.2    122.83     0.90     0.59
MAGADAN    000714 300  184000-184500   00     123.73  988.2    124.93     2.70     2.38
MAGADAN    000714 300  184500-185000   00     123.63  988.2    124.82     2.60     2.28
MAGADAN    000714 300  185000-185500   00     121.02  988.2    122.18     0.40     0.08
MAGADAN    000714 300  185500-190000   00     122.88  988.2    124.07     1.90     1.57
MAGADAN    000714 300  190000-190500   00     123.57  988.2    124.76     2.50     2.17
MAGADAN    000714 300  190500-191000   00     122.24  988.2    123.41     1.40     1.07
MAGADAN    000714 300  191000-191500   00     122.19  988.2    123.36     1.40     1.06
MAGADAN    000714 300  191500-192000   00     120.85  988.2    122.01     0.20    -0.14
MAGADAN    000714 300  192000-192500   00     122.88  988.2    124.06     2.00     1.66
MAGADAN    000714 300  192500-193000   00     120.91  988.2    122.07     0.30    -0.05
MAGADAN    000714 300  193000-193500   00     123.15  988.2    124.34     2.20     1.85
MAGADAN    000714 300  193500-194000   00     123.25  988.2    124.45     2.30     1.95
MAGADAN    000714 300  194000-194500   00     122.83  988.2    124.02     1.90     1.54
MAGADAN    000714 300  194500-195000   00     121.60  988.2    122.79     0.90     0.54
MAGADAN    000714 300  195000-195500   00     122.61  988.2    123.82     1.80     1.44
MAGADAN    000714 300  195500-200000   00     122.56  988.2    123.77     1.70     1.34
MAGADAN    000714 3600 200000-210000   00     121.56  988.3    122.83     0.90     0.51
MAGADAN    000714 3600 210000-220000   00     121.48  988.2    122.65     0.80     0.38
MAGADAN    000714 3600 220000-230000   00     122.15  988.2    123.33     1.30     0.84
MAGADAN    000714 3600 230000-240000   00     121.30  987.9    122.20     0.40    -0.10
MAGADAN    000715 3600 000000-010000   00     121.76  987.6    122.39     0.60    -9999
MAGADAN    000715 3600 010000-020000   00     121.83  987.5    122.37     0.60    -9999
MAGADAN    000715 3600 020000-030000   00     122.81  987.2    123.08     1.10    -9999
MAGADAN    000715 3600 030000-040000   00     122.84  986.9    122.84     0.90    -9999
MAGADAN    000715 3600 040000-050000   00     122.54  986.8    122.45     0.60    -9999
MAGADAN    000715 3600 050000-060000   00     122.95  987.0    123.04     1.10    -9999
MAGADAN    000715 3600 060000-070000   00     122.52  987.0    122.62     0.80    -9999
MAGADAN    000715 3600 070000-080000   00     122.22  987.1    122.40     0.60    -9999
MAGADAN    000715 3600 080000-090000   00     122.01  987.4    122.46     0.60    -9999
MAGADAN    000715 3600 090000-100000   00     121.51  987.4    121.96     0.20    -9999
MAGADAN    000715 3600 100000-110000   00     121.62  987.8    122.43     0.60    -9999
MAGADAN    000715 3600 110000-120000   00     120.76  988.0    121.75     0.00    -9999
MAGADAN    000715 3600 120000-130000   00     120.89  988.3    122.15     0.40    -9999
MAGADAN    000715 3600 130000-140000   00     121.35  988.2    122.52     0.70    -9999
MAGADAN    000715 3600 140000-150000   00     121.37  988.0    122.36     0.50    -9999
MAGADAN    000715 3600 150000-160000   00     121.76  987.8    122.57     0.70    -9999
MAGADAN    000715 3600 160000-170000   00     120.82  987.8    121.63    -0.10    -9999
MAGADAN    000715 3600 170000-180000   00     120.32  987.5    120.86    -0.70    -9999
MAGADAN    000715 3600 180000-190000   00     120.89  987.2    121.16    -0.40    -9999
MAGADAN    000715 3600 190000-200000   00     120.89  987.0    120.98    -0.60    -9999
MAGADAN    000715 3600 200000-210000   00     118.72  986.5    118.37    -2.70    -9999
MAGADAN    000715 3600 210000-220000   00     117.46  986.1    116.76    -4.10    -9999
MAGADAN    000715 3600 220000-230000   00     117.44  985.6    116.32    -4.40    -9999
MAGADAN    000715 3600 230000-240000   00     116.64  985.1    115.10    -5.40    -9999
*
*	
*COMMENT    DATA VERIFIED0BY E.A.EROSHENKO	
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2022-05-13 14:50:50 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE59/C059MGDN_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
