THULE      LATITUDE    76.6      LONGITUDE     -68.8     ALTITUDE    260 M
THULE      INSTRUMENT   9NM64    NEUTRON MONITOR     	
THULE      STANDARD PRESSURE    996.4   MB     COEFFICIENT   -0.56     % / MB
THULE      PRE-INCREASE BASELINE TIME INTERVAL    211028    130000-150000   UT
THULE      PRE-INCREASE AVERAGE COUNTING RATE    128.92      COUNTS PER SECOND
THULE      TIME INTERVALS    300         3600     
THULE      SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
THULE      211028 300  150500-151000   00     131.85 1001.7    128.62    -0.23    -0.28
THULE      211028 300  151000-151500   00     132.95 1001.6    129.65     0.57     0.51
THULE      211028 300  151500-152000   00     133.59 1001.5    130.19     0.99     0.93
THULE      211028 300  152000-152500   00     132.45 1001.5    129.06     0.11     0.05
THULE      211028 300  152500-153000   00     132.12 1001.5    128.77    -0.11    -0.18
THULE      211028 300  153000-153500   00     132.57 1001.5    129.22     0.24     0.17
THULE      211028 300  153500-154000   00     132.71 1001.5    129.30     0.29     0.22
THULE      211028 300  154000-154500   00     133.50 1001.4    129.98     0.82     0.75
THULE      211028 300  154500-155000   00     133.90 1001.4    130.35     1.11     1.03
THULE      211028 300  155000-155500   00     132.71 1001.4    129.18     0.20     0.12
THULE      211028 300  155500-160000   00     132.29 1001.3    128.71    -0.16    -0.24
THULE      211028 300  160000-160500   00     132.12 1001.3    128.53    -0.30    -0.39
THULE      211028 300  160500-161000   00     134.10 1001.3    130.42     1.17     1.08
THULE      211028 300  161000-161500   00     132.90 1001.3    129.26     0.26     0.17
THULE      211028 300  161500-162000   00     133.28 1001.3    129.63     0.55     0.46
THULE      211028 300  162000-162500   00     133.08 1001.2    129.41     0.38     0.28
THULE      211028 300  162500-163000   00     135.46 1001.2    131.68     2.14     2.04
THULE      211028 300  163000-163500   00     134.96 1001.2    131.15     1.73     1.63
THULE      211028 300  163500-164000   00     135.15 1001.2    131.36     1.89     1.79
THULE      211028 300  164000-164500   00     134.65 1001.1    130.85     1.50     1.39
THULE      211028 300  164500-165000   00     135.49 1001.2    131.69     2.15     2.04
THULE      211028 300  165000-165500   00     135.44 1001.2    131.62     2.10     1.99
THULE      211028 300  165500-170000   00     134.52 1001.1    130.70     1.38     1.27
THULE      211028 300  170000-170500   00     135.03 1001.2    131.23     1.79     1.68
THULE      211028 300  170500-171000   00     135.29 1001.2    131.48     1.99     1.87
THULE      211028 300  171000-171500   00     136.19 1001.1    132.34     2.66     2.54
THULE      211028 300  171500-172000   00     134.71 1001.2    130.97     1.59     1.47
THULE      211028 300  172000-172500   00     135.30 1001.3    131.59     2.07     1.95
THULE      211028 300  172500-173000   00     135.17 1001.3    131.47     1.98     1.86
