ALMA-ATA-B LATITUDE    43.14     LONGITUDE     76.6      ALTITUDE    3340 M
ALMA-ATA-B INSTRUMENT   18NM64    NEUTRON MONITOR     
ALMA-ATA-B STANDARD PRESSURE    675     MB     COEFFICIENT   -0.72     % / MB
ALMA-ATA-B PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
ALMA-ATA-B PRE-INCREASE AVERAGE COUNTING RATE  1,450.22      COUNTS PER SECOND
ALMA-ATA-B TIME INTERVALS    300         3600     
ALMA-ATA-B SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
ALMA-ATA-B 120517 300  001500-002000   00    1377.40  677.2   1448.34    -0.10    -9999
ALMA-ATA-B 120517 300  002000-002500   00    1384.16  677.3   1455.90     0.40    -9999
ALMA-ATA-B 120517 300  002500-003000   00    1384.28  677.3   1456.45     0.40    -9999
ALMA-ATA-B 120517 300  003000-003500   00    1372.93  677.3   1444.90    -0.40    -9999
ALMA-ATA-B 120517 300  003500-004000   00    1376.62  677.4   1449.06    -0.10    -9999
ALMA-ATA-B 120517 300  004000-004500   00    1376.48  677.4   1449.54     0.00    -9999
ALMA-ATA-B 120517 300  004500-005000   00    1373.92  677.5   1447.18    -0.20    -9999
ALMA-ATA-B 120517 300  005000-005500   00    1378.42  677.5   1452.22     0.10    -9999
ALMA-ATA-B 120517 300  005500-010000   00    1377.78  677.5   1451.46     0.10    -9999
ALMA-ATA-B 120517 300  010000-010500   00    1373.78  677.5   1447.06    -0.20    -9999
ALMA-ATA-B 120517 300  010500-011000   00    1376.06  677.5   1449.42    -0.10    -9999
ALMA-ATA-B 120517 300  011000-011500   00    1377.04  677.5   1450.32     0.00    -9999
ALMA-ATA-B 120517 300  011500-012000   00    1378.70  677.5   1451.98     0.10    -9999
ALMA-ATA-B 120517 300  012000-012500   00    1377.92  677.4   1450.74     0.00    -9999
ALMA-ATA-B 120517 300  012500-013000   00    1379.00  677.4   1451.70     0.10    -9999
ALMA-ATA-B 120517 300  013000-013500   00    1381.18  677.4   1454.24     0.30    -9999
ALMA-ATA-B 120517 300  013500-014000   00    1379.70  677.5   1453.04     0.20    -9999
ALMA-ATA-B 120517 300  014000-014500   00    1382.04  677.5   1455.66     0.40    -9999
ALMA-ATA-B 120517 300  014500-015000   00    1376.92  677.5   1450.86     0.00    -9999
ALMA-ATA-B 120517 300  015000-015500   00    1383.08  677.5   1457.44     0.50    -9999
ALMA-ATA-B 120517 300  015500-020000   00    1379.22  677.5   1453.56     0.20    -9999
ALMA-ATA-B 120517 300  020000-020500   00    1379.64  677.6   1454.42     0.30    -9999
ALMA-ATA-B 120517 300  020500-021000   00    1382.94  677.7   1458.56     0.60    -9999
ALMA-ATA-B 120517 300  021000-021500   00    1376.14  677.7   1451.68     0.10    -9999
ALMA-ATA-B 120517 300  021500-022000   00    1372.26  677.7   1448.00    -0.20    -9999
ALMA-ATA-B 120517 300  022000-022500   00    1378.24  677.8   1454.74     0.30    -9999
ALMA-ATA-B 120517 300  022500-023000   00    1378.34  677.8   1454.70     0.30    -9999
ALMA-ATA-B 120517 300  023000-023500   00    1373.52  677.7   1449.22    -0.10    -9999
ALMA-ATA-B 120517 300  023500-024000   00    1386.76  677.7   1462.98     0.90    -9999
ALMA-ATA-B 120517 300  024000-024500   00    1377.78  677.7   1453.78     0.20    -9999
ALMA-ATA-B 120517 300  024500-025000   00    1386.88  677.8   1463.70     0.90    -9999
ALMA-ATA-B 120517 300  025000-025500   00    1385.20  677.8   1462.06     0.80    -9999
ALMA-ATA-B 120517 300  025500-030000   00    1379.36  677.8   1455.92     0.40    -9999
ALMA-ATA-B 120517 300  030000-030500   00    1382.58  677.8   1459.46     0.60    -9999
ALMA-ATA-B 120517 300  030500-031000   00    1384.00  677.8   1460.92     0.70    -9999
ALMA-ATA-B 120517 300  031000-031500   00    1375.30  677.8   1451.60     0.10    -9999
ALMA-ATA-B 120517 300  031500-032000   00    1380.30  677.8   1456.80     0.50    -9999
ALMA-ATA-B 120517 300  032000-032500   00    1385.16  677.8   1462.02     0.80    -9999
ALMA-ATA-B 120517 300  032500-033000   00    1388.78  677.7   1465.74     1.10    -9999
ALMA-ATA-B 120517 300  033000-033500   00    1384.92  677.7   1461.44     0.80    -9999
ALMA-ATA-B 120517 300  033500-034000   00    1381.00  677.7   1457.28     0.50    -9999
ALMA-ATA-B 120517 300  034000-034500   00    1377.66  677.7   1453.54     0.20    -9999
ALMA-ATA-B 120517 300  034500-035000   00    1377.30  677.7   1453.10     0.20    -9999
ALMA-ATA-B 120517 300  035000-035500   00    1380.42  677.7   1456.38     0.40    -9999
ALMA-ATA-B 120517 300  035500-040000   00    1379.30  677.7   1455.42     0.40    -9999
ALMA-ATA-B 120517 300  040000-040500   00    1381.14  677.7   1457.48     0.50    -9999
ALMA-ATA-B 120517 300  040500-041000   00    1383.28  677.7   1459.70     0.70    -9999
ALMA-ATA-B 120517 300  041000-041500   00    1373.34  677.8   1449.42    -0.10    -9999
ALMA-ATA-B 120517 300  041500-042000   00    1376.96  677.8   1453.58     0.20    -9999
ALMA-ATA-B 120517 300  042000-042500   00    1376.88  677.8   1453.50     0.20    -9999
ALMA-ATA-B 120517 300  042500-043000   00    1383.04  677.8   1460.16     0.70    -9999
ALMA-ATA-B 120517 300  043000-043500   00    1390.28  677.8   1467.48     1.20    -9999
ALMA-ATA-B 120517 300  043500-044000   00    1383.86  677.8   1460.98     0.70    -9999
ALMA-ATA-B 120517 300  044000-044500   00    1390.08  677.8   1467.54     1.20    -9999
ALMA-ATA-B 120517 300  044500-045000   00    1385.54  677.8   1462.70     0.90    -9999
ALMA-ATA-B 120517 300  045000-045500   00    1378.78  677.8   1455.48     0.40    -9999
ALMA-ATA-B 120517 300  045500-050000   00    1383.18  677.8   1460.54     0.70    -9999
ALMA-ATA-B 120517 300  050000-050500   00    1381.74  677.8   1458.68     0.60    -9999
ALMA-ATA-B 120517 300  050500-051000   00    1390.90  677.8   1468.32     1.20    -9999
ALMA-ATA-B 120517 300  051000-051500   00    1379.86  677.8   1456.54     0.40    -9999
ALMA-ATA-B 120517 300  051500-052000   00    1384.66  677.8   1462.08     0.80    -9999
ALMA-ATA-B 120517 300  052000-052500   00    1381.14  677.8   1458.26     0.60    -9999
ALMA-ATA-B 120517 300  052500-053000   00    1372.86  677.8   1449.88     0.00    -9999
ALMA-ATA-B 120517 300  053000-053500   00    1383.74  677.8   1461.32     0.80    -9999
ALMA-ATA-B 120517 300  053500-054000   00    1390.70  677.8   1468.06     1.20    -9999
ALMA-ATA-B 120517 300  054000-054500   00    1391.30  677.8   1468.64     1.30    -9999
ALMA-ATA-B 120517 300  054500-055000   00    1381.62  677.8   1458.64     0.60    -9999
ALMA-ATA-B 120517 300  055000-055500   00    1385.46  677.8   1463.14     0.90    -9999
ALMA-ATA-B 120517 300  055500-060000   00    1378.00  677.8   1455.04     0.30    -9999
ALMA-ATA-B 120517 300  060000-060500   00    1382.54  677.8   1459.68     0.70    -9999
ALMA-ATA-B 120517 300  060500-061000   00    1387.60  677.8   1464.64     1.00    -9999
ALMA-ATA-B 120517 300  061000-061500   00    1377.78  677.8   1454.24     0.30    -9999
ALMA-ATA-B 120517 300  061500-062000   00    1383.18  677.8   1459.96     0.70    -9999
ALMA-ATA-B 120517 300  062000-062500   00    1383.58  677.7   1460.16     0.70    -9999
ALMA-ATA-B 120517 300  062500-063000   00    1380.08  677.8   1456.72     0.40    -9999
ALMA-ATA-B 120517 300  063000-063500   00    1373.54  677.8   1449.84     0.00    -9999
ALMA-ATA-B 120517 300  063500-064000   00    1390.28  677.7   1467.14     1.20    -9999
ALMA-ATA-B 120517 300  064000-064500   00    1385.08  677.7   1461.16     0.80    -9999
ALMA-ATA-B 120517 300  064500-065000   00    1382.70  677.7   1458.78     0.60    -9999
ALMA-ATA-B 120517 300  065000-065500   00    1376.42  677.7   1452.28     0.10    -9999
ALMA-ATA-B 120517 300  065500-070000   00    1375.52  677.7   1451.28     0.10    -9999
ALMA-ATA-B 120517 300  070000-070500   00    1386.62  677.7   1463.14     0.90    -9999
ALMA-ATA-B 120517 300  070500-071000   00    1378.26  677.7   1454.34     0.30    -9999
ALMA-ATA-B 120517 300  071000-071500   00    1379.10  677.7   1455.24     0.30    -9999
ALMA-ATA-B 120517 300  071500-072000   00    1374.74  677.7   1450.82     0.00    -9999
ALMA-ATA-B 120517 300  072000-072500   00    1386.66  677.7   1463.30     0.90    -9999
ALMA-ATA-B 120517 300  072500-073000   00    1376.88  677.7   1453.02     0.20    -9999
ALMA-ATA-B 120517 300  073000-073500   00    1384.82  677.7   1461.32     0.80    -9999
ALMA-ATA-B 120517 300  073500-074000   00    1383.30  677.7   1459.28     0.60    -9999
ALMA-ATA-B 120517 300  074000-074500   00    1382.64  677.7   1458.42     0.60    -9999
ALMA-ATA-B 120517 300  074500-075000   00    1377.46  677.6   1452.48     0.20    -9999
ALMA-ATA-B 120517 300  075000-075500   00    1383.20  677.6   1458.40     0.60    -9999
ALMA-ATA-B 120517 300  075500-080000   00    1380.92  677.6   1456.28     0.40    -9999
