MCMURDO    LATITUDE    -77.85    LONGITUDE     166.72    ALTITUDE    48 M
MCMURDO    INSTRUMENT   18-NM-64  NEUTRON MONITOR	
MCMURDO    STANDARD PRESSURE    730     MMHG   COEFFICIENT   -0.99     % / MMHG
MCMURDO    PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
MCMURDO    PRE-INCREASE AVERAGE COUNTING RATE    225.22      COUNTS PER SECOND
MCMURDO    TIME INTERVALS    60          3600     
MCMURDO    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
MCMURDO    000714 60   083700-083800   00     218.89  731.6    222.39    -1.50    -9999
MCMURDO    000714 60   083800-083900   00     225.53  731.6    229.13     1.50    -9999
MCMURDO    000714 60   083900-084000   00     222.21  731.6    225.83     0.10    -9999
MCMURDO    000714 60   084000-084100   00     225.53  731.8    229.58     1.70    -9999
MCMURDO    000714 60   084100-084200   00     227.18  731.8    231.23     2.40    -9999
MCMURDO    000714 60   084200-084300   00     217.24  731.7    220.92    -2.10    -9999
MCMURDO    000714 60   084300-084400   00     218.89  731.7    222.61    -1.40    -9999
MCMURDO    000714 60   084400-084500   00     220.55  731.7    224.29    -0.60    -9999
MCMURDO    000714 60   084500-084600   00     227.18  731.7    231.08     2.40    -9999
MCMURDO    000714 60   084600-084700   00     223.87  731.8    227.89     1.00    -9999
MCMURDO    000714 60   084700-084800   00     223.87  731.8    227.89     1.00    -9999
MCMURDO    000714 60   084800-084900   00     222.21  731.8    226.21     0.20    -9999
MCMURDO    000714 60   084900-085000   00     220.55  731.8    224.52    -0.50    -9999
MCMURDO    000714 60   085000-085100   00     222.21  731.8    226.21     0.20    -9999
MCMURDO    000714 60   085100-085200   00     220.55  731.8    224.56    -0.50    -9999
MCMURDO    000714 60   085200-085300   00     222.21  731.9    226.43     0.30    -9999
MCMURDO    000714 60   085300-085400   00     222.21  731.9    226.43     0.30    -9999
MCMURDO    000714 60   085400-085500   00     220.55  731.9    224.74    -0.40    -9999
MCMURDO    000714 60   085500-085600   00     217.24  731.9    221.36    -1.90    -9999
MCMURDO    000714 60   085600-085700   00     223.87  731.9    228.12     1.10    -9999
MCMURDO    000714 60   085700-085800   00     218.89  731.9    223.05    -1.20    -9999
MCMURDO    000714 60   085800-085900   00     227.18  731.9    231.50     2.60    -9999
MCMURDO    000714 60   085900-090000   00     217.24  731.9    221.36    -1.90    -9999
MCMURDO    000714 60   090000-090100   00     218.89  731.9    223.05    -1.20    -9999
MCMURDO    000714 60   090100-090200   00     225.53  731.9    229.89     1.90    -9999
MCMURDO    000714 60   090200-090300   00     218.89  732.1    223.49    -1.00    -9999
MCMURDO    000714 60   090300-090400   00     222.21  732.1    226.84     0.50    -9999
MCMURDO    000714 60   090400-090500   00     218.89  732.0    223.27    -1.10    -9999
MCMURDO    000714 60   090500-090600   00     227.18  732.0    231.73     2.70    -9999
MCMURDO    000714 60   090600-090700   00     217.24  732.0    221.58    -1.80    -9999
MCMURDO    000714 60   090700-090800   00     213.92  732.0    218.27    -3.30    -9999
MCMURDO    000714 60   090800-090900   00     222.21  732.2    227.10     0.60    -9999
MCMURDO    000714 60   090900-091000   00     222.21  732.2    227.10     0.60    -9999
MCMURDO    000714 60   091000-091100   00     222.21  732.2    227.10     0.60    -9999
MCMURDO    000714 60   091100-091200   00     223.87  732.2    228.80     1.40    -9999
MCMURDO    000714 60   091200-091300   00     218.89  732.2    223.71    -0.90    -9999
MCMURDO    000714 60   091300-091400   00     220.55  732.2    225.41    -0.10    -9999
MCMURDO    000714 60   091400-091500   00     217.24  732.2    222.02    -1.60    -9999
MCMURDO    000714 60   091500-091600   00     218.89  732.2    223.71    -0.90    -9999
MCMURDO    000714 60   091600-091700   00     215.58  732.2    220.32    -2.40    -9999
MCMURDO    000714 60   091700-091800   00     223.87  732.2    228.80     1.40    -9999
MCMURDO    000714 60   091800-091900   00     215.58  732.2    220.32    -2.40    -9999
MCMURDO    000714 60   091900-092000   00     215.58  732.2    220.36    -2.40    -9999
MCMURDO    000714 60   092000-092100   00     217.24  732.3    222.24    -1.50    -9999
MCMURDO    000714 60   092100-092200   00     222.21  732.3    227.36     0.70    -9999
MCMURDO    000714 60   092200-092300   00     222.21  732.4    227.55     0.80    -9999
MCMURDO    000714 60   092300-092400   00     222.21  732.4    227.55     0.80    -9999
MCMURDO    000714 60   092400-092500   00     223.87  732.4    229.25     1.60    -9999
MCMURDO    000714 60   092500-092600   00     217.24  732.4    222.46    -1.40    -9999
MCMURDO    000714 60   092600-092700   00     218.89  732.4    224.16    -0.70    -9999
MCMURDO    000714 60   092700-092800   00     220.55  732.4    225.85     0.10    -9999
MCMURDO    000714 60   092800-092900   00     220.55  732.4    225.85     0.10    -9999
MCMURDO    000714 60   092900-093000   00     220.55  732.4    225.85     0.10    -9999
MCMURDO    000714 60   093000-093100   00     215.58  732.4    220.76    -2.20    -9999
MCMURDO    000714 60   093100-093200   00     223.87  732.4    229.21     1.60    -9999
MCMURDO    000714 60   093200-093300   00     225.53  732.3    230.72     2.20    -9999
MCMURDO    000714 60   093300-093400   00     220.55  732.3    225.63     0.00    -9999
MCMURDO    000714 60   093400-093500   00     218.89  732.3    223.93    -0.80    -9999
MCMURDO    000714 60   093500-093600   00     217.24  732.3    222.24    -1.50    -9999
MCMURDO    000714 60   093600-093700   00     227.18  732.3    232.42     3.00    -9999
MCMURDO    000714 60   093700-093800   00     220.55  732.3    225.63     0.00    -9999
MCMURDO    000714 60   093800-093900   00     220.55  732.3    225.63     0.00    -9999
MCMURDO    000714 60   093900-094000   00     223.87  732.3    229.02     1.50    -9999
MCMURDO    000714 60   094000-094100   00     215.58  732.3    220.54    -2.30    -9999
MCMURDO    000714 60   094100-094200   00     217.24  732.3    222.27    -1.50    -9999
MCMURDO    000714 60   094200-094300   00     223.87  732.4    229.25     1.60    -9999
MCMURDO    000714 60   094300-094400   00     218.89  732.4    224.16    -0.70    -9999
MCMURDO    000714 60   094400-094500   00     217.24  732.4    222.46    -1.40    -9999
MCMURDO    000714 60   094500-094600   00     220.55  732.4    225.85     0.10    -9999
MCMURDO    000714 60   094600-094700   00     222.21  732.4    227.55     0.80    -9999
MCMURDO    000714 60   094700-094800   00     215.58  732.4    220.80    -2.20    -9999
MCMURDO    000714 60   094800-094900   00     218.89  732.5    224.38    -0.60    -9999
MCMURDO    000714 60   094900-095000   00     222.21  732.5    227.78     0.90    -9999
MCMURDO    000714 60   095000-095100   00     222.21  732.5    227.78     0.90    -9999
MCMURDO    000714 60   095100-095200   00     218.89  732.5    224.38    -0.60    -9999
MCMURDO    000714 60   095200-095300   00     218.89  732.5    224.38    -0.60    -9999
MCMURDO    000714 60   095300-095400   00     217.24  732.5    222.68    -1.30    -9999
MCMURDO    000714 60   095400-095500   00     222.21  732.5    227.78     0.90    -9999
MCMURDO    000714 60   095500-095600   00     225.53  732.5    231.18     2.40    -9999
MCMURDO    000714 60   095600-095700   00     217.24  732.5    222.68    -1.30    -9999
MCMURDO    000714 60   095700-095800   00     217.24  732.5    222.68    -1.30    -9999
MCMURDO    000714 60   095800-095900   00     222.21  732.5    227.78     0.90    -9999
MCMURDO    000714 60   095900-100000   00     217.24  732.5    222.68    -1.30    -9999
MCMURDO    000714 60   100000-100100   00     217.24  732.5    222.68    -1.30    -1.46
MCMURDO    000714 60   100100-100200   00     218.89  732.5    224.38    -0.60    -0.76
MCMURDO    000714 60   100200-100300   00     218.89  732.5    224.38    -0.60    -0.77
