NOVOSIBIRS LATITUDE    54.8      LONGITUDE     83        ALTITUDE    163 M
NOVOSIBIRS INSTRUMENT   24-NM-64  NEUTRON MONITOR
NOVOSIBIRS STANDARD PRESSURE    993.3   mb     COEFFICIENT   -0.718    % / mb
NOVOSIBIRS PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
NOVOSIBIRS PRE-INCREASE AVERAGE COUNTING RATE    173.57      COUNTS PER SECOND
NOVOSIBIRS TIME INTERVALS    300         3600     
NOVOSIBIRS SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
NOVOSIBIRS 061213 300  041000-041500   00     177.99  995.0    180.20     3.80     3.80
NOVOSIBIRS 061213 300  041500-042000   00     178.25  995.1    180.53     4.00     4.00
NOVOSIBIRS 061213 300  042000-042500   00     176.48  995.1    178.80     3.00     3.00
NOVOSIBIRS 061213 300  042500-043000   00     178.43  995.2    180.84     4.20     4.20
NOVOSIBIRS 061213 300  043000-043500   00     177.15  995.2    179.61     3.50     3.50
NOVOSIBIRS 061213 300  043500-044000   00     174.04  995.3    176.52     1.70     1.70
NOVOSIBIRS 061213 300  044000-044500   00     176.10  995.3    178.67     2.90     2.90
NOVOSIBIRS 061213 300  044500-045000   00     176.05  995.4    178.68     2.90     2.90
NOVOSIBIRS 061213 300  045000-045500   00     174.84  995.4    177.52     2.30     2.30
NOVOSIBIRS 061213 300  045500-050000   00     176.92  995.5    179.70     3.50     3.50
NOVOSIBIRS 061213 300  050000-050500   00     177.58  995.5    180.44     4.00     4.00
NOVOSIBIRS 061213 300  050500-051000   00     174.46  995.6    177.33     2.20     2.20
NOVOSIBIRS 061213 300  051000-051500   00     173.61  995.6    176.53     1.70     1.70
NOVOSIBIRS 061213 300  051500-052000   00     174.41  995.7    177.40     2.20     2.20
NOVOSIBIRS 061213 300  052000-052500   00     176.53  995.7    179.63     3.50     3.50
NOVOSIBIRS 061213 300  052500-053000   00     173.95  995.8    177.07     2.00     2.00
NOVOSIBIRS 061213 300  053000-053500   00     175.64  995.8    178.85     3.00     3.00
NOVOSIBIRS 061213 300  053500-054000   00     175.13  995.9    178.40     2.80     2.80
NOVOSIBIRS 061213 300  054000-054500   00     172.61  995.9    175.88     1.30     1.30
NOVOSIBIRS 061213 300  054500-055000   00     173.50  996.0    176.85     1.90     1.90
