MAGADAN    LATITUDE    60.1      LONGITUDE     151       ALTITUDE    0 M
MAGADAN    INSTRUMENT   18NM64    NEUTRON MONITOR     	
MAGADAN    STANDARD PRESSURE    982     mb     COEFFICIENT   -0.74     % / mb
MAGADAN    PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
MAGADAN    PRE-INCREASE AVERAGE COUNTING RATE    180.38      COUNTS PER SECOND
MAGADAN    TIME INTERVALS    300         3600     
MAGADAN    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
MAGADAN    120517 300  202500-203000   00     174.79  982.6    178.09    -1.30    -9999
MAGADAN    120517 300  203000-203500   00     176.83  982.6    180.22    -0.10    -9999
MAGADAN    120517 300  203500-204000   00     174.52  982.6    177.88    -1.40    -9999
MAGADAN    120517 300  204000-204500   00     176.39  982.7    179.81    -0.30    -9999
MAGADAN    120517 300  204500-205000   00     175.48  982.6    178.81    -0.90    -9999
MAGADAN    120517 300  205000-205500   00     177.24  982.6    180.59     0.10    -9999
MAGADAN    120517 300  205500-210000   00     176.48  982.6    179.84    -0.30    -9999
MAGADAN    120517 300  210000-210500   00     173.27  982.7    176.67    -2.10    -9999
MAGADAN    120517 300  210500-211000   00     174.11  982.6    177.44    -1.60    -9999
MAGADAN    120517 300  211000-211500   00     175.34  982.7    178.72    -0.90    -9999
MAGADAN    120517 300  211500-212000   00     176.05  982.6    179.36    -0.60    -9999
MAGADAN    120517 300  212000-212500   00     175.84  982.4    178.91    -0.80    -9999
MAGADAN    120517 300  212500-213000   00     175.10  982.3    178.02    -1.30    -9999
MAGADAN    120517 300  213000-213500   00     175.11  982.2    177.92    -1.40    -9999
MAGADAN    120517 300  213500-214000   00     174.32  982.2    177.12    -1.80    -9999
MAGADAN    120517 300  214000-214500   00     176.33  982.2    179.17    -0.70    -9999
MAGADAN    120517 300  214500-215000   00     177.72  982.2    180.58     0.10    -9999
MAGADAN    120517 300  215000-215500   00     176.44  982.2    179.27    -0.60    -9999
MAGADAN    120517 300  215500-220000   00     177.55  982.2    180.44     0.00    -9999
MAGADAN    120517 300  220000-220500   00     176.37  982.2    179.24    -0.60    -9999
MAGADAN    120517 300  220500-221000   00     174.92  982.2    177.77    -1.40    -9999
MAGADAN    120517 300  221000-221500   00     175.20  982.3    178.15    -1.20    -9999
MAGADAN    120517 300  221500-222000   00     176.68  982.4    179.69    -0.40    -9999
MAGADAN    120517 300  222000-222500   00     177.32  982.3    180.34     0.00    -9999
MAGADAN    120517 300  222500-223000   00     175.73  982.3    178.70    -0.90    -9999
MAGADAN    120517 300  223000-223500   00     175.69  982.3    178.63    -1.00    -9999
MAGADAN    120517 300  223500-224000   00     175.63  982.3    178.54    -1.00    -9999
MAGADAN    120517 300  224000-224500   00     176.19  982.3    179.11    -0.70    -9999
MAGADAN    120517 300  224500-225000   00     177.20  982.3    180.11    -0.10    -9999
MAGADAN    120517 300  225000-225500   00     176.77  982.3    179.69    -0.40    -9999
MAGADAN    120517 300  225500-230000   00     175.05  982.2    177.91    -1.40    -9999
MAGADAN    120517 300  230000-230500   00    -999.00 -999.0   -999.00    -9999    -9999
MAGADAN    120517 300  230500-231000   00    -999.00 -999.0   -999.00    -9999    -9999
MAGADAN    120517 300  231000-231500   00    -999.00 -999.0   -999.00    -9999    -9999
MAGADAN    120517 300  231500-232000   00    -999.00 -999.0   -999.00    -9999    -9999
MAGADAN    120517 300  232000-232500   00    -999.00 -999.0   -999.00    -9999    -9999
MAGADAN    120517 300  232500-233000   00    -999.00 -999.0   -999.00    -9999    -9999
MAGADAN    120517 300  233000-233500   00    -999.00 -999.0   -999.00    -9999    -9999
MAGADAN    120517 300  233500-234000   00    -999.00 -999.0   -999.00    -9999    -9999
MAGADAN    120517 300  234000-234500   00    -999.00 -999.0   -999.00    -9999    -9999
MAGADAN    120517 300  234500-235000   00    -999.00 -999.0   -999.00    -9999    -9999
MAGADAN    120517 300  235000-235500   00    -999.00 -999.0   -999.00    -9999    -9999
MAGADAN    120517 300  235500-240000   00    -999.00 -999.0   -999.00    -9999    -9999
MAGADAN    120518 3600 000000-010000   00     176.18  982.2    178.93    -0.80    -9999
MAGADAN    120518 3600 010000-020000   00     176.45  982.1    179.14    -0.70    -9999
MAGADAN    120518 3600 020000-030000   00     175.68  981.8    177.93    -1.40    -9999
MAGADAN    120518 3600 030000-040000   00     176.94  981.6    179.03    -0.70    -9999
MAGADAN    120518 3600 040000-050000   00     176.67  981.8    178.92    -0.80    -9999
MAGADAN    120518 3600 050000-060000   00     175.75  982.0    178.29    -1.20    -9999
MAGADAN    120518 3600 060000-070000   00     175.93  982.0    178.48    -1.10    -9999
MAGADAN    120518 3600 070000-080000   00     175.06  981.9    177.52    -1.60    -9999
MAGADAN    120518 3600 080000-090000   00     174.53  982.4    177.54    -1.60    -9999
MAGADAN    120518 3600 090000-100000   00     174.00  982.7    177.37    -1.70    -9999
MAGADAN    120518 3600 100000-110000   00     173.41  983.2    177.48    -1.60    -9999
MAGADAN    120518 3600 110000-120000   00     172.05  983.6    176.60    -2.10    -9999
MAGADAN    120518 3600 120000-130000   00     172.64  984.0    177.71    -1.50    -9999
MAGADAN    120518 3600 130000-140000   00     171.91  984.2    177.21    -1.80    -9999
MAGADAN    120518 3600 140000-150000   00     170.90  986.9    182.06     0.90    -9999
MAGADAN    120518 3600 150000-160000   00     170.31  984.6    176.10    -2.40    -9999
MAGADAN    120518 3600 160000-170000   00     169.69  984.8    175.71    -2.60    -9999
MAGADAN    120518 3600 170000-180000   00     169.58  985.0    175.84    -2.50    -9999
MAGADAN    120518 3600 180000-190000   00     169.83  985.3    176.39    -2.20    -9999
MAGADAN    120518 3600 190000-200000   00     168.90  985.6    175.81    -2.50    -9999
MAGADAN    120518 3600 200000-210000   00     169.05  985.6    176.06    -2.40    -9999
MAGADAN    120518 3600 210000-220000   00     169.81  985.6    176.76    -2.00    -9999
MAGADAN    120518 3600 220000-230000   00     171.19  985.2    177.77    -1.40    -9999
MAGADAN    120518 3600 230000-240000   00    -999.00 -999.0   -999.00    -9999    -9999
*
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2024-01-15 17:24:22 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE71/C071MGDN_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
