DOURBES    LATITUDE    50.1      LONGITUDE     4.6       ALTITUDE    225 M
DOURBES    INSTRUMENT   9-NM-64  NEUTRON MONITOR	
DOURBES    STANDARD PRESSURE    -9999   MB     COEFFICIENT   -9999     % / MB
DOURBES    PRE-INCREASE BASELINE TIME INTERVAL    211028    130000-150000   UT
DOURBES    PRE-INCREASE AVERAGE COUNTING RATE    112.75      COUNTS PER SECOND
DOURBES    TIME INTERVALS    300         3600     
DOURBES    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
DOURBES    211028 300  145500-150000   00     112.71  988.2    114.06     1.16    -9999
DOURBES    211028 300  150000-150500   00     110.37  988.2    111.68    -0.95    -9999
DOURBES    211028 300  150500-151000   00     110.39  988.1    111.65    -0.98    -9999
DOURBES    211028 300  151000-151500   00     111.00  988.0    112.18    -0.51    -9999
DOURBES    211028 300  151500-152000   00     112.42  987.9    113.56     0.72    -9999
DOURBES    211028 300  152000-152500   00     109.85  987.9    110.92    -1.63    -9999
DOURBES    211028 300  152500-153000   00     113.23  987.8    114.28     1.36    -9999
DOURBES    211028 300  153000-153500   00     112.98  987.8    113.97     1.08    -9999
DOURBES    211028 300  153500-154000   00     113.58  987.8    114.59     1.63    -9999
DOURBES    211028 300  154000-154500   00     110.34  987.8    111.31    -1.28    -9999
DOURBES    211028 300  154500-155000   00     108.60  987.7    109.48    -2.90    -9999
DOURBES    211028 300  155000-155500   00     112.65  987.6    113.53     0.69    -9999
DOURBES    211028 300  155500-160000   00     110.43  987.5    111.21    -1.37    -9999
DOURBES    211028 300  160000-160500   00     112.65  987.5    113.39     0.57    -9999
DOURBES    211028 300  160500-161000   00     111.91  987.4    112.56    -0.17    -9999
DOURBES    211028 300  161000-161500   00     113.16  987.3    113.78     0.91    -9999
DOURBES    211028 300  161500-162000   00     111.85  987.3    112.45    -0.27    -9999
DOURBES    211028 300  162000-162500   00     111.95  987.2    112.50    -0.23    -9999
DOURBES    211028 300  162500-163000   00     113.65  987.2    114.18     1.27    -9999
DOURBES    211028 300  163000-163500   00     112.07  987.2    112.55    -0.18    -9999
DOURBES    211028 300  163500-164000   00     111.90  987.1    112.37    -0.34    -9999
DOURBES    211028 300  164000-164500   00     110.54  987.1    110.95    -1.59    -9999
DOURBES    211028 300  164500-165000   00     109.71  987.0    110.08    -2.37    -9999
DOURBES    211028 300  165000-165500   00     113.05  987.0    113.41     0.58    -9999
DOURBES    211028 300  165500-170000   00     113.14  986.9    113.42     0.59    -9999
DOURBES    211028 300  170000-170500   00     114.08  986.8    114.31     1.38    -9999
DOURBES    211028 300  170500-171000   00     113.65  986.7    113.79     0.92    -9999
DOURBES    211028 300  171000-171500   00     113.04  986.6    113.08     0.29    -9999
DOURBES    211028 300  171500-172000   00     113.81  986.6    113.80     0.93    -9999
DOURBES    211028 300  172000-172500   00     113.30  986.6    113.29     0.48    -9999
DOURBES    211028 300  172500-173000   00     112.95  986.6    112.95     0.17    -9999
DOURBES    211028 300  173000-173500   00     115.00  986.6    115.03     2.02    -9999
DOURBES    211028 300  173500-174000   00     112.26  986.6    112.26    -0.44    -9999
DOURBES    211028 300  174000-174500   00     112.83  986.5    112.78     0.02    -9999
DOURBES    211028 300  174500-175000   00     111.20  986.5    111.12    -1.45    -9999
DOURBES    211028 300  175000-175500   00     109.87  986.4    109.76    -2.65    -9999
DOURBES    211028 300  175500-180000   00     114.01  986.4    113.83     0.96    -9999
DOURBES    211028 300  180000-180500   00     112.60  986.4    112.41    -0.30    -9999
DOURBES    211028 300  180500-181000   00     112.98  986.4    112.80     0.04    -9999
DOURBES    211028 300  181000-181500   00     111.83  986.4    111.64    -0.98    -9999
DOURBES    211028 300  181500-182000   00     115.70  986.3    115.47     2.41    -9999
DOURBES    211028 300  182000-182500   00     113.40  986.3    113.14     0.34    -9999
DOURBES    211028 300  182500-183000   00     113.32  986.2    113.04     0.25    -9999
DOURBES    211028 300  183000-183500   00     115.53  986.2    115.19     2.16    -9999
DOURBES    211028 300  183500-184000   00     113.05  986.1    112.65    -0.09    -9999
DOURBES    211028 300  184000-184500   00     112.89  986.1    112.49    -0.24    -9999
DOURBES    211028 300  184500-185000   00     111.63  986.1    111.21    -1.37    -9999
DOURBES    211028 300  185000-185500   00     111.49  986.1    111.06    -1.50    -9999
DOURBES    211028 300  185500-190000   00     112.32  986.1    111.89    -0.76    -9999
DOURBES    211028 300  190000-190500   00     113.27  986.1    112.90     0.13    -9999
DOURBES    211028 300  190500-191000   00     112.09  986.1    111.73    -0.91    -9999
DOURBES    211028 300  191000-191500   00     113.40  986.2    113.06     0.27    -9999
DOURBES    211028 300  191500-192000   00     112.90  986.1    112.47    -0.25    -9999
DOURBES    211028 300  192000-192500   00     111.74  986.1    111.32    -1.27    -9999
DOURBES    211028 300  192500-193000   00     113.77  986.1    113.34     0.52    -9999
DOURBES    211028 300  193000-193500   00     113.86  986.0    113.36     0.54    -9999
DOURBES    211028 300  193500-194000   00     115.15  986.0    114.62     1.66    -9999
DOURBES    211028 300  194000-194500   00     115.16  986.0    114.62     1.66    -9999
DOURBES    211028 300  194500-195000   00     112.80  986.0    112.28    -0.42    -9999
DOURBES    211028 300  195000-195500   00     112.71  985.9    112.17    -0.52    -9999
DOURBES    211028 300  195500-200000   00     112.32  985.9    111.75    -0.89    -9999
DOURBES    211028 300  200000-200500   00     114.01  985.9    113.40     0.57    -9999
DOURBES    211028 300  200500-201000   00     114.95  985.9    114.35     1.42    -9999
DOURBES    211028 300  201000-201500   00     112.04  985.8    111.42    -1.18    -9999
DOURBES    211028 300  201500-202000   00     110.21  985.8    109.61    -2.78    -9999
DOURBES    211028 300  202000-202500   00     114.83  985.8    114.19     1.28    -9999
DOURBES    211028 300  202500-203000   00     114.96  985.7    114.26     1.33    -9999
DOURBES    211028 300  203000-203500   00     113.14  985.7    112.44    -0.28    -9999
DOURBES    211028 300  203500-204000   00     110.51  985.7    109.81    -2.61    -9999
DOURBES    211028 300  204000-204500   00     112.49  985.7    111.79    -0.85    -9999
DOURBES    211028 300  204500-205000   00     112.40  985.7    111.67    -0.96    -9999
