HERMANUS   LATITUDE    -34.42    LONGITUDE     19.22     ALTITUDE    26 M
HERMANUS   INSTRUMENT   12NM64    NEUTRON MONITOR     
HERMANUS   STANDARD PRESSURE    1012.3  mb     COEFFICIENT   -0.73     % / mb
HERMANUS   PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
HERMANUS   PRE-INCREASE AVERAGE COUNTING RATE    110.14      COUNTS PER SECOND
HERMANUS   TIME INTERVALS    300         3600     
HERMANUS   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
HERMANUS   031028 300  125000-125500   00     114.19 1011.6    113.64     3.20    -9999
HERMANUS   031028 300  125500-130000   00     111.98 1011.6    111.42     1.20    -9999
HERMANUS   031028 300  130000-130500   00     113.86 1011.6    113.28     2.80    -9999
HERMANUS   031028 300  130500-131000   00     111.60 1011.6    111.03     0.80    -9999
HERMANUS   031028 300  131000-131500   00     110.99 1011.6    110.42     0.30    -9999
HERMANUS   031028 300  131500-132000   00     112.00 1011.6    111.42     1.20    -9999
HERMANUS   031028 300  132000-132500   00     110.33 1011.6    109.77    -0.30    -9999
HERMANUS   031028 300  132500-133000   00     111.45 1011.6    110.88     0.70    -9999
HERMANUS   031028 300  133000-133500   00     111.92 1011.6    111.35     1.10    -9999
HERMANUS   031028 300  133500-134000   00     113.92 1011.6    113.34     2.90    -9999
HERMANUS   031028 300  134000-134500   00     111.61 1011.6    111.04     0.80    -9999
HERMANUS   031028 300  134500-135000   00     112.86 1011.6    112.28     1.90    -9999
HERMANUS   031028 300  135000-135500   00     110.69 1011.6    110.13     0.00    -9999
HERMANUS   031028 300  135500-140000   00     112.04 1011.6    111.47     1.20    -9999
HERMANUS   031028 300  140000-140500   00     112.02 1011.6    111.45     1.20    -9999
HERMANUS   031028 300  140500-141000   00     111.85 1011.6    111.27     1.00    -9999
HERMANUS   031028 300  141000-141500   00     112.99 1011.6    112.40     2.00    -9999
HERMANUS   031028 300  141500-142000   00     113.49 1011.6    112.88     2.50    -9999
HERMANUS   031028 300  142000-142500   00     111.47 1011.6    110.88     0.70    -9999
HERMANUS   031028 300  142500-143000   00     111.94 1011.6    111.33     1.10    -9999
HERMANUS   031028 300  143000-143500   00     110.37 1011.5    109.76    -0.40    -9999
HERMANUS   031028 300  143500-144000   00     111.85 1011.5    111.23     1.00    -9999
HERMANUS   031028 300  144000-144500   00     111.39 1011.5    110.77     0.60    -9999
HERMANUS   031028 300  144500-145000   00     112.07 1011.5    111.43     1.20    -9999
HERMANUS   031028 300  145000-145500   00     111.12 1011.5    110.48     0.30    -9999
HERMANUS   031028 300  145500-150000   00     112.77 1011.5    112.12     1.80    -9999
HERMANUS   031028 300  150000-150500   00     111.82 1011.5    111.16     0.90    -9999
