HERMANUS   LATITUDE    -34.42    LONGITUDE     19.22     ALTITUDE    26 M
HERMANUS   INSTRUMENT   12NM64    NEUTRON MONITOR     
HERMANUS   STANDARD PRESSURE    1012.3  mb     COEFFICIENT   -0.73     % / mb
HERMANUS   PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
HERMANUS   PRE-INCREASE AVERAGE COUNTING RATE    110.14      COUNTS PER SECOND
HERMANUS   TIME INTERVALS    300         3600     
HERMANUS   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
HERMANUS   031029 300  063500-064000   00     112.09 1012.3    112.13     1.80    -9999
HERMANUS   031029 300  064000-064500   00     111.75 1012.4    111.82     1.50    -9999
HERMANUS   031029 300  064500-065000   00     110.22 1012.4    110.31     0.10    -9999
HERMANUS   031029 300  065000-065500   00     109.91 1012.4    110.02    -0.10    -9999
HERMANUS   031029 300  065500-070000   00     110.45 1012.5    110.59     0.40    -9999
HERMANUS   031029 300  070000-070500   00     108.47 1012.5    108.63    -1.40    -9999
HERMANUS   031029 300  070500-071000   00     108.62 1012.5    108.79    -1.20    -9999
HERMANUS   031029 300  071000-071500   00     110.05 1012.5    110.23     0.10    -9999
HERMANUS   031029 300  071500-072000   00     110.00 1012.5    110.18     0.00    -9999
HERMANUS   031029 300  072000-072500   00     110.87 1012.5    111.06     0.80    -9999
HERMANUS   031029 300  072500-073000   00     109.91 1012.5    110.11     0.00    -9999
HERMANUS   031029 300  073000-073500   00     108.68 1012.6    108.88    -1.10    -9999
HERMANUS   031029 300  073500-074000   00     108.83 1012.6    109.04    -1.00    -9999
HERMANUS   031029 300  074000-074500   00     110.14 1012.6    110.35     0.20    -9999
HERMANUS   031029 300  074500-075000   00     107.94 1012.6    108.16    -1.80    -9999
HERMANUS   031029 300  075000-075500   00     109.71 1012.6    109.94    -0.20    -9999
HERMANUS   031029 300  075500-080000   00     109.36 1012.6    109.59    -0.50    -9999
HERMANUS   031029 300  080000-080500   00     108.75 1012.6    108.98    -1.10    -9999
HERMANUS   031029 300  080500-081000   00     111.89 1012.6    112.11     1.80    -9999
HERMANUS   031029 300  081000-081500   00     110.85 1012.5    111.05     0.80    -9999
HERMANUS   031029 300  081500-082000   00     111.08 1012.5    111.26     1.00    -9999
HERMANUS   031029 300  082000-082500   00     109.53 1012.5    109.68    -0.40    -9999
HERMANUS   031029 300  082500-083000   00     111.71 1012.5    111.85     1.60    -9999
HERMANUS   031029 300  083000-083500   00     111.31 1012.4    111.42     1.20    -9999
HERMANUS   031029 300  083500-084000   00     111.57 1012.4    111.66     1.40    -9999
HERMANUS   031029 300  084000-084500   00     109.87 1012.4    109.94    -0.20    -9999
HERMANUS   031029 300  084500-085000   00     111.46 1012.4    111.51     1.20    -9999
HERMANUS   031029 300  085000-085500   00     111.69 1012.3    111.72     1.40    -9999
HERMANUS   031029 300  085500-090000   00     110.60 1012.3    110.61     0.40    -9999
HERMANUS   031029 300  090000-090500   00     109.24 1012.3    109.24    -0.80    -9999
HERMANUS   031029 300  090500-091000   00     110.22 1012.3    110.22     0.10    -9999
HERMANUS   031029 300  091000-091500   00     108.91 1012.3    108.91    -1.10    -9999
HERMANUS   031029 300  091500-092000   00     111.34 1012.3    111.34     1.10    -9999
HERMANUS   031029 300  092000-092500   00     108.90 1012.3    108.90    -1.10    -9999
HERMANUS   031029 300  092500-093000   00     106.18 1012.3    106.18    -3.60    -9999
HERMANUS   031029 300  093000-093500   00     109.51 1012.3    109.51    -0.60    -9999
HERMANUS   031029 300  093500-094000   00     107.55 1012.3    107.55    -2.40    -9999
HERMANUS   031029 300  094000-094500   00     108.41 1012.3    108.41    -1.60    -9999
HERMANUS   031029 300  094500-095000   00     109.07 1012.3    109.07    -0.90    -9999
HERMANUS   031029 300  095000-095500   00     106.91 1012.3    106.91    -3.00    -9999
HERMANUS   031029 300  095500-100000   00     107.97 1012.3    107.97    -2.00    -9999
HERMANUS   031029 300  100000-100500   00     107.72 1012.3    107.72    -2.20    -9999
HERMANUS   031029 300  100500-101000   00     107.35 1012.3    107.36    -2.50    -9999
HERMANUS   031029 300  101000-101500   00     107.55 1012.3    107.57    -2.30    -9999
HERMANUS   031029 300  101500-102000   00     106.99 1012.3    107.01    -2.80    -9999
HERMANUS   031029 300  102000-102500   00     110.19 1012.3    110.22     0.10    -9999
HERMANUS   031029 300  102500-103000   00     106.87 1012.3    106.90    -2.90    -9999
HERMANUS   031029 300  103000-103500   00     107.85 1012.4    107.89    -2.10    -9999
HERMANUS   031029 300  103500-104000   00     108.41 1012.4    108.46    -1.50    -9999
HERMANUS   031029 300  104000-104500   00     107.44 1012.4    107.50    -2.40    -9999
HERMANUS   031029 300  104500-105000   00     107.56 1012.4    107.62    -2.30    -9999
HERMANUS   031029 300  105000-105500   00     105.76 1012.4    105.83    -3.90    -9999
HERMANUS   031029 300  105500-110000   00     104.43 1012.4    104.50    -5.10    -9999
HERMANUS   031029 300  110000-110500   00     105.36 1012.4    105.43    -4.30    -9999
HERMANUS   031029 300  110500-111000   00     103.18 1012.4    103.26    -6.30    -9999
HERMANUS   031029 300  111000-111500   00     104.27 1012.4    104.35    -5.30    -9999
HERMANUS   031029 300  111500-112000   00     102.84 1012.4    102.91    -6.60    -9999
HERMANUS   031029 300  112000-112500   00     103.08 1012.4    103.15    -6.30    -9999
HERMANUS   031029 300  112500-113000   00     105.73 1012.4    105.81    -3.90    -9999
HERMANUS   031029 300  113000-113500   00     103.34 1012.4    103.42    -6.10    -9999
HERMANUS   031029 300  113500-114000   00     101.14 1012.4    101.22    -8.10    -9999
HERMANUS   031029 300  114000-114500   00     102.90 1012.4    102.98    -6.50    -9999
HERMANUS   031029 300  114500-115000   00     101.09 1012.4    101.17    -8.20    -9999
HERMANUS   031029 300  115000-115500   00     102.48 1012.4    102.56    -6.90    -9999
HERMANUS   031029 300  115500-120000   00     102.66 1012.4    102.73    -6.70    -9999
HERMANUS   031029 3600 120000-130000   00     100.94 1011.9    100.65    -8.60    -9999
HERMANUS   031029 3600 130000-140000   00      96.07 1011.7     95.65   -13.20    -9999
HERMANUS   031029 3600 140000-150000   00      93.87 1011.6     93.39   -15.20    -9999
HERMANUS   031029 3600 150000-160000   00      92.21 1011.6     91.74   -16.70    -9999
HERMANUS   031029 3600 160000-170000   00      93.20 1011.8     92.86   -15.70    -9999
HERMANUS   031029 3600 170000-180000   00      91.63 1012.2     91.56   -16.90    -9999
HERMANUS   031029 3600 180000-190000   00      94.38 1012.2     94.31   -14.40    -9999
HERMANUS   031029 3600 190000-200000   00      95.70 1012.4     95.77   -13.00    -9999
HERMANUS   031029 3600 200000-210000   00      95.24 1012.6     95.45   -13.30    -9999
HERMANUS   031029 3600 210000-220000   00      95.36 1012.1     95.23   -13.50    -9999
HERMANUS   031029 3600 220000-230000   00      96.24 1011.6     95.75   -13.10    -9999
HERMANUS   031029 3600 230000-240000   00      98.38 1011.1     97.53   -11.50    -9999
*
Comment: The Clock of Regisrator is fast on+sec (slow on-sec) is supporting by GPS or InternetClockServer;
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2023-04-03 12:51:18 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE65/C065HRMS.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
