JUNGFRAU   LATITUDE    46.55     LONGITUDE     7.98      ALTITUDE    3475 M
JUNGFRAU   INSTRUMENT   3-NM-64  NEUTRON MONITOR	
JUNGFRAU   STANDARD PRESSURE    641.06  MB     COEFFICIENT   -0.72     % / MB
JUNGFRAU   PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
JUNGFRAU   PRE-INCREASE AVERAGE COUNTING RATE    159.14      COUNTS PER SECOND
JUNGFRAU   TIME INTERVALS    300         3600     
JUNGFRAU   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
JUNGFRAU   120517 300  183500-184000   00     169.66  655.9    160.54     0.90    -9999
JUNGFRAU   120517 300  184000-184500   00     166.13  655.8    157.05    -1.30    -9999
JUNGFRAU   120517 300  184500-185000   00     170.32  655.9    161.11     1.20    -9999
JUNGFRAU   120517 300  185000-185500   00     168.17  656.1    159.37     0.10    -9999
JUNGFRAU   120517 300  185500-190000   00     168.67  656.0    159.71     0.40    -9999
JUNGFRAU   120517 300  190000-190500   00     169.43  655.9    160.25     0.70    -9999
JUNGFRAU   120517 300  190500-191000   00     167.47  656.0    158.39    -0.50    -9999
JUNGFRAU   120517 300  191000-191500   00     168.50  656.0    159.52     0.20    -9999
JUNGFRAU   120517 300  191500-192000   00     169.18  656.0    160.06     0.60    -9999
JUNGFRAU   120517 300  192000-192500   00     168.83  655.9    159.68     0.30    -9999
JUNGFRAU   120517 300  192500-193000   00     168.15  655.9    159.06    -0.10    -9999
JUNGFRAU   120517 300  193000-193500   00     168.13  655.9    158.97    -0.10    -9999
JUNGFRAU   120517 300  193500-194000   00     169.51  655.9    160.30     0.70    -9999
JUNGFRAU   120517 300  194000-194500   00     168.31  655.9    159.26     0.10    -9999
JUNGFRAU   120517 300  194500-195000   00     166.45  655.9    157.38    -1.10    -9999
JUNGFRAU   120517 300  195000-195500   00     168.01  655.9    158.81    -0.20    -9999
JUNGFRAU   120517 300  195500-200000   00     167.19  655.9    158.08    -0.70    -9999
JUNGFRAU   120517 300  200000-200500   00     168.05  655.8    158.79    -0.20    -9999
JUNGFRAU   120517 300  200500-201000   00     169.98  655.8    160.65     0.90    -9999
JUNGFRAU   120517 300  201000-201500   00     168.39  655.7    159.15     0.00    -9999
JUNGFRAU   120517 300  201500-202000   00     167.15  655.8    157.96    -0.70    -9999
JUNGFRAU   120517 300  202000-202500   00     167.56  655.8    158.33    -0.50    -9999
JUNGFRAU   120517 300  202500-203000   00     165.85  655.9    156.82    -1.50    -9999
JUNGFRAU   120517 300  203000-203500   00     168.20  655.9    159.17     0.00    -9999
JUNGFRAU   120517 300  203500-204000   00     166.40  656.0    157.54    -1.00    -9999
JUNGFRAU   120517 300  204000-204500   00     167.34  656.0    158.40    -0.50    -9999
JUNGFRAU   120517 300  204500-205000   00     166.83  656.1    157.95    -0.70    -9999
JUNGFRAU   120517 300  205000-205500   00     167.62  656.0    158.61    -0.30    -9999
JUNGFRAU   120517 300  205500-210000   00     169.94  656.1    160.95     1.10    -9999
JUNGFRAU   120517 300  210000-210500   00     165.88  656.1    157.04    -1.30    -9999
JUNGFRAU   120517 300  210500-211000   00     166.64  656.1    157.84    -0.80    -9999
JUNGFRAU   120517 300  211000-211500   00     168.66  656.1    159.66     0.30    -9999
JUNGFRAU   120517 300  211500-212000   00     167.03  656.1    158.19    -0.60    -9999
JUNGFRAU   120517 300  212000-212500   00     165.34  656.1    156.58    -1.60    -9999
JUNGFRAU   120517 300  212500-213000   00     168.71  656.0    159.78     0.40    -9999
JUNGFRAU   120517 300  213000-213500   00     167.69  656.1    158.82    -0.20    -9999
JUNGFRAU   120517 300  213500-214000   00     169.47  656.0    160.48     0.80    -9999
JUNGFRAU   120517 300  214000-214500   00     170.31  655.9    161.00     1.20    -9999
JUNGFRAU   120517 300  214500-215000   00     168.90  655.9    159.75     0.40    -9999
JUNGFRAU   120517 300  215000-215500   00     167.79  656.0    158.79    -0.20    -9999
JUNGFRAU   120517 300  215500-220000   00     167.83  656.0    158.94    -0.10    -9999
JUNGFRAU   120517 300  220000-220500   00     168.50  656.0    159.52     0.20    -9999
JUNGFRAU   120517 300  220500-221000   00     166.10  656.0    157.22    -1.20    -9999
JUNGFRAU   120517 300  221000-221500   00     165.91  656.0    156.97    -1.40    -9999
JUNGFRAU   120517 300  221500-222000   00     168.03  656.0    158.98    -0.10    -9999
JUNGFRAU   120517 300  222000-222500   00     166.03  656.0    157.14    -1.30    -9999
JUNGFRAU   120517 300  222500-223000   00     166.86  655.9    157.85    -0.80    -9999
JUNGFRAU   120517 300  223000-223500   00     166.43  655.9    157.47    -1.00    -9999
JUNGFRAU   120517 300  223500-224000   00     168.15  655.9    159.15     0.00    -9999
JUNGFRAU   120517 300  224000-224500   00     168.54  655.9    159.40     0.20    -9999
JUNGFRAU   120517 300  224500-225000   00     167.93  655.8    158.75    -0.20    -9999
JUNGFRAU   120517 300  225000-225500   00     168.64  655.8    159.35     0.10    -9999
JUNGFRAU   120517 300  225500-230000   00     167.56  655.8    158.37    -0.50    -9999
JUNGFRAU   120517 300  230000-230500   00     167.82  655.8    158.63    -0.30    -9999
JUNGFRAU   120517 300  230500-231000   00     167.68  655.8    158.46    -0.40    -9999
JUNGFRAU   120517 300  231000-231500   00     169.01  655.8    159.62     0.30    -9999
JUNGFRAU   120517 300  231500-232000   00     168.14  655.8    158.88    -0.20    -9999
JUNGFRAU   120517 300  232000-232500   00     169.16  655.8    159.86     0.50    -9999
JUNGFRAU   120517 300  232500-233000   00     168.28  655.7    158.95    -0.10    -9999
JUNGFRAU   120517 300  233000-233500   00     166.57  655.7    157.35    -1.10    -9999
JUNGFRAU   120517 300  233500-234000   00     168.48  655.7    159.20     0.00    -9999
JUNGFRAU   120517 300  234000-234500   00     168.39  655.8    159.25     0.10    -9999
JUNGFRAU   120517 300  234500-235000   00     167.39  655.8    158.28    -0.50    -9999
JUNGFRAU   120517 300  235000-235500   00     167.74  655.8    158.50    -0.40    -9999
JUNGFRAU   120517 300  235500-240000   00     169.11  655.7    159.75     0.40    -9999
JUNGFRAU   120518 3600 000000-010000   00     168.29  655.3    158.46    -0.40    -9999
JUNGFRAU   120518 3600 010000-020000   00     169.11  655.0    158.95    -0.10    -9999
JUNGFRAU   120518 3600 020000-030000   00     168.06  654.6    157.50    -1.00    -9999
JUNGFRAU   120518 3600 030000-040000   00     168.20  654.4    157.39    -1.10    -9999
JUNGFRAU   120518 3600 040000-050000   00     168.92  654.2    157.82    -0.80    -9999
JUNGFRAU   120518 3600 050000-060000   00     168.51  654.2    157.52    -1.00    -9999
JUNGFRAU   120518 3600 060000-070000   00     169.60  654.3    158.49    -0.40    -9999
JUNGFRAU   120518 3600 070000-080000   00     169.62  654.4    158.72    -0.30    -9999
JUNGFRAU   120518 3600 080000-090000   00     169.62  654.5    158.86    -0.20    -9999
JUNGFRAU   120518 3600 090000-100000   00     169.93  654.7    159.38     0.20    -9999
JUNGFRAU   120518 3600 100000-110000   00     170.80  654.8    160.28     0.70    -9999
JUNGFRAU   120518 3600 110000-120000   00     170.60  655.1    160.41     0.80    -9999
JUNGFRAU   120518 3600 120000-130000   00     170.18  655.2    160.14     0.60    -9999
JUNGFRAU   120518 3600 130000-140000   00     169.66  655.3    159.78     0.40    -9999
JUNGFRAU   120518 3600 140000-150000   00     169.40  655.4    159.63     0.30    -9999
JUNGFRAU   120518 3600 150000-160000   00     169.11  655.4    159.36     0.10    -9999
JUNGFRAU   120518 3600 160000-170000   00     169.54  655.5    159.93     0.50    -9999
JUNGFRAU   120518 3600 170000-180000   00     169.35  655.6    159.80     0.40    -9999
JUNGFRAU   120518 3600 180000-190000   00     168.73  655.8    159.42     0.20    -9999
JUNGFRAU   120518 3600 190000-200000   00     167.72  656.1    158.84    -0.20    -9999
JUNGFRAU   120518 3600 200000-210000   00     167.81  656.4    159.37     0.10    -9999
JUNGFRAU   120518 3600 210000-220000   00     167.73  656.4    159.24     0.10    -9999
JUNGFRAU   120518 3600 220000-230000   00     168.07  656.5    159.62     0.30    -9999
JUNGFRAU   120518 3600 230000-240000   00     167.39  656.3    158.78    -0.20    -9999
*
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2024-01-15 17:24:22 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE71/C071JUNG.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
