JUNGFRAU   LATITUDE    46.55     LONGITUDE     7.98      ALTITUDE    3475 M
JUNGFRAU   INSTRUMENT   3-NM-64  NEUTRON MONITOR	
JUNGFRAU   STANDARD PRESSURE    641.06  MB     COEFFICIENT   -0.72     % / MB
JUNGFRAU   PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
JUNGFRAU   PRE-INCREASE AVERAGE COUNTING RATE    159.14      COUNTS PER SECOND
JUNGFRAU   TIME INTERVALS    300         3600     
JUNGFRAU   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
JUNGFRAU   120517 300  004500-005000   00     169.46  653.8    157.89    -0.80    -9999
JUNGFRAU   120517 300  005000-005500   00     171.23  653.8    159.59     0.30    -9999
JUNGFRAU   120517 300  005500-010000   00     172.16  653.8    160.38     0.80    -9999
JUNGFRAU   120517 300  010000-010500   00     171.80  653.9    160.24     0.70    -9999
JUNGFRAU   120517 300  010500-011000   00     171.15  653.9    159.72     0.40    -9999
JUNGFRAU   120517 300  011000-011500   00     171.82  653.9    160.25     0.70    -9999
JUNGFRAU   120517 300  011500-012000   00     170.15  653.9    158.66    -0.30    -9999
JUNGFRAU   120517 300  012000-012500   00     172.26  653.9    160.61     0.90    -9999
JUNGFRAU   120517 300  012500-013000   00     169.47  654.0    158.04    -0.70    -9999
JUNGFRAU   120517 300  013000-013500   00     171.30  654.0    159.86     0.50    -9999
JUNGFRAU   120517 300  013500-014000   00     171.03  653.9    159.49     0.20    -9999
JUNGFRAU   120517 300  014000-014500   00     170.13  654.0    158.66    -0.30    -9999
JUNGFRAU   120517 300  014500-015000   00     170.94  654.0    159.44     0.20    -9999
JUNGFRAU   120517 300  015000-015500   00     170.18  654.0    158.69    -0.30    -9999
JUNGFRAU   120517 300  015500-020000   00     170.02  654.0    158.72    -0.30    -9999
JUNGFRAU   120517 300  020000-020500   00     170.18  654.0    158.74    -0.30    -9999
JUNGFRAU   120517 300  020500-021000   00     169.74  653.9    158.22    -0.60    -9999
JUNGFRAU   120517 300  021000-021500   00     170.92  653.9    159.44     0.20    -9999
JUNGFRAU   120517 300  021500-022000   00     171.43  654.0    159.81     0.40    -9999
JUNGFRAU   120517 300  022000-022500   00     170.68  654.0    159.17     0.00    -9999
JUNGFRAU   120517 300  022500-023000   00     171.11  654.0    159.58     0.30    -9999
JUNGFRAU   120517 300  023000-023500   00     170.42  654.1    159.07     0.00    -9999
JUNGFRAU   120517 300  023500-024000   00     170.04  654.0    158.67    -0.30    -9999
JUNGFRAU   120517 300  024000-024500   00     172.05  654.1    160.61     0.90    -9999
JUNGFRAU   120517 300  024500-025000   00     172.74  654.1    161.37     1.40    -9999
JUNGFRAU   120517 300  025000-025500   00     171.08  654.1    159.62     0.30    -9999
JUNGFRAU   120517 300  025500-030000   00     171.33  654.0    159.89     0.50    -9999
JUNGFRAU   120517 300  030000-030500   00     169.17  654.1    157.89    -0.80    -9999
JUNGFRAU   120517 300  030500-031000   00     170.09  654.1    158.80    -0.20    -9999
JUNGFRAU   120517 300  031000-031500   00     171.86  654.1    160.41     0.80    -9999
JUNGFRAU   120517 300  031500-032000   00     169.28  654.1    157.99    -0.70    -9999
JUNGFRAU   120517 300  032000-032500   00     171.58  654.1    160.12     0.60    -9999
JUNGFRAU   120517 300  032500-033000   00     170.09  654.2    158.91    -0.10    -9999
JUNGFRAU   120517 300  033000-033500   00     171.67  654.2    160.34     0.80    -9999
JUNGFRAU   120517 300  033500-034000   00     169.92  654.1    158.57    -0.40    -9999
JUNGFRAU   120517 300  034000-034500   00     170.64  654.0    159.23     0.10    -9999
JUNGFRAU   120517 300  034500-035000   00     170.99  654.0    159.52     0.20    -9999
JUNGFRAU   120517 300  035000-035500   00     169.88  654.1    158.56    -0.40    -9999
JUNGFRAU   120517 300  035500-040000   00     170.01  654.1    158.73    -0.30    -9999
JUNGFRAU   120517 300  040000-040500   00     171.60  654.1    160.22     0.70    -9999
JUNGFRAU   120517 300  040500-041000   00     170.70  654.1    159.44     0.20    -9999
JUNGFRAU   120517 300  041000-041500   00     170.06  654.1    158.80    -0.20    -9999
JUNGFRAU   120517 300  041500-042000   00     170.26  654.1    158.98    -0.10    -9999
JUNGFRAU   120517 300  042000-042500   00     170.04  654.1    158.62    -0.30    -9999
JUNGFRAU   120517 300  042500-043000   00     169.68  654.1    158.37    -0.50    -9999
JUNGFRAU   120517 300  043000-043500   00     168.99  654.1    157.69    -0.90    -9999
JUNGFRAU   120517 300  043500-044000   00     172.37  654.1    160.93     1.10    -9999
JUNGFRAU   120517 300  044000-044500   00     172.16  654.1    160.79     1.00    -9999
JUNGFRAU   120517 300  044500-045000   00     172.13  654.1    160.78     1.00    -9999
JUNGFRAU   120517 300  045000-045500   00     170.49  654.2    159.17     0.00    -9999
JUNGFRAU   120517 300  045500-050000   00     171.73  654.2    160.47     0.80    -9999
JUNGFRAU   120517 300  050000-050500   00     170.72  654.3    159.58     0.30    -9999
JUNGFRAU   120517 300  050500-051000   00     171.66  654.3    160.51     0.90    -9999
JUNGFRAU   120517 300  051000-051500   00     170.08  654.3    159.01    -0.10    -9999
JUNGFRAU   120517 300  051500-052000   00     171.59  654.4    160.48     0.80    -9999
JUNGFRAU   120517 300  052000-052500   00     169.01  654.4    158.18    -0.60    -9999
JUNGFRAU   120517 300  052500-053000   00     172.14  654.3    161.01     1.20    -9999
JUNGFRAU   120517 300  053000-053500   00     170.52  654.3    159.54     0.30    -9999
JUNGFRAU   120517 300  053500-054000   00     172.77  654.3    160.74     1.00    -9999
JUNGFRAU   120517 300  054000-054500   00     171.31  654.4    160.26     0.70    -9999
JUNGFRAU   120517 300  054500-055000   00     169.25  654.5    158.30    -0.50    -9999
JUNGFRAU   120517 300  055000-055500   00     170.63  654.5    159.61     0.30    -9999
JUNGFRAU   120517 300  055500-060000   00     170.12  654.6    159.45     0.20    -9999
JUNGFRAU   120517 300  060000-060500   00     170.93  654.7    160.28     0.70    -9999
JUNGFRAU   120517 300  060500-061000   00     171.85  654.7    161.23     1.30    -9999
JUNGFRAU   120517 300  061000-061500   00     172.02  654.7    161.28     1.30    -9999
JUNGFRAU   120517 300  061500-062000   00     170.12  654.8    159.62     0.30    -9999
JUNGFRAU   120517 300  062000-062500   00     172.57  654.8    162.01     1.80    -9999
JUNGFRAU   120517 300  062500-063000   00     173.63  654.8    162.83     2.30    -9999
JUNGFRAU   120517 300  063000-063500   00     172.28  654.8    161.81     1.70    -9999
JUNGFRAU   120517 300  063500-064000   00     171.40  654.9    160.87     1.10    -9999
JUNGFRAU   120517 300  064000-064500   00     170.38  654.8    159.96     0.50    -9999
JUNGFRAU   120517 300  064500-065000   00     170.27  654.9    159.96     0.50    -9999
JUNGFRAU   120517 300  065000-065500   00     170.71  654.9    160.34     0.80    -9999
