HERMANUS   LATITUDE    -34.42    LONGITUDE     19.22     ALTITUDE    26 M
HERMANUS   INSTRUMENT   12NM64    NEUTRON MONITOR     
HERMANUS   STANDARD PRESSURE    760     MMHG   COEFFICIENT   -0.95     % / MMHG
HERMANUS   PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
HERMANUS   PRE-INCREASE AVERAGE COUNTING RATE    118.24      COUNTS PER SECOND
HERMANUS   TIME INTERVALS    300         3600     
HERMANUS   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
HERMANUS   010415 300  105500-110000   00     112.08  755.6    116.91    -1.10    -9999
HERMANUS   010415 300  110000-110500   00     112.53  755.5    117.44    -0.70    -9999
HERMANUS   010415 300  110500-111000   00     112.06  755.5    116.95    -1.10    -9999
HERMANUS   010415 300  111000-111500   00     111.44  755.4    116.43    -1.50    -9999
HERMANUS   010415 300  111500-112000   00     112.47  755.3    117.61    -0.50    -9999
HERMANUS   010415 300  112000-112500   00     113.60  755.3    118.79     0.50    -9999
HERMANUS   010415 300  112500-113000   00     111.32  755.3    116.40    -1.60    -9999
HERMANUS   010415 300  113000-113500   00     112.57  755.3    117.71    -0.40    -9999
HERMANUS   010415 300  113500-114000   00     111.88  755.3    116.98    -1.10    -9999
HERMANUS   010415 300  114000-114500   00     111.89  755.2    117.07    -1.00    -9999
HERMANUS   010415 300  114500-115000   00     112.65  755.1    118.00    -0.20    -9999
HERMANUS   010415 300  115000-115500   00     112.61  755.1    117.98    -0.20    -9999
HERMANUS   010415 300  115500-120000   00     113.33  755.0    118.80     0.50    -9999
HERMANUS   010415 300  120000-120500   00     112.56  755.0    118.06    -0.20    -9999
HERMANUS   010415 300  120500-121000   00     112.64  754.9    118.23     0.00    -9999
HERMANUS   010415 300  121000-121500   00     111.55  754.8    117.16    -0.90    -9999
HERMANUS   010415 300  121500-122000   00     113.81  754.8    119.58     1.10    -9999
HERMANUS   010415 300  122000-122500   00     113.21  754.8    118.94     0.60    -9999
HERMANUS   010415 300  122500-123000   00     112.48  754.7    118.24     0.00    -9999
HERMANUS   010415 300  123000-123500   00     112.29  754.7    118.09    -0.10    -9999
HERMANUS   010415 300  123500-124000   00     111.64  754.7    117.40    -0.70    -9999
HERMANUS   010415 300  124000-124500   00     113.57  754.7    119.43     1.00    -9999
HERMANUS   010415 300  124500-125000   00     111.05  754.7    116.79    -1.20    -9999
HERMANUS   010415 300  125000-125500   00     112.04  754.7    117.82    -0.40    -9999
HERMANUS   010415 300  125500-130000   00     113.32  754.7    119.17     0.80    -9999
HERMANUS   010415 300  130000-130500   00     111.69  754.7    117.46    -0.70    -1.10
HERMANUS   010415 300  130500-131000   00     113.32  754.8    119.11     0.70     0.37
HERMANUS   010415 300  131000-131500   00     113.08  754.8    118.81     0.50     0.24
HERMANUS   010415 300  131500-132000   00     111.55  754.9    117.11    -1.00    -1.19
HERMANUS   010415 300  132000-132500   00     113.65  754.9    119.29     0.90     0.78
HERMANUS   010415 300  132500-133000   00     111.66  754.9    117.20    -0.90    -0.94
HERMANUS   010415 300  133000-133500   00     113.05  754.9    118.62     0.30     0.33
HERMANUS   010415 300  133500-134000   00     111.88  755.0    117.35    -0.80    -0.70
HERMANUS   010415 300  134000-134500   00     112.42  755.0    117.89    -0.30    -0.13
HERMANUS   010415 300  134500-135000   00     112.70  755.1    118.12    -0.10     0.14
HERMANUS   010415 300  135000-135500   00     112.16  755.1    117.55    -0.60    -0.29
HERMANUS   010415 300  135500-140000   00     112.53  755.1    117.94    -0.30     0.08
HERMANUS   010415 300  140000-140500   00     111.12  755.2    116.35    -1.60    -1.15
HERMANUS   010415 300  140500-141000   00     114.94  755.2    120.30     1.70     2.22
HERMANUS   010415 300  141000-141500   00     116.05  755.3    121.40     2.70     3.29
HERMANUS   010415 300  141500-142000   00     118.80  755.3    124.22     5.10     5.76
HERMANUS   010415 300  142000-142500   00     115.77  755.3    121.06     2.40     3.13
HERMANUS   010415 300  142500-143000   00     115.08  755.4    120.22     1.70     2.50
HERMANUS   010415 300  143000-143500   00     116.08  755.4    121.27     2.60     3.47
HERMANUS   010415 300  143500-144000   00     114.98  755.4    120.16     1.60     2.55
HERMANUS   010415 300  144000-144500   00     115.79  755.4    120.99     2.30     3.32
HERMANUS   010415 300  144500-145000   00     115.99  755.5    121.10     2.40     3.49
HERMANUS   010415 300  145000-145500   00     115.34  755.5    120.38     1.80     2.96
HERMANUS   010415 300  145500-150000   00     115.75  755.5    120.80     2.20     3.43
HERMANUS   010415 300  150000-150500   00     116.25  755.6    121.21     2.50     3.80
HERMANUS   010415 300  150500-151000   00     116.15  755.7    121.01     2.30     3.67
HERMANUS   010415 300  151000-151500   00     115.67  755.7    120.49     1.90     3.34
HERMANUS   010415 300  151500-152000   00     114.95  755.7    119.74     1.30     2.81
HERMANUS   010415 300  152000-152500   00     113.94  755.7    118.69     0.40     1.98
HERMANUS   010415 300  152500-153000   00     115.65  755.8    120.40     1.80     3.45
HERMANUS   010415 300  153000-153500   00     114.20  755.8    118.85     0.50     2.22
HERMANUS   010415 300  153500-154000   00     113.65  755.9    118.20     0.00     1.79
